Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1197,1197,1197,201712130ORL,40.1,3.0,4th quarter,0:19.0,Jamel Artis,ORL,False,2-pointer,16,95-106,'ORL',trails
547,547,547,201712200CHI,8.5,22.0,3rd quarter,0:28.0,Jamel Artis,ORL,False,3-pointer,24,63-90,'ORL',trails
548,548,548,201712200CHI,14.4,1.7,4th quarter,10:50.0,Jamel Artis,ORL,False,2-pointer,9,66-92,'ORL',trails
549,549,549,201712200CHI,26.9,4.0,4th quarter,10:25.0,Jamel Artis,ORL,False,2-pointer,3,66-95,'ORL',trails
552,552,552,201712200CHI,19.1,5.4,4th quarter,9:46.0,Jamel Artis,ORL,True,2-pointer,5,70-95,'ORL',trails
555,555,555,201712200CHI,26.2,4.4,4th quarter,7:54.0,Jamel Artis,ORL,True,2-pointer,2,72-100,'ORL',trails
557,557,557,201712200CHI,47.5,12.6,4th quarter,6:49.0,Jamel Artis,ORL,False,3-pointer,25,72-102,'ORL',trails
567,567,567,201712200CHI,27.2,2.0,4th quarter,0:48.0,Jamel Artis,ORL,False,2-pointer,3,91-112,'ORL',trails
568,568,568,201712200CHI,1.9,11.0,4th quarter,0:21.0,Jamel Artis,ORL,False,3-pointer,23,91-112,'ORL',trails
1359,1359,1359,201712220ORL,27.2,10.6,4th quarter,7:34.0,Jamel Artis,ORL,False,2-pointer,8,78-105,'NOP',trails
1363,1363,1363,201712220ORL,22.9,8.9,4th quarter,5:03.0,Jamel Artis,ORL,True,2-pointer,6,82-107,'NOP',trails
2042,2042,2042,201712230WAS,13.5,26.5,1st quarter,1:16.0,Jamel Artis,ORL,False,3-pointer,25,27-31,'ORL',trails
2059,2059,2059,201712230WAS,10.5,14.6,2nd quarter,3:57.0,Jamel Artis,ORL,False,2-pointer,17,44-62,'ORL',trails
2100,2100,2100,201712230WAS,40.1,9.2,4th quarter,5:45.0,Jamel Artis,ORL,False,2-pointer,17,95-115,'ORL',trails
2104,2104,2104,201712230WAS,14.0,15.8,4th quarter,2:24.0,Jamel Artis,ORL,True,2-pointer,16,103-126,'ORL',trails
2106,2106,2106,201712230WAS,27.1,9.8,4th quarter,1:33.0,Jamel Artis,ORL,False,2-pointer,7,103-128,'ORL',trails
2109,2109,2109,201712230WAS,24.5,27.9,4th quarter,0:10.0,Jamel Artis,ORL,False,3-pointer,24,103-130,'ORL',trails
877,877,877,201803220ORL,29.8,8.8,4th quarter,9:43.0,Jamel Artis,ORL,False,2-pointer,8,72-95,'ORL',trails
884,884,884,201803220ORL,20.1,7.6,4th quarter,5:57.0,Jamel Artis,ORL,True,2-pointer,6,79-100,'ORL',trails
841,841,841,201803240ORL,41.7,21.0,2nd quarter,6:20.0,Jamel Artis,ORL,False,3-pointer,25,29-34,'PHO',trails
765,765,765,201803280ORL,5.2,22.4,1st quarter,1:46.0,Jamel Artis,ORL,False,3-pointer,27,26-32,'ORL',trails
766,766,766,201803280ORL,28.0,5.1,1st quarter,1:27.0,Jamel Artis,ORL,False,2-pointer,4,26-32,'ORL',trails
829,829,829,201803280ORL,26.5,7.5,4th quarter,3:16.0,Jamel Artis,ORL,True,2-pointer,5,95-106,'ORL',trails
1207,1207,1207,201803300ORL,33.5,27.8,2nd quarter,10:45.0,Jamel Artis,ORL,True,3-pointer,26,27-35,'ORL',trails
1211,1211,1211,201803300ORL,24.0,4.9,2nd quarter,7:49.0,Jamel Artis,ORL,False,2-pointer,1,32-42,'ORL',trails
1254,1254,1254,201803300ORL,46.6,7.1,4th quarter,8:55.0,Jamel Artis,ORL,False,3-pointer,22,71-76,'ORL',trails
1271,1271,1271,201803300ORL,11.0,26.7,4th quarter,0:00.0,Jamel Artis,ORL,True,3-pointer,27,82-90,'ORL',trails
1375,1375,1375,201804030NYK,37.9,25.2,1st quarter,4:29.0,Jamel Artis,ORL,True,3-pointer,26,16-16,'NYK',tied
1378,1378,1378,201804030NYK,47.0,5.5,1st quarter,2:30.0,Jamel Artis,ORL,True,3-pointer,23,20-18,'NYK',leads
1383,1383,1383,201804030NYK,46.3,0.8,2nd quarter,11:06.0,Jamel Artis,ORL,False,3-pointer,22,27-25,'NYK',leads
1389,1389,1389,201804030NYK,37.1,25.6,2nd quarter,9:39.0,Jamel Artis,ORL,False,3-pointer,26,27-27,'NYK',tied
1395,1395,1395,201804030NYK,32.7,3.0,2nd quarter,6:35.0,Jamel Artis,ORL,True,2-pointer,8,31-32,'NYK',trails
1430,1430,1430,201804030NYK,23.2,3.8,3rd quarter,0:59.0,Jamel Artis,ORL,True,2-pointer,1,65-61,'NYK',leads
1431,1431,1431,201804030NYK,26.9,28.1,3rd quarter,0:26.0,Jamel Artis,ORL,True,3-pointer,25,68-61,'NYK',leads
1434,1434,1434,201804030NYK,2.5,16.4,4th quarter,9:48.0,Jamel Artis,ORL,False,3-pointer,25,70-65,'NYK',leads
1443,1443,1443,201804030NYK,18.5,14.0,4th quarter,5:07.0,Jamel Artis,ORL,False,2-pointer,12,85-70,'NYK',leads
1445,1445,1445,201804030NYK,28.2,11.8,4th quarter,3:31.0,Jamel Artis,ORL,True,2-pointer,9,90-71,'NYK',leads
827,827,827,201804040ORL,17.8,5.1,1st quarter,2:21.0,Jamel Artis,ORL,False,2-pointer,6,24-16,'DAL',leads
834,834,834,201804040ORL,1.0,1.7,2nd quarter,9:23.0,Jamel Artis,ORL,True,3-pointer,23,40-28,'DAL',leads
842,842,842,201804040ORL,35.1,1.9,2nd quarter,5:42.0,Jamel Artis,ORL,True,2-pointer,11,44-38,'DAL',leads
843,843,843,201804040ORL,30.5,22.5,2nd quarter,5:00.0,Jamel Artis,ORL,True,2-pointer,20,46-43,'DAL',leads
844,844,844,201804040ORL,27.0,5.2,2nd quarter,4:01.0,Jamel Artis,ORL,True,2-pointer,3,48-43,'DAL',leads
845,845,845,201804040ORL,8.0,22.7,2nd quarter,2:05.0,Jamel Artis,ORL,False,3-pointer,25,50-49,'DAL',leads
860,860,860,201804040ORL,12.1,17.4,3rd quarter,5:16.0,Jamel Artis,ORL,False,2-pointer,18,69-63,'DAL',leads
866,866,866,201804040ORL,1.6,10.1,3rd quarter,1:44.0,Jamel Artis,ORL,False,3-pointer,23,74-69,'DAL',leads
867,867,867,201804040ORL,25.6,4.2,3rd quarter,0:56.0,Jamel Artis,ORL,True,2-pointer,2,77-72,'DAL',leads
871,871,871,201804040ORL,28.8,19.9,4th quarter,10:35.0,Jamel Artis,ORL,True,2-pointer,17,84-77,'DAL',leads
876,876,876,201804040ORL,41.7,12.1,4th quarter,8:29.0,Jamel Artis,ORL,True,2-pointer,19,90-81,'DAL',leads
878,878,878,201804040ORL,7.9,19.3,4th quarter,7:30.0,Jamel Artis,ORL,False,2-pointer,22,90-84,'DAL',leads
880,880,880,201804040ORL,22.7,4.3,4th quarter,6:28.0,Jamel Artis,ORL,True,2-pointer,1,92-89,'DAL',leads
962,962,962,201804060ORL,0.8,4.5,1st quarter,9:59.0,Jamel Artis,ORL,False,3-pointer,23,3-4,'CHO',trails
977,977,977,201804060ORL,17.3,20.6,1st quarter,1:53.0,Jamel Artis,ORL,True,2-pointer,18,20-34,'CHO',trails
999,999,999,201804060ORL,24.5,18.6,2nd quarter,2:41.0,Jamel Artis,ORL,False,2-pointer,15,42-67,'CHO',trails
1004,1004,1004,201804060ORL,1.3,3.6,2nd quarter,0:00.0,Jamel Artis,ORL,False,3-pointer,22,49-72,'CHO',trails
1009,1009,1009,201804060ORL,26.6,8.0,3rd quarter,9:53.0,Jamel Artis,ORL,False,2-pointer,5,51-78,'CHO',trails
1010,1010,1010,201804060ORL,24.0,2.4,3rd quarter,9:50.0,Jamel Artis,ORL,False,2-pointer,0,51-78,'CHO',trails
1012,1012,1012,201804060ORL,13.6,8.7,3rd quarter,8:48.0,Jamel Artis,ORL,True,2-pointer,11,55-78,'CHO',trails
1016,1016,1016,201804060ORL,0.9,8.3,3rd quarter,7:15.0,Jamel Artis,ORL,False,3-pointer,23,59-84,'CHO',trails
1032,1032,1032,201804060ORL,24.9,7.8,4th quarter,10:53.0,Jamel Artis,ORL,False,2-pointer,4,75-107,'CHO',trails
1043,1043,1043,201804060ORL,38.3,24.7,4th quarter,6:08.0,Jamel Artis,ORL,True,3-pointer,25,82-124,'CHO',trails
1044,1044,1044,201804060ORL,23.8,5.0,4th quarter,5:47.0,Jamel Artis,ORL,True,2-pointer,2,84-124,'CHO',trails
1046,1046,1046,201804060ORL,13.1,26.5,4th quarter,4:37.0,Jamel Artis,ORL,True,3-pointer,25,89-124,'CHO',trails
1069,1069,1069,201804080TOR,46.0,14.5,1st quarter,3:02.0,Jamel Artis,ORL,False,3-pointer,24,20-22,'TOR',trails
1092,1092,1092,201804080TOR,46.5,3.4,2nd quarter,3:00.0,Jamel Artis,ORL,False,3-pointer,22,43-55,'TOR',trails
1095,1095,1095,201804080TOR,23.0,4.9,2nd quarter,1:37.0,Jamel Artis,ORL,True,2-pointer,2,45-58,'TOR',trails
1104,1104,1104,201804080TOR,22.6,3.5,3rd quarter,8:48.0,Jamel Artis,ORL,True,2-pointer,1,56-67,'TOR',trails
1105,1105,1105,201804080TOR,22.4,4.1,3rd quarter,8:10.0,Jamel Artis,ORL,False,2-pointer,1,56-67,'TOR',trails
1111,1111,1111,201804080TOR,46.1,14.8,3rd quarter,5:01.0,Jamel Artis,ORL,False,3-pointer,25,65-73,'TOR',trails
1140,1140,1140,201804080TOR,25.1,3.2,4th quarter,2:00.0,Jamel Artis,ORL,True,2-pointer,1,96-108,'TOR',trails
889,889,889,201804090MIL,35.6,4.0,1st quarter,1:52.0,Jamel Artis,ORL,False,2-pointer,11,15-23,'ORL',trails
898,898,898,201804090MIL,11.0,13.5,2nd quarter,9:39.0,Jamel Artis,ORL,False,2-pointer,16,25-31,'ORL',trails
909,909,909,201804090MIL,23.7,13.9,2nd quarter,4:24.0,Jamel Artis,ORL,False,2-pointer,10,33-35,'ORL',trails
937,937,937,201804090MIL,13.6,27.7,3rd quarter,0:09.0,Jamel Artis,ORL,False,3-pointer,26,67-72,'ORL',trails
939,939,939,201804090MIL,3.6,18.2,4th quarter,9:42.0,Jamel Artis,ORL,False,3-pointer,25,68-76,'ORL',trails
1598,1598,1598,201804110ORL,11.9,21.3,3rd quarter,5:10.0,Jamel Artis,ORL,False,2-pointer,21,66-55,'ORL',leads
1601,1601,1601,201804110ORL,17.8,9.3,3rd quarter,3:29.0,Jamel Artis,ORL,True,2-pointer,8,69-62,'ORL',leads
1607,1607,1607,201804110ORL,21.7,20.0,4th quarter,11:15.0,Jamel Artis,ORL,False,2-pointer,17,76-75,'ORL',leads
1612,1612,1612,201804110ORL,15.5,24.2,4th quarter,7:07.0,Jamel Artis,ORL,False,2-pointer,22,81-81,'ORL',tied
1614,1614,1614,201804110ORL,23.1,4.7,4th quarter,5:50.0,Jamel Artis,ORL,False,2-pointer,1,84-81,'ORL',leads
