Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
434,434,434,200102080NJN,24.0,5.0,1st quarter,0:26.6,Jamie Feick,NJN,False,2-pointer,0,26-23,'SAS',leads
439,439,439,200102080NJN,24.0,5.0,2nd quarter,8:44.0,Jamie Feick,NJN,False,2-pointer,0,36-23,'SAS',leads
450,450,450,200102080NJN,24.0,5.0,2nd quarter,1:34.0,Jamie Feick,NJN,False,2-pointer,0,54-37,'SAS',leads
470,470,470,200102080NJN,7.8,5.4,3rd quarter,1:43.0,Jamie Feick,NJN,False,2-pointer,16,69-64,'SAS',leads
486,486,486,200102080NJN,24.0,5.0,4th quarter,3:08.0,Jamie Feick,NJN,True,2-pointer,0,92-86,'SAS',leads
1418,1418,1418,200102130NJN,24.0,5.0,2nd quarter,11:46.0,Jamie Feick,NJN,True,2-pointer,0,25-29,'LAL',trails
1419,1419,1419,200102130NJN,25.6,25.9,2nd quarter,10:10.0,Jamie Feick,NJN,False,2-pointer,21,27-31,'LAL',trails
1420,1420,1420,200102130NJN,6.4,5.4,2nd quarter,9:24.0,Jamie Feick,NJN,False,2-pointer,18,27-31,'LAL',trails
1424,1424,1424,200102130NJN,24.0,5.0,2nd quarter,8:07.0,Jamie Feick,NJN,True,2-pointer,0,29-31,'LAL',trails
1452,1452,1452,200102130NJN,24.0,5.0,3rd quarter,2:06.0,Jamie Feick,NJN,False,2-pointer,0,63-72,'LAL',trails
1471,1471,1471,200102130NJN,24.0,5.0,4th quarter,0:54.6,Jamie Feick,NJN,False,2-pointer,0,98-104,'LAL',trails
203,203,203,200102140DET,10.6,10.1,2nd quarter,5:30.0,Jamie Feick,NJN,True,2-pointer,14,29-45,'NJN',trails
207,207,207,200102140DET,8.5,14.1,2nd quarter,4:02.0,Jamie Feick,NJN,True,2-pointer,18,33-45,'NJN',trails
209,209,209,200102140DET,11.2,16.8,2nd quarter,2:20.0,Jamie Feick,NJN,False,2-pointer,17,36-49,'NJN',trails
229,229,229,200102140DET,24.0,5.0,3rd quarter,3:20.0,Jamie Feick,NJN,False,2-pointer,0,56-80,'NJN',trails
233,233,233,200102140DET,24.0,5.0,3rd quarter,1:58.0,Jamie Feick,NJN,False,2-pointer,0,58-80,'NJN',trails
238,238,238,200102140DET,24.0,5.0,4th quarter,11:31.0,Jamie Feick,NJN,True,2-pointer,0,66-84,'NJN',trails
240,240,240,200102140DET,5.5,8.0,4th quarter,10:29.0,Jamie Feick,NJN,True,2-pointer,19,70-86,'NJN',trails
501,501,501,200102160NYK,21.7,25.5,1st quarter,2:23.0,Jamie Feick,NJN,True,2-pointer,21,14-19,'NYK',trails
551,551,551,200102160NYK,24.0,5.0,4th quarter,7:40.0,Jamie Feick,NJN,False,2-pointer,0,83-91,'NYK',trails
768,768,768,200102180NJN,16.9,19.1,1st quarter,6:44.0,Jamie Feick,NJN,False,2-pointer,16,4-9,'NJN',trails
769,769,769,200102180NJN,39.3,13.7,1st quarter,6:10.0,Jamie Feick,NJN,False,2-pointer,18,5-11,'NJN',trails
752,752,752,200102210NJN,24.0,5.0,2nd quarter,9:52.0,Jamie Feick,NJN,False,2-pointer,0,30-28,'NJN',leads
