Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
60,60,60,201902060BRK,22.6,5.5,3rd quarter,5:34.0,Jarred Vanderbilt,DEN,False,2-pointer,3,79-91,'DEN',trails
72,72,72,201902060BRK,20.7,5.2,3rd quarter,1:07.0,Jarred Vanderbilt,DEN,False,2-pointer,4,87-104,'DEN',trails
74,74,74,201902060BRK,25.9,4.9,3rd quarter,0:30.0,Jarred Vanderbilt,DEN,False,2-pointer,3,87-106,'DEN',trails
532,532,532,201902110DEN,40.5,10.3,4th quarter,0:11.0,Jarred Vanderbilt,DEN,False,2-pointer,18,103-87,'MIA',leads
168,168,168,201902240DEN,24.4,3.4,4th quarter,2:17.0,Jarred Vanderbilt,DEN,True,2-pointer,0,120-93,'DEN',leads
508,508,508,201903120DEN,46.9,7.2,4th quarter,2:28.0,Jarred Vanderbilt,DEN,False,3-pointer,23,123-99,'DEN',leads
513,513,513,201903120DEN,23.9,4.3,4th quarter,0:21.0,Jarred Vanderbilt,DEN,True,2-pointer,1,133-107,'DEN',leads
427,427,427,201903240IND,24.0,2.7,4th quarter,5:46.0,Jarred Vanderbilt,DEN,True,2-pointer,1,76-106,'IND',trails
431,431,431,201903240IND,26.4,11.8,4th quarter,3:51.0,Jarred Vanderbilt,DEN,False,2-pointer,9,76-113,'IND',trails
434,434,434,201903240IND,24.0,2.7,4th quarter,2:44.0,Jarred Vanderbilt,DEN,True,2-pointer,1,78-115,'IND',trails
257,257,257,201903280HOU,23.2,10.1,4th quarter,4:21.0,Jarred Vanderbilt,DEN,False,2-pointer,7,78-102,'HOU',trails
260,260,260,201903280HOU,25.2,4.4,4th quarter,2:53.0,Jarred Vanderbilt,DEN,False,2-pointer,2,80-107,'HOU',trails
83,83,83,201904020GSW,22.6,5.5,4th quarter,6:17.0,Jarred Vanderbilt,DEN,True,2-pointer,3,79-105,'DEN',trails
85,85,85,201904020GSW,21.8,6.9,4th quarter,4:26.0,Jarred Vanderbilt,DEN,True,2-pointer,4,86-108,'DEN',trails
88,88,88,201904020GSW,24.7,4.6,4th quarter,2:33.0,Jarred Vanderbilt,DEN,True,2-pointer,1,94-110,'DEN',trails
90,90,90,201904020GSW,23.6,4.6,4th quarter,1:25.0,Jarred Vanderbilt,DEN,True,2-pointer,1,97-112,'DEN',trails
719,719,719,201904030DEN,23.8,3.2,4th quarter,4:06.0,Jarred Vanderbilt,DEN,False,2-pointer,0,104-79,'SAS',leads
1997,1997,1997,201904070POR,23.9,4.4,1st quarter,0:55.0,Jarred Vanderbilt,DEN,False,2-pointer,1,23-27,'POR',trails
1681,1681,1681,201904090UTA,23.3,4.9,4th quarter,0:59.0,Jarred Vanderbilt,DEN,True,2-pointer,2,102-116,'UTA',trails
275,275,275,201912310HOU,24.3,3.9,4th quarter,1:40.0,Jarred Vanderbilt,DEN,True,2-pointer,1,100-126,'HOU',trails
965,965,965,202001220HOU,24.8,3.8,4th quarter,1:18.0,Jarred Vanderbilt,DEN,True,2-pointer,1,103-119,'HOU',trails
1073,1073,1073,202001240NOP,22.2,3.2,2nd quarter,10:53.0,Jarred Vanderbilt,DEN,False,2-pointer,2,39-29,'NOP',leads
1074,1074,1074,202001240NOP,22.7,3.7,2nd quarter,10:50.0,Jarred Vanderbilt,DEN,False,2-pointer,1,39-29,'NOP',leads
23,23,23,202002020DET,24.0,2.7,1st quarter,0:23.0,Jarred Vanderbilt,DEN,True,2-pointer,1,42-27,'DET',leads
26,26,26,202002020DET,21.7,3.9,2nd quarter,11:20.0,Jarred Vanderbilt,DEN,True,2-pointer,2,46-33,'DET',leads
177,177,177,202002040DEN,24.4,4.2,4th quarter,2:10.0,Jarred Vanderbilt,DEN,True,2-pointer,1,123-94,'POR',leads
1252,1252,1252,202002120MIN,47.5,3.2,4th quarter,9:33.0,Jarred Vanderbilt,MIN,False,3-pointer,24,89-88,'CHO',leads
955,955,955,202012270LAL,26.2,3.9,4th quarter,4:47.0,Jarred Vanderbilt,MIN,False,2-pointer,2,75-115,'LAL',trails
956,956,956,202012270LAL,24.9,3.1,4th quarter,4:11.0,Jarred Vanderbilt,MIN,False,2-pointer,1,75-115,'LAL',trails
962,962,962,202012270LAL,24.7,7.0,4th quarter,1:32.0,Jarred Vanderbilt,MIN,False,2-pointer,4,83-124,'LAL',trails
557,557,557,202012290LAC,22.0,9.5,3rd quarter,7:05.0,Jarred Vanderbilt,MIN,False,2-pointer,7,61-82,'MIN',trails
561,561,561,202012290LAC,22.5,5.5,3rd quarter,4:53.0,Jarred Vanderbilt,MIN,True,2-pointer,3,66-94,'MIN',trails
579,579,579,202012290LAC,23.9,4.6,4th quarter,4:57.0,Jarred Vanderbilt,MIN,True,2-pointer,1,90-116,'MIN',trails
581,581,581,202012290LAC,24.0,3.3,4th quarter,4:26.0,Jarred Vanderbilt,MIN,True,2-pointer,0,92-118,'MIN',trails
583,583,583,202012290LAC,23.8,3.7,4th quarter,3:31.0,Jarred Vanderbilt,MIN,True,2-pointer,0,94-118,'MIN',trails
1336,1336,1336,202101010MIN,24.2,4.2,4th quarter,10:09.0,Jarred Vanderbilt,MIN,True,2-pointer,1,78-108,'MIN',trails
1338,1338,1338,202101010MIN,24.0,3.3,4th quarter,9:37.0,Jarred Vanderbilt,MIN,True,2-pointer,0,80-110,'MIN',trails
1347,1347,1347,202101010MIN,23.8,5.1,4th quarter,4:28.0,Jarred Vanderbilt,MIN,True,2-pointer,2,92-124,'MIN',trails
214,214,214,202101050DEN,23.3,4.1,2nd quarter,5:19.0,Jarred Vanderbilt,MIN,True,2-pointer,1,40-53,'DEN',trails
259,259,259,202101050DEN,21.7,5.2,4th quarter,6:06.0,Jarred Vanderbilt,MIN,True,2-pointer,3,102-108,'DEN',trails
261,261,261,202101050DEN,22.2,5.3,4th quarter,4:31.0,Jarred Vanderbilt,MIN,True,2-pointer,3,104-110,'DEN',trails
262,262,262,202101050DEN,24.3,4.7,4th quarter,4:16.0,Jarred Vanderbilt,MIN,True,2-pointer,1,106-111,'DEN',trails
266,266,266,202101050DEN,26.5,4.6,4th quarter,1:31.0,Jarred Vanderbilt,MIN,False,2-pointer,3,110-119,'DEN',trails
736,736,736,202101070POR,23.9,3.4,2nd quarter,9:13.0,Jarred Vanderbilt,MIN,True,2-pointer,0,34-37,'POR',trails
743,743,743,202101070POR,25.5,3.9,2nd quarter,6:15.0,Jarred Vanderbilt,MIN,False,2-pointer,2,36-49,'POR',trails
750,750,750,202101070POR,24.2,4.6,2nd quarter,3:04.0,Jarred Vanderbilt,MIN,True,2-pointer,1,47-63,'POR',trails
766,766,766,202101070POR,23.6,3.4,3rd quarter,2:58.0,Jarred Vanderbilt,MIN,True,2-pointer,0,71-101,'POR',trails
774,774,774,202101070POR,22.7,4.2,4th quarter,10:51.0,Jarred Vanderbilt,MIN,True,2-pointer,2,84-113,'POR',trails
777,777,777,202101070POR,24.0,3.3,4th quarter,9:02.0,Jarred Vanderbilt,MIN,False,2-pointer,0,88-115,'POR',trails
799,799,799,202101070POR,24.6,5.3,4th quarter,0:01.0,Jarred Vanderbilt,MIN,False,2-pointer,2,116-135,'POR',trails
818,818,818,202101090MIN,23.7,3.8,2nd quarter,7:36.0,Jarred Vanderbilt,MIN,True,2-pointer,1,42-41,'SAS',leads
997,997,997,202101100MIN,22.7,4.9,1st quarter,1:14.0,Jarred Vanderbilt,MIN,False,2-pointer,2,23-20,'SAS',leads
1002,1002,1002,202101100MIN,23.6,3.6,2nd quarter,10:22.0,Jarred Vanderbilt,MIN,True,2-pointer,1,27-22,'SAS',leads
1034,1034,1034,202101100MIN,23.2,4.4,3rd quarter,4:10.0,Jarred Vanderbilt,MIN,True,2-pointer,1,64-61,'SAS',leads
1038,1038,1038,202101100MIN,24.3,5.9,3rd quarter,2:05.0,Jarred Vanderbilt,MIN,False,2-pointer,3,64-65,'SAS',trails
661,661,661,202101130MIN,23.9,4.8,1st quarter,1:44.0,Jarred Vanderbilt,MIN,True,2-pointer,2,29-23,'MIN',leads
10,10,10,202101180ATL,23.6,3.8,1st quarter,7:27.0,Jarred Vanderbilt,MIN,True,2-pointer,1,11-6,'MIN',leads
12,12,12,202101180ATL,24.7,4.4,1st quarter,5:34.0,Jarred Vanderbilt,MIN,False,2-pointer,1,11-15,'MIN',trails
39,39,39,202101180ATL,23.8,3.2,2nd quarter,4:36.0,Jarred Vanderbilt,MIN,True,2-pointer,0,41-48,'MIN',trails
42,42,42,202101180ATL,23.3,4.7,2nd quarter,3:38.0,Jarred Vanderbilt,MIN,True,2-pointer,2,43-50,'MIN',trails
1230,1230,1230,202101200MIN,1.0,7.8,1st quarter,7:14.0,Jarred Vanderbilt,MIN,True,3-pointer,23,11-13,'ORL',trails
1264,1264,1264,202101200MIN,23.7,9.1,2nd quarter,2:23.0,Jarred Vanderbilt,MIN,False,2-pointer,6,47-31,'ORL',leads
1273,1273,1273,202101200MIN,9.6,8.8,3rd quarter,8:51.0,Jarred Vanderbilt,MIN,False,2-pointer,15,59-40,'ORL',leads
975,975,975,202101220MIN,23.7,5.3,1st quarter,8:28.0,Jarred Vanderbilt,MIN,False,2-pointer,2,5-6,'MIN',trails
976,976,976,202101220MIN,25.1,5.3,1st quarter,8:24.0,Jarred Vanderbilt,MIN,True,2-pointer,2,7-6,'MIN',leads
977,977,977,202101220MIN,23.5,8.2,1st quarter,7:50.0,Jarred Vanderbilt,MIN,False,2-pointer,5,7-8,'MIN',trails
980,980,980,202101220MIN,23.8,4.3,1st quarter,5:47.0,Jarred Vanderbilt,MIN,True,2-pointer,1,9-12,'MIN',trails
982,982,982,202101220MIN,24.4,4.3,1st quarter,4:43.0,Jarred Vanderbilt,MIN,True,2-pointer,1,13-14,'MIN',trails
1011,1011,1011,202101220MIN,24.2,7.3,2nd quarter,1:36.0,Jarred Vanderbilt,MIN,False,2-pointer,4,37-56,'MIN',trails
1012,1012,1012,202101220MIN,25.3,6.0,2nd quarter,0:59.0,Jarred Vanderbilt,MIN,False,2-pointer,3,37-56,'MIN',trails
1018,1018,1018,202101220MIN,23.1,8.8,3rd quarter,9:06.0,Jarred Vanderbilt,MIN,False,2-pointer,6,48-69,'MIN',trails
1025,1025,1025,202101220MIN,24.5,4.9,3rd quarter,6:36.0,Jarred Vanderbilt,MIN,True,2-pointer,2,59-73,'MIN',trails
1051,1051,1051,202101220MIN,23.7,5.4,4th quarter,5:41.0,Jarred Vanderbilt,MIN,True,2-pointer,2,80-102,'MIN',trails
759,759,759,202101230MIN,23.3,3.3,1st quarter,11:41.0,Jarred Vanderbilt,MIN,False,2-pointer,1,0-0,'NOP',tied
766,766,766,202101230MIN,24.0,3.3,1st quarter,9:57.0,Jarred Vanderbilt,MIN,True,2-pointer,0,6-4,'NOP',leads
767,767,767,202101230MIN,22.6,5.5,1st quarter,9:04.0,Jarred Vanderbilt,MIN,False,2-pointer,3,6-4,'NOP',leads
777,777,777,202101230MIN,23.6,3.4,1st quarter,4:26.0,Jarred Vanderbilt,MIN,True,2-pointer,0,14-20,'NOP',trails
800,800,800,202101230MIN,23.1,3.9,2nd quarter,2:54.0,Jarred Vanderbilt,MIN,True,2-pointer,1,50-49,'NOP',leads
802,802,802,202101230MIN,23.3,4.1,2nd quarter,1:29.0,Jarred Vanderbilt,MIN,False,2-pointer,1,54-56,'NOP',trails
803,803,803,202101230MIN,24.0,3.3,2nd quarter,1:25.0,Jarred Vanderbilt,MIN,True,2-pointer,0,56-56,'NOP',tied
804,804,804,202101230MIN,24.1,3.7,2nd quarter,0:59.0,Jarred Vanderbilt,MIN,True,2-pointer,0,58-59,'NOP',trails
809,809,809,202101230MIN,23.8,3.8,3rd quarter,10:15.0,Jarred Vanderbilt,MIN,True,2-pointer,1,69-66,'NOP',leads
810,810,810,202101230MIN,23.5,4.1,3rd quarter,8:26.0,Jarred Vanderbilt,MIN,True,2-pointer,1,73-69,'NOP',leads
813,813,813,202101230MIN,22.2,7.2,3rd quarter,7:10.0,Jarred Vanderbilt,MIN,False,2-pointer,4,77-69,'NOP',leads
815,815,815,202101230MIN,24.0,3.3,3rd quarter,6:12.0,Jarred Vanderbilt,MIN,True,2-pointer,0,79-69,'NOP',leads
818,818,818,202101230MIN,24.7,5.8,3rd quarter,4:55.0,Jarred Vanderbilt,MIN,False,2-pointer,3,79-69,'NOP',leads
