Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1721,1721,1721,200111230UTA,24.0,5.0,4th quarter,11:30.0,Jarron Collins,UTA,True,2-pointer,0,80-86,'UTA',trails
585,585,585,200111260UTA,24.0,5.0,2nd quarter,4:23.0,Jarron Collins,UTA,True,2-pointer,0,36-51,'UTA',trails
594,594,594,200111260UTA,26.6,7.1,2nd quarter,0:28.8,Jarron Collins,UTA,True,2-pointer,3,49-60,'UTA',trails
599,599,599,200111260UTA,26.0,8.8,3rd quarter,9:50.0,Jarron Collins,UTA,True,2-pointer,4,58-65,'UTA',trails
621,621,621,200111260UTA,8.3,6.1,4th quarter,7:33.0,Jarron Collins,UTA,False,2-pointer,16,87-87,'UTA',tied
640,640,640,200111260UTA,26.0,8.8,1st overtime,0:20.2,Jarron Collins,UTA,False,2-pointer,4,104-109,'UTA',trails
1198,1198,1198,200111280UTA,24.0,5.0,1st quarter,9:07.0,Jarron Collins,UTA,True,2-pointer,0,7-4,'SEA',leads
1233,1233,1233,200111280UTA,29.6,16.8,3rd quarter,11:19.0,Jarron Collins,UTA,False,2-pointer,13,63-46,'SEA',leads
1239,1239,1239,200111280UTA,24.0,5.0,3rd quarter,8:33.0,Jarron Collins,UTA,True,2-pointer,0,67-51,'SEA',leads
655,655,655,200111300PHO,23.2,14.7,1st quarter,9:57.0,Jarron Collins,UTA,True,2-pointer,10,4-4,'UTA',tied
659,659,659,200111300PHO,38.0,8.4,1st quarter,7:43.0,Jarron Collins,UTA,True,2-pointer,14,6-10,'UTA',trails
715,715,715,200111300PHO,8.3,15.1,4th quarter,8:30.0,Jarron Collins,UTA,False,2-pointer,19,63-85,'UTA',trails
1635,1635,1635,200112010UTA,23.0,15.4,2nd quarter,4:28.0,Jarron Collins,UTA,False,2-pointer,10,35-32,'IND',leads
1640,1640,1640,200112010UTA,35.9,5.4,2nd quarter,2:08.0,Jarron Collins,UTA,False,2-pointer,12,39-39,'IND',tied
1644,1644,1644,200112010UTA,27.5,11.1,3rd quarter,11:45.0,Jarron Collins,UTA,True,2-pointer,7,48-48,'IND',tied
1384,1384,1384,200112040UTA,24.0,5.0,1st quarter,8:27.0,Jarron Collins,UTA,False,2-pointer,0,11-6,'CHH',leads
1405,1405,1405,200112040UTA,37.2,5.0,2nd quarter,5:06.0,Jarron Collins,UTA,True,2-pointer,13,47-51,'CHH',trails
