Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
651,651,651,202112040MIL,26.3,30.3,2nd quarter,10:51.0,Javonte Smart,MIL,False,3-pointer,27,36-29,'MIA',leads
654,654,654,202112040MIL,41.3,22.7,2nd quarter,10:05.0,Javonte Smart,MIL,False,3-pointer,26,41-29,'MIA',leads
657,657,657,202112040MIL,24.3,5.3,2nd quarter,8:46.0,Javonte Smart,MIL,True,2-pointer,2,43-34,'MIA',leads
668,668,668,202112040MIL,27.8,4.2,2nd quarter,4:14.0,Javonte Smart,MIL,False,2-pointer,4,58-41,'MIA',leads
701,701,701,202112040MIL,21.2,29.2,3rd quarter,1:16.0,Javonte Smart,MIL,True,3-pointer,26,102-72,'MIA',leads
704,704,704,202112040MIL,22.3,15.8,4th quarter,11:21.0,Javonte Smart,MIL,False,2-pointer,13,105-76,'MIA',leads
710,710,710,202112040MIL,7.7,26.2,4th quarter,6:57.0,Javonte Smart,MIL,False,3-pointer,28,112-86,'MIA',leads
1162,1162,1162,202112060MIL,24.6,4.4,1st quarter,0:38.0,Javonte Smart,MIL,True,2-pointer,1,22-21,'MIL',leads
1170,1170,1170,202112060MIL,17.2,11.8,2nd quarter,9:23.0,Javonte Smart,MIL,True,2-pointer,11,34-29,'MIL',leads
1205,1205,1205,202112060MIL,24.0,3.3,3rd quarter,0:43.0,Javonte Smart,MIL,True,2-pointer,0,83-76,'MIL',leads
1340,1340,1340,202112080MIA,1.2,14.0,1st quarter,4:28.0,Javonte Smart,MIL,True,3-pointer,25,17-19,'MIA',trails
1345,1345,1345,202112080MIA,24.9,31.1,1st quarter,1:01.0,Javonte Smart,MIL,False,3-pointer,28,22-24,'MIA',trails
1346,1346,1346,202112080MIA,1.0,5.3,1st quarter,0:32.0,Javonte Smart,MIL,False,3-pointer,23,22-24,'MIA',trails
1348,1348,1348,202112080MIA,12.2,25.5,2nd quarter,11:29.0,Javonte Smart,MIL,False,3-pointer,25,26-26,'MIA',tied
1354,1354,1354,202112080MIA,26.9,12.9,2nd quarter,8:27.0,Javonte Smart,MIL,False,2-pointer,10,30-30,'MIA',tied
397,397,397,202112100HOU,15.5,28.8,2nd quarter,10:07.0,Javonte Smart,MIL,False,3-pointer,27,31-29,'HOU',leads
252,252,252,202112130BOS,47.1,5.5,4th quarter,9:30.0,Javonte Smart,MIL,True,3-pointer,23,81-90,'BOS',trails
255,255,255,202112130BOS,27.9,7.9,4th quarter,7:45.0,Javonte Smart,MIL,False,2-pointer,6,81-92,'BOS',trails
264,264,264,202112130BOS,33.3,21.3,4th quarter,2:02.0,Javonte Smart,MIL,False,2-pointer,20,96-114,'BOS',trails
268,268,268,202112130BOS,27.4,5.9,4th quarter,1:06.0,Javonte Smart,MIL,False,2-pointer,4,100-114,'BOS',trails
620,620,620,202112150MIL,25.1,4.6,2nd quarter,11:22.0,Javonte Smart,MIL,True,2-pointer,2,35-33,'IND',leads
624,624,624,202112150MIL,3.0,16.5,2nd quarter,9:35.0,Javonte Smart,MIL,True,3-pointer,25,40-37,'IND',leads
561,561,561,202112170NOP,47.0,7.5,2nd quarter,2:53.0,Javonte Smart,MIL,False,3-pointer,23,43-43,'NOP',tied
592,592,592,202112170NOP,22.0,3.7,3rd quarter,0:02.0,Javonte Smart,MIL,False,2-pointer,2,77-77,'NOP',tied
642,642,642,202112180MIL,25.7,6.2,1st quarter,11:02.0,Javonte Smart,MIL,False,2-pointer,3,2-3,'MIL',trails
648,648,648,202112180MIL,22.3,4.1,1st quarter,8:10.0,Javonte Smart,MIL,True,2-pointer,2,12-9,'MIL',leads
660,660,660,202112180MIL,23.2,22.8,1st quarter,2:50.0,Javonte Smart,MIL,False,2-pointer,20,18-27,'MIL',trails
661,661,661,202112180MIL,25.4,18.2,1st quarter,2:15.0,Javonte Smart,MIL,False,2-pointer,15,18-27,'MIL',trails
665,665,665,202112180MIL,33.8,29.8,1st quarter,1:00.0,Javonte Smart,MIL,False,3-pointer,28,20-31,'MIL',trails
670,670,670,202112180MIL,42.3,5.5,2nd quarter,8:59.0,Javonte Smart,MIL,True,2-pointer,18,22-39,'MIL',trails
681,681,681,202112180MIL,16.7,17.8,2nd quarter,2:40.0,Javonte Smart,MIL,False,2-pointer,16,41-53,'MIL',trails
685,685,685,202112180MIL,25.7,29.8,2nd quarter,0:35.0,Javonte Smart,MIL,False,3-pointer,27,45-60,'MIL',trails
696,696,696,202112180MIL,17.4,17.0,3rd quarter,5:52.0,Javonte Smart,MIL,False,2-pointer,15,59-75,'MIL',trails
698,698,698,202112180MIL,28.6,16.2,3rd quarter,4:24.0,Javonte Smart,MIL,False,2-pointer,14,61-83,'MIL',trails
700,700,700,202112180MIL,34.6,27.3,3rd quarter,3:11.0,Javonte Smart,MIL,False,3-pointer,26,61-86,'MIL',trails
716,716,716,202112180MIL,31.7,29.3,4th quarter,5:59.0,Javonte Smart,MIL,False,3-pointer,27,82-102,'MIL',trails
720,720,720,202112180MIL,23.9,4.7,4th quarter,4:24.0,Javonte Smart,MIL,False,2-pointer,1,84-107,'MIL',trails
728,728,728,202112180MIL,33.5,27.8,4th quarter,0:28.0,Javonte Smart,MIL,False,3-pointer,26,90-119,'MIL',trails
531,531,531,202112220MIL,21.9,6.8,4th quarter,3:04.0,Javonte Smart,MIL,False,2-pointer,4,119-100,'HOU',leads
738,738,738,202201010MIL,25.7,4.2,4th quarter,1:41.0,Javonte Smart,MIL,False,2-pointer,2,128-107,'NOP',leads
980,980,980,202201050MIL,23.3,5.4,2nd quarter,11:36.0,Javonte Smart,MIL,False,2-pointer,2,42-35,'TOR',leads
1020,1020,1020,202201050MIL,6.7,26.8,3rd quarter,0:03.0,Javonte Smart,MIL,False,3-pointer,29,88-92,'TOR',trails
89,89,89,202201070BRK,21.9,5.7,4th quarter,2:37.0,Javonte Smart,MIL,False,2-pointer,3,119-103,'MIL',leads
891,891,891,202203180MIA,22.7,13.3,4th quarter,2:34.0,Javonte Smart,MIA,False,2-pointer,10,118-101,'MIA',leads
893,893,893,202203180MIA,20.5,8.0,4th quarter,1:41.0,Javonte Smart,MIA,False,2-pointer,6,118-103,'MIA',leads
895,895,895,202203180MIA,1.7,16.1,4th quarter,1:13.0,Javonte Smart,MIA,False,3-pointer,26,118-103,'MIA',leads
