Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
549,549,549,200112220DAL,24.0,5.0,4th quarter,8:07.0,Jeryl Sasser,ORL,True,2-pointer,0,69-82,'DAL',trails
550,550,550,200112220DAL,15.4,8.4,4th quarter,7:29.0,Jeryl Sasser,ORL,False,2-pointer,9,69-85,'DAL',trails
552,552,552,200112220DAL,15.4,17.7,4th quarter,6:23.0,Jeryl Sasser,ORL,False,2-pointer,15,71-88,'DAL',trails
562,562,562,200112220DAL,24.0,5.0,4th quarter,1:02.0,Jeryl Sasser,ORL,False,2-pointer,0,80-100,'DAL',trails
69,69,69,200201020BOS,25.6,6.3,4th quarter,6:38.0,Jeryl Sasser,ORL,True,2-pointer,2,78-99,'ORL',trails
70,70,70,200201020BOS,21.5,6.7,4th quarter,6:15.0,Jeryl Sasser,ORL,False,2-pointer,3,79-99,'ORL',trails
73,73,73,200201020BOS,35.9,18.3,4th quarter,4:05.0,Jeryl Sasser,ORL,False,2-pointer,18,82-103,'ORL',trails
76,76,76,200201020BOS,6.2,7.3,4th quarter,3:20.0,Jeryl Sasser,ORL,False,2-pointer,18,82-105,'ORL',trails
82,82,82,200201020BOS,23.6,5.2,4th quarter,0:29.9,Jeryl Sasser,ORL,True,2-pointer,0,94-107,'ORL',trails
780,780,780,200201220ORL,40.1,11.6,4th quarter,2:54.0,Jeryl Sasser,ORL,False,2-pointer,17,96-78,'ORL',leads
1463,1463,1463,200202050ORL,8.9,7.3,4th quarter,1:33.0,Jeryl Sasser,ORL,False,2-pointer,15,104-88,'ORL',leads
1465,1465,1465,200202050ORL,24.0,5.0,4th quarter,0:25.9,Jeryl Sasser,ORL,False,2-pointer,0,106-94,'ORL',leads
1466,1466,1466,200202050ORL,24.0,5.0,4th quarter,0:23.7,Jeryl Sasser,ORL,False,2-pointer,0,106-94,'ORL',leads
1481,1481,1481,200204170ORL,20.3,13.9,4th quarter,1:01.0,Jeryl Sasser,ORL,False,2-pointer,10,89-101,'MIA',trails
291,291,291,200210290ORL,24.0,5.0,3rd quarter,1:48.0,Jeryl Sasser,ORL,False,2-pointer,0,71-73,'ORL',trails
293,293,293,200210290ORL,7.7,3.1,3rd quarter,0:25.3,Jeryl Sasser,ORL,False,2-pointer,16,73-73,'ORL',tied
1030,1030,1030,200210300MIA,24.0,5.0,4th quarter,6:54.0,Jeryl Sasser,ORL,False,2-pointer,0,90-71,'MIA',leads
1040,1040,1040,200210300MIA,15.1,7.0,4th quarter,0:08.9,Jeryl Sasser,ORL,False,2-pointer,9,100-86,'MIA',leads
1041,1041,1041,200210300MIA,11.1,0.7,4th quarter,0:07.0,Jeryl Sasser,ORL,False,2-pointer,14,100-86,'MIA',leads
904,904,904,200211020MIL,24.0,5.0,4th quarter,0:47.2,Jeryl Sasser,ORL,False,2-pointer,0,100-87,'ORL',leads
1065,1065,1065,200211120ORL,24.0,5.0,4th quarter,11:04.0,Jeryl Sasser,ORL,True,2-pointer,0,93-83,'TOR',leads
1068,1068,1068,200211120ORL,24.0,5.0,4th quarter,9:11.0,Jeryl Sasser,ORL,False,2-pointer,0,97-85,'TOR',leads
33,33,33,200211140LAC,24.0,5.0,2nd quarter,7:42.0,Jeryl Sasser,ORL,False,2-pointer,0,27-29,'ORL',trails
37,37,37,200211140LAC,43.9,5.0,2nd quarter,5:32.0,Jeryl Sasser,ORL,True,2-pointer,20,35-31,'ORL',leads
39,39,39,200211140LAC,24.0,5.0,2nd quarter,4:50.0,Jeryl Sasser,ORL,False,2-pointer,0,35-33,'ORL',leads
65,65,65,200211140LAC,16.8,13.4,3rd quarter,3:19.0,Jeryl Sasser,ORL,False,2-pointer,11,69-53,'ORL',leads
679,679,679,200211160GSW,41.2,5.0,4th quarter,9:55.0,Jeryl Sasser,ORL,False,2-pointer,17,72-104,'ORL',trails
690,690,690,200211160GSW,30.4,13.9,4th quarter,0:16.1,Jeryl Sasser,ORL,True,2-pointer,11,92-135,'ORL',trails
539,539,539,200211170SAC,31.5,4.4,4th quarter,10:15.0,Jeryl Sasser,ORL,False,2-pointer,8,73-75,'SAC',trails
1097,1097,1097,200211190SEA,10.4,17.0,4th quarter,0:36.0,Jeryl Sasser,ORL,False,2-pointer,18,101-81,'SEA',leads
1191,1191,1191,200211200POR,38.4,20.8,4th quarter,1:21.0,Jeryl Sasser,ORL,False,2-pointer,21,80-96,'POR',trails
1193,1193,1193,200211200POR,24.0,5.0,4th quarter,0:46.4,Jeryl Sasser,ORL,True,2-pointer,0,82-98,'POR',trails
714,714,714,200211220IND,14.3,4.9,4th quarter,11:26.0,Jeryl Sasser,ORL,False,2-pointer,10,54-82,'IND',trails
723,723,723,200211220IND,34.7,16.0,4th quarter,6:13.0,Jeryl Sasser,ORL,True,2-pointer,15,62-97,'IND',trails
727,727,727,200211220IND,43.9,3.1,4th quarter,3:55.0,Jeryl Sasser,ORL,False,2-pointer,20,64-99,'IND',trails
736,736,736,200211220IND,42.1,23.1,4th quarter,0:01.9,Jeryl Sasser,ORL,False,3-pointer,26,70-106,'IND',trails
570,570,570,200211240ORL,7.6,15.0,1st quarter,2:32.0,Jeryl Sasser,ORL,False,2-pointer,19,14-16,MIA,trails
976,976,976,200211300ORL,40.3,24.9,4th quarter,11:21.0,Jeryl Sasser,ORL,True,3-pointer,26,104-66,'ORL',leads
984,984,984,200211300ORL,1.7,7.0,4th quarter,7:33.0,Jeryl Sasser,ORL,False,3-pointer,22,108-74,'ORL',leads
988,988,988,200211300ORL,8.1,10.6,4th quarter,4:20.0,Jeryl Sasser,ORL,False,2-pointer,17,109-83,'ORL',leads
990,990,990,200211300ORL,24.0,5.0,4th quarter,3:39.0,Jeryl Sasser,ORL,True,2-pointer,0,111-83,'ORL',leads
997,997,997,200211300ORL,41.6,5.7,4th quarter,0:35.2,Jeryl Sasser,ORL,True,2-pointer,18,117-90,'ORL',leads
863,863,863,200212040NYK,44.4,3.9,4th quarter,9:34.0,Jeryl Sasser,ORL,False,2-pointer,20,74-75,'NYK',trails
1104,1104,1104,200212070NJN,24.0,5.0,2nd quarter,9:38.0,Jeryl Sasser,ORL,False,2-pointer,0,23-31,'NJN',trails
1136,1136,1136,200212070NJN,37.8,23.9,3rd quarter,0:20.5,Jeryl Sasser,ORL,False,2-pointer,23,63-90,'NJN',trails
1137,1137,1137,200212070NJN,40.6,35.3,3rd quarter,0:03.1,Jeryl Sasser,ORL,False,3-pointer,35,63-93,'NJN',trails
1149,1149,1149,200212070NJN,22.0,13.6,4th quarter,6:48.0,Jeryl Sasser,ORL,False,2-pointer,9,75-110,'NJN',trails
1156,1156,1156,200212070NJN,31.5,16.0,4th quarter,1:40.0,Jeryl Sasser,ORL,False,2-pointer,13,86-119,'NJN',trails
88,88,88,200212090BOS,41.1,23.1,1st overtime,0:00.0,Jeryl Sasser,ORL,True,3-pointer,25,109-114,'ORL',trails
84,84,84,200212100CHI,25.5,29.0,4th quarter,0:01.7,Jeryl Sasser,ORL,False,3-pointer,24,87-107,'ORL',trails
1237,1237,1237,200212130ORL,18.6,11.1,4th quarter,4:45.0,Jeryl Sasser,ORL,False,2-pointer,8,104-77,'ORL',leads
1239,1239,1239,200212130ORL,8.7,4.5,4th quarter,3:42.0,Jeryl Sasser,ORL,False,2-pointer,15,104-79,'ORL',leads
1243,1243,1243,200212130ORL,24.0,5.0,4th quarter,1:07.0,Jeryl Sasser,ORL,False,2-pointer,0,109-84,'ORL',leads
374,374,374,200212150LAL,24.0,5.0,4th quarter,5:57.0,Jeryl Sasser,ORL,False,2-pointer,0,77-95,'LAL',trails
377,377,377,200212150LAL,47.6,10.1,4th quarter,4:53.0,Jeryl Sasser,ORL,True,3-pointer,24,80-100,'LAL',trails
378,378,378,200212150LAL,36.6,5.3,4th quarter,4:09.0,Jeryl Sasser,ORL,False,2-pointer,13,80-100,'LAL',trails
379,379,379,200212150LAL,0.0,14.9,4th quarter,3:46.0,Jeryl Sasser,ORL,False,3-pointer,26,80-102,'LAL',trails
380,380,380,200212150LAL,31.1,5.7,4th quarter,3:10.0,Jeryl Sasser,ORL,False,2-pointer,7,80-102,'LAL',trails
382,382,382,200212150LAL,28.6,5.5,4th quarter,2:21.0,Jeryl Sasser,ORL,True,2-pointer,5,82-102,'LAL',trails
383,383,383,200212150LAL,47.0,2.7,4th quarter,1:40.0,Jeryl Sasser,ORL,False,3-pointer,23,83-102,'LAL',trails
984,984,984,200212160PHO,39.8,8.5,1st quarter,9:15.0,Jeryl Sasser,ORL,True,2-pointer,16,9-7,'PHO',leads
990,990,990,200212160PHO,12.2,7.3,1st quarter,7:10.0,Jeryl Sasser,ORL,True,2-pointer,12,15-7,'PHO',leads
992,992,992,200212160PHO,16.3,4.4,1st quarter,5:48.0,Jeryl Sasser,ORL,False,2-pointer,8,16-11,'PHO',leads
995,995,995,200212160PHO,7.7,4.9,1st quarter,2:48.0,Jeryl Sasser,ORL,False,2-pointer,16,21-16,'PHO',leads
1025,1025,1025,200212160PHO,19.4,29.7,3rd quarter,8:17.0,Jeryl Sasser,ORL,False,3-pointer,25,53-52,'PHO',leads
1042,1042,1042,200212160PHO,41.6,9.0,4th quarter,9:41.0,Jeryl Sasser,ORL,True,2-pointer,18,72-75,'PHO',trails
1046,1046,1046,200212160PHO,24.0,5.0,4th quarter,8:06.0,Jeryl Sasser,ORL,False,2-pointer,0,74-75,'PHO',trails
1047,1047,1047,200212160PHO,24.0,5.0,4th quarter,7:43.0,Jeryl Sasser,ORL,True,2-pointer,0,76-75,'PHO',leads
1048,1048,1048,200212160PHO,10.2,2.7,4th quarter,7:17.0,Jeryl Sasser,ORL,False,2-pointer,14,76-75,'PHO',leads
1057,1057,1057,200212160PHO,24.0,5.0,4th quarter,2:24.0,Jeryl Sasser,ORL,False,2-pointer,0,82-82,'PHO',tied
1059,1059,1059,200212160PHO,47.3,3.2,4th quarter,1:03.0,Jeryl Sasser,ORL,False,3-pointer,23,84-87,'PHO',trails
1433,1433,1433,200212180UTA,23.0,9.8,1st quarter,1:15.0,Jeryl Sasser,ORL,True,2-pointer,5,23-22,'UTA',leads
1446,1446,1446,200212180UTA,34.8,4.7,2nd quarter,2:54.0,Jeryl Sasser,ORL,False,2-pointer,11,37-45,'UTA',trails
1460,1460,1460,200212180UTA,24.0,5.0,3rd quarter,5:50.0,Jeryl Sasser,ORL,True,2-pointer,0,64-62,'UTA',leads
1462,1462,1462,200212180UTA,8.2,21.1,3rd quarter,4:27.0,Jeryl Sasser,ORL,False,2-pointer,23,66-64,'UTA',leads
1469,1469,1469,200212180UTA,31.7,3.6,4th quarter,11:32.0,Jeryl Sasser,ORL,False,2-pointer,8,73-72,'UTA',leads
1480,1480,1480,200212180UTA,19.2,10.9,4th quarter,5:27.0,Jeryl Sasser,ORL,True,2-pointer,8,81-78,'UTA',leads
318,318,318,200212200DEN,24.0,5.0,1st quarter,2:38.0,Jeryl Sasser,ORL,False,2-pointer,0,15-18,'ORL',trails
330,330,330,200212200DEN,20.9,8.3,2nd quarter,7:12.0,Jeryl Sasser,ORL,False,2-pointer,5,27-30,'ORL',trails
363,363,363,200212200DEN,25.8,11.6,4th quarter,9:00.0,Jeryl Sasser,ORL,True,2-pointer,7,68-65,'ORL',leads
867,867,867,200212230ORL,30.7,8.3,2nd quarter,7:48.0,Jeryl Sasser,ORL,False,2-pointer,7,33-33,'ORL',tied
878,878,878,200212230ORL,30.9,29.3,2nd quarter,0:30.0,Jeryl Sasser,ORL,False,3-pointer,25,49-55,'ORL',trails
906,906,906,200212230ORL,24.0,5.0,4th quarter,9:04.0,Jeryl Sasser,ORL,False,2-pointer,0,81-78,'ORL',leads
472,472,472,200212250ORL,24.0,5.0,3rd quarter,0:20.1,Jeryl Sasser,ORL,True,2-pointer,0,81-71,'DET',leads
854,854,854,200212270MEM,4.8,21.4,2nd quarter,6:51.0,Jeryl Sasser,ORL,False,3-pointer,25,42-36,'ORL',leads
1254,1254,1254,200212280ORL,40.7,8.1,3rd quarter,0:54.5,Jeryl Sasser,ORL,False,2-pointer,17,81-68,'BOS',leads
1365,1365,1365,200212300ORL,24.0,5.0,2nd quarter,9:34.0,Jeryl Sasser,ORL,True,2-pointer,0,37-30,'ORL',leads
1374,1374,1374,200212300ORL,35.8,7.5,2nd quarter,3:14.0,Jeryl Sasser,ORL,True,2-pointer,12,55-43,'ORL',leads
1376,1376,1376,200212300ORL,24.0,5.0,2nd quarter,2:21.0,Jeryl Sasser,ORL,False,2-pointer,0,58-45,'ORL',leads
1379,1379,1379,200212300ORL,45.3,11.6,2nd quarter,0:17.1,Jeryl Sasser,ORL,False,2-pointer,22,58-49,'ORL',leads
1399,1399,1399,200212300ORL,6.3,3.6,4th quarter,9:54.0,Jeryl Sasser,ORL,False,2-pointer,18,88-76,'ORL',leads
1400,1400,1400,200212300ORL,22.7,11.3,4th quarter,8:31.0,Jeryl Sasser,ORL,True,2-pointer,6,91-81,'ORL',leads
639,639,639,200301030NOH,47.0,15.4,2nd quarter,8:21.0,Jeryl Sasser,ORL,False,3-pointer,25,29-23,'NOH',leads
641,641,641,200301030NOH,24.0,5.0,2nd quarter,7:10.0,Jeryl Sasser,ORL,False,2-pointer,0,29-27,'NOH',leads
642,642,642,200301030NOH,5.3,8.8,2nd quarter,7:04.0,Jeryl Sasser,ORL,False,2-pointer,19,29-27,'NOH',leads
1347,1347,1347,200301060ORL,24.0,5.0,2nd quarter,10:56.0,Jeryl Sasser,ORL,False,2-pointer,0,26-35,'NYK',trails
1348,1348,1348,200301060ORL,12.8,11.1,2nd quarter,9:25.0,Jeryl Sasser,ORL,False,2-pointer,13,26-37,'NYK',trails
1058,1058,1058,200301080ORL,24.0,5.0,2nd quarter,11:42.0,Jeryl Sasser,ORL,False,2-pointer,0,17-24,'HOU',trails
1067,1067,1067,200301080ORL,24.0,5.0,2nd quarter,7:13.0,Jeryl Sasser,ORL,False,2-pointer,0,26-30,'HOU',trails
1269,1269,1269,200301100ORL,4.6,3.1,1st quarter,0:03.3,Jeryl Sasser,ORL,False,2-pointer,19,29-22,'IND',leads
805,805,805,200301130ORL,26.9,32.8,4th quarter,1:21.0,Jeryl Sasser,ORL,False,3-pointer,28,84-99,'DET',trails
197,197,197,200301160WAS,4.6,3.1,4th quarter,11:17.0,Jeryl Sasser,ORL,False,2-pointer,19,71-76,'ORL',trails
210,210,210,200301160WAS,42.6,3.4,4th quarter,1:26.0,Jeryl Sasser,ORL,False,2-pointer,19,91-106,'ORL',trails
201,201,201,200301190TOR,6.1,5.7,2nd quarter,2:14.0,Jeryl Sasser,ORL,False,2-pointer,18,52-42,'TOR',leads
207,207,207,200301190TOR,24.0,5.0,3rd quarter,10:38.0,Jeryl Sasser,ORL,True,2-pointer,0,60-46,'TOR',leads
209,209,209,200301190TOR,24.0,5.0,3rd quarter,9:16.0,Jeryl Sasser,ORL,True,2-pointer,0,64-50,'TOR',leads
211,211,211,200301190TOR,38.4,6.7,3rd quarter,8:18.0,Jeryl Sasser,ORL,False,2-pointer,15,64-52,'TOR',leads
6,6,6,200301210CLE,24.8,6.0,1st quarter,7:43.0,Jeryl Sasser,ORL,True,2-pointer,1,16-8,'ORL',leads
11,11,11,200301210CLE,24.0,4.9,1st quarter,5:24.0,Jeryl Sasser,ORL,True,2-pointer,0,24-14,'ORL',leads
19,19,19,200301210CLE,34.0,23.4,1st quarter,1:32.0,Jeryl Sasser,ORL,False,2-pointer,21,29-19,'ORL',leads
22,22,22,200301210CLE,43.2,2.4,1st quarter,0:00.0,Jeryl Sasser,ORL,False,2-pointer,19,34-19,'ORL',leads
31,31,31,200301210CLE,23.8,5.3,2nd quarter,6:36.0,Jeryl Sasser,ORL,True,2-pointer,0,41-31,'ORL',leads
48,48,48,200301210CLE,23.2,12.7,3rd quarter,8:25.0,Jeryl Sasser,ORL,False,2-pointer,8,70-52,'ORL',leads
58,58,58,200301210CLE,24.1,6.0,3rd quarter,2:32.0,Jeryl Sasser,ORL,False,2-pointer,1,81-60,'ORL',leads
61,61,61,200301210CLE,23.4,5.0,3rd quarter,1:45.0,Jeryl Sasser,ORL,False,2-pointer,1,83-60,'ORL',leads
67,67,67,200301210CLE,37.8,16.7,4th quarter,9:41.0,Jeryl Sasser,ORL,True,2-pointer,18,91-73,'ORL',leads
79,79,79,200301210CLE,43.4,2.2,4th quarter,2:14.0,Jeryl Sasser,ORL,False,2-pointer,20,101-90,'ORL',leads
82,82,82,200301210CLE,23.7,5.0,4th quarter,0:30.6,Jeryl Sasser,ORL,True,2-pointer,0,103-94,'ORL',leads
1536,1536,1536,200301220ORL,41.4,3.1,2nd quarter,6:47.0,Jeryl Sasser,ORL,False,2-pointer,18,36-31,'ORL',leads
1553,1553,1553,200301240ORL,26.3,8.0,2nd quarter,10:51.0,Jeryl Sasser,ORL,False,2-pointer,4,25-33,'PHO',trails
1591,1591,1591,200301240ORL,30.6,23.7,3rd quarter,1:06.0,Jeryl Sasser,ORL,False,2-pointer,20,86-86,'PHO',tied
3,3,3,200301260BOS,14.6,19.6,1st quarter,9:31.0,Jeryl Sasser,ORL,False,2-pointer,17,5-5,'ORL',tied
7,7,7,200301260BOS,29.4,7.0,1st quarter,7:05.0,Jeryl Sasser,ORL,False,2-pointer,6,7-9,'ORL',trails
22,22,22,200301260BOS,24.3,11.8,2nd quarter,10:39.0,Jeryl Sasser,ORL,True,2-pointer,7,17-23,'ORL',trails
24,24,24,200301260BOS,25.6,5.0,2nd quarter,9:58.0,Jeryl Sasser,ORL,True,2-pointer,2,19-23,'ORL',trails
30,30,30,200301260BOS,6.6,6.2,2nd quarter,6:51.0,Jeryl Sasser,ORL,True,2-pointer,17,25-29,'ORL',trails
31,31,31,200301260BOS,26.3,4.9,2nd quarter,6:27.0,Jeryl Sasser,ORL,False,2-pointer,2,25-29,'ORL',trails
