Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
887,887,887,200010310NJN,24.7,12.0,2nd quarter,7:24.0,Jim McIlvaine,NJN,True,2-pointer,7,35-27,'NJN',leads
928,928,928,200010310NJN,13.5,17.9,4th quarter,9:40.0,Jim McIlvaine,NJN,False,2-pointer,17,62-66,'NJN',trails
342,342,342,200011030CHI,31.7,8.0,2nd quarter,1:04.0,Jim McIlvaine,NJN,False,2-pointer,8,47-31,'NJN',leads
1663,1663,1663,200011040NJN,31.3,8.4,2nd quarter,8:59.0,Jim McIlvaine,NJN,False,2-pointer,8,37-30,'CHH',leads
690,690,690,200011110NJN,24.0,5.0,1st quarter,3:06.0,Jim McIlvaine,NJN,True,2-pointer,0,28-24,'NJN',leads
697,697,697,200011110NJN,24.0,5.0,1st quarter,0:22.4,Jim McIlvaine,NJN,True,2-pointer,0,32-33,'NJN',trails
707,707,707,200011110NJN,34.8,7.1,2nd quarter,7:04.0,Jim McIlvaine,NJN,True,2-pointer,11,49-43,'NJN',leads
747,747,747,200011110NJN,37.8,7.1,4th quarter,10:13.0,Jim McIlvaine,NJN,False,2-pointer,14,107-76,'NJN',leads
292,292,292,200011130NJN,7.0,5.4,4th quarter,7:24.0,Jim McIlvaine,NJN,False,2-pointer,17,73-80,'POR',trails
1143,1143,1143,200011220PHO,24.1,11.6,3rd quarter,2:55.0,Jim McIlvaine,NJN,False,2-pointer,7,55-73,'NJN',trails
1144,1144,1144,200011220PHO,8.5,8.0,3rd quarter,1:38.0,Jim McIlvaine,NJN,False,2-pointer,16,55-75,'NJN',trails
521,521,521,200012050IND,29.1,5.0,4th quarter,6:27.0,Jim McIlvaine,NJN,False,2-pointer,5,58-81,'IND',trails
881,881,881,200012060NJN,31.9,6.1,1st quarter,11:15.0,Jim McIlvaine,NJN,False,2-pointer,8,2-0,'NJN',leads
885,885,885,200012060NJN,36.9,5.0,1st quarter,8:06.0,Jim McIlvaine,NJN,False,2-pointer,13,6-8,'NJN',trails
888,888,888,200012060NJN,10.6,8.4,1st quarter,6:05.0,Jim McIlvaine,NJN,True,2-pointer,14,12-15,'NJN',trails
1029,1029,1029,200012080NJN,23.6,13.2,1st quarter,6:31.0,Jim McIlvaine,NJN,False,2-pointer,8,10-11,'NJN',trails
1057,1057,1057,200012080NJN,24.1,9.0,3rd quarter,10:57.0,Jim McIlvaine,NJN,True,2-pointer,4,45-40,'NJN',leads
1064,1064,1064,200012080NJN,24.0,5.0,3rd quarter,6:16.0,Jim McIlvaine,NJN,False,2-pointer,0,50-48,'NJN',leads
1070,1070,1070,200012080NJN,24.0,5.0,3rd quarter,2:04.0,Jim McIlvaine,NJN,False,2-pointer,0,60-55,'NJN',leads
1071,1071,1071,200012080NJN,24.0,5.0,3rd quarter,2:01.0,Jim McIlvaine,NJN,False,2-pointer,0,60-55,'NJN',leads
1072,1072,1072,200012080NJN,19.8,10.1,3rd quarter,1:34.0,Jim McIlvaine,NJN,True,2-pointer,7,62-57,'NJN',leads
1078,1078,1078,200012080NJN,30.4,19.8,4th quarter,10:37.0,Jim McIlvaine,NJN,False,2-pointer,16,70-63,'NJN',leads
426,426,426,200012100NJN,35.5,6.1,1st quarter,11:21.0,Jim McIlvaine,NJN,False,2-pointer,12,0-0,'DAL',tied
430,430,430,200012100NJN,38.4,6.5,1st quarter,8:05.0,Jim McIlvaine,NJN,True,2-pointer,14,8-7,'DAL',leads
483,483,483,200012100NJN,19.8,10.1,4th quarter,8:27.0,Jim McIlvaine,NJN,False,2-pointer,7,62-88,'DAL',trails
56,56,56,200012200BOS,30.2,6.1,4th quarter,10:42.0,Jim McIlvaine,NJN,True,2-pointer,6,66-79,'NJN',trails
59,59,59,200012200BOS,10.8,15.4,4th quarter,8:13.0,Jim McIlvaine,NJN,True,2-pointer,17,70-83,'NJN',trails
168,168,168,200012210MIL,33.8,3.7,2nd quarter,11:25.0,Jim McIlvaine,NJN,False,2-pointer,10,17-27,'NJN',trails
