Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1677,1677,1677,202110200SAS,25.7,3.9,4th quarter,0:53.0,Jock Landale,SAS,False,2-pointer,2,120-95,'SAS',leads
622,622,622,202111010IND,23.1,4.1,4th quarter,2:58.0,Jock Landale,SAS,True,2-pointer,1,105-126,'SAS',trails
625,625,625,202111010IND,24.3,29.7,4th quarter,1:26.0,Jock Landale,SAS,True,3-pointer,26,114-131,'SAS',trails
627,627,627,202111010IND,22.8,3.8,4th quarter,0:37.0,Jock Landale,SAS,True,2-pointer,1,116-131,'SAS',trails
628,628,628,202111010IND,24.4,4.4,4th quarter,0:18.0,Jock Landale,SAS,True,2-pointer,1,118-131,'SAS',trails
2305,2305,2305,202111240SAS,24.8,30.3,4th quarter,4:07.0,Jock Landale,SAS,False,3-pointer,27,98-119,'SAS',trails
2309,2309,2309,202111240SAS,24.1,5.0,4th quarter,1:48.0,Jock Landale,SAS,True,2-pointer,2,104-123,'SAS',trails
1399,1399,1399,202111290SAS,25.7,4.8,4th quarter,1:01.0,Jock Landale,SAS,True,2-pointer,2,114-96,'SAS',leads
527,527,527,202112070SAS,24.1,5.2,4th quarter,2:29.0,Jock Landale,SAS,True,2-pointer,2,104-116,'SAS',trails
528,528,528,202112070SAS,22.7,29.0,4th quarter,1:21.0,Jock Landale,SAS,True,3-pointer,26,109-119,'SAS',trails
1689,1689,1689,202112150SAS,38.3,25.2,4th quarter,4:34.0,Jock Landale,SAS,False,3-pointer,26,101-123,'SAS',trails
1693,1693,1693,202112150SAS,26.1,3.3,4th quarter,3:06.0,Jock Landale,SAS,True,2-pointer,2,107-123,'SAS',trails
1696,1696,1696,202112150SAS,23.8,9.6,4th quarter,0:55.0,Jock Landale,SAS,False,2-pointer,6,113-131,'SAS',trails
1697,1697,1697,202112150SAS,24.0,3.3,4th quarter,0:53.0,Jock Landale,SAS,True,2-pointer,0,115-131,'SAS',trails
1698,1698,1698,202112150SAS,25.8,28.9,4th quarter,0:27.0,Jock Landale,SAS,False,3-pointer,26,115-131,'SAS',trails
1315,1315,1315,202112170UTA,21.7,3.8,3rd quarter,3:46.0,Jock Landale,SAS,True,2-pointer,2,90-91,'SAS',trails
1316,1316,1316,202112170UTA,43.5,17.9,3rd quarter,3:19.0,Jock Landale,SAS,False,3-pointer,24,90-93,'SAS',trails
858,858,858,202112190SAC,14.6,26.4,1st quarter,3:27.0,Jock Landale,SAS,True,3-pointer,25,23-25,'SAS',trails
861,861,861,202112190SAC,22.7,7.9,1st quarter,1:49.0,Jock Landale,SAS,False,2-pointer,5,25-31,'SAS',trails
508,508,508,202112200LAC,34.3,27.6,1st quarter,3:56.0,Jock Landale,SAS,True,3-pointer,26,24-19,'SAS',leads
514,514,514,202112200LAC,23.8,3.9,1st quarter,1:21.0,Jock Landale,SAS,True,2-pointer,1,30-25,'SAS',leads
517,517,517,202112200LAC,23.7,29.9,1st quarter,0:27.0,Jock Landale,SAS,True,3-pointer,27,35-27,'SAS',leads
521,521,521,202112200LAC,24.0,3.3,2nd quarter,10:36.0,Jock Landale,SAS,False,2-pointer,0,37-28,'SAS',leads
