Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
78,78,78,201901300BOS,27.3,4.7,4th quarter,6:16.0,Joe Chealey,CHO,False,2-pointer,4,80-113,'CHO',trails
80,80,80,201901300BOS,17.5,17.4,4th quarter,5:24.0,Joe Chealey,CHO,False,2-pointer,16,82-115,'CHO',trails
84,84,84,201901300BOS,17.7,7.2,4th quarter,3:56.0,Joe Chealey,CHO,True,2-pointer,7,87-118,'CHO',trails
525,525,525,202002220CHO,0.8,5.4,4th quarter,2:20.0,Joe Chealey,CHO,False,3-pointer,23,86-112,'CHO',trails
543,543,543,202002250IND,37.6,28.2,3rd quarter,6:54.0,Joe Chealey,CHO,False,3-pointer,28,48-81,'IND',trails
548,548,548,202002250IND,26.4,8.8,3rd quarter,2:50.0,Joe Chealey,CHO,False,2-pointer,6,51-87,'IND',trails
302,302,302,202003030CHO,46.8,7.9,1st quarter,2:20.0,Joe Chealey,CHO,False,3-pointer,23,29-19,'SAS',leads
310,310,310,202003030CHO,28.8,10.0,2nd quarter,7:45.0,Joe Chealey,CHO,False,2-pointer,8,44-30,'SAS',leads
311,311,311,202003030CHO,47.3,7.2,2nd quarter,7:29.0,Joe Chealey,CHO,False,3-pointer,24,44-30,'SAS',leads
348,348,348,202003030CHO,25.3,6.7,4th quarter,11:05.0,Joe Chealey,CHO,False,2-pointer,4,76-79,'SAS',trails
