Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
2318,2318,2318,202111100SAS,18.9,27.2,4th quarter,1:08.0,Joe Wieskamp,SAS,True,3-pointer,24,136-112,'SAS',leads
1249,1249,1249,202112260SAS,40.5,22.7,4th quarter,4:44.0,Joe Wieskamp,SAS,False,3-pointer,25,135-98,'SAS',leads
1252,1252,1252,202112260SAS,25.6,4.2,4th quarter,1:47.0,Joe Wieskamp,SAS,True,2-pointer,2,141-109,'SAS',leads
1245,1245,1245,202112270SAS,22.3,5.4,4th quarter,0:53.0,Joe Wieskamp,SAS,True,2-pointer,3,100-108,'SAS',trails
994,994,994,202112310MEM,14.5,26.9,4th quarter,1:21.0,Joe Wieskamp,SAS,False,3-pointer,26,102-116,'SAS',trails
211,211,211,202201010DET,46.8,11.4,2nd quarter,8:04.0,Joe Wieskamp,SAS,False,3-pointer,24,39-23,'SAS',leads
768,768,768,202201040TOR,42.1,20.5,4th quarter,9:17.0,Joe Wieskamp,SAS,True,3-pointer,25,84-102,'SAS',trails
776,776,776,202201040TOR,10.7,26.5,4th quarter,5:50.0,Joe Wieskamp,SAS,True,3-pointer,27,89-117,'SAS',trails
777,777,777,202201040TOR,10.1,28.0,4th quarter,5:17.0,Joe Wieskamp,SAS,True,3-pointer,28,92-117,'SAS',trails
778,778,778,202201040TOR,23.4,11.6,4th quarter,4:52.0,Joe Wieskamp,SAS,False,2-pointer,8,92-120,'SAS',trails
782,782,782,202201040TOR,32.5,12.3,4th quarter,3:28.0,Joe Wieskamp,SAS,True,2-pointer,12,96-125,'SAS',trails
783,783,783,202201040TOR,33.3,27.5,4th quarter,2:27.0,Joe Wieskamp,SAS,False,3-pointer,26,98-127,'SAS',trails
784,784,784,202201040TOR,28.3,4.8,4th quarter,2:13.0,Joe Wieskamp,SAS,True,2-pointer,5,100-127,'SAS',trails
786,786,786,202201040TOR,34.1,26.3,4th quarter,0:48.0,Joe Wieskamp,SAS,False,3-pointer,25,102-128,'SAS',trails
1107,1107,1107,202201070PHI,5.2,22.6,1st quarter,3:41.0,Joe Wieskamp,SAS,False,3-pointer,27,14-27,'SAS',trails
1109,1109,1109,202201070PHI,6.2,5.5,1st quarter,2:55.0,Joe Wieskamp,SAS,False,2-pointer,18,14-33,'SAS',trails
1156,1156,1156,202201070PHI,0.4,2.3,3rd quarter,2:56.0,Joe Wieskamp,SAS,False,3-pointer,24,74-90,'SAS',trails
35,35,35,202201090BRK,26.2,28.3,2nd quarter,8:40.0,Joe Wieskamp,SAS,True,3-pointer,25,41-34,'SAS',leads
39,39,39,202201090BRK,17.9,27.7,2nd quarter,7:10.0,Joe Wieskamp,SAS,False,3-pointer,25,45-41,'SAS',leads
798,798,798,202201100NYK,44.2,18.2,4th quarter,2:58.0,Joe Wieskamp,SAS,True,3-pointer,25,87-109,'SAS',trails
802,802,802,202201100NYK,12.5,26.3,4th quarter,0:56.0,Joe Wieskamp,SAS,True,3-pointer,26,94-109,'SAS',trails
1955,1955,1955,202201190SAS,8.7,22.9,4th quarter,6:28.0,Joe Wieskamp,SAS,False,3-pointer,25,113-81,'SAS',leads
1956,1956,1956,202201190SAS,36.8,25.3,4th quarter,4:53.0,Joe Wieskamp,SAS,False,3-pointer,26,114-85,'SAS',leads
841,841,841,202202030SAS,14.2,21.3,4th quarter,7:27.0,Joe Wieskamp,SAS,True,2-pointer,21,78-100,'SAS',trails
842,842,842,202202030SAS,34.0,21.1,4th quarter,6:41.0,Joe Wieskamp,SAS,False,2-pointer,20,78-104,'SAS',trails
844,844,844,202202030SAS,24.0,3.6,4th quarter,5:15.0,Joe Wieskamp,SAS,False,2-pointer,0,83-104,'SAS',trails
849,849,849,202202030SAS,40.8,22.4,4th quarter,1:45.0,Joe Wieskamp,SAS,True,3-pointer,26,93-109,'SAS',trails
85,85,85,202202110ATL,40.5,24.4,4th quarter,1:30.0,Joe Wieskamp,SAS,False,3-pointer,27,131-113,'SAS',leads
965,965,965,202202260MIA,0.2,5.3,4th quarter,0:21.0,Joe Wieskamp,SAS,False,3-pointer,24,124-131,'SAS',trails
1920,1920,1920,202203090SAS,36.7,6.8,4th quarter,0:14.0,Joe Wieskamp,SAS,False,2-pointer,13,104-119,'SAS',trails
1424,1424,1424,202203140SAS,4.0,19.1,4th quarter,1:51.0,Joe Wieskamp,SAS,False,3-pointer,26,134-143,'SAS',trails
1427,1427,1427,202203140SAS,16.2,27.3,4th quarter,0:43.0,Joe Wieskamp,SAS,False,3-pointer,25,134-146,'SAS',trails
1670,1670,1670,202203180SAS,43.4,20.1,2nd quarter,10:41.0,Joe Wieskamp,SAS,True,3-pointer,26,15-37,'NOP',trails
1674,1674,1674,202203180SAS,0.9,8.0,2nd quarter,7:51.0,Joe Wieskamp,SAS,False,3-pointer,24,17-44,'NOP',trails
1722,1722,1722,202203180SAS,40.5,22.1,4th quarter,6:14.0,Joe Wieskamp,SAS,False,3-pointer,25,71-106,'NOP',trails
1732,1732,1732,202203180SAS,23.8,4.6,4th quarter,0:54.0,Joe Wieskamp,SAS,True,2-pointer,1,85-120,'NOP',trails
1733,1733,1733,202203180SAS,46.8,10.3,4th quarter,0:38.0,Joe Wieskamp,SAS,True,3-pointer,24,88-122,'NOP',trails
1734,1734,1734,202203180SAS,40.8,21.3,4th quarter,0:11.0,Joe Wieskamp,SAS,True,3-pointer,25,91-124,'NOP',trails
387,387,387,202203200GSW,5.6,21.3,2nd quarter,5:03.0,Joe Wieskamp,SAS,False,3-pointer,26,47-42,'SAS',leads
