Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
476,476,476,200411100IND,24.0,8.8,4th quarter,5:05.0,John Edwards,IND,False,2-pointer,4,61-93,'IND',trails
478,478,478,200411100IND,24.1,6.5,4th quarter,3:06.0,John Edwards,IND,True,2-pointer,2,64-97,'IND',trails
481,481,481,200411100IND,24.5,6.5,4th quarter,1:52.0,John Edwards,IND,False,2-pointer,2,66-97,'IND',trails
561,561,561,200411200IND,19.7,5.3,1st quarter,2:06.0,John Edwards,IND,False,2-pointer,4,14-17,'IND',trails
562,562,562,200411200IND,23.2,6.0,1st quarter,2:04.0,John Edwards,IND,True,2-pointer,1,16-17,'IND',trails
567,567,567,200411200IND,36.1,5.0,2nd quarter,8:26.0,John Edwards,IND,False,2-pointer,12,26-26,'IND',tied
552,552,552,200412010LAC,31.1,11.6,4th quarter,8:46.0,John Edwards,IND,True,2-pointer,10,62-68,'IND',trails
1176,1176,1176,200412030SAC,30.2,7.5,1st quarter,11:33.0,John Edwards,IND,True,2-pointer,7,2-2,'IND',tied
1185,1185,1185,200412030SAC,24.0,5.0,1st quarter,6:48.0,John Edwards,IND,True,2-pointer,0,12-16,'IND',trails
1217,1217,1217,200412030SAC,24.0,5.0,3rd quarter,10:06.0,John Edwards,IND,False,2-pointer,0,51-60,'IND',trails
1220,1220,1220,200412030SAC,14.8,5.5,3rd quarter,7:52.0,John Edwards,IND,False,2-pointer,9,51-70,'IND',trails
1224,1224,1224,200412030SAC,18.6,12.1,3rd quarter,5:34.0,John Edwards,IND,True,2-pointer,9,56-75,'IND',trails
1230,1230,1230,200412030SAC,17.9,8.1,3rd quarter,2:28.0,John Edwards,IND,False,2-pointer,7,59-84,'IND',trails
1232,1232,1232,200412030SAC,24.0,5.0,3rd quarter,1:53.0,John Edwards,IND,True,2-pointer,0,61-84,'IND',trails
1233,1233,1233,200412030SAC,35.8,14.9,3rd quarter,1:18.0,John Edwards,IND,False,2-pointer,15,61-86,'IND',trails
657,657,657,200412040GSW,17.8,9.5,1st quarter,1:12.0,John Edwards,IND,False,2-pointer,8,24-21,'IND',leads
675,675,675,200412040GSW,24.0,5.0,2nd quarter,0:02.9,John Edwards,IND,False,2-pointer,0,47-56,'IND',trails
676,676,676,200412040GSW,27.3,7.2,2nd quarter,0:00.3,John Edwards,IND,False,2-pointer,4,47-56,'IND',trails
471,471,471,200412270IND,24.1,8.1,4th quarter,4:36.0,John Edwards,IND,True,2-pointer,3,98-68,'IND',leads
140,140,140,200501040IND,27.9,12.2,4th quarter,0:25.1,John Edwards,IND,True,2-pointer,8,116-97,'IND',leads
371,371,371,200501090PHO,10.9,10.6,4th quarter,4:23.0,John Edwards,IND,False,2-pointer,14,77-114,'IND',trails
373,373,373,200501090PHO,14.6,18.7,4th quarter,3:22.0,John Edwards,IND,True,2-pointer,17,81-119,'IND',trails
799,799,799,200501140IND,43.0,4.4,4th quarter,1:37.0,John Edwards,IND,False,2-pointer,19,97-79,'IND',leads
800,800,800,200501140IND,19.6,8.3,4th quarter,1:03.0,John Edwards,IND,True,2-pointer,6,99-81,'IND',leads
230,230,230,200503250DET,10.4,10.4,4th quarter,0:52.9,John Edwards,IND,False,2-pointer,15,94-79,'IND',leads
724,724,724,200503280MIL,33.0,4.9,4th quarter,1:32.0,John Edwards,IND,False,2-pointer,9,88-72,'IND',leads
727,727,727,200503280MIL,19.4,4.7,4th quarter,0:30.9,John Edwards,IND,False,2-pointer,5,90-74,'IND',leads
1174,1174,1174,200504050NYK,14.8,7.3,4th quarter,0:56.9,John Edwards,IND,False,2-pointer,9,94-77,'NYK',leads
469,469,469,200504060IND,25.0,9.3,4th quarter,1:27.0,John Edwards,IND,False,2-pointer,4,98-75,'IND',leads
470,470,470,200504060IND,30.2,9.1,4th quarter,0:27.8,John Edwards,IND,False,2-pointer,7,98-77,'IND',leads
501,501,501,200511040LAC,21.7,12.2,1st quarter,4:18.0,John Edwards,ATL,False,2-pointer,8,8-16,'ATL',trails
508,508,508,200511040LAC,34.7,19.1,2nd quarter,11:14.0,John Edwards,ATL,True,2-pointer,18,17-28,'ATL',trails
522,522,522,200511040LAC,15.8,12.7,2nd quarter,0:37.0,John Edwards,ATL,True,2-pointer,11,40-54,'ATL',trails
1449,1449,1449,200511050POR,24.0,5.0,1st quarter,4:02.0,John Edwards,ATL,False,2-pointer,0,13-15,'POR',trails
1455,1455,1455,200511050POR,25.5,10.6,1st quarter,0:58.9,John Edwards,ATL,False,2-pointer,6,19-23,'POR',trails
