Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
224,224,224,201211110LAC,18.8,26.9,4th quarter,3:30.0,John Jenkins,ATL,False,2-pointer,23,65-85,'ATL',trails
226,226,226,201211110LAC,8.5,18.2,4th quarter,2:51.0,John Jenkins,ATL,True,2-pointer,20,70-85,'ATL',trails
227,227,227,201211110LAC,4.4,13.5,4th quarter,2:10.0,John Jenkins,ATL,False,2-pointer,21,70-87,'ATL',trails
232,232,232,201211110LAC,38.0,6.4,4th quarter,0:08.3,John Jenkins,ATL,True,2-pointer,14,76-89,'ATL',trails
1392,1392,1392,201211160SAC,30.2,22.0,4th quarter,0:26.9,John Jenkins,ATL,False,2-pointer,18,112-96,'SAC',leads
160,160,160,201211190ATL,48.2,9.4,4th quarter,5:30.0,John Jenkins,ATL,False,3-pointer,25,78-60,'ORL',leads
162,162,162,201211190ATL,23.2,13.9,4th quarter,4:51.0,John Jenkins,ATL,False,2-pointer,9,78-60,'ORL',leads
596,596,596,201212100MIA,36.9,6.9,4th quarter,1:51.0,John Jenkins,ATL,True,2-pointer,13,88-100,'MIA',trails
597,597,597,201212100MIA,7.4,23.3,4th quarter,0:12.9,John Jenkins,ATL,False,3-pointer,25,90-101,'MIA',trails
147,147,147,201212130ATL,31.2,23.6,4th quarter,3:16.0,John Jenkins,ATL,True,2-pointer,20,108-84,'CHA',leads
148,148,148,201212130ATL,36.4,22.0,4th quarter,2:17.0,John Jenkins,ATL,False,2-pointer,21,108-86,'CHA',leads
151,151,151,201212130ATL,3.9,19.3,4th quarter,0:37.8,John Jenkins,ATL,True,3-pointer,25,111-88,'CHA',leads
162,162,162,201212150ATL,20.8,29.4,3rd quarter,2:10.0,John Jenkins,ATL,False,3-pointer,25,61-86,'GSW',trails
166,166,166,201212150ATL,0.6,8.4,4th quarter,10:52.0,John Jenkins,ATL,False,3-pointer,24,68-92,'GSW',trails
169,169,169,201212150ATL,34.3,21.8,4th quarter,8:07.0,John Jenkins,ATL,True,2-pointer,20,76-96,'GSW',trails
171,171,171,201212150ATL,23.5,30.8,4th quarter,6:28.0,John Jenkins,ATL,False,3-pointer,26,77-98,'GSW',trails
177,177,177,201212150ATL,42.9,16.6,4th quarter,3:16.0,John Jenkins,ATL,True,2-pointer,22,83-105,'GSW',trails
