Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
692,692,692,201810220LAL,37.6,9.0,3rd quarter,2:28.0,Johnathan Williams,LAL,False,2-pointer,15,89-92,'SAS',trails
695,695,695,201810220LAL,24.8,4.5,3rd quarter,1:43.0,Johnathan Williams,LAL,True,2-pointer,1,93-94,'SAS',trails
702,702,702,201810220LAL,23.9,4.9,4th quarter,10:38.0,Johnathan Williams,LAL,True,2-pointer,2,101-103,'SAS',trails
723,723,723,201810220LAL,23.2,5.2,1st overtime,3:43.0,Johnathan Williams,LAL,True,2-pointer,2,132-130,'SAS',leads
727,727,727,201810220LAL,23.7,5.9,1st overtime,2:17.0,Johnathan Williams,LAL,True,2-pointer,3,139-133,'SAS',leads
1294,1294,1294,201810240PHO,23.9,3.8,3rd quarter,7:18.0,Johnathan Williams,LAL,False,2-pointer,1,85-63,'LAL',leads
1297,1297,1297,201810240PHO,23.9,3.8,3rd quarter,6:04.0,Johnathan Williams,LAL,True,2-pointer,1,89-67,'LAL',leads
1312,1312,1312,201810240PHO,9.2,5.1,4th quarter,9:21.0,Johnathan Williams,LAL,True,2-pointer,15,115-91,'LAL',leads
1322,1322,1322,201810240PHO,24.3,22.6,4th quarter,4:11.0,Johnathan Williams,LAL,True,2-pointer,19,124-99,'LAL',leads
317,317,317,201810250LAL,23.4,3.9,3rd quarter,4:53.0,Johnathan Williams,LAL,True,2-pointer,1,77-73,'LAL',leads
320,320,320,201810250LAL,22.9,9.6,3rd quarter,2:58.0,Johnathan Williams,LAL,False,2-pointer,6,81-79,'LAL',leads
1409,1409,1409,201810270SAS,18.5,3.4,2nd quarter,11:10.0,Johnathan Williams,LAL,False,2-pointer,6,36-29,'SAS',leads
1411,1411,1411,201810270SAS,23.8,9.6,2nd quarter,10:12.0,Johnathan Williams,LAL,False,2-pointer,6,38-31,'SAS',leads
1412,1412,1412,201810270SAS,23.9,4.7,2nd quarter,9:52.0,Johnathan Williams,LAL,True,2-pointer,1,40-31,'SAS',leads
1450,1450,1450,201810270SAS,22.8,4.6,3rd quarter,2:32.0,Johnathan Williams,LAL,True,2-pointer,2,88-77,'SAS',leads
1452,1452,1452,201810270SAS,24.0,2.7,3rd quarter,1:32.0,Johnathan Williams,LAL,False,2-pointer,1,88-82,'SAS',leads
954,954,954,201810290MIN,26.4,6.7,2nd quarter,5:07.0,Johnathan Williams,LAL,False,2-pointer,4,51-54,'LAL',trails
983,983,983,201810290MIN,23.9,4.7,3rd quarter,4:14.0,Johnathan Williams,LAL,True,2-pointer,1,84-81,'LAL',leads
989,989,989,201810290MIN,24.0,2.7,3rd quarter,2:07.0,Johnathan Williams,LAL,False,2-pointer,1,90-87,'LAL',leads
303,303,303,201812300LAL,24.6,9.5,2nd quarter,7:55.0,Johnathan Williams,LAL,False,2-pointer,6,45-45,'LAL',tied
1046,1046,1046,201903060LAL,20.7,6.6,3rd quarter,2:35.0,Johnathan Williams,LAL,True,2-pointer,5,71-83,'LAL',trails
1052,1052,1052,201903060LAL,24.0,2.7,3rd quarter,0:01.0,Johnathan Williams,LAL,False,2-pointer,1,77-85,'LAL',trails
1053,1053,1053,201903060LAL,23.2,4.9,4th quarter,11:06.0,Johnathan Williams,LAL,True,2-pointer,2,81-87,'LAL',trails
1059,1059,1059,201903060LAL,22.2,5.6,4th quarter,6:27.0,Johnathan Williams,LAL,True,2-pointer,3,91-95,'LAL',trails
299,299,299,201903090LAL,24.0,2.7,1st quarter,2:51.0,Johnathan Williams,LAL,True,2-pointer,1,20-21,'LAL',trails
300,300,300,201903090LAL,23.4,5.4,1st quarter,1:53.0,Johnathan Williams,LAL,False,2-pointer,2,20-23,'LAL',trails
301,301,301,201903090LAL,24.0,4.0,1st quarter,1:40.0,Johnathan Williams,LAL,True,2-pointer,1,22-23,'LAL',trails
306,306,306,201903090LAL,26.1,19.3,2nd quarter,10:59.0,Johnathan Williams,LAL,False,2-pointer,16,24-27,'LAL',trails
