Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1220,1220,1220,201412170POR,20.5,5.8,4th quarter,1:05.0,Johnny O'Bryant,MIL,True,2-pointer,4,91-100,'POR',trails
508,508,508,201412180SAC,15.8,17.0,1st quarter,10:03.0,Johnny O'Bryant,MIL,False,2-pointer,16,4-4,'SAC',tied
543,543,543,201412180SAC,5.3,3.0,3rd quarter,9:40.0,Johnny O'Bryant,MIL,True,2-pointer,18,61-57,'SAC',leads
544,544,544,201412180SAC,39.2,5.5,3rd quarter,9:06.0,Johnny O'Bryant,MIL,False,2-pointer,15,61-59,'SAC',leads
566,566,566,201412180SAC,38.1,15.1,4th quarter,8:13.0,Johnny O'Bryant,MIL,True,2-pointer,18,94-86,'SAC',leads
667,667,667,201412200LAC,24.7,3.3,1st quarter,10:18.0,Johnny O'Bryant,MIL,True,2-pointer,0,4-2,'MIL',leads
669,669,669,201412200LAC,28.2,20.2,1st quarter,9:25.0,Johnny O'Bryant,MIL,False,2-pointer,17,4-7,'MIL',trails
713,713,713,201412200LAC,14.2,11.6,3rd quarter,9:19.0,Johnny O'Bryant,MIL,True,2-pointer,13,60-58,'MIL',leads
1084,1084,1084,201412230MIL,25.2,22.0,1st quarter,11:12.0,Johnny O'Bryant,MIL,False,2-pointer,19,0-0,'CHO',tied
1086,1086,1086,201412230MIL,21.4,20.3,1st quarter,10:06.0,Johnny O'Bryant,MIL,True,2-pointer,17,2-4,'CHO',trails
1094,1094,1094,201412230MIL,23.2,9.0,1st quarter,6:10.0,Johnny O'Bryant,MIL,True,2-pointer,6,17-14,'CHO',leads
0,0,0,201412260ATL,32.9,20.3,1st quarter,11:25.0,Johnny O'Bryant,MIL,True,2-pointer,19,2-2,'MIL',tied
3,3,3,201412260ATL,12.3,17.9,1st quarter,10:21.0,Johnny O'Bryant,MIL,True,2-pointer,18,6-6,'MIL',tied
6,6,6,201412260ATL,26.0,3.0,1st quarter,9:43.0,Johnny O'Bryant,MIL,True,2-pointer,2,8-8,'MIL',tied
7,7,7,201412260ATL,19.7,4.1,1st quarter,9:06.0,Johnny O'Bryant,MIL,False,2-pointer,4,8-10,'MIL',trails
10,10,10,201412260ATL,37.8,17.5,1st quarter,7:24.0,Johnny O'Bryant,MIL,True,2-pointer,20,12-15,'MIL',trails
73,73,73,201412260ATL,41.6,13.2,4th quarter,3:41.0,Johnny O'Bryant,MIL,False,2-pointer,20,98-68,'MIL',leads
75,75,75,201412260ATL,43.8,10.8,4th quarter,2:55.0,Johnny O'Bryant,MIL,False,2-pointer,21,100-70,'MIL',leads
76,76,76,201412260ATL,38.4,8.6,4th quarter,1:51.0,Johnny O'Bryant,MIL,False,2-pointer,15,102-70,'MIL',leads
78,78,78,201412260ATL,24.9,3.4,4th quarter,0:51.0,Johnny O'Bryant,MIL,True,2-pointer,0,106-74,'MIL',leads
1075,1075,1075,201412270MIL,27.4,5.6,1st quarter,10:22.0,Johnny O'Bryant,MIL,False,2-pointer,4,0-4,'MIL',trails
1076,1076,1076,201412270MIL,23.2,20.8,1st quarter,9:59.0,Johnny O'Bryant,MIL,False,2-pointer,17,0-4,'MIL',trails
1081,1081,1081,201412270MIL,23.4,3.1,1st quarter,8:34.0,Johnny O'Bryant,MIL,False,2-pointer,0,3-8,'MIL',trails
1117,1117,1117,201412270MIL,27.7,6.0,3rd quarter,10:15.0,Johnny O'Bryant,MIL,False,2-pointer,4,40-41,'MIL',trails
199,199,199,201412290CHO,23.0,9.4,3rd quarter,8:35.0,Johnny O'Bryant,MIL,True,2-pointer,6,55-41,'CHO',leads
187,187,187,201412310CLE,8.8,3.3,1st quarter,7:24.0,Johnny O'Bryant,MIL,False,2-pointer,15,8-9,'CLE',trails
227,227,227,201412310CLE,23.2,4.7,3rd quarter,9:21.0,Johnny O'Bryant,MIL,True,2-pointer,1,60-49,'CLE',leads
231,231,231,201412310CLE,29.1,7.7,3rd quarter,6:19.0,Johnny O'Bryant,MIL,False,2-pointer,6,65-51,'CLE',leads
232,232,232,201412310CLE,27.9,7.2,3rd quarter,5:58.0,Johnny O'Bryant,MIL,False,2-pointer,5,65-51,'CLE',leads
234,234,234,201412310CLE,7.4,10.5,3rd quarter,5:17.0,Johnny O'Bryant,MIL,False,2-pointer,18,65-51,'CLE',leads
783,783,783,201501020MIL,14.5,16.4,1st quarter,11:30.0,Johnny O'Bryant,MIL,False,2-pointer,16,0-0,'IND',tied
