Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
641,641,641,201112280GSW,42.5,24.0,1st quarter,4:02.0,Josh Harrellson,NYK,False,3-pointer,27,12-10,'NYK',leads
192,192,192,201112290LAL,0.6,4.4,1st quarter,3:03.0,Josh Harrellson,NYK,False,3-pointer,23,19-21,'NYK',trails
195,195,195,201112290LAL,38.7,16.3,1st quarter,0:02.0,Josh Harrellson,NYK,False,2-pointer,19,24-31,'NYK',trails
196,196,196,201112290LAL,41.6,8.0,2nd quarter,11:46.0,Josh Harrellson,NYK,False,2-pointer,18,24-31,'NYK',trails
197,197,197,201112290LAL,21.3,4.5,2nd quarter,11:14.0,Josh Harrellson,NYK,True,2-pointer,3,26-31,'NYK',trails
199,199,199,201112290LAL,26.1,5.0,2nd quarter,9:58.0,Josh Harrellson,NYK,False,2-pointer,2,27-34,'NYK',trails
243,243,243,201112290LAL,8.8,26.9,4th quarter,1:31.0,Josh Harrellson,NYK,False,3-pointer,27,80-99,'NYK',trails
820,820,820,201112310SAC,6.5,21.5,1st quarter,10:00.0,Josh Harrellson,NYK,True,3-pointer,24,5-3,'NYK',leads
821,821,821,201112310SAC,13.9,27.8,1st quarter,9:30.0,Josh Harrellson,NYK,False,3-pointer,25,5-5,'NYK',tied
824,824,824,201112310SAC,26.3,5.4,1st quarter,7:48.0,Josh Harrellson,NYK,True,2-pointer,2,10-10,'NYK',tied
838,838,838,201112310SAC,41.7,23.6,1st quarter,1:31.0,Josh Harrellson,NYK,True,3-pointer,26,34-17,'NYK',leads
842,842,842,201112310SAC,23.9,9.8,2nd quarter,11:45.0,Josh Harrellson,NYK,False,2-pointer,5,35-20,'NYK',leads
844,844,844,201112310SAC,2.7,16.2,2nd quarter,11:06.0,Josh Harrellson,NYK,True,3-pointer,24,41-20,'NYK',leads
845,845,845,201112310SAC,30.1,29.6,2nd quarter,10:28.0,Josh Harrellson,NYK,False,3-pointer,25,41-20,'NYK',leads
850,850,850,201112310SAC,8.0,22.9,2nd quarter,7:12.0,Josh Harrellson,NYK,False,3-pointer,24,44-27,'NYK',leads
854,854,854,201112310SAC,23.2,7.0,2nd quarter,5:24.0,Josh Harrellson,NYK,False,2-pointer,2,46-32,'NYK',leads
866,866,866,201112310SAC,14.5,28.9,3rd quarter,9:24.0,Josh Harrellson,NYK,True,3-pointer,26,64-46,'NYK',leads
890,890,890,201112310SAC,3.6,17.3,4th quarter,7:22.0,Josh Harrellson,NYK,False,3-pointer,24,93-73,'NYK',leads
1170,1170,1170,201201020NYK,38.7,26.6,1st quarter,4:28.0,Josh Harrellson,NYK,False,3-pointer,26,16-18,'NYK',trails
1174,1174,1174,201201020NYK,0.9,7.8,1st quarter,3:05.0,Josh Harrellson,NYK,False,3-pointer,23,16-18,'NYK',trails
1193,1193,1193,201201020NYK,0.8,4.2,2nd quarter,4:34.0,Josh Harrellson,NYK,False,3-pointer,23,28-39,'NYK',trails
1209,1209,1209,201201020NYK,0.6,5.3,3rd quarter,6:28.0,Josh Harrellson,NYK,False,3-pointer,23,45-57,'NYK',trails
1381,1381,1381,201201040NYK,23.3,5.1,1st quarter,1:43.0,Josh Harrellson,NYK,False,2-pointer,1,22-26,'NYK',trails
1764,1764,1764,201201060WAS,0.9,2.9,1st quarter,0:40.8,Josh Harrellson,NYK,False,3-pointer,23,18-30,'NYK',trails
1814,1814,1814,201201060WAS,22.2,6.5,4th quarter,9:10.0,Josh Harrellson,NYK,True,2-pointer,2,78-75,'NYK',leads
316,316,316,201201070DET,23.6,5.3,1st quarter,4:07.0,Josh Harrellson,NYK,True,2-pointer,1,23-15,'NYK',leads
317,317,317,201201070DET,3.0,21.2,1st quarter,3:29.0,Josh Harrellson,NYK,False,3-pointer,27,23-18,'NYK',leads
325,325,325,201201070DET,29.6,25.1,2nd quarter,11:17.0,Josh Harrellson,NYK,True,2-pointer,21,27-27,'NYK',tied
328,328,328,201201070DET,24.0,5.3,2nd quarter,10:03.0,Josh Harrellson,NYK,False,2-pointer,0,30-30,'NYK',tied
342,342,342,201201070DET,5.2,23.3,2nd quarter,2:47.0,Josh Harrellson,NYK,False,3-pointer,26,58-39,'NYK',leads
345,345,345,201201070DET,24.0,5.6,2nd quarter,1:41.0,Josh Harrellson,NYK,True,2-pointer,1,60-39,'NYK',leads
347,347,347,201201070DET,4.4,7.0,2nd quarter,0:02.4,Josh Harrellson,NYK,True,2-pointer,20,64-42,'NYK',leads
361,361,361,201201070DET,46.8,7.8,3rd quarter,2:45.0,Josh Harrellson,NYK,True,3-pointer,23,82-55,'NYK',leads
364,364,364,201201070DET,35.1,27.5,3rd quarter,1:09.0,Josh Harrellson,NYK,False,3-pointer,25,84-55,'NYK',leads
368,368,368,201201070DET,0.5,10.2,4th quarter,9:17.0,Josh Harrellson,NYK,False,3-pointer,24,87-62,'NYK',leads
370,370,370,201201070DET,40.3,11.6,4th quarter,7:49.0,Josh Harrellson,NYK,False,2-pointer,18,89-62,'NYK',leads
544,544,544,201201090NYK,23.8,6.7,2nd quarter,11:22.0,Josh Harrellson,NYK,False,2-pointer,2,24-21,'NYK',leads
1050,1050,1050,201201110NYK,44.6,5.1,1st quarter,4:34.0,Josh Harrellson,NYK,True,2-pointer,21,19-15,'NYK',leads
1051,1051,1051,201201110NYK,9.4,25.6,1st quarter,4:03.0,Josh Harrellson,NYK,True,3-pointer,25,22-15,'NYK',leads
1052,1052,1052,201201110NYK,12.0,27.2,1st quarter,3:35.0,Josh Harrellson,NYK,False,3-pointer,25,22-15,'NYK',leads
1055,1055,1055,201201110NYK,8.3,5.0,1st quarter,1:15.0,Josh Harrellson,NYK,True,2-pointer,16,26-15,'NYK',leads
1057,1057,1057,201201110NYK,3.9,5.0,1st quarter,0:03.9,Josh Harrellson,NYK,False,2-pointer,20,28-15,'NYK',leads
1062,1062,1062,201201110NYK,36.1,15.7,2nd quarter,8:12.0,Josh Harrellson,NYK,False,2-pointer,16,31-21,'NYK',leads
1063,1063,1063,201201110NYK,47.7,5.4,2nd quarter,7:37.0,Josh Harrellson,NYK,True,3-pointer,24,34-23,'NYK',leads
1067,1067,1067,201201110NYK,24.1,9.5,2nd quarter,5:27.0,Josh Harrellson,NYK,False,2-pointer,5,38-29,'NYK',leads
1098,1098,1098,201201110NYK,0.9,4.2,3rd quarter,0:02.3,Josh Harrellson,NYK,True,3-pointer,23,67-56,'NYK',leads
1099,1099,1099,201201110NYK,11.7,26.9,4th quarter,11:05.0,Josh Harrellson,NYK,False,3-pointer,25,67-58,'NYK',leads
328,328,328,201201120MEM,9.1,26.3,1st quarter,4:55.0,Josh Harrellson,NYK,True,3-pointer,26,10-10,'NYK',tied
330,330,330,201201120MEM,8.2,26.1,1st quarter,4:00.0,Josh Harrellson,NYK,False,3-pointer,26,10-14,'NYK',trails
357,357,357,201201120MEM,46.8,4.0,2nd quarter,2:01.0,Josh Harrellson,NYK,False,3-pointer,23,34-45,'NYK',trails
393,393,393,201201120MEM,23.5,5.7,4th quarter,2:05.0,Josh Harrellson,NYK,True,2-pointer,1,76-92,'NYK',trails
396,396,396,201201120MEM,11.5,26.1,4th quarter,1:21.0,Josh Harrellson,NYK,True,3-pointer,25,81-92,'NYK',trails
1344,1344,1344,201201140OKC,39.1,24.0,1st quarter,2:34.0,Josh Harrellson,NYK,True,3-pointer,24,18-22,'NYK',trails
1345,1345,1345,201201140OKC,26.1,5.3,1st quarter,2:07.0,Josh Harrellson,NYK,True,2-pointer,2,20-24,'NYK',trails
1346,1346,1346,201201140OKC,4.4,5.4,1st quarter,1:26.0,Josh Harrellson,NYK,False,2-pointer,20,20-27,'NYK',trails
1350,1350,1350,201201140OKC,46.6,5.9,1st quarter,0:02.8,Josh Harrellson,NYK,False,3-pointer,23,22-32,'NYK',trails
1351,1351,1351,201201140OKC,46.5,6.9,2nd quarter,11:23.0,Josh Harrellson,NYK,True,3-pointer,23,25-34,'NYK',trails
1355,1355,1355,201201140OKC,1.7,6.2,2nd quarter,9:11.0,Josh Harrellson,NYK,False,3-pointer,22,27-37,'NYK',trails
1358,1358,1358,201201140OKC,21.9,9.2,2nd quarter,7:20.0,Josh Harrellson,NYK,True,2-pointer,5,31-42,'NYK',trails
1397,1397,1397,201201140OKC,23.2,9.4,4th quarter,10:20.0,Josh Harrellson,NYK,False,2-pointer,4,67-94,'NYK',trails
1398,1398,1398,201201140OKC,24.0,8.3,4th quarter,10:16.0,Josh Harrellson,NYK,True,2-pointer,3,69-94,'NYK',trails
1400,1400,1400,201201140OKC,15.1,27.4,4th quarter,8:31.0,Josh Harrellson,NYK,False,3-pointer,24,72-96,'NYK',trails
1341,1341,1341,201201160NYK,47.0,5.4,1st quarter,2:40.0,Josh Harrellson,NYK,True,3-pointer,23,18-15,'NYK',leads
1346,1346,1346,201201160NYK,26.3,8.3,2nd quarter,11:07.0,Josh Harrellson,NYK,False,2-pointer,4,25-20,'NYK',leads
1351,1351,1351,201201160NYK,26.8,5.6,2nd quarter,8:05.0,Josh Harrellson,NYK,True,2-pointer,3,29-32,'NYK',trails
1377,1377,1377,201201160NYK,0.1,9.5,3rd quarter,2:29.0,Josh Harrellson,NYK,True,3-pointer,24,75-69,'NYK',leads
1379,1379,1379,201201160NYK,38.0,25.9,3rd quarter,1:18.0,Josh Harrellson,NYK,False,3-pointer,25,75-71,'NYK',leads
1002,1002,1002,201201180NYK,20.5,9.8,1st quarter,1:44.0,Josh Harrellson,NYK,True,2-pointer,6,17-16,'NYK',leads
