Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
873,873,873,201112280MEM,27.7,10.3,2nd quarter,10:34.0,Josh Selby,MEM,False,2-pointer,6,22-28,'OKC',trails
913,913,913,201112280MEM,23.3,7.2,3rd quarter,0:03.3,Josh Selby,MEM,True,2-pointer,2,69-72,'OKC',trails
1042,1042,1042,201112300MEM,21.6,7.5,1st quarter,3:54.0,Josh Selby,MEM,True,2-pointer,3,18-19,'HOU',trails
1044,1044,1044,201112300MEM,9.9,26.6,1st quarter,2:32.0,Josh Selby,MEM,False,3-pointer,26,20-19,'HOU',leads
1049,1049,1049,201112300MEM,26.3,6.4,1st quarter,0:01.7,Josh Selby,MEM,True,2-pointer,3,30-28,'HOU',leads
1050,1050,1050,201112300MEM,27.6,7.0,2nd quarter,11:11.0,Josh Selby,MEM,False,2-pointer,4,30-28,'HOU',leads
1058,1058,1058,201112300MEM,24.2,7.3,2nd quarter,7:16.0,Josh Selby,MEM,False,2-pointer,2,37-30,'HOU',leads
1065,1065,1065,201112300MEM,23.3,7.8,2nd quarter,1:40.0,Josh Selby,MEM,False,2-pointer,3,52-46,'HOU',leads
1087,1087,1087,201112300MEM,27.6,6.5,3rd quarter,0:23.9,Josh Selby,MEM,False,2-pointer,4,86-67,'HOU',leads
1091,1091,1091,201112300MEM,24.1,19.8,4th quarter,10:40.0,Josh Selby,MEM,True,2-pointer,15,92-67,'HOU',leads
1109,1109,1109,201112300MEM,25.7,7.8,4th quarter,0:29.6,Josh Selby,MEM,True,2-pointer,3,113-93,'HOU',leads
19,19,19,201201010CHI,23.0,8.0,1st quarter,1:56.0,Josh Selby,MEM,False,2-pointer,3,10-17,'CHI',trails
56,56,56,201201010CHI,24.2,8.3,3rd quarter,3:43.0,Josh Selby,MEM,True,2-pointer,3,34-76,'CHI',trails
57,57,57,201201010CHI,25.3,7.5,3rd quarter,2:54.0,Josh Selby,MEM,False,2-pointer,3,34-80,'CHI',trails
61,61,61,201201010CHI,28.2,7.0,3rd quarter,1:32.0,Josh Selby,MEM,True,2-pointer,5,40-82,'CHI',trails
67,67,67,201201010CHI,35.1,25.5,4th quarter,10:37.0,Josh Selby,MEM,True,2-pointer,23,46-86,'CHI',trails
69,69,69,201201010CHI,18.9,4.8,4th quarter,9:05.0,Josh Selby,MEM,False,2-pointer,5,48-86,'CHI',trails
73,73,73,201201010CHI,36.1,27.0,4th quarter,6:27.0,Josh Selby,MEM,False,3-pointer,25,54-93,'CHI',trails
78,78,78,201201010CHI,23.1,7.5,4th quarter,3:03.0,Josh Selby,MEM,False,2-pointer,3,58-102,'CHI',trails
682,682,682,201201030MEM,11.3,19.2,4th quarter,0:33.8,Josh Selby,MEM,False,2-pointer,19,113-94,'SAC',leads
427,427,427,201201120MEM,12.0,28.0,2nd quarter,8:09.0,Josh Selby,MEM,True,3-pointer,26,37-25,'NYK',leads
428,428,428,201201120MEM,25.3,5.3,2nd quarter,7:03.0,Josh Selby,MEM,False,2-pointer,1,37-27,'NYK',leads
431,431,431,201201120MEM,28.3,8.4,2nd quarter,6:06.0,Josh Selby,MEM,True,2-pointer,5,39-29,'NYK',leads
889,889,889,201201160MEM,12.3,27.5,2nd quarter,11:22.0,Josh Selby,MEM,True,3-pointer,25,31-23,'MEM',leads
893,893,893,201201160MEM,18.8,8.0,2nd quarter,9:29.0,Josh Selby,MEM,True,2-pointer,6,35-27,'MEM',leads
894,894,894,201201160MEM,38.4,17.3,2nd quarter,8:47.0,Josh Selby,MEM,False,2-pointer,19,35-27,'MEM',leads
953,953,953,201201160MEM,0.1,4.5,4th quarter,0:52.8,Josh Selby,MEM,False,3-pointer,24,100-82,'MEM',leads
786,786,786,201201180NOH,26.4,6.7,2nd quarter,10:16.0,Josh Selby,MEM,True,2-pointer,3,37-24,'NOH',leads
791,791,791,201201180NOH,43.0,21.4,2nd quarter,8:42.0,Josh Selby,MEM,False,3-pointer,25,39-28,'NOH',leads
793,793,793,201201180NOH,23.2,11.9,2nd quarter,7:36.0,Josh Selby,MEM,True,2-pointer,7,43-30,'NOH',leads
339,339,339,201201200DET,24.4,4.8,2nd quarter,7:24.0,Josh Selby,MEM,True,2-pointer,0,37-21,'DET',leads
382,382,382,201201200DET,40.8,11.7,4th quarter,0:15.8,Josh Selby,MEM,False,2-pointer,18,98-81,'DET',leads
743,743,743,201201210MEM,18.1,27.2,2nd quarter,9:06.0,Josh Selby,MEM,False,2-pointer,23,43-28,'SAC',leads
801,801,801,201201210MEM,2.7,14.3,4th quarter,3:29.0,Josh Selby,MEM,False,2-pointer,23,122-86,'SAC',leads
803,803,803,201201210MEM,25.5,6.9,4th quarter,2:48.0,Josh Selby,MEM,False,2-pointer,2,124-88,'SAC',leads
479,479,479,201201230GSW,22.2,7.0,2nd quarter,10:35.0,Josh Selby,MEM,False,2-pointer,3,13-23,'GSW',trails
650,650,650,201201240POR,4.1,20.3,2nd quarter,9:05.0,Josh Selby,MEM,False,3-pointer,25,27-27,'POR',tied
685,685,685,201201240POR,25.0,5.6,3rd quarter,2:47.0,Josh Selby,MEM,True,2-pointer,1,47-64,'POR',trails
687,687,687,201201240POR,19.4,19.3,3rd quarter,1:28.0,Josh Selby,MEM,True,2-pointer,15,51-68,'POR',trails
688,688,688,201201240POR,36.9,19.6,3rd quarter,0:58.9,Josh Selby,MEM,True,2-pointer,19,53-68,'POR',trails
705,705,705,201201240POR,25.0,4.8,4th quarter,3:07.0,Josh Selby,MEM,False,2-pointer,1,74-93,'POR',trails
706,706,706,201201240POR,18.1,29.1,4th quarter,2:44.0,Josh Selby,MEM,False,3-pointer,25,74-93,'POR',trails
709,709,709,201201240POR,30.9,6.9,4th quarter,1:27.0,Josh Selby,MEM,False,2-pointer,7,78-95,'POR',trails
711,711,711,201201240POR,24.0,5.9,4th quarter,0:38.8,Josh Selby,MEM,True,2-pointer,1,84-97,'POR',trails
23,23,23,201201260LAC,35.0,21.2,2nd quarter,9:48.0,Josh Selby,MEM,True,2-pointer,20,24-29,'MEM',trails
28,28,28,201201260LAC,26.0,5.6,2nd quarter,7:23.0,Josh Selby,MEM,False,2-pointer,2,30-31,'MEM',trails
61,61,61,201201260LAC,36.2,8.6,4th quarter,10:40.0,Josh Selby,MEM,True,2-pointer,13,74-77,'MEM',trails
666,666,666,201201280PHO,38.3,16.8,1st quarter,0:25.9,Josh Selby,MEM,False,2-pointer,19,16-24,'PHO',trails
448,448,448,201201300MEM,45.1,19.6,4th quarter,9:58.0,Josh Selby,MEM,False,3-pointer,26,54-70,'SAS',trails
82,82,82,201202020ATL,26.4,5.0,4th quarter,0:56.9,Josh Selby,MEM,False,2-pointer,2,96-77,'MEM',leads
72,72,72,201202050BOS,21.3,5.7,4th quarter,5:18.0,Josh Selby,MEM,False,2-pointer,3,70-88,'BOS',trails
74,74,74,201202050BOS,47.6,5.9,4th quarter,4:33.0,Josh Selby,MEM,False,3-pointer,24,70-90,'BOS',trails
970,970,970,201202290MEM,29.6,16.3,1st quarter,0:00.9,Josh Selby,MEM,False,2-pointer,13,25-17,'DAL',leads
975,975,975,201202290MEM,22.2,5.3,2nd quarter,8:36.0,Josh Selby,MEM,True,2-pointer,2,31-25,'DAL',leads
1552,1552,1552,201203020TOR,29.9,6.7,2nd quarter,10:56.0,Josh Selby,MEM,True,2-pointer,6,25-24,'TOR',leads
1555,1555,1555,201203020TOR,1.1,13.5,2nd quarter,8:54.0,Josh Selby,MEM,False,3-pointer,24,28-32,'TOR',trails
337,337,337,201203070GSW,12.1,16.5,2nd quarter,9:40.0,Josh Selby,MEM,False,2-pointer,17,35-30,'GSW',leads
396,396,396,201203070GSW,37.2,7.5,4th quarter,1:16.0,Josh Selby,MEM,False,2-pointer,13,108-89,'GSW',leads
1050,1050,1050,201204150NOH,44.1,7.0,4th quarter,0:47.9,Josh Selby,MEM,False,2-pointer,20,73-88,'NOH',trails
1051,1051,1051,201204150NOH,25.5,6.9,4th quarter,0:08.9,Josh Selby,MEM,False,2-pointer,2,73-88,'NOH',trails
1274,1274,1274,201204180MEM,24.4,6.2,4th quarter,0:43.9,Josh Selby,MEM,False,2-pointer,1,103-87,'NOH',leads
173,173,173,201204200CHA,23.5,5.9,2nd quarter,9:39.0,Josh Selby,MEM,False,2-pointer,1,19-23,'CHA',trails
175,175,175,201204200CHA,21.4,13.9,2nd quarter,8:14.0,Josh Selby,MEM,True,2-pointer,9,23-25,'CHA',trails
178,178,178,201204200CHA,24.7,6.5,2nd quarter,5:45.0,Josh Selby,MEM,False,2-pointer,2,27-29,'CHA',trails
187,187,187,201204200CHA,36.1,19.5,2nd quarter,3:26.0,Josh Selby,MEM,False,2-pointer,19,35-32,'CHA',leads
603,603,603,201204210MEM,10.1,19.3,1st quarter,1:07.0,Josh Selby,MEM,False,2-pointer,20,23-23,'POR',tied
611,611,611,201204210MEM,9.6,26.9,2nd quarter,8:20.0,Josh Selby,MEM,False,3-pointer,26,33-34,'POR',trails
275,275,275,201204230MEM,32.9,7.3,1st quarter,1:38.0,Josh Selby,MEM,True,2-pointer,9,24-28,'MEM',trails
322,322,322,201204230MEM,25.5,5.4,4th quarter,11:12.0,Josh Selby,MEM,False,2-pointer,2,79-78,'MEM',leads
1414,1414,1414,201211070MIL,24.9,4.5,4th quarter,0:46.9,Josh Selby,MEM,False,2-pointer,1,106-86,'MIL',leads
643,643,643,201211110MEM,34.6,21.4,4th quarter,3:00.0,Josh Selby,MEM,False,2-pointer,20,104-79,'MIA',leads
647,647,647,201211110MEM,0.5,11.0,4th quarter,0:55.9,Josh Selby,MEM,False,3-pointer,24,104-86,'MIA',leads
942,942,942,201211280MEM,28.2,22.9,4th quarter,1:03.0,Josh Selby,MEM,False,2-pointer,18,103-80,'TOR',leads
943,943,943,201211280MEM,18.3,8.4,4th quarter,0:57.9,Josh Selby,MEM,False,2-pointer,7,103-80,'TOR',leads
601,601,601,201212220HOU,47.7,12.1,3rd quarter,0:01.9,Josh Selby,MEM,False,3-pointer,25,76-94,'HOU',trails
603,603,603,201212220HOU,23.2,9.7,4th quarter,11:43.0,Josh Selby,MEM,False,2-pointer,5,78-94,'HOU',trails
613,613,613,201212220HOU,9.1,21.2,4th quarter,2:50.0,Josh Selby,MEM,True,2-pointer,22,94-115,'HOU',trails
615,615,615,201212220HOU,34.2,28.3,4th quarter,1:28.0,Josh Selby,MEM,False,3-pointer,25,94-117,'HOU',trails
222,222,222,201301120DAL,32.4,25.6,3rd quarter,1:10.0,Josh Selby,MEM,False,2-pointer,22,58-88,'DAL',trails
231,231,231,201301120DAL,17.5,11.9,4th quarter,7:25.0,Josh Selby,MEM,False,2-pointer,9,68-95,'DAL',trails
235,235,235,201301120DAL,31.7,26.1,4th quarter,6:17.0,Josh Selby,MEM,False,2-pointer,22,68-99,'DAL',trails
