Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1674,1674,1674,202110200SAS,41.1,23.9,4th quarter,2:12.0,Joshua Primo,SAS,True,3-pointer,27,118-95,'SAS',leads
1286,1286,1286,202110230SAS,24.0,3.3,4th quarter,0:05.0,Joshua Primo,SAS,True,2-pointer,0,111-121,'SAS',trails
1928,1928,1928,202111260SAS,44.4,20.8,2nd quarter,8:48.0,Joshua Primo,SAS,False,3-pointer,27,38-16,'SAS',leads
1339,1339,1339,202111290SAS,31.9,26.8,2nd quarter,7:15.0,Joshua Primo,SAS,True,3-pointer,25,28-27,'SAS',leads
1341,1341,1341,202111290SAS,44.3,18.5,2nd quarter,5:48.0,Joshua Primo,SAS,True,3-pointer,25,33-31,'SAS',leads
1442,1442,1442,202112060PHO,47.0,16.4,2nd quarter,9:22.0,Joshua Primo,SAS,False,3-pointer,27,35-34,'SAS',leads
1446,1446,1446,202112060PHO,14.2,27.2,2nd quarter,7:29.0,Joshua Primo,SAS,True,3-pointer,26,42-37,'SAS',leads
1448,1448,1448,202112060PHO,26.7,12.3,2nd quarter,6:26.0,Joshua Primo,SAS,False,2-pointer,9,42-37,'SAS',leads
1476,1476,1476,202112060PHO,7.3,22.1,3rd quarter,3:06.0,Joshua Primo,SAS,False,3-pointer,25,60-74,'SAS',trails
1487,1487,1487,202112060PHO,27.3,11.8,4th quarter,9:35.0,Joshua Primo,SAS,True,2-pointer,9,77-83,'SAS',trails
465,465,465,202112070SAS,47.2,14.7,2nd quarter,8:51.0,Joshua Primo,SAS,False,3-pointer,26,34-39,'SAS',trails
1228,1228,1228,202112260SAS,20.4,3.4,3rd quarter,1:59.0,Joshua Primo,SAS,False,2-pointer,4,107-78,'SAS',leads
1232,1232,1232,202112260SAS,0.6,3.1,3rd quarter,0:26.0,Joshua Primo,SAS,True,3-pointer,23,119-80,'SAS',leads
1234,1234,1234,202112260SAS,23.2,7.8,4th quarter,11:39.0,Joshua Primo,SAS,False,2-pointer,5,119-82,'SAS',leads
1237,1237,1237,202112260SAS,0.6,2.2,4th quarter,11:05.0,Joshua Primo,SAS,False,3-pointer,23,121-82,'SAS',leads
1245,1245,1245,202112260SAS,0.4,5.8,4th quarter,7:11.0,Joshua Primo,SAS,True,3-pointer,24,132-95,'SAS',leads
1251,1251,1251,202112260SAS,20.2,4.7,4th quarter,2:12.0,Joshua Primo,SAS,False,2-pointer,4,139-106,'SAS',leads
1253,1253,1253,202112260SAS,8.2,24.2,4th quarter,1:11.0,Joshua Primo,SAS,True,3-pointer,26,144-109,'SAS',leads
990,990,990,202112310MEM,23.6,3.2,4th quarter,4:57.0,Joshua Primo,SAS,True,2-pointer,0,93-108,'SAS',trails
991,991,991,202112310MEM,30.9,15.8,4th quarter,2:48.0,Joshua Primo,SAS,False,2-pointer,14,97-114,'SAS',trails
192,192,192,202201010DET,1.7,4.3,1st quarter,3:46.0,Joshua Primo,SAS,False,3-pointer,22,18-16,'SAS',leads
198,198,198,202201010DET,46.8,8.0,1st quarter,1:26.0,Joshua Primo,SAS,False,3-pointer,23,25-18,'SAS',leads
200,200,200,202201010DET,38.4,5.5,1st quarter,0:04.0,Joshua Primo,SAS,False,2-pointer,15,29-20,'SAS',leads
218,218,218,202201010DET,18.4,28.9,2nd quarter,5:10.0,Joshua Primo,SAS,False,3-pointer,26,46-35,'SAS',leads
240,240,240,202201010DET,21.8,9.7,3rd quarter,7:10.0,Joshua Primo,SAS,True,2-pointer,7,69-65,'SAS',leads
246,246,246,202201010DET,0.8,7.6,3rd quarter,3:43.0,Joshua Primo,SAS,False,3-pointer,24,73-75,'SAS',trails
248,248,248,202201010DET,0.8,7.1,3rd quarter,2:50.0,Joshua Primo,SAS,False,3-pointer,23,75-79,'SAS',trails
726,726,726,202201040TOR,24.8,5.5,2nd quarter,8:51.0,Joshua Primo,SAS,False,2-pointer,2,35-38,'SAS',trails
731,731,731,202201040TOR,1.2,18.2,2nd quarter,6:45.0,Joshua Primo,SAS,False,3-pointer,27,41-42,'SAS',trails
735,735,735,202201040TOR,1.2,4.9,2nd quarter,4:09.0,Joshua Primo,SAS,True,3-pointer,23,45-56,'SAS',trails
753,753,753,202201040TOR,29.4,3.6,3rd quarter,7:41.0,Joshua Primo,SAS,True,2-pointer,5,68-81,'SAS',trails
755,755,755,202201040TOR,2.8,19.3,3rd quarter,6:37.0,Joshua Primo,SAS,True,3-pointer,27,71-86,'SAS',trails
762,762,762,202201040TOR,25.3,5.8,3rd quarter,0:35.0,Joshua Primo,SAS,False,2-pointer,3,78-96,'SAS',trails
771,771,771,202201040TOR,47.2,2.9,4th quarter,7:31.0,Joshua Primo,SAS,False,3-pointer,23,84-112,'SAS',trails
775,775,775,202201040TOR,23.8,29.3,4th quarter,5:56.0,Joshua Primo,SAS,False,3-pointer,26,86-117,'SAS',trails
781,781,781,202201040TOR,39.0,23.4,4th quarter,3:50.0,Joshua Primo,SAS,False,3-pointer,25,94-122,'SAS',trails
787,787,787,202201040TOR,19.7,12.0,4th quarter,0:25.0,Joshua Primo,SAS,True,2-pointer,10,104-129,'SAS',trails
1095,1095,1095,202201070PHI,24.0,10.3,1st quarter,10:32.0,Joshua Primo,SAS,True,2-pointer,7,2-5,'SAS',trails
1102,1102,1102,202201070PHI,0.9,2.6,1st quarter,6:50.0,Joshua Primo,SAS,True,3-pointer,23,10-20,'SAS',trails
1139,1139,1139,202201070PHI,0.8,1.4,3rd quarter,11:41.0,Joshua Primo,SAS,False,3-pointer,23,53-71,'SAS',trails
1150,1150,1150,202201070PHI,22.3,3.7,3rd quarter,6:16.0,Joshua Primo,SAS,True,2-pointer,2,71-83,'SAS',trails
1164,1164,1164,202201070PHI,23.2,7.7,4th quarter,10:52.0,Joshua Primo,SAS,True,2-pointer,4,82-97,'SAS',trails
1174,1174,1174,202201070PHI,24.0,3.3,4th quarter,5:34.0,Joshua Primo,SAS,False,2-pointer,0,92-107,'SAS',trails
1178,1178,1178,202201070PHI,35.5,25.9,4th quarter,4:03.0,Joshua Primo,SAS,False,3-pointer,25,94-107,'SAS',trails
6,6,6,202201090BRK,26.3,13.4,1st quarter,8:35.0,Joshua Primo,SAS,False,2-pointer,10,5-7,'SAS',trails
8,8,8,202201090BRK,25.3,6.4,1st quarter,7:55.0,Joshua Primo,SAS,False,2-pointer,3,5-9,'SAS',trails
21,21,21,202201090BRK,24.2,28.0,1st quarter,2:24.0,Joshua Primo,SAS,False,3-pointer,25,24-23,'SAS',leads
24,24,24,202201090BRK,25.7,3.1,1st quarter,1:10.0,Joshua Primo,SAS,False,2-pointer,2,27-27,'SAS',tied
25,25,25,202201090BRK,24.3,3.2,1st quarter,0:47.0,Joshua Primo,SAS,True,2-pointer,0,29-29,'SAS',tied
26,26,26,202201090BRK,34.5,26.0,1st quarter,0:24.0,Joshua Primo,SAS,True,3-pointer,25,32-32,'SAS',tied
43,43,43,202201090BRK,47.0,5.2,2nd quarter,5:55.0,Joshua Primo,SAS,False,3-pointer,23,45-42,'SAS',leads
44,44,44,202201090BRK,33.3,11.3,2nd quarter,5:20.0,Joshua Primo,SAS,False,2-pointer,12,45-42,'SAS',leads
47,47,47,202201090BRK,46.7,5.0,2nd quarter,3:53.0,Joshua Primo,SAS,False,3-pointer,23,47-45,'SAS',leads
52,52,52,202201090BRK,25.8,2.6,2nd quarter,1:25.0,Joshua Primo,SAS,True,2-pointer,2,49-58,'SAS',trails
57,57,57,202201090BRK,33.5,3.6,3rd quarter,10:56.0,Joshua Primo,SAS,False,2-pointer,10,53-64,'SAS',trails
73,73,73,202201090BRK,19.0,7.4,3rd quarter,1:46.0,Joshua Primo,SAS,False,2-pointer,7,80-87,'SAS',trails
80,80,80,202201090BRK,23.2,13.7,4th quarter,10:43.0,Joshua Primo,SAS,False,2-pointer,10,91-93,'SAS',trails
96,96,96,202201090BRK,22.9,30.6,4th quarter,1:22.0,Joshua Primo,SAS,False,3-pointer,27,110-113,'SAS',trails
97,97,97,202201090BRK,4.7,20.8,4th quarter,0:40.0,Joshua Primo,SAS,True,3-pointer,26,113-113,'SAS',tied
716,716,716,202201100NYK,21.2,18.2,1st quarter,7:41.0,Joshua Primo,SAS,True,2-pointer,15,8-9,'SAS',trails
721,721,721,202201100NYK,47.1,5.3,1st quarter,4:14.0,Joshua Primo,SAS,True,3-pointer,23,20-17,'SAS',leads
740,740,740,202201100NYK,32.8,29.3,2nd quarter,5:36.0,Joshua Primo,SAS,False,3-pointer,27,39-36,'SAS',leads
756,756,756,202201100NYK,41.8,16.5,3rd quarter,10:56.0,Joshua Primo,SAS,True,2-pointer,22,53-53,'SAS',tied
757,757,757,202201100NYK,24.7,3.4,3rd quarter,10:31.0,Joshua Primo,SAS,False,2-pointer,1,53-53,'SAS',tied
764,764,764,202201100NYK,43.0,19.6,3rd quarter,7:33.0,Joshua Primo,SAS,True,3-pointer,25,61-65,'SAS',trails
788,788,788,202201100NYK,24.5,19.3,4th quarter,8:22.0,Joshua Primo,SAS,False,2-pointer,16,77-94,'SAS',trails
789,789,789,202201100NYK,26.5,4.7,4th quarter,7:56.0,Joshua Primo,SAS,False,2-pointer,3,77-94,'SAS',trails
791,791,791,202201100NYK,2.7,16.7,4th quarter,6:53.0,Joshua Primo,SAS,False,3-pointer,25,77-97,'SAS',trails
1109,1109,1109,202201120SAS,36.5,25.4,1st quarter,6:40.0,Joshua Primo,SAS,False,3-pointer,25,15-19,'SAS',trails
1116,1116,1116,202201120SAS,24.8,3.7,1st quarter,4:09.0,Joshua Primo,SAS,True,2-pointer,1,25-29,'SAS',trails
1143,1143,1143,202201120SAS,41.1,20.6,2nd quarter,4:51.0,Joshua Primo,SAS,False,3-pointer,24,48-56,'SAS',trails
1148,1148,1148,202201120SAS,18.7,7.4,2nd quarter,1:31.0,Joshua Primo,SAS,True,2-pointer,7,63-61,'SAS',leads
1149,1149,1149,202201120SAS,33.1,20.5,2nd quarter,0:58.0,Joshua Primo,SAS,False,2-pointer,20,63-63,'SAS',tied
1511,1511,1511,202201140SAS,23.4,3.7,1st quarter,2:58.0,Joshua Primo,SAS,False,2-pointer,1,19-25,'SAS',trails
1461,1461,1461,202201150SAS,43.4,19.8,1st quarter,0:31.0,Joshua Primo,SAS,False,3-pointer,25,21-21,'SAS',tied
1463,1463,1463,202201150SAS,34.6,25.8,2nd quarter,11:17.0,Joshua Primo,SAS,False,3-pointer,25,23-22,'SAS',leads
1752,1752,1752,202201280SAS,43.6,18.8,1st quarter,1:28.0,Joshua Primo,SAS,True,3-pointer,25,27-31,'SAS',trails
1809,1809,1809,202201280SAS,30.9,29.4,4th quarter,10:19.0,Joshua Primo,SAS,False,3-pointer,27,104-92,'SAS',leads
1810,1810,1810,202201280SAS,23.7,4.6,4th quarter,9:23.0,Joshua Primo,SAS,True,2-pointer,1,106-94,'SAS',leads
1811,1811,1811,202201280SAS,17.1,4.6,4th quarter,9:03.0,Joshua Primo,SAS,False,2-pointer,7,106-96,'SAS',leads
1216,1216,1216,202201300PHO,38.6,24.8,1st quarter,3:06.0,Joshua Primo,SAS,True,3-pointer,26,25-18,'SAS',leads
1218,1218,1218,202201300PHO,22.3,3.9,1st quarter,1:11.0,Joshua Primo,SAS,True,2-pointer,2,29-23,'SAS',leads
1239,1239,1239,202201300PHO,0.7,5.5,2nd quarter,1:47.0,Joshua Primo,SAS,False,3-pointer,23,47-48,'SAS',trails
1241,1241,1241,202201300PHO,11.9,28.0,2nd quarter,0:58.0,Joshua Primo,SAS,True,3-pointer,28,53-48,'SAS',leads
1242,1242,1242,202201300PHO,21.8,6.3,2nd quarter,0:28.0,Joshua Primo,SAS,False,2-pointer,4,53-48,'SAS',leads
1266,1266,1266,202201300PHO,24.0,14.4,3rd quarter,1:53.0,Joshua Primo,SAS,True,2-pointer,11,83-74,'SAS',leads
1284,1284,1284,202201300PHO,21.1,11.8,4th quarter,4:51.0,Joshua Primo,SAS,False,2-pointer,9,102-102,'SAS',tied
