Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1303,1303,1303,202111010NYK,24.0,3.3,2nd quarter,1:45.0,Justin Champagnie,TOR,False,2-pointer,0,45-52,'NYK',trails
1342,1342,1342,202111010NYK,24.2,3.4,4th quarter,9:07.0,Justin Champagnie,TOR,False,2-pointer,0,93-83,'NYK',leads
76,76,76,202111100BOS,36.4,5.5,4th quarter,0:40.0,Justin Champagnie,TOR,False,2-pointer,13,88-104,'TOR',trails
933,933,933,202111180UTA,27.3,12.6,4th quarter,4:40.0,Justin Champagnie,TOR,True,2-pointer,10,94-110,'TOR',trails
939,939,939,202111180UTA,21.0,5.5,4th quarter,2:33.0,Justin Champagnie,TOR,True,2-pointer,4,98-117,'TOR',trails
1461,1461,1461,202111190SAC,28.3,6.3,4th quarter,1:31.0,Justin Champagnie,TOR,False,2-pointer,5,107-85,'TOR',leads
612,612,612,202111260IND,24.0,3.3,4th quarter,0:03.0,Justin Champagnie,TOR,False,2-pointer,0,97-114,'IND',trails
881,881,881,202111280TOR,37.8,26.5,4th quarter,7:40.0,Justin Champagnie,TOR,False,3-pointer,27,83-90,'TOR',trails
687,687,687,202112050TOR,24.9,9.8,4th quarter,1:16.0,Justin Champagnie,TOR,True,2-pointer,7,101-88,'TOR',leads
2202,2202,2202,202112080TOR,23.5,4.2,4th quarter,5:52.0,Justin Champagnie,TOR,True,2-pointer,1,85-97,'TOR',trails
2214,2214,2214,202112080TOR,22.0,5.0,4th quarter,0:18.0,Justin Champagnie,TOR,True,2-pointer,3,109-107,'TOR',leads
1492,1492,1492,202112130TOR,26.5,5.5,2nd quarter,11:28.0,Justin Champagnie,TOR,True,2-pointer,3,32-22,'TOR',leads
1499,1499,1499,202112130TOR,30.2,28.0,2nd quarter,7:51.0,Justin Champagnie,TOR,False,3-pointer,26,41-29,'TOR',leads
1534,1534,1534,202112130TOR,1.0,3.2,3rd quarter,3:39.0,Justin Champagnie,TOR,False,3-pointer,23,84-62,'TOR',leads
1546,1546,1546,202112130TOR,30.7,7.2,4th quarter,8:29.0,Justin Champagnie,TOR,False,2-pointer,8,99-76,'TOR',leads
1554,1554,1554,202112130TOR,24.1,4.6,4th quarter,4:30.0,Justin Champagnie,TOR,True,2-pointer,1,116-87,'TOR',leads
1558,1558,1558,202112130TOR,24.0,3.3,4th quarter,2:02.0,Justin Champagnie,TOR,True,2-pointer,0,120-94,'TOR',leads
1560,1560,1560,202112130TOR,24.0,3.3,4th quarter,1:43.0,Justin Champagnie,TOR,True,2-pointer,0,122-94,'TOR',leads
1561,1561,1561,202112130TOR,25.8,3.1,4th quarter,1:10.0,Justin Champagnie,TOR,False,2-pointer,2,122-97,'TOR',leads
11,11,11,202112140BRK,11.1,26.4,1st quarter,5:32.0,Justin Champagnie,TOR,False,3-pointer,27,19-18,'TOR',leads
13,13,13,202112140BRK,24.0,3.3,1st quarter,5:01.0,Justin Champagnie,TOR,False,2-pointer,0,19-18,'TOR',leads
14,14,14,202112140BRK,24.0,3.3,1st quarter,4:58.0,Justin Champagnie,TOR,True,2-pointer,0,21-18,'TOR',leads
20,20,20,202112140BRK,26.3,3.8,1st quarter,3:15.0,Justin Champagnie,TOR,True,2-pointer,2,28-24,'TOR',leads
