Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
584,584,584,201403280DET,15.0,27.4,4th quarter,0:32.0,Justin Hamilton,MIA,False,3-pointer,26,110-78,'MIA',leads
386,386,386,201403290MIL,43.0,1.9,4th quarter,2:44.0,Justin Hamilton,MIA,False,2-pointer,19,79-58,'MIA',leads
387,387,387,201403290MIL,5.8,22.8,4th quarter,2:14.0,Justin Hamilton,MIA,False,3-pointer,27,79-60,'MIA',leads
388,388,388,201403290MIL,18.1,5.3,4th quarter,1:49.0,Justin Hamilton,MIA,True,2-pointer,6,81-63,'MIA',leads
389,389,389,201403290MIL,36.9,24.9,4th quarter,1:24.0,Justin Hamilton,MIA,True,3-pointer,25,85-64,'MIA',leads
625,625,625,201404020MIA,1.6,2.7,4th quarter,4:23.0,Justin Hamilton,MIA,False,3-pointer,22,90-68,'MIA',leads
626,626,626,201404020MIA,24.9,3.3,4th quarter,4:03.0,Justin Hamilton,MIA,True,2-pointer,1,92-68,'MIA',leads
734,734,734,201404090MEM,23.8,3.0,1st quarter,0:44.0,Justin Hamilton,MIA,True,2-pointer,0,32-29,'MIA',leads
770,770,770,201404090MEM,27.9,28.4,3rd quarter,3:53.0,Justin Hamilton,MIA,True,3-pointer,26,74-66,'MIA',leads
1484,1484,1484,201404140WAS,43.3,19.8,2nd quarter,7:17.0,Justin Hamilton,MIA,False,3-pointer,26,34-42,'MIA',trails
1490,1490,1490,201404140WAS,6.5,4.1,2nd quarter,2:24.0,Justin Hamilton,MIA,False,2-pointer,18,39-61,'MIA',trails
1493,1493,1493,201404140WAS,24.0,3.9,2nd quarter,0:57.0,Justin Hamilton,MIA,True,2-pointer,1,46-65,'MIA',trails
1511,1511,1511,201404140WAS,18.8,5.5,3rd quarter,1:18.0,Justin Hamilton,MIA,True,2-pointer,6,60-94,'MIA',trails
1527,1527,1527,201404140WAS,35.6,27.4,4th quarter,3:27.0,Justin Hamilton,MIA,False,3-pointer,27,85-110,'MIA',trails
961,961,961,201404160MIA,24.9,5.8,2nd quarter,4:40.0,Justin Hamilton,MIA,False,2-pointer,3,42-47,'MIA',trails
962,962,962,201404160MIA,26.8,5.6,2nd quarter,3:59.0,Justin Hamilton,MIA,False,2-pointer,4,42-49,'MIA',trails
994,994,994,201404160MIA,32.9,3.6,4th quarter,7:44.0,Justin Hamilton,MIA,True,2-pointer,9,79-89,'MIA',trails
997,997,997,201404160MIA,30.5,18.7,4th quarter,5:47.0,Justin Hamilton,MIA,False,2-pointer,17,82-91,'MIA',trails
1002,1002,1002,201404160MIA,31.3,26.9,4th quarter,3:13.0,Justin Hamilton,MIA,True,3-pointer,25,85-95,'MIA',trails
1003,1003,1003,201404160MIA,25.8,28.2,4th quarter,2:30.0,Justin Hamilton,MIA,False,3-pointer,25,85-95,'MIA',trails
1529,1529,1529,201411010PHI,23.6,3.9,4th quarter,5:27.0,Justin Hamilton,MIA,True,2-pointer,0,101-90,'MIA',leads
248,248,248,201411020MIA,28.5,9.1,1st quarter,5:18.0,Justin Hamilton,MIA,True,2-pointer,7,22-12,'MIA',leads
588,588,588,201411040MIA,42.7,20.0,1st quarter,1:00.0,Justin Hamilton,MIA,True,3-pointer,25,28-28,'HOU',tied
589,589,589,201411040MIA,44.0,19.0,1st quarter,0:41.0,Justin Hamilton,MIA,True,3-pointer,25,31-28,'HOU',leads
599,599,599,201411040MIA,0.3,6.9,2nd quarter,6:57.0,Justin Hamilton,MIA,False,3-pointer,24,40-35,'HOU',leads
601,601,601,201411040MIA,39.1,22.4,2nd quarter,6:23.0,Justin Hamilton,MIA,False,3-pointer,24,42-38,'HOU',leads
604,604,604,201411040MIA,7.7,21.4,2nd quarter,3:01.0,Justin Hamilton,MIA,False,3-pointer,24,49-45,'HOU',leads
625,625,625,201411040MIA,20.8,7.2,4th quarter,11:38.0,Justin Hamilton,MIA,False,2-pointer,5,77-83,'HOU',trails
627,627,627,201411040MIA,24.1,4.2,4th quarter,11:07.0,Justin Hamilton,MIA,False,2-pointer,1,80-83,'HOU',trails
634,634,634,201411040MIA,0.1,3.0,4th quarter,7:00.0,Justin Hamilton,MIA,True,3-pointer,23,86-90,'HOU',trails
351,351,351,201411050CHO,24.0,3.1,1st quarter,1:12.0,Justin Hamilton,MIA,True,2-pointer,0,15-22,'MIA',trails
353,353,353,201411050CHO,24.6,5.5,1st quarter,0:01.0,Justin Hamilton,MIA,True,2-pointer,2,17-24,'MIA',trails
381,381,381,201411050CHO,31.8,27.2,3rd quarter,7:04.0,Justin Hamilton,MIA,False,3-pointer,25,55-54,'MIA',leads
