Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1620,1620,1620,201201040ORL,42.1,6.5,4th quarter,3:11.0,Justin Harper,ORL,False,2-pointer,18,100-75,'ORL',leads
1625,1625,1625,201201040ORL,28.5,29.6,4th quarter,0:15.9,Justin Harper,ORL,False,3-pointer,25,103-83,'ORL',leads
1724,1724,1724,201201270NOH,42.5,9.2,4th quarter,1:45.0,Justin Harper,ORL,False,2-pointer,19,63-88,'NOH',trails
1138,1138,1138,201203210ORL,10.4,19.9,4th quarter,0:55.9,Justin Harper,ORL,False,2-pointer,20,103-90,'PHO',leads
1267,1267,1267,201204090ORL,12.6,22.3,4th quarter,5:35.0,Justin Harper,ORL,True,2-pointer,21,111-80,'DET',leads
1269,1269,1269,201204090ORL,21.3,5.9,4th quarter,4:42.0,Justin Harper,ORL,True,2-pointer,3,113-80,'DET',leads
1452,1452,1452,201204130ORL,8.0,16.3,4th quarter,6:36.0,Justin Harper,ORL,False,2-pointer,20,72-98,'ORL',trails
1460,1460,1460,201204130ORL,31.7,28.8,4th quarter,3:33.0,Justin Harper,ORL,False,3-pointer,25,74-109,'ORL',trails
1463,1463,1463,201204130ORL,1.4,11.4,4th quarter,1:29.0,Justin Harper,ORL,False,3-pointer,23,77-109,'ORL',trails
1214,1214,1214,201204210UTA,11.2,26.3,2nd quarter,8:32.0,Justin Harper,ORL,False,3-pointer,25,41-29,'UTA',leads
1217,1217,1217,201204210UTA,4.6,2.5,2nd quarter,6:34.0,Justin Harper,ORL,False,2-pointer,20,43-35,'UTA',leads
1218,1218,1218,201204210UTA,14.8,6.9,2nd quarter,6:04.0,Justin Harper,ORL,False,2-pointer,9,43-35,'UTA',leads
925,925,925,201204250ORL,46.8,11.1,2nd quarter,4:23.0,Justin Harper,ORL,False,3-pointer,24,51-37,'CHA',leads
1177,1177,1177,201204260MEM,9.3,25.6,1st quarter,2:55.0,Justin Harper,ORL,False,3-pointer,25,8-27,'ORL',trails
1179,1179,1179,201204260MEM,10.7,27.4,1st quarter,1:25.0,Justin Harper,ORL,False,3-pointer,26,9-27,'ORL',trails
1181,1181,1181,201204260MEM,29.1,15.4,1st quarter,0:03.9,Justin Harper,ORL,False,2-pointer,12,9-27,'ORL',trails
1182,1182,1182,201204260MEM,23.5,5.3,2nd quarter,10:59.0,Justin Harper,ORL,False,2-pointer,1,11-29,'ORL',trails
1183,1183,1183,201204260MEM,24.0,6.2,2nd quarter,10:57.0,Justin Harper,ORL,True,2-pointer,1,13-29,'ORL',trails
1184,1184,1184,201204260MEM,22.5,6.1,2nd quarter,9:49.0,Justin Harper,ORL,True,2-pointer,2,15-31,'ORL',trails
1187,1187,1187,201204260MEM,9.0,27.0,2nd quarter,7:34.0,Justin Harper,ORL,True,3-pointer,27,18-35,'ORL',trails
1192,1192,1192,201204260MEM,35.8,28.0,2nd quarter,4:55.0,Justin Harper,ORL,False,3-pointer,26,22-42,'ORL',trails
1196,1196,1196,201204260MEM,24.4,5.3,2nd quarter,1:50.0,Justin Harper,ORL,True,2-pointer,1,28-48,'ORL',trails
