Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
76,76,76,200110300CLE,10.4,6.5,4th quarter,2:09.0,Kedrick Brown,BOS,False,2-pointer,14,104-79,'BOS',leads
1365,1365,1365,200111240WAS,6.4,25.0,4th quarter,8:43.0,Kedrick Brown,BOS,False,3-pointer,27,59-72,'BOS',trails
1366,1366,1366,200111240WAS,48.3,2.7,4th quarter,8:15.0,Kedrick Brown,BOS,False,3-pointer,24,59-72,'BOS',trails
1375,1375,1375,200111240WAS,48.3,0.6,4th quarter,3:26.0,Kedrick Brown,BOS,False,3-pointer,25,69-78,'BOS',trails
1386,1386,1386,200111240WAS,40.9,9.2,1st overtime,1:25.0,Kedrick Brown,BOS,True,2-pointer,17,82-82,'BOS',tied
704,704,704,200111270MIA,24.0,5.0,2nd quarter,5:18.0,Kedrick Brown,BOS,False,2-pointer,0,37-30,'MIA',leads
706,706,706,200112020TOR,24.0,5.0,2nd quarter,5:19.0,Kedrick Brown,BOS,True,2-pointer,0,42-35,'TOR',leads
331,331,331,200112050BOS,6.2,5.9,4th quarter,4:04.0,Kedrick Brown,BOS,False,2-pointer,18,93-72,'DEN',leads
337,337,337,200112050BOS,25.4,6.9,4th quarter,1:10.0,Kedrick Brown,BOS,False,2-pointer,2,95-78,'DEN',leads
338,338,338,200112050BOS,0.2,6.3,4th quarter,0:41.7,Kedrick Brown,BOS,False,3-pointer,24,95-78,'DEN',leads
75,75,75,200112170PHI,7.2,27.2,4th quarter,3:58.0,Kedrick Brown,BOS,True,3-pointer,28,75-95,'BOS',trails
663,663,663,200112270PHO,31.3,5.4,2nd quarter,8:14.0,Kedrick Brown,BOS,False,2-pointer,7,30-27,'PHO',leads
665,665,665,200112270PHO,42.8,20.6,2nd quarter,7:30.0,Kedrick Brown,BOS,False,3-pointer,24,32-27,'PHO',leads
673,673,673,200112270PHO,24.0,5.0,2nd quarter,3:07.0,Kedrick Brown,BOS,True,2-pointer,0,41-29,'PHO',leads
677,677,677,200112270PHO,13.5,8.6,2nd quarter,0:01.9,Kedrick Brown,BOS,False,2-pointer,11,48-41,'PHO',leads
701,701,701,200112270PHO,24.0,5.0,4th quarter,11:15.0,Kedrick Brown,BOS,True,2-pointer,0,65-63,'PHO',leads
354,354,354,200112290LAC,35.7,29.1,1st quarter,0:59.7,Kedrick Brown,BOS,False,3-pointer,27,7-24,'BOS',trails
793,793,793,200112300SAC,4.5,14.3,1st quarter,2:21.0,Kedrick Brown,BOS,False,2-pointer,22,16-25,'SAC',trails
835,835,835,200112300SAC,46.8,8.4,3rd quarter,3:18.0,Kedrick Brown,BOS,False,3-pointer,23,60-78,'SAC',trails
838,838,838,200112300SAC,31.0,29.3,3rd quarter,1:19.0,Kedrick Brown,BOS,False,3-pointer,25,60-86,'SAC',trails
856,856,856,200112300SAC,21.3,13.5,4th quarter,2:37.0,Kedrick Brown,BOS,False,2-pointer,9,86-107,'SAC',trails
859,859,859,200112300SAC,40.3,7.3,4th quarter,1:10.0,Kedrick Brown,BOS,True,2-pointer,16,91-107,'SAC',trails
860,860,860,200112300SAC,43.1,20.0,4th quarter,0:29.0,Kedrick Brown,BOS,False,3-pointer,24,91-109,'SAC',trails
165,165,165,200201020BOS,39.5,8.4,4th quarter,1:00.0,Kedrick Brown,BOS,False,2-pointer,16,107-89,'ORL',leads
142,142,142,200201040BOS,46.8,5.9,4th quarter,6:11.0,Kedrick Brown,BOS,False,3-pointer,23,59-77,'MIA',trails
144,144,144,200201040BOS,22.0,5.9,4th quarter,4:31.0,Kedrick Brown,BOS,False,2-pointer,2,61-80,'MIA',trails
146,146,146,200201040BOS,0.2,6.3,4th quarter,3:39.0,Kedrick Brown,BOS,False,3-pointer,24,61-82,'MIA',trails
148,148,148,200201040BOS,11.8,5.2,4th quarter,2:53.0,Kedrick Brown,BOS,False,2-pointer,12,61-85,'MIA',trails
86,86,86,200201090BOS,0.2,5.2,2nd quarter,7:50.0,Kedrick Brown,BOS,False,3-pointer,24,27-30,'SAS',trails
89,89,89,200201090BOS,40.5,5.2,2nd quarter,6:23.0,Kedrick Brown,BOS,False,2-pointer,17,31-34,'SAS',trails
91,91,91,200201090BOS,46.8,6.9,2nd quarter,5:02.0,Kedrick Brown,BOS,False,3-pointer,23,31-36,'SAS',trails
638,638,638,200201190DET,12.5,5.7,1st quarter,10:36.0,Kedrick Brown,BOS,True,2-pointer,12,4-1,'DET',leads
643,643,643,200201190DET,1.1,3.7,1st quarter,7:37.0,Kedrick Brown,BOS,False,3-pointer,23,13-5,'DET',leads
644,644,644,200201190DET,24.0,5.0,1st quarter,7:28.0,Kedrick Brown,BOS,False,2-pointer,0,13-5,'DET',leads
683,683,683,200201190DET,24.0,5.0,3rd quarter,9:30.0,Kedrick Brown,BOS,True,2-pointer,0,69-53,'DET',leads
686,686,686,200201190DET,24.0,5.0,3rd quarter,8:18.0,Kedrick Brown,BOS,False,2-pointer,0,69-53,'DET',leads
235,235,235,200201210BOS,25.4,5.2,1st quarter,11:20.0,Kedrick Brown,BOS,True,2-pointer,1,2-0,'TOR',leads
240,240,240,200201210BOS,26.0,5.0,1st quarter,8:12.0,Kedrick Brown,BOS,True,2-pointer,2,10-9,'TOR',leads
241,241,241,200201210BOS,46.8,6.3,1st quarter,7:31.0,Kedrick Brown,BOS,False,3-pointer,23,10-12,'TOR',trails
245,245,245,200201210BOS,-0.4,5.0,1st quarter,5:31.0,Kedrick Brown,BOS,True,3-pointer,24,18-16,'TOR',leads
261,261,261,200201210BOS,21.1,5.2,2nd quarter,5:30.0,Kedrick Brown,BOS,True,2-pointer,3,43-39,'TOR',leads
267,267,267,200201210BOS,25.4,5.9,2nd quarter,2:17.0,Kedrick Brown,BOS,True,2-pointer,2,49-40,'TOR',leads
287,287,287,200201210BOS,46.8,5.2,3rd quarter,1:44.0,Kedrick Brown,BOS,False,3-pointer,23,70-66,'TOR',leads
