Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
429,429,429,201910250CHO,25.7,22.3,4th quarter,4:39.0,Kelan Martin,MIN,False,2-pointer,19,115-90,'CHO',leads
434,434,434,201910250CHO,13.4,28.3,4th quarter,1:09.0,Kelan Martin,MIN,False,3-pointer,27,119-95,'CHO',leads
436,436,436,201910250CHO,13.4,19.5,4th quarter,0:33.0,Kelan Martin,MIN,False,2-pointer,19,121-97,'CHO',leads
979,979,979,201911150MIN,7.8,22.6,1st quarter,1:21.0,Kelan Martin,MIN,False,3-pointer,25,27-36,'MIN',trails
1028,1028,1028,201911150MIN,24.1,16.3,4th quarter,11:13.0,Kelan Martin,MIN,True,2-pointer,13,94-104,'MIN',trails
1029,1029,1029,201911150MIN,24.2,29.2,4th quarter,10:51.0,Kelan Martin,MIN,False,3-pointer,26,94-107,'MIN',trails
1030,1030,1030,201911150MIN,26.7,8.3,4th quarter,10:24.0,Kelan Martin,MIN,True,2-pointer,6,96-109,'MIN',trails
1033,1033,1033,201911150MIN,46.7,9.6,4th quarter,8:44.0,Kelan Martin,MIN,False,3-pointer,24,99-109,'MIN',trails
1037,1037,1037,201911150MIN,1.5,3.8,4th quarter,6:44.0,Kelan Martin,MIN,False,3-pointer,23,105-113,'MIN',trails
1043,1043,1043,201911150MIN,24.4,10.8,4th quarter,1:57.0,Kelan Martin,MIN,True,2-pointer,8,112-133,'MIN',trails
1044,1044,1044,201911150MIN,44.6,17.5,4th quarter,1:06.0,Kelan Martin,MIN,False,3-pointer,25,114-135,'MIN',trails
1047,1047,1047,201911150MIN,21.8,30.8,4th quarter,0:00.0,Kelan Martin,MIN,False,3-pointer,28,116-137,'MIN',trails
1009,1009,1009,201911160MIN,13.4,25.4,1st quarter,3:04.0,Kelan Martin,MIN,False,3-pointer,25,23-23,'HOU',tied
1028,1028,1028,201911160MIN,15.1,10.6,2nd quarter,4:23.0,Kelan Martin,MIN,True,2-pointer,12,51-48,'HOU',leads
1031,1031,1031,201911160MIN,0.2,6.2,2nd quarter,3:01.0,Kelan Martin,MIN,False,3-pointer,24,53-51,'HOU',leads
1046,1046,1046,201911160MIN,17.2,28.4,3rd quarter,6:00.0,Kelan Martin,MIN,False,3-pointer,26,76-79,'HOU',trails
1049,1049,1049,201911160MIN,0.7,4.2,3rd quarter,3:27.0,Kelan Martin,MIN,False,3-pointer,23,78-84,'HOU',trails
1058,1058,1058,201911160MIN,25.2,9.3,4th quarter,8:25.0,Kelan Martin,MIN,False,2-pointer,6,85-102,'HOU',trails
1432,1432,1432,201911180UTA,24.3,8.6,1st quarter,5:52.0,Kelan Martin,MIN,True,2-pointer,5,19-19,'UTA',tied
1451,1451,1451,201911180UTA,15.3,26.3,2nd quarter,9:47.0,Kelan Martin,MIN,True,3-pointer,25,41-39,'UTA',leads
1452,1452,1452,201911180UTA,14.5,27.7,2nd quarter,9:25.0,Kelan Martin,MIN,False,3-pointer,26,41-39,'UTA',leads
1484,1484,1484,201911180UTA,22.8,9.8,3rd quarter,3:43.0,Kelan Martin,MIN,True,2-pointer,7,71-69,'UTA',leads
1503,1503,1503,201911180UTA,48.3,4.9,4th quarter,3:23.0,Kelan Martin,MIN,True,3-pointer,24,103-90,'UTA',leads
1504,1504,1504,201911180UTA,34.6,11.8,4th quarter,2:42.0,Kelan Martin,MIN,True,2-pointer,14,105-92,'UTA',leads
1506,1506,1506,201911180UTA,33.4,10.6,4th quarter,1:36.0,Kelan Martin,MIN,True,2-pointer,12,107-94,'UTA',leads
1333,1333,1333,201911200MIN,22.3,9.8,1st quarter,3:35.0,Kelan Martin,MIN,False,2-pointer,7,13-22,'UTA',trails
1335,1335,1335,201911200MIN,47.1,10.3,1st quarter,1:13.0,Kelan Martin,MIN,False,3-pointer,24,16-24,'UTA',trails
1374,1374,1374,201911200MIN,23.7,4.2,3rd quarter,4:56.0,Kelan Martin,MIN,True,2-pointer,1,60-65,'UTA',trails
1384,1384,1384,201911200MIN,23.7,8.3,3rd quarter,0:33.0,Kelan Martin,MIN,True,2-pointer,5,68-73,'UTA',trails
1386,1386,1386,201911200MIN,23.2,28.8,3rd quarter,0:00.0,Kelan Martin,MIN,False,3-pointer,26,68-73,'UTA',trails
1389,1389,1389,201911200MIN,0.9,4.1,4th quarter,11:16.0,Kelan Martin,MIN,True,3-pointer,23,71-73,'UTA',trails
1392,1392,1392,201911200MIN,1.5,5.9,4th quarter,9:59.0,Kelan Martin,MIN,True,3-pointer,23,76-73,'UTA',leads
