Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
695,695,695,201912260OKC,22.3,13.8,4th quarter,0:46.0,Kevin Hervey,OKC,False,2-pointer,11,97-108,'OKC',trails
708,708,708,201912290TOR,34.3,27.8,1st quarter,1:08.0,Kevin Hervey,OKC,False,3-pointer,27,17-20,'TOR',trails
713,713,713,201912290TOR,47.4,12.8,2nd quarter,9:37.0,Kevin Hervey,OKC,False,3-pointer,25,24-29,'TOR',trails
718,718,718,201912290TOR,0.7,4.1,2nd quarter,7:29.0,Kevin Hervey,OKC,False,3-pointer,23,27-33,'TOR',trails
883,883,883,202001270OKC,46.2,14.9,4th quarter,0:31.0,Kevin Hervey,OKC,False,3-pointer,25,97-107,'DAL',trails
788,788,788,202002280MIL,28.3,29.8,4th quarter,5:45.0,Kevin Hervey,OKC,False,3-pointer,27,77-124,'OKC',trails
793,793,793,202002280MIL,38.5,20.1,4th quarter,3:42.0,Kevin Hervey,OKC,False,2-pointer,22,79-128,'OKC',trails
795,795,795,202002280MIL,16.6,28.7,4th quarter,2:56.0,Kevin Hervey,OKC,False,3-pointer,26,79-130,'OKC',trails
796,796,796,202002280MIL,23.2,3.9,4th quarter,1:18.0,Kevin Hervey,OKC,True,2-pointer,1,81-130,'OKC',trails
797,797,797,202002280MIL,40.8,24.3,4th quarter,1:08.0,Kevin Hervey,OKC,False,3-pointer,27,81-130,'OKC',trails
801,801,801,202002280MIL,13.4,27.0,4th quarter,0:14.0,Kevin Hervey,OKC,False,3-pointer,26,86-133,'OKC',trails
205,205,205,202008070MEM,6.7,22.0,2nd quarter,9:46.0,Kevin Hervey,OKC,False,3-pointer,25,39-30,'OKC',leads
265,265,265,202008070MEM,19.9,29.4,4th quarter,2:14.0,Kevin Hervey,OKC,False,3-pointer,26,90-119,'OKC',trails
266,266,266,202008070MEM,30.9,27.9,4th quarter,1:40.0,Kevin Hervey,OKC,False,3-pointer,26,90-119,'OKC',trails
268,268,268,202008070MEM,23.0,3.8,4th quarter,1:02.0,Kevin Hervey,OKC,True,2-pointer,1,92-121,'OKC',trails
588,588,588,202008100PHO,7.4,25.6,4th quarter,10:49.0,Kevin Hervey,OKC,False,3-pointer,28,84-101,'PHO',trails
591,591,591,202008100PHO,22.5,7.2,4th quarter,9:49.0,Kevin Hervey,OKC,False,2-pointer,4,84-104,'PHO',trails
594,594,594,202008100PHO,43.9,9.2,4th quarter,8:35.0,Kevin Hervey,OKC,True,2-pointer,21,91-109,'PHO',trails
598,598,598,202008100PHO,5.1,21.6,4th quarter,6:04.0,Kevin Hervey,OKC,True,3-pointer,26,96-118,'PHO',trails
599,599,599,202008100PHO,12.6,25.8,4th quarter,5:03.0,Kevin Hervey,OKC,True,3-pointer,25,99-121,'PHO',trails
601,601,601,202008100PHO,33.4,29.2,4th quarter,3:54.0,Kevin Hervey,OKC,False,3-pointer,28,99-123,'PHO',trails
416,416,416,202008140LAC,23.7,28.5,4th quarter,5:05.0,Kevin Hervey,OKC,False,3-pointer,25,80-78,'OKC',leads
417,417,417,202008140LAC,5.4,21.3,4th quarter,4:39.0,Kevin Hervey,OKC,False,3-pointer,26,80-81,'OKC',trails
421,421,421,202008140LAC,0.1,3.2,4th quarter,3:24.0,Kevin Hervey,OKC,True,3-pointer,24,85-83,'OKC',leads
436,436,436,202008140LAC,22.8,19.8,1st overtime,3:05.0,Kevin Hervey,OKC,True,2-pointer,17,96-95,'OKC',leads
439,439,439,202008140LAC,6.6,24.2,1st overtime,1:46.0,Kevin Hervey,OKC,False,3-pointer,27,96-101,'OKC',trails
444,444,444,202008140LAC,14.9,30.5,1st overtime,0:09.0,Kevin Hervey,OKC,False,3-pointer,29,101-105,'OKC',trails
