Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
852,852,852,201212070MIN,23.6,5.3,2nd quarter,10:36.0,Kevin Jones,CLE,True,2-pointer,1,18-25,'MIN',trails
853,853,853,201212070MIN,37.2,18.8,2nd quarter,9:55.0,Kevin Jones,CLE,False,2-pointer,19,18-25,'MIN',trails
861,861,861,201212070MIN,23.3,5.1,2nd quarter,6:06.0,Kevin Jones,CLE,False,2-pointer,1,26-27,'MIN',trails
191,191,191,201212190BOS,38.1,17.4,1st quarter,3:22.0,Kevin Jones,CLE,False,2-pointer,19,17-17,'BOS',tied
193,193,193,201212190BOS,24.2,5.9,1st quarter,2:49.0,Kevin Jones,CLE,True,2-pointer,1,19-20,'BOS',trails
199,199,199,201212190BOS,33.4,5.7,1st quarter,0:33.9,Kevin Jones,CLE,False,2-pointer,9,25-27,'BOS',trails
200,200,200,201212190BOS,24.4,19.2,1st quarter,0:16.9,Kevin Jones,CLE,False,2-pointer,14,25-27,'BOS',trails
205,205,205,201212190BOS,22.1,5.6,2nd quarter,8:19.0,Kevin Jones,CLE,False,2-pointer,2,31-32,'BOS',trails
272,272,272,201212210CLE,28.7,7.2,1st quarter,1:04.0,Kevin Jones,CLE,True,2-pointer,5,21-23,'IND',trails
279,279,279,201212210CLE,22.9,6.7,2nd quarter,9:47.0,Kevin Jones,CLE,False,2-pointer,2,32-28,'IND',leads
268,268,268,201212280CLE,23.8,5.7,2nd quarter,1:00.0,Kevin Jones,CLE,True,2-pointer,1,49-52,'CLE',trails
479,479,479,201301050CLE,24.1,5.0,3rd quarter,0:56.8,Kevin Jones,CLE,True,2-pointer,0,76-75,'HOU',leads
483,483,483,201301050CLE,18.8,21.0,4th quarter,9:49.0,Kevin Jones,CLE,True,2-pointer,17,82-83,'HOU',trails
14,14,14,201301070CHI,23.5,5.1,1st quarter,3:25.0,Kevin Jones,CLE,True,2-pointer,1,21-13,'CHI',leads
56,56,56,201301070CHI,8.8,11.7,4th quarter,11:16.0,Kevin Jones,CLE,False,2-pointer,17,72-90,'CHI',trails
59,59,59,201301070CHI,24.7,6.9,4th quarter,10:26.0,Kevin Jones,CLE,True,2-pointer,2,74-92,'CHI',trails
624,624,624,201301090CLE,13.9,20.4,2nd quarter,9:44.0,Kevin Jones,CLE,True,2-pointer,18,33-28,'CLE',leads
627,627,627,201301090CLE,40.8,5.3,2nd quarter,7:57.0,Kevin Jones,CLE,False,2-pointer,17,33-30,'CLE',leads
652,652,652,201301090CLE,30.2,14.3,3rd quarter,3:50.0,Kevin Jones,CLE,False,2-pointer,11,65-59,'CLE',leads
662,662,662,201301090CLE,24.0,5.9,4th quarter,11:35.0,Kevin Jones,CLE,False,2-pointer,1,77-63,'CLE',leads
367,367,367,201301130LAL,20.3,7.6,2nd quarter,6:58.0,Kevin Jones,CLE,False,2-pointer,5,29-48,'LAL',trails
403,403,403,201301130LAL,23.0,7.5,3rd quarter,1:24.0,Kevin Jones,CLE,True,2-pointer,3,65-80,'LAL',trails
422,422,422,201301130LAL,37.6,5.1,4th quarter,3:52.0,Kevin Jones,CLE,False,2-pointer,14,79-107,'LAL',trails
424,424,424,201301130LAL,24.6,9.5,4th quarter,3:03.0,Kevin Jones,CLE,True,2-pointer,5,83-111,'LAL',trails
427,427,427,201301130LAL,41.4,4.0,4th quarter,1:31.0,Kevin Jones,CLE,True,2-pointer,17,89-113,'LAL',trails
846,846,846,201301140SAC,23.3,24.7,2nd quarter,5:17.0,Kevin Jones,CLE,False,2-pointer,20,41-50,'SAC',trails
