Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
654,654,654,202110250DEN,3.7,18.9,4th quarter,1:03.0,Kevin Pangos,CLE,False,3-pointer,26,99-85,'DEN',leads
430,430,430,202110270LAC,26.3,7.2,4th quarter,0:12.0,Kevin Pangos,CLE,False,2-pointer,5,92-79,'CLE',leads
535,535,535,202111120CLE,12.8,27.0,4th quarter,0:50.0,Kevin Pangos,CLE,True,3-pointer,26,98-75,'DET',leads
314,314,314,202112080CLE,19.2,8.7,4th quarter,2:23.0,Kevin Pangos,CLE,False,2-pointer,7,113-90,'CLE',leads
795,795,795,202112100MIN,23.8,4.6,4th quarter,3:35.0,Kevin Pangos,CLE,True,2-pointer,1,118-94,'MIN',leads
798,798,798,202112100MIN,11.7,26.4,4th quarter,1:12.0,Kevin Pangos,CLE,True,3-pointer,26,123-104,'MIN',leads
799,799,799,202112100MIN,19.5,28.1,4th quarter,0:42.0,Kevin Pangos,CLE,False,3-pointer,25,123-104,'MIN',leads
800,800,800,202112100MIN,37.3,25.0,4th quarter,0:14.0,Kevin Pangos,CLE,False,3-pointer,25,123-106,'MIN',leads
150,150,150,202112150CLE,24.1,2.6,4th quarter,4:26.0,Kevin Pangos,CLE,True,2-pointer,1,114-79,'HOU',leads
635,635,635,202112180MIL,23.3,22.8,4th quarter,3:03.0,Kevin Pangos,CLE,False,2-pointer,20,112-87,'MIL',leads
639,639,639,202112180MIL,22.7,32.3,4th quarter,0:40.0,Kevin Pangos,CLE,False,3-pointer,29,119-90,'MIL',leads
254,254,254,202112220BOS,35.9,27.7,4th quarter,1:46.0,Kevin Pangos,CLE,True,3-pointer,27,95-109,'BOS',trails
255,255,255,202112220BOS,26.8,12.1,4th quarter,1:15.0,Kevin Pangos,CLE,True,2-pointer,9,97-109,'BOS',trails
329,329,329,202112260CLE,2.2,12.8,3rd quarter,3:33.0,Kevin Pangos,CLE,True,3-pointer,24,106-71,'TOR',leads
333,333,333,202112260CLE,1.2,15.2,3rd quarter,2:15.0,Kevin Pangos,CLE,False,3-pointer,26,106-75,'TOR',leads
339,339,339,202112260CLE,38.9,24.2,4th quarter,10:40.0,Kevin Pangos,CLE,False,3-pointer,26,118-81,'TOR',leads
341,341,341,202112260CLE,46.7,15.2,4th quarter,9:40.0,Kevin Pangos,CLE,True,3-pointer,26,125-81,'TOR',leads
356,356,356,202112260CLE,19.3,27.9,4th quarter,3:24.0,Kevin Pangos,CLE,False,3-pointer,25,136-92,'TOR',leads
359,359,359,202112260CLE,0.8,3.7,4th quarter,2:35.0,Kevin Pangos,CLE,False,3-pointer,23,138-93,'TOR',leads
