Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1652,1652,1652,200010310TOR,7.8,6.9,2nd quarter,1:58.0,Kornél Dávid,TOR,True,2-pointer,16,44-51,'TOR',trails
29,29,29,200011030BOS,25.8,7.6,2nd quarter,8:12.0,Kornél Dávid,TOR,True,2-pointer,3,43-22,'TOR',leads
33,33,33,200011030BOS,36.1,18.3,2nd quarter,6:36.0,Kornél Dávid,TOR,False,2-pointer,18,43-26,'TOR',leads
1994,1994,1994,200011040TOR,24.0,5.0,2nd quarter,10:27.0,Kornél Dávid,TOR,False,2-pointer,0,32-25,'TOR',leads
2000,2000,2000,200011040TOR,7.8,7.6,2nd quarter,6:27.0,Kornél Dávid,TOR,True,2-pointer,16,43-30,'TOR',leads
808,808,808,200011100TOR,24.0,5.0,4th quarter,4:57.0,Kornél Dávid,TOR,True,2-pointer,0,109-79,'TOR',leads
809,809,809,200011100TOR,10.6,7.8,4th quarter,4:34.0,Kornél Dávid,TOR,True,2-pointer,14,111-79,'TOR',leads
811,811,811,200011100TOR,24.0,5.0,4th quarter,3:05.0,Kornél Dávid,TOR,False,2-pointer,0,111-80,'TOR',leads
813,813,813,200011100TOR,23.6,19.4,4th quarter,1:57.0,Kornél Dávid,TOR,False,2-pointer,14,111-84,'TOR',leads
72,72,72,200011110CHI,40.9,17.7,4th quarter,0:20.9,Kornél Dávid,TOR,False,2-pointer,21,98-75,'TOR',leads
443,443,443,200011200TOR,24.0,5.0,2nd quarter,7:01.0,Kornél Dávid,TOR,False,2-pointer,0,26-34,'CHH',trails
494,494,494,200011200TOR,24.0,5.0,4th quarter,1:35.0,Kornél Dávid,TOR,True,2-pointer,0,63-93,'CHH',trails
498,498,498,200011200TOR,24.0,5.0,4th quarter,0:16.9,Kornél Dávid,TOR,False,2-pointer,0,64-100,'CHH',trails
34,34,34,200011290CHH,12.1,10.7,2nd quarter,8:13.0,Kornél Dávid,TOR,False,2-pointer,13,24-35,'CHH',trails
78,78,78,200011290CHH,24.0,5.0,4th quarter,10:20.0,Kornél Dávid,TOR,True,2-pointer,0,66-79,'CHH',trails
90,90,90,200011290CHH,24.0,5.0,4th quarter,2:21.0,Kornél Dávid,TOR,False,2-pointer,0,75-97,'CHH',trails
91,91,91,200011290CHH,9.7,6.3,4th quarter,1:49.0,Kornél Dávid,TOR,False,2-pointer,14,75-99,'CHH',trails
1342,1342,1342,200012010TOR,34.8,12.2,1st quarter,0:19.9,Kornél Dávid,TOR,False,2-pointer,13,16-23,'TOR',trails
1379,1379,1379,200012010TOR,24.0,5.0,3rd quarter,0:05.9,Kornél Dávid,TOR,True,2-pointer,0,65-72,'TOR',trails
498,498,498,200101020LAC,39.9,10.5,1st quarter,1:06.0,Kornél Dávid,TOR,False,2-pointer,17,15-32,'TOR',trails
504,504,504,200101020LAC,24.0,5.0,2nd quarter,9:56.0,Kornél Dávid,TOR,True,2-pointer,0,28-40,'TOR',trails
514,514,514,200101020LAC,24.0,5.0,2nd quarter,5:06.0,Kornél Dávid,TOR,True,2-pointer,0,43-53,'TOR',trails
939,939,939,200101090TOR,24.0,5.0,2nd quarter,7:44.0,Kornél Dávid,TOR,True,2-pointer,0,30-35,'HOU',trails
976,976,976,200101090TOR,24.0,5.0,4th quarter,10:09.0,Kornél Dávid,TOR,True,2-pointer,0,67-89,'HOU',trails
980,980,980,200101090TOR,24.0,5.0,4th quarter,7:30.0,Kornél Dávid,TOR,False,2-pointer,0,69-97,'HOU',trails
992,992,992,200101090TOR,24.0,5.0,4th quarter,1:35.0,Kornél Dávid,TOR,True,2-pointer,0,87-108,'HOU',trails
993,993,993,200101090TOR,24.0,5.0,4th quarter,1:13.0,Kornél Dávid,TOR,True,2-pointer,0,89-108,'HOU',trails
994,994,994,200101090TOR,24.0,5.0,4th quarter,0:51.8,Kornél Dávid,TOR,True,2-pointer,0,91-108,'HOU',trails
175,175,175,200101100DET,30.8,7.1,2nd quarter,2:40.0,Kornél Dávid,TOR,False,2-pointer,7,56-36,'TOR',leads
355,355,355,200103240GSW,24.0,5.0,2nd quarter,8:34.0,Kornél Dávid,DET,True,2-pointer,0,37-38,'DET',trails
371,371,371,200103240GSW,19.4,7.8,2nd quarter,0:50.6,Kornél Dávid,DET,False,2-pointer,5,54-62,'DET',trails
372,372,372,200103240GSW,22.3,6.6,2nd quarter,0:45.1,Kornél Dávid,DET,False,2-pointer,2,54-62,'DET',trails
446,446,446,200103300DET,24.0,5.0,2nd quarter,4:49.0,Kornél Dávid,DET,False,2-pointer,0,43-50,'DET',trails
447,447,447,200103300DET,24.0,5.0,2nd quarter,4:24.0,Kornél Dávid,DET,True,2-pointer,0,45-50,'DET',trails
451,451,451,200103300DET,32.3,13.2,2nd quarter,2:30.0,Kornél Dávid,DET,False,2-pointer,12,50-52,'DET',trails
277,277,277,200104010DET,24.0,5.0,2nd quarter,11:26.0,Kornél Dávid,DET,True,2-pointer,0,39-24,'DET',leads
282,282,282,200104010DET,16.5,20.2,2nd quarter,8:59.0,Kornél Dávid,DET,False,2-pointer,17,45-26,'DET',leads
287,287,287,200104010DET,24.0,5.0,2nd quarter,5:59.0,Kornél Dávid,DET,True,2-pointer,0,51-33,'DET',leads
288,288,288,200104010DET,25.6,11.3,2nd quarter,5:38.0,Kornél Dávid,DET,False,2-pointer,7,51-33,'DET',leads
330,330,330,200104010DET,10.2,6.9,4th quarter,7:45.0,Kornél Dávid,DET,False,2-pointer,14,102-73,'DET',leads
459,459,459,200104040DET,24.0,5.0,2nd quarter,5:21.0,Kornél Dávid,DET,True,2-pointer,0,27-36,DET,trails
463,463,463,200104040DET,7.2,10.7,2nd quarter,1:39.0,Kornél Dávid,DET,False,2-pointer,18,37-39,DET,trails
415,415,415,200104110DET,24.0,5.0,1st quarter,0:20.3,Kornél Dávid,DET,True,2-pointer,0,29-31,'TOR',trails
23,23,23,200104140ATL,33.4,22.7,1st quarter,0:03.4,Kornél Dávid,DET,False,2-pointer,20,28-22,'DET',leads
