Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
937,937,937,201712200DAL,1.7,17.7,2nd quarter,7:20.0,Kyle Collinsworth,DAL,True,3-pointer,26,38-38,'DAL',tied
976,976,976,201712200DAL,21.5,4.5,4th quarter,4:27.0,Kyle Collinsworth,DAL,False,2-pointer,2,102-80,'DAL',leads
225,225,225,201801160DEN,26.2,5.7,2nd quarter,11:03.0,Kyle Collinsworth,DAL,True,2-pointer,3,29-33,'DAL',trails
489,489,489,201801220DAL,22.5,5.6,3rd quarter,1:22.0,Kyle Collinsworth,DAL,True,2-pointer,3,67-54,'DAL',leads
493,493,493,201801220DAL,23.1,4.0,4th quarter,9:55.0,Kyle Collinsworth,DAL,True,2-pointer,1,77-55,'DAL',leads
494,494,494,201801240DAL,23.4,6.5,4th quarter,11:14.0,Kyle Collinsworth,DAL,False,2-pointer,3,67-85,'HOU',trails
515,515,515,201801240DAL,24.0,2.4,4th quarter,0:04.0,Kyle Collinsworth,DAL,True,2-pointer,0,97-104,'HOU',trails
635,635,635,201801260DAL,23.8,4.5,2nd quarter,8:27.0,Kyle Collinsworth,DAL,True,2-pointer,1,31-25,'POR',leads
674,674,674,201801260DAL,20.5,6.1,4th quarter,10:30.0,Kyle Collinsworth,DAL,False,2-pointer,4,70-77,'POR',trails
676,676,676,201801260DAL,24.0,4.3,4th quarter,9:11.0,Kyle Collinsworth,DAL,False,2-pointer,1,72-82,'POR',trails
186,186,186,201801270DEN,23.1,7.5,1st quarter,4:14.0,Kyle Collinsworth,DAL,True,2-pointer,4,15-25,'DAL',trails
189,189,189,201801270DEN,21.8,5.2,1st quarter,2:29.0,Kyle Collinsworth,DAL,True,2-pointer,3,22-27,'DAL',trails
234,234,234,201801270DEN,10.6,24.7,3rd quarter,0:59.0,Kyle Collinsworth,DAL,True,3-pointer,25,69-66,'DAL',leads
300,300,300,201801290DAL,26.0,5.0,3rd quarter,0:35.0,Kyle Collinsworth,DAL,False,2-pointer,2,61-75,'MIA',trails
1025,1025,1025,201801310PHO,45.4,15.2,3rd quarter,0:58.0,Kyle Collinsworth,DAL,False,3-pointer,24,61-81,'DAL',trails
1050,1050,1050,201801310PHO,23.9,3.1,4th quarter,1:50.0,Kyle Collinsworth,DAL,True,2-pointer,0,86-97,'DAL',trails
