Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1392,1392,1392,201101210SAS,1.9,5.9,1st quarter,2:03.0,Larry Owens,SAS,False,3-pointer,22,21-22,'SAS',trails
1416,1416,1416,201101210SAS,47.4,7.8,2nd quarter,2:28.0,Larry Owens,SAS,True,3-pointer,24,54-44,'SAS',leads
1353,1353,1353,201101220NOH,22.9,20.3,4th quarter,3:11.0,Larry Owens,SAS,True,2-pointer,15,67-89,'SAS',trails
1354,1354,1354,201101220NOH,23.2,13.2,4th quarter,2:13.0,Larry Owens,SAS,True,2-pointer,8,69-91,'SAS',trails
238,238,238,201101240GSW,47.0,16.9,4th quarter,0:27.9,Larry Owens,SAS,False,3-pointer,26,113-102,'SAS',leads
414,414,414,201102010POR,24.0,11.1,4th quarter,0:22.9,Larry Owens,SAS,False,2-pointer,6,86-99,'SAS',trails
693,693,693,201104060IND,23.0,10.6,2nd quarter,4:03.0,Larry Owens,WAS,False,2-pointer,6,45-62,'IND',trails
695,695,695,201104060IND,29.0,15.5,2nd quarter,3:25.0,Larry Owens,WAS,True,2-pointer,12,47-64,'IND',trails
726,726,726,201104060IND,41.9,10.8,4th quarter,8:27.0,Larry Owens,WAS,True,2-pointer,19,93-117,'IND',trails
728,728,728,201104060IND,18.3,9.1,4th quarter,6:55.0,Larry Owens,WAS,True,2-pointer,7,96-121,'IND',trails
733,733,733,201104060IND,48.2,7.6,4th quarter,2:57.0,Larry Owens,WAS,True,3-pointer,24,107-126,'IND',trails
23,23,23,201104080BOS,24.2,4.7,2nd quarter,7:33.0,Larry Owens,WAS,False,2-pointer,0,35-38,'BOS',trails
29,29,29,201104080BOS,32.0,8.9,2nd quarter,5:25.0,Larry Owens,WAS,False,2-pointer,9,38-47,'BOS',trails
56,56,56,201104080BOS,1.4,5.9,4th quarter,11:11.0,Larry Owens,WAS,False,3-pointer,23,75-85,'BOS',trails
60,60,60,201104080BOS,27.4,6.2,4th quarter,9:16.0,Larry Owens,WAS,True,2-pointer,4,79-85,'BOS',trails
757,757,757,201104090WAS,47.4,3.3,2nd quarter,9:58.0,Larry Owens,WAS,True,3-pointer,23,36-22,'WAS',leads
758,758,758,201104090WAS,24.1,5.3,2nd quarter,9:37.0,Larry Owens,WAS,True,2-pointer,0,38-22,'WAS',leads
762,762,762,201104090WAS,24.1,8.7,2nd quarter,7:35.0,Larry Owens,WAS,False,2-pointer,4,44-25,'WAS',leads
800,800,800,201104090WAS,42.9,4.4,4th quarter,9:24.0,Larry Owens,WAS,False,2-pointer,19,91-72,'WAS',leads
804,804,804,201104090WAS,39.7,4.7,4th quarter,8:21.0,Larry Owens,WAS,True,2-pointer,16,96-72,'WAS',leads
805,805,805,201104090WAS,40.3,8.6,4th quarter,7:15.0,Larry Owens,WAS,False,2-pointer,17,96-75,'WAS',leads
810,810,810,201104090WAS,2.7,17.9,4th quarter,4:17.0,Larry Owens,WAS,True,3-pointer,25,109-77,'WAS',leads
1768,1768,1768,201104110WAS,24.2,4.2,4th quarter,11:39.0,Larry Owens,WAS,True,2-pointer,1,62-60,'BOS',leads
1774,1774,1774,201104110WAS,48.2,5.6,4th quarter,7:27.0,Larry Owens,WAS,True,3-pointer,24,71-66,'BOS',leads
1777,1777,1777,201104110WAS,1.1,9.2,4th quarter,6:01.0,Larry Owens,WAS,False,3-pointer,23,71-68,'BOS',leads
518,518,518,201104130CLE,43.0,11.4,2nd quarter,5:59.0,Larry Owens,WAS,False,2-pointer,20,42-33,'CLE',leads
524,524,524,201104130CLE,41.1,22.8,2nd quarter,4:14.0,Larry Owens,WAS,False,3-pointer,25,46-37,'CLE',leads
560,560,560,201104130CLE,0.8,11.6,4th quarter,6:44.0,Larry Owens,WAS,True,3-pointer,24,83-84,'CLE',trails
565,565,565,201104130CLE,47.1,6.4,4th quarter,4:17.0,Larry Owens,WAS,False,3-pointer,23,87-91,'CLE',trails
567,567,567,201104130CLE,23.6,12.4,4th quarter,3:31.0,Larry Owens,WAS,False,2-pointer,7,87-93,'CLE',trails
571,571,571,201104130CLE,15.9,11.0,4th quarter,1:14.0,Larry Owens,WAS,False,2-pointer,10,91-98,'CLE',trails
160,160,160,201201230CHI,15.9,24.4,1st quarter,0:31.4,Larry Owens,NJN,True,2-pointer,21,18-26,'NJN',trails
186,186,186,201201230CHI,27.4,29.4,3rd quarter,7:55.0,Larry Owens,NJN,True,3-pointer,25,50-68,'NJN',trails
196,196,196,201201230CHI,7.9,3.4,3rd quarter,2:20.0,Larry Owens,NJN,False,2-pointer,16,64-79,'NJN',trails
198,198,198,201201230CHI,14.8,16.6,3rd quarter,0:39.5,Larry Owens,NJN,False,2-pointer,15,66-85,'NJN',trails
205,205,205,201201230CHI,39.2,25.3,4th quarter,8:47.0,Larry Owens,NJN,False,3-pointer,25,73-90,'NJN',trails
1290,1290,1290,201201250PHI,25.8,26.1,1st quarter,0:17.9,Larry Owens,NJN,False,2-pointer,21,22-18,'NJN',leads
369,369,369,201201270CLE,3.5,19.6,2nd quarter,8:00.0,Larry Owens,NJN,False,3-pointer,25,32-22,'NJN',leads
957,957,957,201201290NJN,25.2,4.8,2nd quarter,2:04.0,Larry Owens,NJN,True,2-pointer,1,35-42,'NJN',trails
989,989,989,201201290NJN,1.4,6.5,4th quarter,3:46.0,Larry Owens,NJN,True,3-pointer,23,68-86,'NJN',trails
994,994,994,201201290NJN,25.7,6.7,4th quarter,0:52.9,Larry Owens,NJN,False,2-pointer,2,71-92,'NJN',trails
367,367,367,201201310IND,47.7,9.4,3rd quarter,4:39.0,Larry Owens,NJN,False,3-pointer,24,66-75,'IND',trails
