Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1318,1318,1318,201010270NOH,39.7,6.1,1st quarter,0:33.8,Larry Sanders,MIL,False,2-pointer,16,27-29,'NOH',trails
991,991,991,201010290MIN,13.2,24.0,2nd quarter,5:03.0,Larry Sanders,MIL,False,2-pointer,22,40-39,'MIN',leads
996,996,996,201010290MIN,23.2,5.6,2nd quarter,3:22.0,Larry Sanders,MIL,True,2-pointer,1,42-43,'MIN',trails
997,997,997,201010290MIN,38.6,10.3,2nd quarter,3:02.0,Larry Sanders,MIL,False,2-pointer,16,42-45,'MIN',trails
999,999,999,201010290MIN,23.2,6.1,2nd quarter,1:27.0,Larry Sanders,MIL,True,2-pointer,1,46-50,'MIN',trails
802,802,802,201011020MIL,10.9,17.3,4th quarter,3:46.0,Larry Sanders,MIL,True,2-pointer,18,74-86,'POR',trails
803,803,803,201011020MIL,11.7,13.6,4th quarter,3:06.0,Larry Sanders,MIL,False,2-pointer,15,74-88,'POR',trails
804,804,804,201011020MIL,24.0,6.2,4th quarter,3:02.0,Larry Sanders,MIL,False,2-pointer,1,74-88,'POR',trails
672,672,672,201011090MIL,24.6,5.7,4th quarter,4:55.0,Larry Sanders,MIL,True,2-pointer,1,98-75,'NYK',leads
678,678,678,201011090MIL,26.4,10.2,4th quarter,1:39.0,Larry Sanders,MIL,False,2-pointer,6,102-77,'NYK',leads
681,681,681,201011090MIL,31.7,20.3,4th quarter,0:25.8,Larry Sanders,MIL,False,2-pointer,17,107-77,'NYK',leads
85,85,85,201011100ATL,42.4,8.6,4th quarter,0:58.5,Larry Sanders,MIL,True,2-pointer,19,108-89,'MIL',leads
1003,1003,1003,201011190PHI,12.1,18.8,3rd quarter,1:35.0,Larry Sanders,MIL,False,2-pointer,18,57-72,'MIL',trails
1004,1004,1004,201011190PHI,7.4,11.0,3rd quarter,0:57.9,Larry Sanders,MIL,False,2-pointer,18,57-72,'MIL',trails
329,329,329,201011240CLE,24.0,5.3,1st quarter,0:16.9,Larry Sanders,MIL,True,2-pointer,0,22-19,'CLE',leads
330,330,330,201011240CLE,38.9,16.2,2nd quarter,11:05.0,Larry Sanders,MIL,True,2-pointer,19,24-21,'CLE',leads
336,336,336,201011240CLE,9.8,14.7,2nd quarter,8:28.0,Larry Sanders,MIL,True,2-pointer,17,30-24,'CLE',leads
337,337,337,201011240CLE,11.8,8.0,2nd quarter,7:51.0,Larry Sanders,MIL,False,2-pointer,13,30-26,'CLE',leads
344,344,344,201011240CLE,24.0,10.8,2nd quarter,4:12.0,Larry Sanders,MIL,False,2-pointer,6,38-30,'CLE',leads
345,345,345,201011240CLE,23.6,5.0,2nd quarter,3:09.0,Larry Sanders,MIL,True,2-pointer,0,41-30,'CLE',leads
347,347,347,201011240CLE,10.2,13.2,2nd quarter,2:03.0,Larry Sanders,MIL,False,2-pointer,16,41-32,'CLE',leads
