Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
76,76,76,200703130ATL,14.0,5.3,4th quarter,1:32.0,Lou Amundson,PHI,False,2-pointer,10,87-102,'ATL',trails
921,921,921,200703180PHI,24.0,5.0,4th quarter,5:10.0,Lou Amundson,PHI,False,2-pointer,0,65-107,'HOU',trails
922,922,922,200703180PHI,10.4,11.3,4th quarter,4:16.0,Lou Amundson,PHI,False,2-pointer,15,67-110,'HOU',trails
585,585,585,200704080PHI,24.0,5.0,2nd quarter,4:57.0,Lou Amundson,PHI,False,2-pointer,0,34-40,'ATL',trails
586,586,586,200704080PHI,23.8,9.1,2nd quarter,4:53.0,Lou Amundson,PHI,False,2-pointer,4,34-40,'ATL',trails
183,183,183,200704150DET,24.0,5.0,2nd quarter,8:28.0,Lou Amundson,PHI,False,2-pointer,0,29-32,'DET',trails
193,193,193,200704150DET,24.0,5.0,2nd quarter,4:00.0,Lou Amundson,PHI,True,2-pointer,0,40-37,'DET',leads
197,197,197,200704150DET,24.0,5.0,2nd quarter,1:50.0,Lou Amundson,PHI,True,2-pointer,0,44-41,'DET',leads
198,198,198,200704150DET,24.0,5.0,2nd quarter,1:26.0,Lou Amundson,PHI,True,2-pointer,0,46-44,'DET',leads
236,236,236,200704150DET,24.0,5.0,4th quarter,7:01.0,Lou Amundson,PHI,False,2-pointer,0,92-77,'DET',leads
240,240,240,200704150DET,24.0,5.0,4th quarter,4:30.0,Lou Amundson,PHI,True,2-pointer,0,98-81,'DET',leads
246,246,246,200704150DET,24.0,5.0,4th quarter,0:54.9,Lou Amundson,PHI,False,2-pointer,0,102-91,'DET',leads
571,571,571,200704170PHI,24.0,5.0,2nd quarter,11:26.0,Lou Amundson,PHI,True,2-pointer,0,27-28,'CLE',trails
1940,1940,1940,200704180TOR,24.0,5.0,2nd quarter,8:57.0,Lou Amundson,PHI,True,2-pointer,0,33-34,'TOR',trails
1966,1966,1966,200704180TOR,24.0,5.0,3rd quarter,5:11.0,Lou Amundson,PHI,False,2-pointer,0,75-80,'TOR',trails
233,233,233,200711130DAL,24.0,5.0,4th quarter,2:11.0,Lou Amundson,PHI,True,2-pointer,0,78-97,'DAL',trails
234,234,234,200711130DAL,24.0,5.0,4th quarter,1:26.0,Lou Amundson,PHI,True,2-pointer,0,80-97,'DAL',trails
1213,1213,1213,200711200WAS,24.0,5.0,4th quarter,9:23.0,Lou Amundson,PHI,True,2-pointer,0,74-102,'WAS',trails
1224,1224,1224,200711200WAS,25.5,3.4,4th quarter,3:51.0,Lou Amundson,PHI,True,2-pointer,2,87-110,'WAS',trails
445,445,445,200712100PHI,16.3,16.4,4th quarter,7:37.0,Lou Amundson,PHI,False,2-pointer,14,88-69,'HOU',leads
1268,1268,1268,200712260PHI,24.0,5.0,2nd quarter,7:55.0,Lou Amundson,PHI,False,2-pointer,0,34-22,'MIA',leads
244,244,244,200801060DEN,24.0,5.0,4th quarter,0:21.9,Lou Amundson,PHI,False,2-pointer,0,96-109,'DEN',trails
740,740,740,200802190MIN,24.0,5.0,4th quarter,1:13.0,Lou Amundson,PHI,True,2-pointer,0,86-102,'MIN',trails
741,741,741,200802190MIN,24.0,5.0,4th quarter,0:42.2,Lou Amundson,PHI,True,2-pointer,0,88-104,'MIN',trails
1117,1117,1117,200802290GSW,32.4,6.5,4th quarter,0:12.9,Lou Amundson,PHI,False,2-pointer,9,97-119,'GSW',trails
76,76,76,200803030LAC,24.0,5.0,4th quarter,0:45.9,Lou Amundson,PHI,False,2-pointer,0,103-78,'PHI',leads
1439,1439,1439,200803070PHI,30.6,6.0,4th quarter,4:45.0,Lou Amundson,PHI,True,2-pointer,7,107-72,'SEA',leads
1440,1440,1440,200803070PHI,17.9,5.3,4th quarter,4:06.0,Lou Amundson,PHI,False,2-pointer,6,107-72,'SEA',leads
1442,1442,1442,200803070PHI,24.0,5.0,4th quarter,2:44.0,Lou Amundson,PHI,True,2-pointer,0,111-76,'SEA',leads
1445,1445,1445,200803070PHI,24.0,5.0,4th quarter,0:45.9,Lou Amundson,PHI,False,2-pointer,0,117-81,'SEA',leads
231,231,231,200804160CHA,24.0,5.0,4th quarter,6:56.0,Lou Amundson,PHI,False,2-pointer,0,89-93,'CHA',trails
219,219,219,200804230DET,24.0,5.0,4th quarter,2:33.0,Lou Amundson,PHI,True,2-pointer,0,83-98,'DET',trails
133,133,133,200805010PHI,24.0,5.0,4th quarter,2:31.0,Lou Amundson,PHI,False,2-pointer,0,73-98,'DET',trails
134,134,134,200805010PHI,24.0,5.0,4th quarter,2:07.0,Lou Amundson,PHI,False,2-pointer,0,73-98,'DET',trails
139,139,139,200805010PHI,24.0,5.0,4th quarter,0:08.2,Lou Amundson,PHI,True,2-pointer,0,77-100,'DET',trails
361,361,361,200811050IND,13.7,19.8,2nd quarter,9:18.0,Lou Amundson,PHO,True,2-pointer,18,35-40,'IND',trails
365,365,365,200811050IND,23.5,4.7,2nd quarter,8:23.0,Lou Amundson,PHO,True,2-pointer,1,37-43,'IND',trails
376,376,376,200811050IND,25.2,6.5,2nd quarter,1:00.0,Lou Amundson,PHO,False,2-pointer,2,57-62,'IND',trails
481,481,481,200811070CHI,15.9,17.4,2nd quarter,3:07.0,Lou Amundson,PHO,True,2-pointer,15,28-42,'PHO',trails
482,482,482,200811070CHI,24.0,5.0,2nd quarter,1:59.0,Lou Amundson,PHO,True,2-pointer,0,32-45,'PHO',trails
484,484,484,200811070CHI,24.0,5.0,2nd quarter,1:05.0,Lou Amundson,PHO,False,2-pointer,0,32-46,'PHO',trails
512,512,512,200811070CHI,11.2,10.8,4th quarter,7:49.0,Lou Amundson,PHO,False,2-pointer,14,65-87,'PHO',trails
514,514,514,200811070CHI,24.9,19.0,4th quarter,6:35.0,Lou Amundson,PHO,False,2-pointer,14,65-92,'PHO',trails
525,525,525,200811070CHI,24.0,5.0,4th quarter,2:09.0,Lou Amundson,PHO,False,2-pointer,0,79-96,'PHO',trails
527,527,527,200811070CHI,24.4,16.5,4th quarter,0:43.6,Lou Amundson,PHO,True,2-pointer,12,82-100,'PHO',trails
