Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1502,1502,1502,200701120PHI,5.4,10.9,3rd quarter,0:42.9,Lynn Greer,MIL,False,2-pointer,20,74-84,MIL,trails
1523,1523,1523,200701120PHI,38.8,16.5,4th quarter,1:37.0,Lynn Greer,MIL,True,2-pointer,19,95-108,MIL,trails
1525,1525,1525,200701120PHI,22.0,8.5,4th quarter,0:01.0,Lynn Greer,MIL,False,2-pointer,4,97-110,MIL,trails
1487,1487,1487,200701190SEA,22.9,8.6,2nd quarter,10:11.0,Lynn Greer,MIL,False,2-pointer,4,14-30,'SEA',trails
1523,1523,1523,200701190SEA,28.9,5.8,3rd quarter,2:56.0,Lynn Greer,MIL,True,2-pointer,5,45-72,'SEA',trails
1527,1527,1527,200701190SEA,25.1,24.2,3rd quarter,0:43.9,Lynn Greer,MIL,False,2-pointer,19,49-77,'SEA',trails
1539,1539,1539,200701190SEA,9.5,15.2,4th quarter,7:44.0,Lynn Greer,MIL,False,2-pointer,18,57-85,'SEA',trails
1546,1546,1546,200701190SEA,44.5,20.8,4th quarter,4:26.0,Lynn Greer,MIL,False,3-pointer,26,66-95,'SEA',trails
1549,1549,1549,200701190SEA,35.2,18.0,4th quarter,2:55.0,Lynn Greer,MIL,False,2-pointer,17,66-95,'SEA',trails
1553,1553,1553,200701190SEA,20.6,23.9,4th quarter,0:37.8,Lynn Greer,MIL,True,2-pointer,19,72-99,'SEA',trails
532,532,532,200701210POR,43.7,18.8,2nd quarter,4:48.0,Lynn Greer,MIL,False,3-pointer,24,35-48,'POR',trails
229,229,229,200701230LAC,24.0,5.0,4th quarter,6:14.0,Lynn Greer,MIL,True,2-pointer,0,78-101,'MIL',trails
231,231,231,200701230LAC,43.5,6.2,4th quarter,5:13.0,Lynn Greer,MIL,False,2-pointer,20,81-103,'MIL',trails
238,238,238,200701230LAC,24.0,5.0,4th quarter,0:02.9,Lynn Greer,MIL,False,2-pointer,0,96-115,'MIL',trails
1192,1192,1192,200701240SAC,24.1,25.7,2nd quarter,6:47.0,Lynn Greer,MIL,False,2-pointer,21,36-42,SAC,trails
1194,1194,1194,200701240SAC,11.2,14.7,2nd quarter,6:03.0,Lynn Greer,MIL,True,2-pointer,16,40-44,SAC,trails
587,587,587,200701260MIL,14.0,17.8,1st quarter,0:06.9,Lynn Greer,MIL,False,2-pointer,16,16-20,'PHO',trails
592,592,592,200701260MIL,1.0,6.3,2nd quarter,9:37.0,Lynn Greer,MIL,True,3-pointer,23,26-32,'PHO',trails
597,597,597,200701260MIL,11.2,27.9,2nd quarter,6:32.0,Lynn Greer,MIL,False,3-pointer,26,34-37,'PHO',trails
599,599,599,200701260MIL,24.0,5.0,2nd quarter,5:30.0,Lynn Greer,MIL,True,2-pointer,0,36-39,'PHO',trails
542,542,542,200701300MIA,2.6,18.3,4th quarter,4:49.0,Lynn Greer,MIL,False,3-pointer,25,73-102,MIA,trails
543,543,543,200701300MIA,34.8,12.4,4th quarter,3:56.0,Lynn Greer,MIL,False,2-pointer,13,73-105,MIA,trails
1512,1512,1512,200701310ORL,42.9,21.6,4th quarter,0:03.8,Lynn Greer,MIL,False,3-pointer,25,73-98,'ORL',trails
798,798,798,200702030MIL,13.8,18.7,4th quarter,0:51.3,Lynn Greer,MIL,True,2-pointer,17,98-117,'MIA',trails
398,398,398,200702100MIL,41.2,5.0,1st quarter,7:57.0,Lynn Greer,MIL,False,2-pointer,17,7-7,DEN,tied
400,400,400,200702100MIL,6.1,8.0,1st quarter,6:57.0,Lynn Greer,MIL,False,2-pointer,18,7-9,DEN,trails
404,404,404,200702100MIL,24.0,5.0,1st quarter,5:07.0,Lynn Greer,MIL,True,2-pointer,0,11-13,DEN,trails
416,416,416,200702100MIL,0.5,4.1,2nd quarter,10:24.0,Lynn Greer,MIL,False,3-pointer,24,26-27,DEN,trails
65,65,65,200702140BOS,22.7,4.9,4th quarter,3:56.0,Lynn Greer,MIL,False,2-pointer,1,88-105,BOS,trails
71,71,71,200702140BOS,8.2,20.3,4th quarter,1:08.0,Lynn Greer,MIL,True,2-pointer,22,94-114,BOS,trails
72,72,72,200702140BOS,23.7,23.1,4th quarter,0:47.9,Lynn Greer,MIL,False,2-pointer,18,94-117,BOS,trails
625,625,625,200702240MIL,24.0,5.0,4th quarter,5:22.0,Lynn Greer,MIL,False,2-pointer,0,99-71,'MIL',leads
626,626,626,200702240MIL,37.5,14.2,4th quarter,4:36.0,Lynn Greer,MIL,False,2-pointer,16,101-73,'MIL',leads
632,632,632,200702240MIL,2.3,19.6,4th quarter,0:26.9,Lynn Greer,MIL,False,3-pointer,26,109-90,'MIL',leads
517,517,517,200702270MIL,8.4,26.2,4th quarter,1:32.0,Lynn Greer,MIL,True,3-pointer,26,117-95,'MIL',leads
518,518,518,200702270MIL,47.0,5.8,4th quarter,0:39.6,Lynn Greer,MIL,True,3-pointer,23,122-97,'MIL',leads
520,520,520,200702270MIL,37.3,28.5,4th quarter,0:15.9,Lynn Greer,MIL,False,3-pointer,27,122-99,'MIL',leads
634,634,634,200703050ORL,24.0,5.0,2nd quarter,8:15.0,Lynn Greer,MIL,True,2-pointer,0,19-28,'ORL',trails
637,637,637,200703050ORL,24.0,5.0,2nd quarter,7:32.0,Lynn Greer,MIL,False,2-pointer,0,19-30,'ORL',trails
642,642,642,200703050ORL,25.5,30.2,2nd quarter,5:39.0,Lynn Greer,MIL,False,3-pointer,25,23-34,'ORL',trails
648,648,648,200703050ORL,17.8,10.9,2nd quarter,0:53.3,Lynn Greer,MIL,True,2-pointer,9,31-49,'ORL',trails
649,649,649,200703050ORL,17.6,9.8,2nd quarter,0:21.0,Lynn Greer,MIL,True,2-pointer,8,34-49,'ORL',trails
679,679,679,200703050ORL,13.5,23.4,4th quarter,4:01.0,Lynn Greer,MIL,False,2-pointer,21,68-91,'ORL',trails
