Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1521,1521,1521,201610260PHO,33.4,18.9,4th quarter,1:02.0,Malachi Richardson,SAC,False,2-pointer,18,113-89,'SAC',leads
587,587,587,201611050MIL,33.4,26.7,4th quarter,3:46.0,Malachi Richardson,SAC,False,3-pointer,25,83-109,'SAC',trails
590,590,590,201611050MIL,0.5,3.0,4th quarter,2:10.0,Malachi Richardson,SAC,True,3-pointer,23,88-114,'SAC',trails
591,591,591,201611050MIL,-0.3,13.1,4th quarter,1:21.0,Malachi Richardson,SAC,False,3-pointer,26,88-117,'SAC',trails
400,400,400,201612140HOU,33.4,21.8,4th quarter,8:36.0,Malachi Richardson,SAC,False,2-pointer,21,71-107,'HOU',trails
407,407,407,201612140HOU,46.8,13.6,4th quarter,4:22.0,Malachi Richardson,SAC,False,3-pointer,25,84-120,'HOU',trails
409,409,409,201612140HOU,23.9,22.3,4th quarter,3:35.0,Malachi Richardson,SAC,True,2-pointer,19,89-123,'HOU',trails
413,413,413,201612140HOU,44.2,19.9,4th quarter,2:02.0,Malachi Richardson,SAC,True,3-pointer,26,94-127,'HOU',trails
417,417,417,201612140HOU,45.8,15.1,4th quarter,0:05.0,Malachi Richardson,SAC,False,3-pointer,25,98-132,'HOU',trails
814,814,814,201612310SAC,38.1,23.8,3rd quarter,0:21.0,Malachi Richardson,SAC,False,3-pointer,25,64-79,'SAC',trails
826,826,826,201612310SAC,9.8,10.0,4th quarter,2:46.0,Malachi Richardson,SAC,True,2-pointer,16,91-109,'SAC',trails
827,827,827,201612310SAC,38.1,24.0,4th quarter,1:01.0,Malachi Richardson,SAC,True,3-pointer,25,96-109,'SAC',trails
829,829,829,201612310SAC,6.2,32.3,4th quarter,0:00.0,Malachi Richardson,SAC,False,3-pointer,34,98-112,'SAC',trails
918,918,918,201701200MEM,41.3,22.5,4th quarter,1:30.0,Malachi Richardson,SAC,False,3-pointer,26,85-107,'SAC',trails
377,377,377,201701210CHI,35.2,17.4,2nd quarter,9:17.0,Malachi Richardson,SAC,True,2-pointer,18,27-32,'SAC',trails
380,380,380,201701210CHI,3.5,20.0,2nd quarter,7:15.0,Malachi Richardson,SAC,False,3-pointer,27,34-34,'SAC',tied
538,538,538,201701230DET,24.0,3.7,2nd quarter,10:22.0,Malachi Richardson,SAC,True,2-pointer,1,35-42,'SAC',trails
543,543,543,201701230DET,29.5,5.3,2nd quarter,8:27.0,Malachi Richardson,SAC,False,2-pointer,6,44-44,'SAC',tied
579,579,579,201701230DET,28.5,12.0,4th quarter,11:29.0,Malachi Richardson,SAC,False,2-pointer,10,88-81,'SAC',leads
585,585,585,201701230DET,23.6,3.3,4th quarter,7:47.0,Malachi Richardson,SAC,True,2-pointer,1,98-90,'SAC',leads
700,700,700,201701250CLE,3.6,12.7,2nd quarter,10:09.0,Malachi Richardson,SAC,True,2-pointer,23,26-29,'SAC',trails
704,704,704,201701250CLE,23.6,3.2,2nd quarter,7:53.0,Malachi Richardson,SAC,True,2-pointer,0,34-32,'SAC',leads
705,705,705,201701250CLE,35.7,25.4,2nd quarter,7:26.0,Malachi Richardson,SAC,False,3-pointer,25,35-32,'SAC',leads
709,709,709,201701250CLE,7.5,10.5,2nd quarter,5:54.0,Malachi Richardson,SAC,True,2-pointer,18,39-33,'SAC',leads
712,712,712,201701250CLE,9.0,-0.1,2nd quarter,4:20.0,Malachi Richardson,SAC,True,2-pointer,15,41-36,'SAC',leads
741,741,741,201701250CLE,4.8,21.0,4th quarter,11:07.0,Malachi Richardson,SAC,True,3-pointer,26,82-83,'SAC',trails
708,708,708,201701270IND,0.8,2.9,1st quarter,0:28.0,Malachi Richardson,SAC,True,3-pointer,23,27-27,'IND',tied
