Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
740,740,740,201712200CHO,14.2,28.1,4th quarter,3:47.0,Malcolm Miller,TOR,False,3-pointer,26,122-99,'TOR',leads
743,743,743,201712200CHO,0.3,4.6,4th quarter,2:11.0,Malcolm Miller,TOR,False,3-pointer,23,124-106,'TOR',leads
686,686,686,201801110TOR,1.3,8.9,4th quarter,5:30.0,Malcolm Miller,TOR,True,3-pointer,23,118-85,'TOR',leads
690,690,690,201801110TOR,24.0,2.4,4th quarter,3:18.0,Malcolm Miller,TOR,False,2-pointer,0,121-89,'TOR',leads
693,693,693,201801110TOR,45.2,16.4,4th quarter,2:03.0,Malcolm Miller,TOR,True,3-pointer,25,126-92,'TOR',leads
1570,1570,1570,201802260TOR,1.4,2.8,4th quarter,5:23.0,Malcolm Miller,TOR,False,3-pointer,22,109-83,'TOR',leads
1578,1578,1578,201802260TOR,10.6,23.8,4th quarter,1:01.0,Malcolm Miller,TOR,False,3-pointer,24,123-92,'TOR',leads
1550,1550,1550,201803020WAS,0.3,14.3,2nd quarter,7:50.0,Malcolm Miller,TOR,True,3-pointer,26,35-32,'TOR',leads
968,968,968,201803040TOR,30.3,28.3,1st quarter,8:03.0,Malcolm Miller,TOR,False,3-pointer,26,13-6,'TOR',leads
969,969,969,201803040TOR,46.6,5.5,1st quarter,7:45.0,Malcolm Miller,TOR,False,3-pointer,22,13-6,'TOR',leads
1126,1126,1126,201803060TOR,33.8,25.7,1st quarter,11:01.0,Malcolm Miller,TOR,False,3-pointer,24,0-5,'TOR',trails
1131,1131,1131,201803060TOR,1.5,1.5,1st quarter,7:05.0,Malcolm Miller,TOR,True,3-pointer,22,10-11,'TOR',trails
1184,1184,1184,201803060TOR,5.8,21.3,3rd quarter,6:26.0,Malcolm Miller,TOR,False,3-pointer,25,63-63,'TOR',tied
407,407,407,201803070DET,7.5,25.1,4th quarter,8:17.0,Malcolm Miller,TOR,False,3-pointer,27,90-90,'TOR',tied
408,408,408,201803070DET,24.0,2.9,4th quarter,7:59.0,Malcolm Miller,TOR,True,2-pointer,0,92-90,'TOR',leads
1634,1634,1634,201803090TOR,40.9,22.0,2nd quarter,8:54.0,Malcolm Miller,TOR,True,3-pointer,25,40-23,'HOU',leads
1635,1635,1635,201803090TOR,25.0,3.8,2nd quarter,8:19.0,Malcolm Miller,TOR,True,2-pointer,1,42-25,'HOU',leads
1636,1636,1636,201803090TOR,25.0,2.6,2nd quarter,8:00.0,Malcolm Miller,TOR,True,2-pointer,1,44-25,'HOU',leads
1477,1477,1477,201803110NYK,38.5,23.6,2nd quarter,2:39.0,Malcolm Miller,TOR,True,3-pointer,25,55-48,'NYK',leads
1480,1480,1480,201803110NYK,0.8,1.9,2nd quarter,0:00.0,Malcolm Miller,TOR,True,3-pointer,23,65-57,'NYK',leads
1513,1513,1513,201803110NYK,1.2,6.9,4th quarter,6:45.0,Malcolm Miller,TOR,False,3-pointer,23,120-96,'NYK',leads
1523,1523,1523,201803110NYK,24.2,4.5,4th quarter,1:48.0,Malcolm Miller,TOR,True,2-pointer,1,132-102,'NYK',leads
213,213,213,201803130BRK,36.0,27.0,2nd quarter,3:22.0,Malcolm Miller,TOR,False,3-pointer,26,51-55,'TOR',trails
543,543,543,201803150IND,24.2,3.9,1st quarter,8:32.0,Malcolm Miller,TOR,True,2-pointer,0,11-4,'IND',leads
581,581,581,201803150IND,23.5,5.0,3rd quarter,7:25.0,Malcolm Miller,TOR,False,2-pointer,2,57-65,'IND',trails
972,972,972,201803160TOR,28.6,28.7,1st quarter,0:08.0,Malcolm Miller,TOR,False,3-pointer,26,29-27,'DAL',leads
976,976,976,201803160TOR,23.9,27.9,2nd quarter,9:43.0,Malcolm Miller,TOR,False,3-pointer,24,34-32,'DAL',leads
980,980,980,201803160TOR,46.1,17.4,2nd quarter,8:03.0,Malcolm Miller,TOR,True,3-pointer,26,42-38,'DAL',leads
535,535,535,201902260TOR,11.9,27.5,4th quarter,1:42.0,Malcolm Miller,TOR,True,3-pointer,27,116-92,'TOR',leads
536,536,536,201902260TOR,42.3,22.5,4th quarter,1:13.0,Malcolm Miller,TOR,False,3-pointer,27,116-92,'TOR',leads
