Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1821,1821,1821,201112260WAS,46.3,13.9,2nd quarter,11:33.0,MarShon Brooks,NJN,False,3-pointer,24,13-26,'NJN',trails
1825,1825,1825,201112260WAS,25.4,7.5,2nd quarter,9:16.0,MarShon Brooks,NJN,False,2-pointer,3,13-33,'NJN',trails
1826,1826,1826,201112260WAS,34.5,11.1,2nd quarter,8:52.0,MarShon Brooks,NJN,True,2-pointer,12,15-33,'NJN',trails
1828,1828,1828,201112260WAS,24.2,14.9,2nd quarter,7:33.0,MarShon Brooks,NJN,True,2-pointer,10,17-35,'NJN',trails
1864,1864,1864,201112260WAS,40.6,6.2,3rd quarter,1:26.0,MarShon Brooks,NJN,True,2-pointer,17,66-63,'NJN',leads
1865,1865,1865,201112260WAS,20.8,9.4,3rd quarter,1:03.0,MarShon Brooks,NJN,False,2-pointer,5,66-65,'NJN',leads
1867,1867,1867,201112260WAS,29.0,13.0,4th quarter,11:28.0,MarShon Brooks,NJN,False,2-pointer,9,66-69,'NJN',trails
576,576,576,201112270NJN,28.0,7.0,1st quarter,0:40.8,MarShon Brooks,NJN,False,2-pointer,4,11-26,'NJN',trails
579,579,579,201112270NJN,9.1,16.9,2nd quarter,11:38.0,MarShon Brooks,NJN,True,2-pointer,19,13-28,'NJN',trails
581,581,581,201112270NJN,25.5,6.9,2nd quarter,10:47.0,MarShon Brooks,NJN,True,2-pointer,2,15-28,'NJN',trails
585,585,585,201112270NJN,7.9,24.4,2nd quarter,8:55.0,MarShon Brooks,NJN,False,3-pointer,25,17-34,'NJN',trails
597,597,597,201112270NJN,22.5,6.4,2nd quarter,1:38.0,MarShon Brooks,NJN,True,2-pointer,2,27-44,'NJN',trails
603,603,603,201112270NJN,25.5,6.9,3rd quarter,8:46.0,MarShon Brooks,NJN,True,2-pointer,2,37-59,'NJN',trails
604,604,604,201112270NJN,34.2,28.0,3rd quarter,7:04.0,MarShon Brooks,NJN,False,3-pointer,25,39-65,'NJN',trails
606,606,606,201112270NJN,17.2,14.6,3rd quarter,5:01.0,MarShon Brooks,NJN,True,2-pointer,12,43-70,'NJN',trails
608,608,608,201112270NJN,38.0,24.7,3rd quarter,3:09.0,MarShon Brooks,NJN,False,3-pointer,24,46-72,'NJN',trails
618,618,618,201112270NJN,16.1,22.9,4th quarter,5:41.0,MarShon Brooks,NJN,False,2-pointer,20,60-96,'NJN',trails
621,621,621,201112270NJN,38.9,20.4,4th quarter,3:43.0,MarShon Brooks,NJN,False,2-pointer,21,62-99,'NJN',trails
627,627,627,201112270NJN,32.3,28.0,4th quarter,0:12.9,MarShon Brooks,NJN,False,3-pointer,24,70-106,'NJN',trails
502,502,502,201112290ORL,17.5,7.0,2nd quarter,5:11.0,MarShon Brooks,NJN,False,2-pointer,7,25-42,'NJN',trails
505,505,505,201112290ORL,24.0,7.5,2nd quarter,4:24.0,MarShon Brooks,NJN,True,2-pointer,3,27-43,'NJN',trails
507,507,507,201112290ORL,26.1,5.0,2nd quarter,2:36.0,MarShon Brooks,NJN,True,2-pointer,2,34-47,'NJN',trails
508,508,508,201112290ORL,9.3,26.3,2nd quarter,2:01.0,MarShon Brooks,NJN,True,3-pointer,26,37-47,'NJN',trails
512,512,512,201112290ORL,21.4,8.0,2nd quarter,0:25.6,MarShon Brooks,NJN,True,2-pointer,4,43-50,'NJN',trails
519,519,519,201112290ORL,36.2,19.8,3rd quarter,6:13.0,MarShon Brooks,NJN,False,2-pointer,19,53-63,'NJN',trails
