Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
499,499,499,201811100GSW,10.3,15.4,4th quarter,2:58.0,Marcus Derrickson,GSW,True,2-pointer,18,113-91,'GSW',leads
500,500,500,201811100GSW,37.1,7.8,4th quarter,2:29.0,Marcus Derrickson,GSW,False,2-pointer,14,113-91,'GSW',leads
76,76,76,201812030ATL,17.3,27.7,4th quarter,3:27.0,Marcus Derrickson,GSW,False,3-pointer,25,119-99,'GSW',leads
80,80,80,201812030ATL,24.6,18.8,4th quarter,0:52.0,Marcus Derrickson,GSW,False,2-pointer,16,125-108,'GSW',leads
81,81,81,201812030ATL,27.8,28.9,4th quarter,0:47.0,Marcus Derrickson,GSW,True,3-pointer,26,128-108,'GSW',leads
392,392,392,201812050CLE,45.8,16.7,2nd quarter,11:31.0,Marcus Derrickson,GSW,False,3-pointer,26,31-28,'CLE',leads
944,944,944,201812310PHO,24.2,8.0,4th quarter,2:20.0,Marcus Derrickson,GSW,False,2-pointer,5,132-105,'PHO',leads
146,146,146,201901110GSW,1.5,6.4,4th quarter,11:43.0,Marcus Derrickson,GSW,True,3-pointer,23,119-76,'GSW',leads
147,147,147,201901110GSW,11.9,29.2,4th quarter,11:09.0,Marcus Derrickson,GSW,False,3-pointer,29,119-78,'GSW',leads
148,148,148,201901110GSW,46.4,15.6,4th quarter,10:03.0,Marcus Derrickson,GSW,False,3-pointer,26,119-81,'GSW',leads
151,151,151,201901110GSW,16.2,31.6,4th quarter,8:12.0,Marcus Derrickson,GSW,False,3-pointer,29,123-86,'GSW',leads
154,154,154,201901110GSW,19.3,23.3,4th quarter,6:51.0,Marcus Derrickson,GSW,True,2-pointer,21,127-91,'GSW',leads
155,155,155,201901110GSW,37.8,20.1,4th quarter,6:17.0,Marcus Derrickson,GSW,False,2-pointer,22,127-93,'GSW',leads
160,160,160,201901110GSW,24.0,2.7,4th quarter,4:27.0,Marcus Derrickson,GSW,True,2-pointer,1,135-100,'GSW',leads
164,164,164,201901110GSW,36.9,11.0,4th quarter,2:31.0,Marcus Derrickson,GSW,True,2-pointer,15,141-103,'GSW',leads
414,414,414,201901280IND,24.9,4.9,2nd quarter,6:02.0,Marcus Derrickson,GSW,True,2-pointer,2,54-34,'IND',leads
416,416,416,201901280IND,14.3,30.8,2nd quarter,4:40.0,Marcus Derrickson,GSW,False,3-pointer,29,57-36,'IND',leads
465,465,465,201901280IND,47.8,5.9,4th quarter,3:50.0,Marcus Derrickson,GSW,True,3-pointer,24,122-95,'IND',leads
470,470,470,201901280IND,27.2,32.1,4th quarter,2:15.0,Marcus Derrickson,GSW,False,3-pointer,29,122-97,'IND',leads
473,473,473,201901280IND,48.3,9.5,4th quarter,1:24.0,Marcus Derrickson,GSW,False,3-pointer,25,124-97,'IND',leads
702,702,702,201902060GSW,46.7,6.4,4th quarter,8:27.0,Marcus Derrickson,GSW,False,3-pointer,23,119-87,'SAS',leads
705,705,705,201902060GSW,35.3,28.0,4th quarter,7:24.0,Marcus Derrickson,GSW,True,3-pointer,27,125-87,'SAS',leads
712,712,712,201902060GSW,22.0,8.8,4th quarter,4:22.0,Marcus Derrickson,GSW,False,2-pointer,6,127-95,'SAS',leads
717,717,717,201902060GSW,12.6,32.3,4th quarter,1:41.0,Marcus Derrickson,GSW,True,3-pointer,31,136-100,'SAS',leads
1307,1307,1307,201904090NOP,9.3,3.3,4th quarter,3:17.0,Marcus Derrickson,GSW,True,2-pointer,15,109-97,'NOP',leads
1310,1310,1310,201904090NOP,23.7,19.8,4th quarter,1:38.0,Marcus Derrickson,GSW,False,2-pointer,17,109-99,'NOP',leads
1311,1311,1311,201904090NOP,47.5,2.6,4th quarter,1:14.0,Marcus Derrickson,GSW,False,3-pointer,24,109-99,'NOP',leads
1312,1312,1312,201904090NOP,42.3,20.5,4th quarter,1:07.0,Marcus Derrickson,GSW,True,3-pointer,25,112-99,'NOP',leads
1038,1038,1038,201904100MEM,17.3,28.3,4th quarter,7:31.0,Marcus Derrickson,GSW,True,3-pointer,26,95-119,'MEM',trails
1044,1044,1044,201904100MEM,10.8,26.5,4th quarter,4:38.0,Marcus Derrickson,GSW,True,3-pointer,27,104-122,'MEM',trails
1048,1048,1048,201904100MEM,35.2,29.8,4th quarter,2:17.0,Marcus Derrickson,GSW,True,3-pointer,29,111-127,'MEM',trails
1050,1050,1050,201904100MEM,29.8,29.3,4th quarter,1:20.0,Marcus Derrickson,GSW,True,3-pointer,27,114-127,'MEM',trails
1053,1053,1053,201904100MEM,22.6,4.3,4th quarter,0:14.0,Marcus Derrickson,GSW,False,2-pointer,2,114-132,'MEM',trails
