Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
770,770,770,200411120ORL,24.0,5.0,3rd quarter,0:34.9,Mario Kasun,ORL,False,2-pointer,0,88-80,'LAL',leads
215,215,215,200411140PHI,20.2,9.5,1st quarter,1:23.0,Mario Kasun,ORL,False,2-pointer,6,17-21,'ORL',trails
221,221,221,200411140PHI,23.9,9.4,2nd quarter,10:36.0,Mario Kasun,ORL,False,2-pointer,4,23-25,'ORL',trails
222,222,222,200411140PHI,22.6,8.1,2nd quarter,10:31.0,Mario Kasun,ORL,False,2-pointer,3,23-25,'ORL',trails
256,256,256,200411140PHI,24.0,5.0,3rd quarter,3:58.0,Mario Kasun,ORL,False,2-pointer,0,54-57,'ORL',trails
483,483,483,200411200IND,25.1,6.3,1st quarter,0:38.7,Mario Kasun,ORL,True,2-pointer,2,24-18,'IND',leads
434,434,434,200411290ORL,30.6,17.2,2nd quarter,3:15.0,Mario Kasun,ORL,False,2-pointer,14,39-62,'BOS',trails
437,437,437,200411290ORL,24.0,5.0,2nd quarter,2:31.0,Mario Kasun,ORL,True,2-pointer,0,43-62,'BOS',trails
442,442,442,200411290ORL,24.0,5.0,2nd quarter,0:19.9,Mario Kasun,ORL,False,2-pointer,0,43-69,'BOS',trails
443,443,443,200411290ORL,24.0,5.0,2nd quarter,0:19.1,Mario Kasun,ORL,True,2-pointer,0,45-69,'BOS',trails
1070,1070,1070,200412010ORL,24.0,5.0,2nd quarter,10:44.0,Mario Kasun,ORL,True,2-pointer,0,40-34,'TOR',leads
1073,1073,1073,200412010ORL,9.1,5.3,2nd quarter,9:11.0,Mario Kasun,ORL,False,2-pointer,15,42-35,'TOR',leads
1113,1113,1113,200412010ORL,23.8,9.6,3rd quarter,0:03.9,Mario Kasun,ORL,False,2-pointer,5,101-75,'TOR',leads
1114,1114,1114,200412010ORL,24.0,5.0,3rd quarter,0:01.9,Mario Kasun,ORL,False,2-pointer,0,101-75,'TOR',leads
1117,1117,1117,200412010ORL,24.0,5.0,4th quarter,11:02.0,Mario Kasun,ORL,True,2-pointer,0,109-80,'TOR',leads
851,851,851,200412030NYK,24.0,5.0,2nd quarter,9:37.0,Mario Kasun,ORL,False,2-pointer,0,35-34,'NYK',leads
1655,1655,1655,200412040ORL,24.0,5.0,2nd quarter,2:23.0,Mario Kasun,ORL,True,2-pointer,0,52-36,'ORL',leads
1658,1658,1658,200412040ORL,24.0,5.0,2nd quarter,1:14.0,Mario Kasun,ORL,False,2-pointer,0,55-36,'ORL',leads
1677,1677,1677,200412040ORL,24.0,5.0,3rd quarter,0:45.9,Mario Kasun,ORL,False,2-pointer,0,71-60,'ORL',leads
1680,1680,1680,200412040ORL,24.0,5.0,4th quarter,11:09.0,Mario Kasun,ORL,False,2-pointer,0,74-60,'ORL',leads
1310,1310,1310,200412080UTA,24.0,5.0,2nd quarter,8:58.0,Mario Kasun,ORL,False,2-pointer,0,31-37,'UTA',trails
1316,1316,1316,200412080UTA,24.0,5.0,2nd quarter,4:57.0,Mario Kasun,ORL,True,2-pointer,0,41-45,'UTA',trails
1320,1320,1320,200412080UTA,24.0,5.0,2nd quarter,2:37.0,Mario Kasun,ORL,False,2-pointer,0,47-49,'UTA',trails
1335,1335,1335,200412080UTA,25.8,7.2,3rd quarter,4:27.0,Mario Kasun,ORL,True,2-pointer,3,73-71,'UTA',leads
320,320,320,200412100GSW,24.5,7.2,1st quarter,1:30.0,Mario Kasun,ORL,False,2-pointer,2,22-32,'ORL',trails
325,325,325,200412100GSW,24.1,5.7,2nd quarter,10:42.0,Mario Kasun,ORL,True,2-pointer,1,28-38,'ORL',trails
326,326,326,200412100GSW,21.7,9.0,2nd quarter,9:54.0,Mario Kasun,ORL,False,2-pointer,5,28-40,'ORL',trails
370,370,370,200412100GSW,25.8,6.7,3rd quarter,0:01.0,Mario Kasun,ORL,False,2-pointer,2,84-84,'ORL',tied
686,686,686,200412130PHO,24.0,5.0,1st quarter,4:45.0,Mario Kasun,ORL,True,2-pointer,0,16-18,'PHO',trails
691,691,691,200412130PHO,24.0,5.0,1st quarter,1:35.0,Mario Kasun,ORL,True,2-pointer,0,21-23,'PHO',trails
723,723,723,200412130PHO,24.0,5.0,3rd quarter,9:17.0,Mario Kasun,ORL,True,2-pointer,0,56-62,'PHO',trails
1131,1131,1131,200412150SAS,22.2,10.3,2nd quarter,11:08.0,Mario Kasun,ORL,False,2-pointer,6,28-27,'SAS',leads
1132,1132,1132,200412150SAS,21.4,8.8,2nd quarter,11:04.0,Mario Kasun,ORL,False,2-pointer,5,28-27,'SAS',leads
1147,1147,1147,200412180ORL,15.0,5.8,4th quarter,11:22.0,Mario Kasun,ORL,False,2-pointer,9,97-68,'DEN',leads
