Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
163,163,163,200011180DEN,24.0,5.0,2nd quarter,9:59.0,Mark Madsen,LAL,False,2-pointer,0,22-29,'LAL',trails
164,164,164,200011180DEN,24.0,5.0,2nd quarter,9:56.0,Mark Madsen,LAL,False,2-pointer,0,22-29,'LAL',trails
166,166,166,200011180DEN,24.0,5.0,2nd quarter,8:56.0,Mark Madsen,LAL,True,2-pointer,0,27-29,'LAL',trails
167,167,167,200011180DEN,24.0,5.0,2nd quarter,8:30.0,Mark Madsen,LAL,True,2-pointer,0,29-31,'LAL',trails
202,202,202,200011180DEN,24.0,5.0,4th quarter,11:07.0,Mark Madsen,LAL,False,2-pointer,0,73-64,'LAL',leads
203,203,203,200011180DEN,24.0,5.0,4th quarter,10:34.0,Mark Madsen,LAL,False,2-pointer,0,73-64,'LAL',leads
204,204,204,200011180DEN,24.0,5.0,4th quarter,10:32.0,Mark Madsen,LAL,False,2-pointer,0,73-64,'LAL',leads
208,208,208,200011180DEN,24.0,5.0,4th quarter,7:44.0,Mark Madsen,LAL,False,2-pointer,0,80-69,'LAL',leads
317,317,317,200011190LAL,24.0,5.0,4th quarter,7:09.0,Mark Madsen,LAL,False,2-pointer,0,89-77,'LAL',leads
636,636,636,200011220LAL,24.0,5.0,4th quarter,1:59.0,Mark Madsen,LAL,True,2-pointer,0,108-87,'LAL',leads
1117,1117,1117,200011240LAL,24.0,5.0,4th quarter,0:37.9,Mark Madsen,LAL,True,2-pointer,0,112-103,'LAL',leads
821,821,821,200011280LAL,17.3,10.3,4th quarter,4:17.0,Mark Madsen,LAL,False,2-pointer,9,116-93,'IND',leads
827,827,827,200011280LAL,24.0,5.0,4th quarter,1:07.0,Mark Madsen,LAL,False,2-pointer,0,121-105,'IND',leads
830,830,830,200011280LAL,22.8,13.0,4th quarter,0:10.9,Mark Madsen,LAL,False,2-pointer,8,124-107,'IND',leads
874,874,874,200011300SEA,32.3,5.0,4th quarter,1:25.0,Mark Madsen,LAL,False,2-pointer,8,86-117,'LAL',trails
492,492,492,200012060GSW,24.0,5.0,2nd quarter,1:12.0,Mark Madsen,LAL,True,2-pointer,0,52-58,'LAL',trails
517,517,517,200012060GSW,24.0,5.0,4th quarter,10:16.0,Mark Madsen,LAL,True,2-pointer,0,94-86,'LAL',leads
521,521,521,200012060GSW,28.5,8.2,4th quarter,8:02.0,Mark Madsen,LAL,False,2-pointer,6,100-91,'LAL',leads
346,346,346,200012100LAL,24.0,5.0,4th quarter,4:14.0,Mark Madsen,LAL,True,2-pointer,0,101-83,'LAL',leads
775,775,775,200012120LAL,24.0,5.0,2nd quarter,3:42.0,Mark Madsen,LAL,True,2-pointer,0,44-41,'LAL',leads
775,775,775,200012150LAL,24.5,11.1,2nd quarter,4:04.0,Mark Madsen,LAL,False,2-pointer,6,37-31,'LAL',leads
