Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
747,747,747,201910230MIA,21.8,5.9,1st quarter,4:46.0,Marko Guduric,MEM,True,2-pointer,3,17-13,'MIA',leads
750,750,750,201910230MIA,43.2,20.3,1st quarter,3:20.0,Marko Guduric,MEM,False,3-pointer,26,20-20,'MIA',tied
774,774,774,201910230MIA,23.6,5.3,2nd quarter,3:07.0,Marko Guduric,MEM,True,2-pointer,2,53-48,'MIA',leads
791,791,791,201910230MIA,24.4,20.3,3rd quarter,6:26.0,Marko Guduric,MEM,False,2-pointer,17,68-68,'MIA',tied
799,799,799,201910230MIA,19.0,5.2,3rd quarter,2:44.0,Marko Guduric,MEM,True,2-pointer,5,81-79,'MIA',leads
812,812,812,201910230MIA,24.8,28.4,4th quarter,6:39.0,Marko Guduric,MEM,False,3-pointer,25,87-98,'MIA',trails
817,817,817,201910230MIA,39.5,24.3,4th quarter,4:06.0,Marko Guduric,MEM,False,3-pointer,26,90-109,'MIA',trails
819,819,819,201910230MIA,5.2,5.9,4th quarter,3:20.0,Marko Guduric,MEM,True,2-pointer,19,93-109,'MIA',trails
961,961,961,201910250MEM,24.6,3.8,1st quarter,1:12.0,Marko Guduric,MEM,True,2-pointer,1,26-21,'MEM',leads
966,966,966,201910250MEM,16.5,3.1,2nd quarter,10:18.0,Marko Guduric,MEM,False,2-pointer,8,29-27,'MEM',leads
967,967,967,201910250MEM,24.0,2.7,2nd quarter,10:12.0,Marko Guduric,MEM,True,2-pointer,1,31-27,'MEM',leads
968,968,968,201910250MEM,46.7,1.6,2nd quarter,9:54.0,Marko Guduric,MEM,True,3-pointer,23,34-27,'MEM',leads
983,983,983,201910250MEM,42.5,20.0,2nd quarter,2:47.0,Marko Guduric,MEM,False,3-pointer,25,52-38,'MEM',leads
1004,1004,1004,201910250MEM,22.1,5.0,3rd quarter,4:23.0,Marko Guduric,MEM,False,2-pointer,3,73-64,'MEM',leads
1009,1009,1009,201910250MEM,42.6,19.0,3rd quarter,1:55.0,Marko Guduric,MEM,False,3-pointer,24,79-72,'MEM',leads
1012,1012,1012,201910250MEM,30.2,24.4,4th quarter,11:47.0,Marko Guduric,MEM,False,2-pointer,22,81-79,'MEM',leads
478,478,478,201910270MEM,38.5,24.9,1st quarter,5:03.0,Marko Guduric,MEM,False,3-pointer,26,22-19,'MEM',leads
191,191,191,201910290LAL,47.3,5.8,1st quarter,2:08.0,Marko Guduric,MEM,False,3-pointer,23,25-23,'LAL',leads
197,197,197,201910290LAL,2.3,16.3,2nd quarter,11:00.0,Marko Guduric,MEM,False,3-pointer,25,32-29,'LAL',leads
242,242,242,201910290LAL,46.4,14.5,3rd quarter,0:47.0,Marko Guduric,MEM,False,3-pointer,25,67-84,'LAL',trails
245,245,245,201910290LAL,21.4,6.3,4th quarter,11:26.0,Marko Guduric,MEM,False,2-pointer,4,67-88,'LAL',trails
250,250,250,201910290LAL,8.2,24.2,4th quarter,9:23.0,Marko Guduric,MEM,False,3-pointer,26,71-93,'LAL',trails
449,449,449,201911020MEM,9.6,27.7,1st quarter,0:01.0,Marko Guduric,MEM,False,3-pointer,28,24-31,'PHO',trails
452,452,452,201911020MEM,23.2,4.7,2nd quarter,10:56.0,Marko Guduric,MEM,True,2-pointer,2,26-31,'PHO',trails
496,496,496,201911020MEM,18.4,7.7,4th quarter,9:28.0,Marko Guduric,MEM,False,2-pointer,7,77-90,'PHO',trails
487,487,487,201911040MEM,0.5,6.5,1st quarter,4:25.0,Marko Guduric,MEM,False,3-pointer,24,16-19,'HOU',trails
513,513,513,201911040MEM,21.7,19.8,2nd quarter,0:42.0,Marko Guduric,MEM,False,2-pointer,17,56-60,'HOU',trails
514,514,514,201911040MEM,23.2,4.1,2nd quarter,0:31.0,Marko Guduric,MEM,True,2-pointer,1,58-60,'HOU',trails
525,525,525,201911040MEM,23.0,4.2,3rd quarter,5:39.0,Marko Guduric,MEM,True,2-pointer,1,70-70,'HOU',tied
529,529,529,201911040MEM,25.2,24.3,3rd quarter,3:23.0,Marko Guduric,MEM,False,2-pointer,21,70-78,'HOU',trails
533,533,533,201911040MEM,5.2,21.0,3rd quarter,1:45.0,Marko Guduric,MEM,False,3-pointer,26,72-81,'HOU',trails
1165,1165,1165,201911060MEM,26.2,3.6,1st quarter,3:30.0,Marko Guduric,MEM,False,2-pointer,2,27-20,'MEM',leads
