Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
726,726,726,200010310HOU,0.5,4.8,2nd quarter,10:50.0,Matt Bullard,HOU,False,3-pointer,24,25-37,'HOU',trails
410,410,410,200011020HOU,24.1,30.7,1st quarter,2:32.0,Matt Bullard,HOU,True,3-pointer,26,31-16,HOU,leads
411,411,411,200011020HOU,16.3,29.7,1st quarter,1:47.0,Matt Bullard,HOU,False,3-pointer,26,31-20,HOU,leads
414,414,414,200011020HOU,1.1,8.6,1st quarter,0:08.8,Matt Bullard,HOU,False,3-pointer,23,34-26,HOU,leads
415,415,415,200011020HOU,11.2,26.3,1st quarter,0:03.2,Matt Bullard,HOU,True,3-pointer,25,37-26,HOU,leads
421,421,421,200011020HOU,30.4,30.3,2nd quarter,8:42.0,Matt Bullard,HOU,False,3-pointer,26,44-28,HOU,leads
450,450,450,200011020HOU,24.7,30.3,4th quarter,10:05.0,Matt Bullard,HOU,False,3-pointer,25,87-77,HOU,leads
453,453,453,200011020HOU,17.7,9.2,4th quarter,8:17.0,Matt Bullard,HOU,True,2-pointer,8,91-79,HOU,leads
454,454,454,200011020HOU,40.7,24.0,4th quarter,7:28.0,Matt Bullard,HOU,True,3-pointer,25,94-79,HOU,leads
463,463,463,200011020HOU,32.5,28.0,4th quarter,3:59.0,Matt Bullard,HOU,True,3-pointer,25,105-84,HOU,leads
943,943,943,200011040LAC,38.2,28.4,1st quarter,4:09.0,Matt Bullard,HOU,False,3-pointer,27,11-14,'HOU',trails
951,951,951,200011040LAC,24.0,5.0,1st quarter,0:03.6,Matt Bullard,HOU,True,2-pointer,0,22-21,'HOU',leads
954,954,954,200011040LAC,24.0,5.0,2nd quarter,10:32.0,Matt Bullard,HOU,True,2-pointer,0,26-21,'HOU',leads
994,994,994,200011040LAC,31.7,9.7,4th quarter,10:07.0,Matt Bullard,HOU,False,2-pointer,9,59-61,'HOU',trails
1013,1013,1013,200011040LAC,14.6,32.2,4th quarter,0:00.1,Matt Bullard,HOU,False,3-pointer,29,74-77,'HOU',trails
200,200,200,200011050PHO,40.3,23.6,2nd quarter,4:06.0,Matt Bullard,HOU,False,3-pointer,25,40-41,'HOU',trails
202,202,202,200011050PHO,24.1,30.9,2nd quarter,3:02.0,Matt Bullard,HOU,False,3-pointer,26,43-43,'HOU',tied
204,204,204,200011050PHO,36.9,23.1,2nd quarter,2:05.0,Matt Bullard,HOU,False,2-pointer,22,43-46,'HOU',trails
235,235,235,200011070HOU,16.3,20.6,1st quarter,9:43.0,Matt Bullard,HOU,False,2-pointer,17,2-2,'HOU',tied
239,239,239,200011070HOU,24.0,5.0,1st quarter,8:07.0,Matt Bullard,HOU,False,2-pointer,0,6-4,'HOU',leads
241,241,241,200011070HOU,39.3,25.7,1st quarter,7:21.0,Matt Bullard,HOU,False,3-pointer,26,6-6,'HOU',tied
247,247,247,200011070HOU,4.9,9.2,1st quarter,4:32.0,Matt Bullard,HOU,False,2-pointer,20,12-11,'HOU',leads
295,295,295,200011070HOU,47.1,5.0,4th quarter,4:43.0,Matt Bullard,HOU,False,3-pointer,23,72-66,'HOU',leads
296,296,296,200011070HOU,47.1,10.3,4th quarter,4:24.0,Matt Bullard,HOU,True,3-pointer,24,75-67,'HOU',leads
420,420,420,200011090HOU,24.0,5.0,2nd quarter,9:14.0,Matt Bullard,HOU,True,2-pointer,0,27-30,'HOU',trails
424,424,424,200011090HOU,47.1,5.0,2nd quarter,7:03.0,Matt Bullard,HOU,False,3-pointer,23,27-30,'HOU',trails
425,425,425,200011090HOU,24.1,30.7,2nd quarter,6:22.0,Matt Bullard,HOU,False,3-pointer,26,27-32,'HOU',trails
1244,1244,1244,200011110POR,24.0,5.0,2nd quarter,10:58.0,Matt Bullard,HOU,True,2-pointer,0,24-30,'POR',trails
1246,1246,1246,200011110POR,2.6,18.5,2nd quarter,9:10.0,Matt Bullard,HOU,True,3-pointer,25,27-34,'POR',trails
1249,1249,1249,200011110POR,15.8,13.7,2nd quarter,6:29.0,Matt Bullard,HOU,True,2-pointer,12,35-39,'POR',trails
1285,1285,1285,200011110POR,23.9,30.1,4th quarter,8:11.0,Matt Bullard,HOU,False,3-pointer,25,68-91,'POR',trails
1286,1286,1286,200011110POR,25.1,29.5,4th quarter,8:06.0,Matt Bullard,HOU,False,3-pointer,25,68-91,'POR',trails
447,447,447,200011140HOU,37.8,25.7,4th quarter,7:54.0,Matt Bullard,HOU,False,3-pointer,25,89-68,'HOU',leads
448,448,448,200011140HOU,5.5,24.0,4th quarter,7:18.0,Matt Bullard,HOU,False,3-pointer,27,89-70,'HOU',leads
453,453,453,200011140HOU,7.0,24.0,4th quarter,3:21.0,Matt Bullard,HOU,True,3-pointer,26,98-78,'HOU',leads
454,454,454,200011140HOU,39.3,24.4,4th quarter,2:47.0,Matt Bullard,HOU,True,3-pointer,25,101-80,'HOU',leads
457,457,457,200011140HOU,31.3,29.7,4th quarter,1:32.0,Matt Bullard,HOU,False,3-pointer,26,102-83,'HOU',leads
264,264,264,200011160HOU,1.1,4.2,2nd quarter,7:26.0,Matt Bullard,HOU,True,3-pointer,23,32-29,'CHH',leads
269,269,269,200011160HOU,20.7,29.7,2nd quarter,4:21.0,Matt Bullard,HOU,False,3-pointer,25,40-33,'CHH',leads
297,297,297,200011160HOU,42.0,5.7,4th quarter,8:07.0,Matt Bullard,HOU,False,2-pointer,18,71-71,'CHH',tied
299,299,299,200011160HOU,1.9,4.8,4th quarter,6:19.0,Matt Bullard,HOU,False,3-pointer,22,72-71,'CHH',leads
397,397,397,200011180HOU,1.1,6.3,2nd quarter,9:39.0,Matt Bullard,HOU,True,3-pointer,23,33-24,'HOU',leads
399,399,399,200011180HOU,22.8,25.0,2nd quarter,8:25.0,Matt Bullard,HOU,False,2-pointer,20,33-28,'HOU',leads
404,404,404,200011180HOU,12.1,27.4,2nd quarter,6:18.0,Matt Bullard,HOU,False,3-pointer,25,37-31,'HOU',leads
408,408,408,200011180HOU,1.1,7.6,2nd quarter,3:49.0,Matt Bullard,HOU,False,3-pointer,23,41-33,'HOU',leads
434,434,434,200011180HOU,33.4,17.7,4th quarter,11:17.0,Matt Bullard,HOU,False,2-pointer,16,66-63,'HOU',leads
438,438,438,200011180HOU,1.1,6.3,4th quarter,8:21.0,Matt Bullard,HOU,True,3-pointer,23,75-67,'HOU',leads
439,439,439,200011180HOU,33.4,28.6,4th quarter,7:54.0,Matt Bullard,HOU,False,3-pointer,25,75-69,'HOU',leads
526,526,526,200011210IND,12.3,27.4,2nd quarter,10:08.0,Matt Bullard,HOU,True,3-pointer,25,24-26,'HOU',trails
527,527,527,200011210IND,40.9,6.3,2nd quarter,9:28.0,Matt Bullard,HOU,True,2-pointer,17,26-29,'HOU',trails
534,534,534,200011210IND,1.3,5.7,2nd quarter,6:01.0,Matt Bullard,HOU,False,3-pointer,23,26-31,'HOU',trails
536,536,536,200011210IND,24.9,25.7,2nd quarter,5:30.0,Matt Bullard,HOU,True,2-pointer,21,30-31,'HOU',trails
539,539,539,200011210IND,7.2,25.7,2nd quarter,3:03.0,Matt Bullard,HOU,False,3-pointer,27,32-36,'HOU',trails
540,540,540,200011210IND,23.6,30.3,2nd quarter,2:48.0,Matt Bullard,HOU,True,3-pointer,25,35-36,'HOU',trails
560,560,560,200011210IND,43.3,5.7,4th quarter,11:14.0,Matt Bullard,HOU,True,2-pointer,19,74-69,'HOU',leads
565,565,565,200011210IND,45.4,18.3,4th quarter,8:05.0,Matt Bullard,HOU,False,3-pointer,25,78-72,'HOU',leads
571,571,571,200011210IND,15.4,29.7,4th quarter,4:59.0,Matt Bullard,HOU,True,3-pointer,26,85-80,'HOU',leads
576,576,576,200011210IND,47.7,6.3,4th quarter,1:51.0,Matt Bullard,HOU,True,3-pointer,24,97-82,'HOU',leads
167,167,167,200011220BOS,12.9,27.8,2nd quarter,7:38.0,Matt Bullard,HOU,False,3-pointer,25,19-38,'HOU',trails
203,203,203,200011220BOS,46.6,5.4,4th quarter,11:42.0,Matt Bullard,HOU,True,3-pointer,23,54-74,'HOU',trails
208,208,208,200011220BOS,24.1,23.1,4th quarter,9:24.0,Matt Bullard,HOU,True,2-pointer,18,56-77,'HOU',trails
210,210,210,200011220BOS,24.1,29.5,4th quarter,8:52.0,Matt Bullard,HOU,False,3-pointer,25,58-77,'HOU',trails
217,217,217,200011220BOS,23.6,30.1,4th quarter,6:22.0,Matt Bullard,HOU,False,3-pointer,25,63-84,'HOU',trails
670,670,670,200011250MIA,38.0,25.5,2nd quarter,11:15.0,Matt Bullard,HOU,True,3-pointer,25,26-16,'HOU',leads
675,675,675,200011250MIA,12.5,17.2,2nd quarter,8:03.0,Matt Bullard,HOU,False,2-pointer,17,32-18,'HOU',leads
678,678,678,200011250MIA,37.2,19.4,2nd quarter,5:30.0,Matt Bullard,HOU,False,2-pointer,20,34-22,'HOU',leads
684,684,684,200011250MIA,38.6,25.5,2nd quarter,0:02.8,Matt Bullard,HOU,True,3-pointer,25,47-32,'HOU',leads
695,695,695,200011250MIA,25.8,29.3,3rd quarter,3:53.0,Matt Bullard,HOU,False,3-pointer,24,63-49,'HOU',leads
698,698,698,200011250MIA,38.6,24.8,3rd quarter,1:35.0,Matt Bullard,HOU,True,3-pointer,25,68-58,'HOU',leads
699,699,699,200011250MIA,32.9,7.8,3rd quarter,0:53.2,Matt Bullard,HOU,False,2-pointer,9,68-58,'HOU',leads
591,591,591,200011280HOU,9.1,24.8,2nd quarter,11:28.0,Matt Bullard,HOU,True,3-pointer,25,16-28,'HOU',trails
595,595,595,200011280HOU,23.6,22.1,2nd quarter,8:36.0,Matt Bullard,HOU,True,2-pointer,17,22-33,'HOU',trails
602,602,602,200011280HOU,1.1,14.5,2nd quarter,5:26.0,Matt Bullard,HOU,False,3-pointer,25,26-37,'HOU',trails
636,636,636,200011280HOU,29.8,23.8,4th quarter,6:53.0,Matt Bullard,HOU,True,2-pointer,20,64-78,'HOU',trails
638,638,638,200011280HOU,22.8,24.8,4th quarter,4:55.0,Matt Bullard,HOU,True,2-pointer,20,69-82,'HOU',trails
159,159,159,200011300DEN,34.6,20.6,1st quarter,2:52.0,Matt Bullard,HOU,False,2-pointer,19,21-24,'HOU',trails
164,164,164,200011300DEN,35.3,27.2,1st quarter,0:02.9,Matt Bullard,HOU,False,3-pointer,25,25-28,'HOU',trails
166,166,166,200011300DEN,10.2,25.0,2nd quarter,11:04.0,Matt Bullard,HOU,False,3-pointer,24,25-30,'HOU',trails
171,171,171,200011300DEN,38.2,25.7,2nd quarter,7:35.0,Matt Bullard,HOU,True,3-pointer,25,36-37,'HOU',trails
923,923,923,200012020HOU,36.3,27.8,2nd quarter,10:21.0,Matt Bullard,HOU,False,3-pointer,26,25-25,'POR',tied
925,925,925,200012020HOU,41.4,24.4,2nd quarter,7:57.0,Matt Bullard,HOU,True,3-pointer,26,29-30,'POR',trails
952,952,952,200012020HOU,4.9,25.5,4th quarter,10:26.0,Matt Bullard,HOU,False,3-pointer,28,64-72,'POR',trails
956,956,956,200012020HOU,42.0,12.8,4th quarter,8:42.0,Matt Bullard,HOU,False,2-pointer,20,70-76,'POR',trails
971,971,971,200012020HOU,18.4,11.1,4th quarter,0:29.7,Matt Bullard,HOU,False,2-pointer,8,85-94,'POR',trails
395,395,395,200012050HOU,47.7,6.5,1st quarter,1:10.0,Matt Bullard,HOU,True,3-pointer,24,27-22,'DAL',leads
396,396,396,200012050HOU,25.6,32.8,1st quarter,0:50.4,Matt Bullard,HOU,False,3-pointer,28,27-22,'DAL',leads
412,412,412,200012050HOU,13.9,28.8,2nd quarter,0:21.5,Matt Bullard,HOU,False,3-pointer,26,51-47,'DAL',leads
426,426,426,200012050HOU,5.5,23.1,3rd quarter,3:26.0,Matt Bullard,HOU,False,3-pointer,26,75-70,'DAL',leads
429,429,429,200012050HOU,24.0,5.0,3rd quarter,1:19.0,Matt Bullard,HOU,True,2-pointer,0,81-74,'DAL',leads
431,431,431,200012050HOU,0.5,9.9,4th quarter,11:46.0,Matt Bullard,HOU,False,3-pointer,24,85-79,'DAL',leads
440,440,440,200012050HOU,0.5,9.2,4th quarter,6:14.0,Matt Bullard,HOU,False,3-pointer,24,92-83,'DAL',leads
444,444,444,200012050HOU,45.6,17.9,4th quarter,4:22.0,Matt Bullard,HOU,True,3-pointer,25,95-88,'DAL',leads
445,445,445,200012050HOU,48.5,10.5,4th quarter,4:07.0,Matt Bullard,HOU,True,3-pointer,25,98-88,'DAL',leads
1274,1274,1274,200012080SAC,31.7,29.1,2nd quarter,9:05.0,Matt Bullard,HOU,False,3-pointer,25,36-32,'HOU',leads
1137,1137,1137,200012090SEA,13.3,20.0,1st quarter,1:21.0,Matt Bullard,HOU,True,2-pointer,18,19-24,'HOU',trails
1138,1138,1138,200012090SEA,9.1,27.8,1st quarter,0:47.6,Matt Bullard,HOU,True,3-pointer,27,22-24,'HOU',trails
1143,1143,1143,200012090SEA,38.4,26.1,2nd quarter,10:02.0,Matt Bullard,HOU,False,3-pointer,26,28-33,'HOU',trails
1144,1144,1144,200012090SEA,42.6,21.7,2nd quarter,9:44.0,Matt Bullard,HOU,True,3-pointer,25,31-33,'HOU',trails
1154,1154,1154,200012090SEA,42.6,22.7,2nd quarter,3:37.0,Matt Bullard,HOU,True,3-pointer,26,54-48,'HOU',leads
1157,1157,1157,200012090SEA,18.4,29.5,2nd quarter,1:46.0,Matt Bullard,HOU,True,3-pointer,25,59-52,'HOU',leads
1158,1158,1158,200012090SEA,4.0,5.0,2nd quarter,0:52.9,Matt Bullard,HOU,False,2-pointer,20,59-54,'HOU',leads
1186,1186,1186,200012090SEA,43.5,13.2,4th quarter,10:44.0,Matt Bullard,HOU,False,2-pointer,21,89-85,'HOU',leads
652,652,652,200012110VAN,47.3,7.3,2nd quarter,9:39.0,Matt Bullard,HOU,True,3-pointer,23,21-20,'HOU',leads
653,653,653,200012110VAN,1.7,18.5,2nd quarter,8:52.0,Matt Bullard,HOU,False,3-pointer,26,21-20,'HOU',leads
668,668,668,200012110VAN,0.2,6.9,2nd quarter,0:00.9,Matt Bullard,HOU,False,3-pointer,24,39-34,'HOU',leads
693,693,693,200012110VAN,23.2,30.3,4th quarter,8:33.0,Matt Bullard,HOU,True,3-pointer,25,62-54,'HOU',leads
697,697,697,200012110VAN,19.0,30.3,4th quarter,6:55.0,Matt Bullard,HOU,True,3-pointer,26,67-56,'HOU',leads
704,704,704,200012110VAN,39.3,25.9,4th quarter,3:43.0,Matt Bullard,HOU,True,3-pointer,26,72-64,'HOU',leads
705,705,705,200012110VAN,35.0,21.3,4th quarter,3:12.0,Matt Bullard,HOU,False,2-pointer,20,72-64,'HOU',leads
27,27,27,200012140GSW,0.9,3.9,2nd quarter,6:20.0,Matt Bullard,HOU,True,3-pointer,23,40-39,'HOU',leads
28,28,28,200012140GSW,11.4,28.4,2nd quarter,4:20.0,Matt Bullard,HOU,False,3-pointer,27,45-39,'HOU',leads
874,874,874,200012160HOU,13.5,28.4,2nd quarter,9:02.0,Matt Bullard,HOU,False,3-pointer,26,27-39,'HOU',trails
875,875,875,200012160HOU,14.2,29.1,2nd quarter,8:21.0,Matt Bullard,HOU,False,3-pointer,26,27-41,'HOU',trails
921,921,921,200012160HOU,39.9,23.1,4th quarter,8:36.0,Matt Bullard,HOU,False,3-pointer,24,85-82,'HOU',leads
923,923,923,200012160HOU,25.6,32.4,4th quarter,7:27.0,Matt Bullard,HOU,False,3-pointer,27,87-84,'HOU',leads
930,930,930,200012160HOU,39.3,25.5,4th quarter,4:18.0,Matt Bullard,HOU,True,3-pointer,26,94-93,'HOU',leads
932,932,932,200012160HOU,7.8,24.8,4th quarter,2:40.0,Matt Bullard,HOU,False,3-pointer,26,96-97,'HOU',trails
936,936,936,200012160HOU,25.6,31.2,4th quarter,0:23.4,Matt Bullard,HOU,False,3-pointer,26,100-102,'HOU',trails
562,562,562,200012190HOU,25.6,23.8,2nd quarter,9:43.0,Matt Bullard,HOU,True,2-pointer,19,26-19,'SAS',leads
565,565,565,200012190HOU,24.7,23.1,2nd quarter,6:50.0,Matt Bullard,HOU,False,2-pointer,18,26-25,'SAS',leads
570,570,570,200012190HOU,14.2,28.4,2nd quarter,5:04.0,Matt Bullard,HOU,False,3-pointer,25,30-31,'SAS',trails
1189,1189,1189,200012260SAS,13.9,29.1,2nd quarter,10:01.0,Matt Bullard,HOU,False,3-pointer,26,30-37,'SAS',trails
275,275,275,200012270HOU,17.5,12.8,1st quarter,5:41.0,Matt Bullard,HOU,True,2-pointer,10,20-10,'HOU',leads
349,349,349,200012270HOU,40.1,23.6,4th quarter,1:53.0,Matt Bullard,HOU,True,3-pointer,25,90-105,'HOU',trails
350,350,350,200012270HOU,40.1,22.5,4th quarter,1:20.0,Matt Bullard,HOU,False,3-pointer,24,90-105,'HOU',trails
201,201,201,200012300DAL,33.8,32.2,2nd quarter,0:00.3,Matt Bullard,HOU,False,3-pointer,29,53-31,'HOU',leads
217,217,217,200012300DAL,1.1,4.4,3rd quarter,1:47.0,Matt Bullard,HOU,False,3-pointer,23,73-57,'HOU',leads
17,17,17,200101010MIN,10.6,27.2,1st quarter,1:43.0,Matt Bullard,HOU,True,3-pointer,26,27-20,'HOU',leads
