Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
361,361,361,201910310NOP,23.4,4.3,1st quarter,0:57.0,Michael Porter,DEN,True,2-pointer,1,28-29,'NOP',trails
364,364,364,201910310NOP,0.4,3.9,2nd quarter,11:01.0,Michael Porter,DEN,False,3-pointer,24,30-35,'NOP',trails
366,366,366,201910310NOP,5.2,20.0,2nd quarter,9:49.0,Michael Porter,DEN,False,3-pointer,25,30-37,'NOP',trails
414,414,414,201910310NOP,27.8,17.0,4th quarter,6:53.0,Michael Porter,DEN,False,2-pointer,14,84-105,'NOP',trails
418,418,418,201910310NOP,24.8,4.8,4th quarter,5:36.0,Michael Porter,DEN,True,2-pointer,2,91-108,'NOP',trails
424,424,424,201910310NOP,25.8,28.8,4th quarter,3:14.0,Michael Porter,DEN,True,3-pointer,26,101-115,'NOP',trails
426,426,426,201910310NOP,4.1,13.9,4th quarter,1:44.0,Michael Porter,DEN,True,2-pointer,23,105-119,'NOP',trails
429,429,429,201910310NOP,6.8,16.8,4th quarter,0:24.0,Michael Porter,DEN,True,2-pointer,22,107-122,'NOP',trails
921,921,921,201911020ORL,22.9,4.9,3rd quarter,3:00.0,Michael Porter,DEN,False,2-pointer,2,63-62,'DEN',leads
922,922,922,201911020ORL,24.1,4.6,3rd quarter,2:55.0,Michael Porter,DEN,True,2-pointer,1,65-62,'DEN',leads
889,889,889,201911050DEN,24.0,2.7,4th quarter,1:31.0,Michael Porter,DEN,True,2-pointer,1,107-86,'MIA',leads
890,890,890,201911050DEN,24.2,18.6,4th quarter,1:06.0,Michael Porter,DEN,True,2-pointer,15,109-86,'MIA',leads
452,452,452,201911080DEN,25.4,4.1,2nd quarter,9:53.0,Michael Porter,DEN,True,2-pointer,2,24-30,'DEN',trails
485,485,485,201911080DEN,31.3,27.0,3rd quarter,1:48.0,Michael Porter,DEN,False,3-pointer,25,63-76,'DEN',trails
209,209,209,201911100MIN,26.7,5.1,2nd quarter,11:33.0,Michael Porter,DEN,False,2-pointer,3,27-27,'DEN',tied
210,210,210,201911100MIN,32.1,21.8,2nd quarter,10:54.0,Michael Porter,DEN,False,2-pointer,20,27-27,'DEN',tied
216,216,216,201911100MIN,23.3,4.1,2nd quarter,7:28.0,Michael Porter,DEN,True,2-pointer,1,33-35,'DEN',trails
218,218,218,201911100MIN,23.1,6.3,2nd quarter,6:43.0,Michael Porter,DEN,False,2-pointer,3,33-36,'DEN',trails
254,254,254,201911100MIN,32.0,27.0,3rd quarter,0:51.0,Michael Porter,DEN,True,3-pointer,25,76-63,'DEN',leads
279,279,279,201911120DEN,9.2,6.8,2nd quarter,11:24.0,Michael Porter,DEN,False,2-pointer,15,34-25,'DEN',leads
