Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
300,300,300,200810310LAC,24.1,12.2,3rd quarter,4:46.0,Mike Taylor,LAC,True,2-pointer,7,67-54,'DEN',leads
310,310,310,200810310LAC,20.6,13.3,4th quarter,11:42.0,Mike Taylor,LAC,False,2-pointer,9,76-68,'DEN',leads
2043,2043,2043,200811010UTA,24.0,5.0,1st quarter,2:33.0,Mike Taylor,LAC,True,2-pointer,0,25-21,'UTA',leads
2049,2049,2049,200811010UTA,24.0,5.0,2nd quarter,9:26.0,Mike Taylor,LAC,True,2-pointer,0,32-26,'UTA',leads
2054,2054,2054,200811010UTA,24.0,5.0,2nd quarter,6:03.0,Mike Taylor,LAC,False,2-pointer,0,34-34,'UTA',tied
2056,2056,2056,200811010UTA,0.3,7.8,2nd quarter,4:39.0,Mike Taylor,LAC,True,3-pointer,24,37-36,'UTA',leads
2059,2059,2059,200811010UTA,1.4,10.2,2nd quarter,3:00.0,Mike Taylor,LAC,False,3-pointer,23,41-42,'UTA',trails
2068,2068,2068,200811010UTA,24.0,5.0,3rd quarter,8:51.0,Mike Taylor,LAC,True,2-pointer,0,50-52,'UTA',trails
2071,2071,2071,200811010UTA,42.4,21.8,3rd quarter,6:05.0,Mike Taylor,LAC,False,3-pointer,25,54-58,'UTA',trails
2075,2075,2075,200811010UTA,24.0,5.0,3rd quarter,4:08.0,Mike Taylor,LAC,False,2-pointer,0,60-63,'UTA',trails
2077,2077,2077,200811010UTA,47.0,12.4,3rd quarter,2:58.0,Mike Taylor,LAC,False,3-pointer,24,60-65,'UTA',trails
2078,2078,2078,200811010UTA,24.0,11.6,3rd quarter,2:25.0,Mike Taylor,LAC,False,2-pointer,7,60-66,'UTA',trails
2092,2092,2092,200811010UTA,36.1,12.7,4th quarter,4:47.0,Mike Taylor,LAC,False,2-pointer,14,66-92,'UTA',trails
2093,2093,2093,200811010UTA,24.0,5.0,4th quarter,4:42.0,Mike Taylor,LAC,True,2-pointer,0,68-92,'UTA',trails
374,374,374,200811030LAC,24.6,13.5,1st quarter,8:20.0,Mike Taylor,LAC,False,2-pointer,9,8-3,'UTA',leads
375,375,375,200811030LAC,13.7,17.6,1st quarter,7:40.0,Mike Taylor,LAC,False,2-pointer,16,8-5,'UTA',leads
378,378,378,200811030LAC,32.8,26.6,1st quarter,6:10.0,Mike Taylor,LAC,False,2-pointer,23,10-5,'UTA',leads
526,526,526,200811050LAL,27.7,23.1,2nd quarter,10:48.0,Mike Taylor,LAC,False,2-pointer,18,29-29,'LAL',tied
529,529,529,200811050LAL,24.0,5.0,2nd quarter,7:16.0,Mike Taylor,LAC,False,2-pointer,0,32-37,'LAL',trails
564,564,564,200811050LAL,20.5,16.0,4th quarter,10:34.0,Mike Taylor,LAC,False,2-pointer,12,68-75,'LAL',trails
565,565,565,200811050LAL,25.5,6.2,4th quarter,10:13.0,Mike Taylor,LAC,True,2-pointer,2,70-75,'LAL',trails
566,566,566,200811050LAL,24.0,5.0,4th quarter,10:02.0,Mike Taylor,LAC,True,2-pointer,0,73-75,'LAL',trails
