Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
100,100,100,200012080BOS,25.3,13.3,1st quarter,0:00.0,Milt Palacio,BOS,True,2-pointer,8,24-30,'IND',trails
98,98,98,200012100BOS,13.3,16.6,1st quarter,7:13.0,Milt Palacio,BOS,False,2-pointer,16,12-6,'DEN',leads
171,171,171,200012100BOS,8.0,26.1,1st overtime,4:50.0,Milt Palacio,BOS,False,3-pointer,26,91-91,'DEN',tied
131,131,131,200012130BOS,23.9,9.0,4th quarter,5:09.0,Milt Palacio,BOS,True,2-pointer,4,79-98,'BOS',trails
134,134,134,200012130BOS,24.3,17.7,4th quarter,2:19.0,Milt Palacio,BOS,True,2-pointer,13,84-104,'BOS',trails
163,163,163,200012150BOS,24.3,5.4,4th quarter,4:19.0,Milt Palacio,BOS,True,2-pointer,1,74-100,'SAC',trails
169,169,169,200012150BOS,16.7,12.0,4th quarter,1:29.0,Milt Palacio,BOS,True,2-pointer,10,79-100,'SAC',trails
172,172,172,200012150BOS,12.3,17.0,4th quarter,0:32.5,Milt Palacio,BOS,True,2-pointer,17,81-102,'SAC',trails
115,115,115,200012180BOS,25.1,6.1,2nd quarter,0:00.5,Milt Palacio,BOS,False,2-pointer,2,50-59,'DAL',trails
124,124,124,200012180BOS,31.7,10.1,3rd quarter,5:29.0,Milt Palacio,BOS,False,2-pointer,9,67-69,'DAL',trails
132,132,132,200012180BOS,40.9,24.6,3rd quarter,2:15.0,Milt Palacio,BOS,False,3-pointer,26,76-78,'DAL',trails
152,152,152,200012180BOS,24.3,6.7,4th quarter,0:37.9,Milt Palacio,BOS,False,2-pointer,2,96-104,'DAL',trails
77,77,77,200012200BOS,35.9,14.5,1st quarter,8:36.0,Milt Palacio,BOS,False,2-pointer,15,10-7,'NJN',leads
78,78,78,200012200BOS,35.0,14.5,1st quarter,8:30.0,Milt Palacio,BOS,False,2-pointer,15,10-7,'NJN',leads
95,95,95,200012200BOS,26.2,6.9,2nd quarter,11:19.0,Milt Palacio,BOS,False,2-pointer,3,37-24,'NJN',leads
124,124,124,200012200BOS,24.3,8.4,3rd quarter,6:03.0,Milt Palacio,BOS,False,2-pointer,3,62-52,'NJN',leads
304,304,304,200012210NYK,38.8,15.6,1st quarter,8:39.0,Milt Palacio,BOS,False,2-pointer,18,3-5,'NYK',trails
790,790,790,200012230MIL,24.0,5.0,1st quarter,10:51.0,Milt Palacio,BOS,True,2-pointer,0,4-2,'BOS',leads
847,847,847,200012230MIL,38.0,35.2,3rd quarter,0:00.4,Milt Palacio,BOS,False,3-pointer,33,77-76,'BOS',leads
577,577,577,200012260DET,39.3,13.0,3rd quarter,4:34.0,Milt Palacio,BOS,False,2-pointer,17,58-61,'DET',trails
864,864,864,200012280NJN,34.8,33.1,4th quarter,0:00.6,Milt Palacio,BOS,True,3-pointer,30,112-111,'NJN',leads
93,93,93,200012300BOS,24.1,5.2,1st quarter,3:52.0,Milt Palacio,BOS,False,2-pointer,0,14-20,'ORL',trails
100,100,100,200012300BOS,9.9,16.4,1st quarter,0:37.2,Milt Palacio,BOS,True,2-pointer,18,18-25,'ORL',trails
117,117,117,200012300BOS,25.6,5.9,2nd quarter,3:20.0,Milt Palacio,BOS,True,2-pointer,2,38-42,'ORL',trails
139,139,139,200012300BOS,23.6,7.6,3rd quarter,0:50.9,Milt Palacio,BOS,False,2-pointer,3,63-73,'ORL',trails
151,151,151,200012300BOS,24.9,5.2,4th quarter,5:38.0,Milt Palacio,BOS,True,2-pointer,1,77-84,'ORL',trails
156,156,156,200012300BOS,11.4,17.5,4th quarter,1:47.0,Milt Palacio,BOS,False,2-pointer,18,88-88,'ORL',tied
16,16,16,200101020ATL,30.4,9.0,1st quarter,2:48.0,Milt Palacio,BOS,True,2-pointer,8,20-19,'BOS',leads
27,27,27,200101020ATL,20.7,21.5,2nd quarter,5:41.0,Milt Palacio,BOS,False,2-pointer,17,34-38,'BOS',trails
128,128,128,200101100BOS,22.4,5.0,3rd quarter,0:06.9,Milt Palacio,BOS,True,2-pointer,2,70-58,'MIA',leads
117,117,117,200101120BOS,25.8,5.7,2nd quarter,2:29.0,Milt Palacio,BOS,True,2-pointer,2,41-48,'TOR',trails
123,123,123,200101120BOS,31.0,17.5,2nd quarter,0:00.7,Milt Palacio,BOS,True,2-pointer,14,46-54,'TOR',trails
142,142,142,200101120BOS,26.4,6.3,3rd quarter,0:00.6,Milt Palacio,BOS,False,2-pointer,3,55-63,'TOR',trails
1005,1005,1005,200101150MIN,12.7,21.5,2nd quarter,10:35.0,Milt Palacio,BOS,True,2-pointer,20,24-30,'BOS',trails
1031,1031,1031,200101150MIN,34.6,19.1,3rd quarter,5:38.0,Milt Palacio,BOS,False,2-pointer,18,66-64,'BOS',leads
1036,1036,1036,200101150MIN,24.0,5.0,3rd quarter,3:52.0,Milt Palacio,BOS,True,2-pointer,0,72-65,'BOS',leads
665,665,665,200101170SAC,24.0,5.0,1st quarter,2:40.0,Milt Palacio,BOS,True,2-pointer,0,20-21,'SAC',trails
700,700,700,200101180LAC,25.1,24.2,2nd quarter,11:40.0,Milt Palacio,BOS,False,2-pointer,19,24-16,'BOS',leads
701,701,701,200101180LAC,24.0,5.0,2nd quarter,10:28.0,Milt Palacio,BOS,True,2-pointer,0,26-16,'BOS',leads
180,180,180,200101210GSW,12.3,11.1,1st quarter,2:38.0,Milt Palacio,BOS,False,2-pointer,13,21-16,'BOS',leads
197,197,197,200101210GSW,24.9,20.0,2nd quarter,3:44.0,Milt Palacio,BOS,True,2-pointer,15,41-43,'BOS',trails
222,222,222,200101210GSW,34.2,18.3,4th quarter,10:34.0,Milt Palacio,BOS,False,2-pointer,17,74-76,'BOS',trails
84,84,84,200101230BOS,4.3,3.9,1st quarter,2:49.0,Milt Palacio,BOS,True,2-pointer,20,18-14,'BOS',leads
87,87,87,200101230BOS,25.8,6.7,1st quarter,0:38.0,Milt Palacio,BOS,True,2-pointer,2,21-20,'BOS',leads
90,90,90,200101230BOS,37.4,21.3,2nd quarter,10:48.0,Milt Palacio,BOS,True,2-pointer,21,27-22,'BOS',leads
124,124,124,200101230BOS,23.9,5.4,3rd quarter,3:38.0,Milt Palacio,BOS,True,2-pointer,0,60-54,'BOS',leads
125,125,125,200101230BOS,29.6,5.4,3rd quarter,2:53.0,Milt Palacio,BOS,True,2-pointer,6,62-56,'BOS',leads
259,259,259,200101260BOS,25.1,7.1,2nd quarter,6:19.0,Milt Palacio,BOS,False,2-pointer,2,31-33,'PHO',trails
263,263,263,200101260BOS,25.1,5.4,2nd quarter,4:07.0,Milt Palacio,BOS,True,2-pointer,1,37-35,'PHO',leads
264,264,264,200101260BOS,24.3,9.9,2nd quarter,3:37.0,Milt Palacio,BOS,False,2-pointer,5,37-35,'PHO',leads
278,278,278,200101260BOS,35.3,24.8,3rd quarter,7:45.0,Milt Palacio,BOS,False,2-pointer,23,54-48,'PHO',leads
285,285,285,200101260BOS,24.3,7.1,3rd quarter,5:02.0,Milt Palacio,BOS,False,2-pointer,2,56-53,'PHO',leads
287,287,287,200101260BOS,25.1,5.4,3rd quarter,4:43.0,Milt Palacio,BOS,True,2-pointer,1,58-53,'PHO',leads
288,288,288,200101260BOS,12.3,22.1,3rd quarter,4:04.0,Milt Palacio,BOS,False,2-pointer,21,58-53,'PHO',leads
289,289,289,200101260BOS,25.1,6.5,3rd quarter,3:21.0,Milt Palacio,BOS,False,2-pointer,2,59-53,'PHO',leads
305,305,305,200101260BOS,23.9,8.8,4th quarter,3:50.0,Milt Palacio,BOS,True,2-pointer,4,87-75,'PHO',leads
178,178,178,200102020DET,24.0,5.0,2nd quarter,7:39.0,Milt Palacio,BOS,False,2-pointer,0,34-38,'DET',trails
188,188,188,200102020DET,11.6,9.9,2nd quarter,2:46.0,Milt Palacio,BOS,False,2-pointer,13,58-44,'DET',leads
214,214,214,200102020DET,11.0,14.3,4th quarter,8:08.0,Milt Palacio,BOS,True,2-pointer,16,93-78,'DET',leads
218,218,218,200102020DET,24.0,5.0,4th quarter,5:38.0,Milt Palacio,BOS,True,2-pointer,0,95-82,'DET',leads
220,220,220,200102020DET,24.0,5.0,4th quarter,3:15.0,Milt Palacio,BOS,False,2-pointer,0,97-87,'DET',leads
133,133,133,200102040BOS,25.8,9.2,3rd quarter,1:06.0,Milt Palacio,BOS,False,2-pointer,5,83-63,'BOS',leads
982,982,982,200102050TOR,24.0,5.0,3rd quarter,5:05.0,Milt Palacio,BOS,False,2-pointer,0,62-71,'TOR',trails
1008,1008,1008,200102050TOR,45.0,18.5,4th quarter,0:03.0,Milt Palacio,BOS,True,3-pointer,25,98-110,'TOR',trails
112,112,112,200102070BOS,25.6,6.1,2nd quarter,10:16.0,Milt Palacio,BOS,False,2-pointer,2,25-22,'BOS',leads
144,144,144,200102070BOS,24.1,4.6,3rd quarter,3:51.0,Milt Palacio,BOS,True,2-pointer,0,56-60,'BOS',trails
1987,1987,1987,200102130VAN,25.4,22.7,1st quarter,3:55.0,Milt Palacio,BOS,False,2-pointer,18,16-18,'BOS',trails
2012,2012,2012,200102130VAN,21.3,5.4,2nd quarter,2:41.0,Milt Palacio,BOS,False,2-pointer,3,43-40,'BOS',leads
2014,2014,2014,200102130VAN,27.5,7.1,2nd quarter,1:13.0,Milt Palacio,BOS,False,2-pointer,4,46-41,'BOS',leads
2033,2033,2033,200102130VAN,23.4,8.2,3rd quarter,2:29.0,Milt Palacio,BOS,False,2-pointer,3,72-66,'BOS',leads
2051,2051,2051,200102130VAN,27.5,10.5,4th quarter,1:31.0,Milt Palacio,BOS,False,2-pointer,7,95-92,'BOS',leads
650,650,650,200102170POR,24.0,5.0,1st quarter,0:01.7,Milt Palacio,BOS,True,2-pointer,0,26-22,'POR',leads
658,658,658,200102170POR,29.8,23.1,2nd quarter,5:17.0,Milt Palacio,BOS,True,2-pointer,19,40-32,'POR',leads
661,661,661,200102170POR,24.0,5.0,2nd quarter,2:58.0,Milt Palacio,BOS,False,2-pointer,0,40-36,'POR',leads
684,684,684,200102170POR,24.0,5.0,3rd quarter,1:02.0,Milt Palacio,BOS,True,2-pointer,0,59-56,'POR',leads
685,685,685,200102170POR,24.0,5.0,3rd quarter,0:39.4,Milt Palacio,BOS,True,2-pointer,0,61-56,'POR',leads
686,686,686,200102170POR,24.0,5.0,3rd quarter,0:01.7,Milt Palacio,BOS,False,2-pointer,0,61-58,'POR',leads
523,523,523,200102190UTA,24.0,5.0,3rd quarter,7:53.0,Milt Palacio,BOS,False,2-pointer,0,48-65,'UTA',trails
354,354,354,200102200HOU,30.2,23.6,1st quarter,5:00.0,Milt Palacio,BOS,False,2-pointer,20,11-14,'HOU',trails
356,356,356,200102200HOU,24.0,5.0,1st quarter,4:33.0,Milt Palacio,BOS,False,2-pointer,0,11-14,'HOU',trails
388,388,388,200102200HOU,14.2,20.2,3rd quarter,3:19.0,Milt Palacio,BOS,True,2-pointer,18,59-76,'HOU',trails
400,400,400,200102200HOU,38.0,19.1,4th quarter,5:35.0,Milt Palacio,BOS,False,2-pointer,20,71-92,'HOU',trails
340,340,340,200102220DAL,24.0,5.0,1st quarter,1:42.0,Milt Palacio,BOS,False,2-pointer,0,23-22,'DAL',leads
350,350,350,200102220DAL,25.1,24.4,2nd quarter,4:14.0,Milt Palacio,BOS,True,2-pointer,19,37-43,'DAL',trails
351,351,351,200102220DAL,1.1,6.9,2nd quarter,3:25.0,Milt Palacio,BOS,True,3-pointer,23,43-43,'DAL',tied
354,354,354,200102220DAL,29.6,7.6,2nd quarter,1:21.0,Milt Palacio,BOS,False,2-pointer,6,46-49,'DAL',trails
356,356,356,200102220DAL,32.9,20.6,2nd quarter,0:42.4,Milt Palacio,BOS,False,2-pointer,18,46-51,'DAL',trails
378,378,378,200102220DAL,33.8,40.9,3rd quarter,0:00.4,Milt Palacio,BOS,False,3-pointer,37,69-81,'DAL',trails
398,398,398,200102220DAL,38.6,25.0,4th quarter,0:12.9,Milt Palacio,BOS,True,3-pointer,25,91-98,'DAL',trails
1210,1210,1210,200102230SAS,23.6,5.2,1st quarter,2:51.0,Milt Palacio,BOS,True,2-pointer,0,16-20,'SAS',trails
1245,1245,1245,200102230SAS,34.8,19.1,3rd quarter,4:44.0,Milt Palacio,BOS,True,2-pointer,18,54-76,'SAS',trails
1251,1251,1251,200102230SAS,24.9,5.2,3rd quarter,0:26.9,Milt Palacio,BOS,True,2-pointer,1,62-85,'SAS',trails
1260,1260,1260,200102230SAS,24.9,6.3,4th quarter,6:58.0,Milt Palacio,BOS,True,2-pointer,2,74-89,'SAS',trails
1266,1266,1266,200102230SAS,22.2,6.3,4th quarter,3:10.0,Milt Palacio,BOS,False,2-pointer,2,80-96,'SAS',trails
1270,1270,1270,200102230SAS,24.1,4.8,4th quarter,0:47.9,Milt Palacio,BOS,False,2-pointer,0,82-100,'SAS',trails
90,90,90,200102260BOS,6.4,6.7,1st quarter,1:48.0,Milt Palacio,BOS,False,2-pointer,18,15-20,'SEA',trails
111,111,111,200102260BOS,21.7,6.1,2nd quarter,1:52.0,Milt Palacio,BOS,True,2-pointer,3,41-33,'SEA',leads
128,128,128,200102260BOS,14.6,20.0,3rd quarter,0:03.9,Milt Palacio,BOS,False,2-pointer,18,59-60,'SEA',trails
136,136,136,200102260BOS,13.1,27.6,4th quarter,7:12.0,Milt Palacio,BOS,False,3-pointer,25,71-67,'SEA',leads
351,351,351,200103010NYK,24.0,5.0,1st quarter,4:47.0,Milt Palacio,BOS,False,2-pointer,0,7-11,'NYK',trails
357,357,357,200103010NYK,47.5,1.4,1st quarter,0:55.3,Milt Palacio,BOS,True,3-pointer,24,16-20,'NYK',trails
396,396,396,200103010NYK,24.0,5.0,3rd quarter,0:03.4,Milt Palacio,BOS,True,2-pointer,0,70-77,'NYK',trails
249,249,249,200103020BOS,13.1,20.2,1st quarter,3:55.0,Milt Palacio,BOS,False,2-pointer,19,12-14,'UTA',trails
274,274,274,200103020BOS,25.1,4.4,2nd quarter,0:05.5,Milt Palacio,BOS,True,2-pointer,1,54-50,'UTA',leads
284,284,284,200103020BOS,23.9,24.4,3rd quarter,5:46.0,Milt Palacio,BOS,True,2-pointer,19,67-66,'UTA',leads
