Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1881,1881,1881,200611010SEA,19.7,8.3,1st quarter,5:51.0,Mouhamed Sene,SEA,False,2-pointer,5,14-6,'POR',leads
958,958,958,200611030LAL,14.0,4.5,1st quarter,5:57.0,Mouhamed Sene,SEA,False,2-pointer,10,11-17,'LAL',trails
594,594,594,200611050SEA,12.7,3.7,4th quarter,0:22.9,Mouhamed Sene,SEA,False,2-pointer,11,117-101,'LAL',leads
1190,1190,1190,200611290SEA,24.0,5.0,1st quarter,5:05.0,Mouhamed Sene,SEA,True,2-pointer,0,13-12,'SEA',leads
1192,1192,1192,200611290SEA,26.1,9.6,1st quarter,3:54.0,Mouhamed Sene,SEA,False,2-pointer,5,15-14,'SEA',leads
421,421,421,200612150CLE,24.0,9.0,4th quarter,1:40.0,Mouhamed Sene,SEA,False,2-pointer,4,84-104,'SEA',trails
1856,1856,1856,200612200SEA,24.0,5.0,4th quarter,0:26.2,Mouhamed Sene,SEA,True,2-pointer,0,94-101,'DAL',trails
218,218,218,200612280DEN,14.6,5.0,4th quarter,11:48.0,Mouhamed Sene,SEA,False,2-pointer,9,76-85,'SEA',trails
235,235,235,200612280DEN,24.0,5.0,4th quarter,0:50.5,Mouhamed Sene,SEA,True,2-pointer,0,95-112,'SEA',trails
1149,1149,1149,200612290MIN,31.5,5.5,1st quarter,10:05.0,Mouhamed Sene,SEA,False,2-pointer,8,2-3,'SEA',trails
1151,1151,1151,200612290MIN,24.0,5.0,1st quarter,9:00.0,Mouhamed Sene,SEA,True,2-pointer,0,4-6,'SEA',trails
1155,1155,1155,200612290MIN,24.0,5.0,1st quarter,7:22.0,Mouhamed Sene,SEA,False,2-pointer,0,7-10,'SEA',trails
1163,1163,1163,200612290MIN,24.0,5.0,1st quarter,4:31.0,Mouhamed Sene,SEA,True,2-pointer,0,13-16,'SEA',trails
324,324,324,200701020DAL,24.0,5.0,1st quarter,4:37.0,Mouhamed Sene,SEA,False,2-pointer,0,9-20,DAL,trails
333,333,333,200701020DAL,24.8,21.1,2nd quarter,11:39.0,Mouhamed Sene,SEA,False,2-pointer,16,22-33,DAL,trails
967,967,967,200701280SEA,13.8,4.9,3rd quarter,2:10.0,Mouhamed Sene,SEA,False,2-pointer,10,49-83,'SEA',trails
969,969,969,200701280SEA,30.4,4.2,3rd quarter,0:57.8,Mouhamed Sene,SEA,True,2-pointer,6,51-86,'SEA',trails
970,970,970,200701280SEA,30.6,4.7,3rd quarter,0:26.9,Mouhamed Sene,SEA,False,2-pointer,7,51-86,'SEA',trails
972,972,972,200701280SEA,24.0,5.0,3rd quarter,0:22.0,Mouhamed Sene,SEA,True,2-pointer,0,53-86,'SEA',trails
978,978,978,200701280SEA,24.0,5.0,4th quarter,9:26.0,Mouhamed Sene,SEA,False,2-pointer,0,58-89,'SEA',trails
988,988,988,200701280SEA,18.8,7.8,4th quarter,1:04.0,Mouhamed Sene,SEA,True,2-pointer,6,75-97,'SEA',trails
247,247,247,200701300DAL,38.6,6.3,4th quarter,0:03.9,Mouhamed Sene,SEA,False,2-pointer,15,102-122,DAL,trails
698,698,698,200702240SAS,35.2,5.7,4th quarter,8:33.0,Mouhamed Sene,SEA,False,2-pointer,11,55-84,'SAS',trails
705,705,705,200702240SAS,9.5,10.9,4th quarter,5:16.0,Mouhamed Sene,SEA,False,2-pointer,16,59-93,'SAS',trails
709,709,709,200702240SAS,12.7,6.7,4th quarter,3:24.0,Mouhamed Sene,SEA,False,2-pointer,11,64-95,'SAS',trails
250,250,250,200703090BOS,22.2,6.8,4th quarter,0:47.9,Mouhamed Sene,SEA,False,2-pointer,3,103-118,'SEA',trails
251,251,251,200703090BOS,27.1,4.7,4th quarter,0:43.7,Mouhamed Sene,SEA,False,2-pointer,3,103-118,'SEA',trails
1716,1716,1716,200703300SEA,30.2,7.8,4th quarter,8:36.0,Mouhamed Sene,SEA,True,2-pointer,7,107-77,'SEA',leads
1717,1717,1717,200703300SEA,24.0,5.0,4th quarter,8:01.0,Mouhamed Sene,SEA,False,2-pointer,0,107-79,'SEA',leads
1721,1721,1721,200703300SEA,24.0,5.0,4th quarter,5:50.0,Mouhamed Sene,SEA,False,2-pointer,0,110-83,'SEA',leads
1729,1729,1729,200703300SEA,34.8,6.7,4th quarter,1:20.0,Mouhamed Sene,SEA,True,2-pointer,11,118-89,'SEA',leads
1356,1356,1356,200704030SAS,17.4,7.6,4th quarter,10:13.0,Mouhamed Sene,SEA,True,2-pointer,7,69-91,'SAS',trails
1358,1358,1358,200704030SAS,24.1,5.0,4th quarter,8:55.0,Mouhamed Sene,SEA,True,2-pointer,0,73-91,'SAS',trails
1366,1366,1366,200704030SAS,12.3,6.0,4th quarter,4:36.0,Mouhamed Sene,SEA,True,2-pointer,12,79-102,'SAS',trails
1368,1368,1368,200704030SAS,36.1,9.1,4th quarter,3:37.0,Mouhamed Sene,SEA,False,2-pointer,13,79-104,'SAS',trails
1371,1371,1371,200704030SAS,13.7,4.7,4th quarter,1:58.0,Mouhamed Sene,SEA,False,2-pointer,10,83-107,'SAS',trails
1373,1373,1373,200704030SAS,11.2,3.7,4th quarter,0:48.9,Mouhamed Sene,SEA,True,2-pointer,13,87-108,'SAS',trails
856,856,856,200704110PHO,36.3,16.0,4th quarter,2:18.0,Mouhamed Sene,SEA,True,2-pointer,17,89-104,'SEA',trails
857,857,857,200704110PHO,37.0,6.3,4th quarter,1:48.0,Mouhamed Sene,SEA,False,2-pointer,13,89-104,'SEA',trails
811,811,811,200704140POR,24.0,5.0,1st quarter,2:20.0,Mouhamed Sene,SEA,True,2-pointer,0,22-17,'POR',leads
816,816,816,200704140POR,27.3,5.0,2nd quarter,11:41.0,Mouhamed Sene,SEA,True,2-pointer,3,28-28,'POR',tied
820,820,820,200704140POR,26.1,8.8,2nd quarter,9:19.0,Mouhamed Sene,SEA,False,2-pointer,4,28-34,'POR',trails
845,845,845,200704150LAL,24.0,5.0,2nd quarter,6:40.0,Mouhamed Sene,SEA,False,2-pointer,0,25-42,'LAL',trails
846,846,846,200704150LAL,24.0,5.0,2nd quarter,6:39.0,Mouhamed Sene,SEA,True,2-pointer,0,27-42,'LAL',trails
1899,1899,1899,200704180SEA,12.0,4.7,4th quarter,8:42.0,Mouhamed Sene,SEA,False,2-pointer,12,65-93,'DAL',trails
1900,1900,1900,200704180SEA,22.7,13.1,4th quarter,7:50.0,Mouhamed Sene,SEA,False,2-pointer,8,65-93,'DAL',trails
1906,1906,1906,200704180SEA,19.6,12.1,4th quarter,4:42.0,Mouhamed Sene,SEA,False,2-pointer,8,69-97,'DAL',trails
1911,1911,1911,200704180SEA,30.9,6.8,4th quarter,0:36.9,Mouhamed Sene,SEA,False,2-pointer,7,73-104,'DAL',trails
1912,1912,1912,200704180SEA,8.6,4.4,4th quarter,0:05.8,Mouhamed Sene,SEA,False,2-pointer,15,75-106,'DAL',trails
241,241,241,200710310DEN,24.0,5.0,4th quarter,0:00.0,Mouhamed Sene,SEA,True,2-pointer,0,103-120,'SEA',trails
78,78,78,200711170CHA,24.0,5.0,4th quarter,2:40.0,Mouhamed Sene,SEA,True,2-pointer,0,82-100,'SEA',trails
198,198,198,200711190MEM,24.0,5.0,2nd quarter,2:48.0,Mouhamed Sene,SEA,False,2-pointer,0,49-58,'SEA',trails
238,238,238,200711190MEM,24.0,5.0,4th quarter,3:25.0,Mouhamed Sene,SEA,False,2-pointer,0,100-119,'SEA',trails
240,240,240,200711190MEM,24.0,5.0,4th quarter,1:57.0,Mouhamed Sene,SEA,False,2-pointer,0,101-121,'SEA',trails
241,241,241,200711190MEM,24.0,5.0,4th quarter,1:51.0,Mouhamed Sene,SEA,False,2-pointer,0,101-121,'SEA',trails
244,244,244,200711190MEM,24.0,5.0,4th quarter,0:16.7,Mouhamed Sene,SEA,True,2-pointer,0,108-125,'SEA',trails
1400,1400,1400,200711280SEA,27.9,7.2,3rd quarter,6:16.0,Mouhamed Sene,SEA,False,2-pointer,4,56-63,'SEA',trails
1327,1327,1327,200712020SEA,18.3,8.5,4th quarter,4:22.0,Mouhamed Sene,SEA,True,2-pointer,7,83-104,'SEA',trails
