Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1188,1188,1188,201310300NYK,44.0,20.9,2nd quarter,9:07.0,Nate Wolters,MIL,False,3-pointer,27,21-30,'NYK',trails
1189,1189,1189,201310300NYK,22.5,4.9,2nd quarter,7:49.0,Nate Wolters,MIL,True,2-pointer,2,23-30,'NYK',trails
1190,1190,1190,201310300NYK,20.6,3.7,2nd quarter,7:14.0,Nate Wolters,MIL,False,2-pointer,3,23-32,'NYK',trails
1199,1199,1199,201310300NYK,16.5,11.0,2nd quarter,0:17.0,Nate Wolters,MIL,True,2-pointer,11,31-54,'NYK',trails
1200,1200,1200,201310300NYK,17.3,29.9,2nd quarter,0:00.0,Nate Wolters,MIL,False,3-pointer,28,31-56,'NYK',trails
1202,1202,1202,201310300NYK,6.0,19.0,3rd quarter,10:57.0,Nate Wolters,MIL,True,3-pointer,24,34-56,'NYK',trails
1205,1205,1205,201310300NYK,18.6,3.6,3rd quarter,8:51.0,Nate Wolters,MIL,False,2-pointer,5,36-60,'NYK',trails
1211,1211,1211,201310300NYK,28.2,5.2,3rd quarter,6:49.0,Nate Wolters,MIL,False,2-pointer,5,41-60,'NYK',trails
1230,1230,1230,201310300NYK,2.5,14.2,4th quarter,7:32.0,Nate Wolters,MIL,False,3-pointer,24,73-76,'NYK',trails
1231,1231,1231,201310300NYK,34.5,20.5,4th quarter,7:00.0,Nate Wolters,MIL,False,2-pointer,20,73-76,'NYK',trails
1235,1235,1235,201310300NYK,28.0,6.3,4th quarter,4:47.0,Nate Wolters,MIL,False,2-pointer,5,77-80,'NYK',trails
1239,1239,1239,201310300NYK,26.4,4.4,4th quarter,0:34.0,Nate Wolters,MIL,False,2-pointer,3,83-88,'NYK',trails
179,179,179,201311010BOS,24.7,3.3,1st quarter,4:57.0,Nate Wolters,MIL,True,2-pointer,1,6-16,'BOS',trails
181,181,181,201311010BOS,8.3,4.2,1st quarter,3:09.0,Nate Wolters,MIL,False,2-pointer,16,8-20,'BOS',trails
193,193,193,201311010BOS,27.2,16.7,2nd quarter,10:33.0,Nate Wolters,MIL,False,2-pointer,14,20-35,'BOS',trails
194,194,194,201311010BOS,26.6,4.2,2nd quarter,10:31.0,Nate Wolters,MIL,True,2-pointer,3,22-35,'BOS',trails
201,201,201,201311010BOS,17.6,15.3,2nd quarter,6:15.0,Nate Wolters,MIL,True,2-pointer,14,37-47,'BOS',trails
202,202,202,201311010BOS,14.3,26.1,2nd quarter,5:23.0,Nate Wolters,MIL,False,3-pointer,25,37-49,'BOS',trails
230,230,230,201311010BOS,16.7,9.1,3rd quarter,0:49.0,Nate Wolters,MIL,False,2-pointer,10,66-83,'BOS',trails
235,235,235,201311010BOS,2.8,21.6,4th quarter,9:12.0,Nate Wolters,MIL,True,3-pointer,28,80-89,'BOS',trails
236,236,236,201311010BOS,32.4,13.4,4th quarter,8:34.0,Nate Wolters,MIL,True,2-pointer,13,82-89,'BOS',trails
245,245,245,201311010BOS,29.0,4.5,4th quarter,1:47.0,Nate Wolters,MIL,False,2-pointer,5,97-98,'BOS',trails
566,566,566,201311020MIL,35.3,6.6,1st quarter,11:39.0,Nate Wolters,MIL,True,2-pointer,12,2-0,'TOR',leads
579,579,579,201311020MIL,0.8,15.3,1st quarter,4:19.0,Nate Wolters,MIL,False,3-pointer,26,13-14,'TOR',trails
600,600,600,201311020MIL,16.9,16.5,2nd quarter,6:04.0,Nate Wolters,MIL,False,2-pointer,15,31-34,'TOR',trails
605,605,605,201311020MIL,9.9,3.0,2nd quarter,3:37.0,Nate Wolters,MIL,False,2-pointer,14,38-38,'TOR',tied
607,607,607,201311020MIL,22.7,3.3,2nd quarter,2:47.0,Nate Wolters,MIL,True,2-pointer,1,41-41,'TOR',tied
