Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
799,799,799,201411010HOU,25.7,5.3,4th quarter,1:52.0,Nick Johnson,HOU,False,2-pointer,2,104-82,'HOU',leads
157,157,157,201411060HOU,32.4,8.2,4th quarter,1:40.0,Nick Johnson,HOU,False,2-pointer,9,91-74,'SAS',leads
997,997,997,201411260HOU,27.7,3.6,4th quarter,0:12.0,Nick Johnson,HOU,True,2-pointer,3,102-89,'HOU',leads
1015,1015,1015,201411280HOU,33.7,7.5,4th quarter,5:29.0,Nick Johnson,HOU,False,2-pointer,10,73-94,'HOU',trails
1018,1018,1018,201411280HOU,24.0,3.1,4th quarter,3:12.0,Nick Johnson,HOU,True,2-pointer,0,77-97,'HOU',trails
1019,1019,1019,201411280HOU,24.4,5.5,4th quarter,2:45.0,Nick Johnson,HOU,False,2-pointer,2,77-97,'HOU',trails
1022,1022,1022,201411280HOU,37.3,24.4,4th quarter,1:28.0,Nick Johnson,HOU,True,3-pointer,25,80-100,'HOU',trails
345,345,345,201411290MIL,26.8,3.6,1st quarter,3:19.0,Nick Johnson,HOU,False,2-pointer,2,20-15,'HOU',leads
348,348,348,201411290MIL,22.4,3.7,1st quarter,1:20.0,Nick Johnson,HOU,True,2-pointer,1,26-21,'HOU',leads
372,372,372,201411290MIL,41.9,21.1,2nd quarter,0:33.0,Nick Johnson,HOU,False,3-pointer,25,53-46,'HOU',leads
412,412,412,201411290MIL,23.5,28.5,4th quarter,0:43.0,Nick Johnson,HOU,False,3-pointer,25,117-101,'HOU',leads
413,413,413,201411290MIL,13.1,26.8,4th quarter,0:11.0,Nick Johnson,HOU,False,3-pointer,26,117-103,'HOU',leads
644,644,644,201412030HOU,27.4,7.7,1st quarter,3:22.0,Nick Johnson,HOU,False,2-pointer,5,21-21,'HOU',tied
687,687,687,201412030HOU,45.8,14.9,3rd quarter,5:47.0,Nick Johnson,HOU,False,3-pointer,24,79-56,'HOU',leads
689,689,689,201412030HOU,17.8,7.5,3rd quarter,4:43.0,Nick Johnson,HOU,False,2-pointer,7,79-60,'HOU',leads
694,694,694,201412030HOU,26.8,6.3,3rd quarter,2:33.0,Nick Johnson,HOU,False,2-pointer,4,86-63,'HOU',leads
697,697,697,201412030HOU,26.3,2.5,3rd quarter,0:45.0,Nick Johnson,HOU,True,2-pointer,2,92-65,'HOU',leads
