Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
707,707,707,201912070PHI,24.0,4.5,4th quarter,11:43.0,Norvel Pelle,PHI,False,2-pointer,1,108-62,'CLE',leads
710,710,710,201912070PHI,23.7,5.2,4th quarter,9:59.0,Norvel Pelle,PHI,True,2-pointer,2,113-70,'CLE',leads
718,718,718,201912070PHI,24.0,2.7,4th quarter,5:26.0,Norvel Pelle,PHI,True,2-pointer,1,123-79,'CLE',leads
1157,1157,1157,201912130PHI,24.0,2.7,1st quarter,4:09.0,Norvel Pelle,PHI,True,2-pointer,1,24-17,'NOP',leads
1198,1198,1198,201912130PHI,24.0,2.7,3rd quarter,5:16.0,Norvel Pelle,PHI,True,2-pointer,1,75-71,'NOP',leads
1201,1201,1201,201912130PHI,22.5,3.3,3rd quarter,4:10.0,Norvel Pelle,PHI,True,2-pointer,2,79-71,'NOP',leads
1214,1214,1214,201912130PHI,20.9,8.4,4th quarter,7:55.0,Norvel Pelle,PHI,False,2-pointer,6,96-85,'NOP',leads
242,242,242,201912150BRK,23.4,3.7,4th quarter,7:39.0,Norvel Pelle,PHI,True,2-pointer,1,76-93,'PHI',trails
1407,1407,1407,201912200PHI,28.1,13.2,4th quarter,0:23.0,Norvel Pelle,PHI,False,2-pointer,11,98-117,'DAL',trails
386,386,386,201912310IND,23.1,4.1,1st quarter,0:00.0,Norvel Pelle,PHI,True,2-pointer,1,27-29,'IND',trails
392,392,392,201912310IND,24.1,3.7,2nd quarter,9:32.0,Norvel Pelle,PHI,False,2-pointer,0,29-33,'IND',trails
410,410,410,201912310IND,29.6,10.0,3rd quarter,9:30.0,Norvel Pelle,PHI,False,2-pointer,9,49-73,'IND',trails
658,658,658,202001090PHI,23.5,3.7,2nd quarter,10:52.0,Norvel Pelle,PHI,True,2-pointer,1,30-35,'BOS',trails
691,691,691,202001090PHI,25.6,3.1,3rd quarter,4:35.0,Norvel Pelle,PHI,True,2-pointer,2,71-69,'BOS',leads
698,698,698,202001090PHI,23.7,4.7,3rd quarter,1:43.0,Norvel Pelle,PHI,True,2-pointer,1,77-74,'BOS',leads
229,229,229,202001110DAL,24.0,2.7,1st quarter,0:14.0,Norvel Pelle,PHI,False,2-pointer,1,20-17,'DAL',leads
234,234,234,202001110DAL,23.5,3.7,2nd quarter,10:13.0,Norvel Pelle,PHI,True,2-pointer,1,30-26,'DAL',leads
277,277,277,202001110DAL,24.0,2.7,4th quarter,11:37.0,Norvel Pelle,PHI,True,2-pointer,1,68-73,'DAL',trails
283,283,283,202001110DAL,24.0,2.7,4th quarter,8:35.0,Norvel Pelle,PHI,False,2-pointer,1,71-81,'DAL',trails
388,388,388,202001130IND,23.6,7.9,1st quarter,1:33.0,Norvel Pelle,PHI,True,2-pointer,5,19-16,'IND',leads
391,391,391,202001130IND,22.8,5.1,2nd quarter,11:30.0,Norvel Pelle,PHI,False,2-pointer,2,23-25,'IND',trails
392,392,392,202001130IND,24.0,2.7,2nd quarter,11:27.0,Norvel Pelle,PHI,False,2-pointer,1,23-25,'IND',trails
394,394,394,202001130IND,24.0,2.7,2nd quarter,11:09.0,Norvel Pelle,PHI,False,2-pointer,1,23-25,'IND',trails
