Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1046,1046,1046,202112280SAC,30.7,3.9,2nd quarter,7:55.0,Olivier Sarr,OKC,True,2-pointer,7,40-40,'SAC',tied
1081,1081,1081,202112280SAC,24.8,3.9,3rd quarter,3:25.0,Olivier Sarr,OKC,False,2-pointer,1,76-76,'SAC',tied
1083,1083,1083,202112280SAC,22.6,28.3,3rd quarter,2:33.0,Olivier Sarr,OKC,False,3-pointer,25,76-78,'SAC',trails
887,887,887,202202240OKC,28.8,29.5,4th quarter,0:32.0,Olivier Sarr,OKC,False,3-pointer,27,104-124,'OKC',trails
198,198,198,202202250IND,21.4,4.6,1st quarter,0:59.0,Olivier Sarr,OKC,False,2-pointer,3,26-32,'IND',trails
214,214,214,202202250IND,25.8,3.1,2nd quarter,4:31.0,Olivier Sarr,OKC,True,2-pointer,2,55-51,'IND',leads
240,240,240,202202250IND,24.0,3.3,3rd quarter,5:14.0,Olivier Sarr,OKC,True,2-pointer,0,81-78,'IND',leads
241,241,241,202202250IND,25.2,3.7,3rd quarter,4:50.0,Olivier Sarr,OKC,False,2-pointer,1,81-78,'IND',leads
978,978,978,202202280OKC,19.9,7.5,1st quarter,4:17.0,Olivier Sarr,OKC,False,2-pointer,6,23-21,'SAC',leads
988,988,988,202202280OKC,9.0,24.2,2nd quarter,11:12.0,Olivier Sarr,OKC,False,3-pointer,26,32-38,'SAC',trails
993,993,993,202202280OKC,21.4,8.8,2nd quarter,9:28.0,Olivier Sarr,OKC,True,2-pointer,6,39-38,'SAC',leads
994,994,994,202202280OKC,19.4,5.3,2nd quarter,8:57.0,Olivier Sarr,OKC,True,2-pointer,5,41-38,'SAC',leads
1003,1003,1003,202202280OKC,23.1,5.7,2nd quarter,3:40.0,Olivier Sarr,OKC,True,2-pointer,3,50-52,'SAC',trails
1009,1009,1009,202202280OKC,27.4,6.0,2nd quarter,1:01.0,Olivier Sarr,OKC,True,2-pointer,4,57-54,'SAC',leads
1028,1028,1028,202202280OKC,28.0,7.5,3rd quarter,5:15.0,Olivier Sarr,OKC,False,2-pointer,6,78-74,'SAC',leads
1040,1040,1040,202202280OKC,24.9,29.7,4th quarter,9:49.0,Olivier Sarr,OKC,True,3-pointer,26,96-102,'SAC',trails
180,180,180,202203020DEN,24.8,6.3,1st quarter,2:36.0,Olivier Sarr,OKC,False,2-pointer,3,19-14,'OKC',leads
187,187,187,202203020DEN,22.8,4.1,2nd quarter,11:08.0,Olivier Sarr,OKC,True,2-pointer,1,29-27,'OKC',leads
189,189,189,202203020DEN,23.8,5.3,2nd quarter,10:26.0,Olivier Sarr,OKC,False,2-pointer,2,29-27,'OKC',leads
232,232,232,202203020DEN,38.0,6.0,4th quarter,10:08.0,Olivier Sarr,OKC,True,2-pointer,14,93-85,'OKC',leads
236,236,236,202203020DEN,24.0,3.3,4th quarter,7:53.0,Olivier Sarr,OKC,True,2-pointer,0,99-93,'OKC',leads
853,853,853,202203040OKC,21.4,6.4,2nd quarter,6:34.0,Olivier Sarr,OKC,True,2-pointer,4,42-51,'OKC',trails
904,904,904,202203040OKC,24.2,6.2,4th quarter,2:29.0,Olivier Sarr,OKC,True,2-pointer,3,101-131,'OKC',trails
1177,1177,1177,202203060OKC,11.1,3.2,1st quarter,3:51.0,Olivier Sarr,OKC,True,2-pointer,13,15-28,'UTA',trails
1180,1180,1180,202203060OKC,24.0,8.7,1st quarter,2:24.0,Olivier Sarr,OKC,False,2-pointer,5,17-33,'UTA',trails
1185,1185,1185,202203060OKC,7.8,25.2,2nd quarter,11:34.0,Olivier Sarr,OKC,False,3-pointer,27,24-33,'UTA',trails
1220,1220,1220,202203060OKC,28.2,8.5,3rd quarter,4:43.0,Olivier Sarr,OKC,False,2-pointer,7,61-78,'UTA',trails
1235,1235,1235,202203060OKC,26.9,5.8,4th quarter,9:36.0,Olivier Sarr,OKC,True,2-pointer,4,80-94,'UTA',trails
1236,1236,1236,202203060OKC,21.4,30.3,4th quarter,8:56.0,Olivier Sarr,OKC,True,3-pointer,27,83-96,'UTA',trails
1237,1237,1237,202203060OKC,47.3,10.0,4th quarter,8:15.0,Olivier Sarr,OKC,False,3-pointer,24,83-96,'UTA',trails
1238,1238,1238,202203060OKC,21.7,4.9,4th quarter,7:34.0,Olivier Sarr,OKC,True,2-pointer,3,85-98,'UTA',trails
1241,1241,1241,202203060OKC,21.7,29.1,4th quarter,5:41.0,Olivier Sarr,OKC,False,3-pointer,26,87-100,'UTA',trails
852,852,852,202203080OKC,47.1,3.4,2nd quarter,8:45.0,Olivier Sarr,OKC,True,3-pointer,23,44-52,'OKC',trails
906,906,906,202203080OKC,18.9,5.7,4th quarter,2:29.0,Olivier Sarr,OKC,False,2-pointer,6,115-137,'OKC',trails
907,907,907,202203080OKC,20.2,5.5,4th quarter,1:53.0,Olivier Sarr,OKC,False,2-pointer,4,115-139,'OKC',trails
1276,1276,1276,202203090MIN,26.6,5.3,2nd quarter,10:01.0,Olivier Sarr,OKC,False,2-pointer,3,26-32,'OKC',trails
955,955,955,202203130OKC,26.6,8.0,1st quarter,6:19.0,Olivier Sarr,OKC,False,2-pointer,5,12-22,'OKC',trails
963,963,963,202203130OKC,24.0,3.3,1st quarter,3:01.0,Olivier Sarr,OKC,True,2-pointer,0,18-29,'OKC',trails
1008,1008,1008,202203130OKC,47.6,5.7,3rd quarter,4:35.0,Olivier Sarr,OKC,False,3-pointer,24,68-80,'OKC',trails
823,823,823,202203140OKC,22.5,29.0,1st quarter,8:51.0,Olivier Sarr,OKC,False,3-pointer,26,9-11,'OKC',trails
832,832,832,202203140OKC,26.1,6.4,1st quarter,5:02.0,Olivier Sarr,OKC,True,2-pointer,4,25-21,'OKC',leads
881,881,881,202203140OKC,31.3,5.3,3rd quarter,1:29.0,Olivier Sarr,OKC,False,2-pointer,8,86-101,'OKC',trails
