Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1237,1237,1237,200012220SEA,22.4,7.6,4th quarter,1:53.0,Olumide Oyedeji,SEA,True,2-pointer,3,105-85,'SEA',leads
560,560,560,200101050PHI,24.0,5.0,4th quarter,1:28.0,Olumide Oyedeji,SEA,True,2-pointer,0,87-119,'SEA',trails
1012,1012,1012,200101100WAS,24.3,5.0,2nd quarter,0:26.9,Olumide Oyedeji,SEA,True,2-pointer,0,59-49,'SEA',leads
919,919,919,200101210SEA,24.0,5.0,2nd quarter,10:13.0,Olumide Oyedeji,SEA,True,2-pointer,0,32-28,'SAC',leads
936,936,936,200101210SEA,24.0,5.0,2nd quarter,0:49.1,Olumide Oyedeji,SEA,True,2-pointer,0,53-55,'SAC',trails
948,948,948,200101210SEA,26.8,5.7,3rd quarter,6:16.0,Olumide Oyedeji,SEA,False,2-pointer,3,64-73,'SAC',trails
962,962,962,200101210SEA,24.0,5.0,4th quarter,8:37.0,Olumide Oyedeji,SEA,True,2-pointer,0,92-85,'SAC',leads
969,969,969,200101210SEA,24.0,5.0,4th quarter,5:43.0,Olumide Oyedeji,SEA,True,2-pointer,0,98-87,'SAC',leads
971,971,971,200101210SEA,24.0,5.0,4th quarter,4:55.0,Olumide Oyedeji,SEA,False,2-pointer,0,98-89,'SAC',leads
1546,1546,1546,200101230SEA,22.8,6.9,2nd quarter,11:18.0,Olumide Oyedeji,SEA,True,2-pointer,2,27-23,'LAL',leads
1560,1560,1560,200101230SEA,18.6,5.9,2nd quarter,1:59.0,Olumide Oyedeji,SEA,False,2-pointer,5,46-36,'LAL',leads
985,985,985,200101300SEA,24.1,7.6,4th quarter,2:20.0,Olumide Oyedeji,SEA,True,2-pointer,3,78-98,'UTA',trails
986,986,986,200101300SEA,28.3,7.6,4th quarter,1:14.0,Olumide Oyedeji,SEA,True,2-pointer,5,83-100,'UTA',trails
908,908,908,200102010SEA,21.7,5.1,4th quarter,11:23.0,Olumide Oyedeji,SEA,False,2-pointer,2,74-71,'SEA',leads
909,909,909,200102010SEA,28.3,5.9,4th quarter,11:05.0,Olumide Oyedeji,SEA,False,2-pointer,4,74-71,'SEA',leads
