Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
947,947,947,201810170NYK,24.0,2.7,3rd quarter,0:46.0,Omari Spellman,ATL,True,2-pointer,1,79-99,'NYK',trails
960,960,960,201810170NYK,19.4,15.2,4th quarter,6:18.0,Omari Spellman,ATL,True,2-pointer,13,94-112,'NYK',trails
961,961,961,201810170NYK,35.5,26.5,4th quarter,5:57.0,Omari Spellman,ATL,False,3-pointer,26,94-115,'NYK',trails
963,963,963,201810170NYK,38.3,24.9,4th quarter,5:24.0,Omari Spellman,ATL,True,3-pointer,26,99-117,'NYK',trails
13,13,13,201810210CLE,47.6,10.1,1st quarter,3:47.0,Omari Spellman,ATL,True,3-pointer,25,10-22,'CLE',trails
16,16,16,201810210CLE,6.7,23.3,1st quarter,2:23.0,Omari Spellman,ATL,True,3-pointer,27,19-26,'CLE',trails
68,68,68,201810210CLE,47.3,9.6,3rd quarter,1:57.0,Omari Spellman,ATL,False,3-pointer,24,87-79,'CLE',leads
71,71,71,201810210CLE,23.2,2.7,3rd quarter,0:28.0,Omari Spellman,ATL,True,2-pointer,1,90-84,'CLE',leads
72,72,72,201810210CLE,23.7,3.3,3rd quarter,0:02.0,Omari Spellman,ATL,True,2-pointer,0,92-86,'CLE',leads
90,90,90,201810210CLE,38.4,23.6,4th quarter,3:15.0,Omari Spellman,ATL,True,3-pointer,25,125-104,'CLE',leads
94,94,94,201810210CLE,46.4,3.9,4th quarter,1:47.0,Omari Spellman,ATL,True,3-pointer,22,128-109,'CLE',leads
96,96,96,201810210CLE,28.0,3.9,4th quarter,0:42.0,Omari Spellman,ATL,False,2-pointer,4,130-109,'CLE',leads
100,100,100,201810240ATL,23.7,4.7,1st quarter,6:43.0,Omari Spellman,ATL,True,2-pointer,1,14-21,'DAL',trails
107,107,107,201810240ATL,24.7,4.4,1st quarter,3:49.0,Omari Spellman,ATL,True,2-pointer,1,18-29,'DAL',trails
118,118,118,201810240ATL,43.9,17.9,2nd quarter,8:28.0,Omari Spellman,ATL,False,3-pointer,25,25-49,'DAL',trails
158,158,158,201810240ATL,24.8,5.7,3rd quarter,0:02.0,Omari Spellman,ATL,False,2-pointer,3,80-87,'DAL',trails
