Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1096,1096,1096,202101150UTA,28.3,7.4,1st quarter,5:12.0,Onyeka Okongwu,ATL,False,2-pointer,6,15-19,'UTA',trails
1119,1119,1119,202101150UTA,31.0,18.8,2nd quarter,6:05.0,Onyeka Okongwu,ATL,False,2-pointer,17,35-42,'UTA',trails
1121,1121,1121,202101150UTA,27.5,4.8,2nd quarter,5:04.0,Onyeka Okongwu,ATL,False,2-pointer,4,37-42,'UTA',trails
1160,1160,1160,202101150UTA,16.1,7.9,4th quarter,7:15.0,Onyeka Okongwu,ATL,True,2-pointer,9,81-106,'UTA',trails
1162,1162,1162,202101150UTA,23.9,6.2,4th quarter,6:18.0,Onyeka Okongwu,ATL,True,2-pointer,3,83-109,'UTA',trails
1166,1166,1166,202101150UTA,39.5,4.2,4th quarter,3:58.0,Onyeka Okongwu,ATL,False,2-pointer,16,86-109,'UTA',trails
141,141,141,202101200ATL,23.9,5.7,2nd quarter,2:31.0,Onyeka Okongwu,ATL,False,2-pointer,2,42-45,'DET',trails
161,161,161,202101200ATL,22.8,4.6,3rd quarter,3:39.0,Onyeka Okongwu,ATL,True,2-pointer,2,73-79,'DET',trails
167,167,167,202101200ATL,36.9,24.2,3rd quarter,1:31.0,Onyeka Okongwu,ATL,False,3-pointer,25,78-88,'DET',trails
966,966,966,202101220MIN,24.2,4.7,4th quarter,2:55.0,Onyeka Okongwu,ATL,True,2-pointer,1,108-85,'MIN',leads
575,575,575,202101240MIL,23.7,3.9,2nd quarter,3:34.0,Onyeka Okongwu,ATL,True,2-pointer,1,34-55,'MIL',trails
601,601,601,202101240MIL,24.4,4.2,3rd quarter,0:05.0,Onyeka Okongwu,ATL,True,2-pointer,1,83-94,'MIL',trails
1579,1579,1579,202101290WAS,20.4,5.4,1st quarter,2:52.0,Onyeka Okongwu,ATL,True,2-pointer,4,18-17,'WAS',leads
1586,1586,1586,202101290WAS,33.7,12.6,2nd quarter,10:20.0,Onyeka Okongwu,ATL,False,2-pointer,13,31-26,'WAS',leads
1621,1621,1621,202101290WAS,23.3,5.9,3rd quarter,0:34.0,Onyeka Okongwu,ATL,True,2-pointer,3,88-68,'WAS',leads
117,117,117,202102060ATL,22.6,12.3,1st quarter,2:43.0,Onyeka Okongwu,ATL,False,2-pointer,9,23-28,'TOR',trails
120,120,120,202102060ATL,24.2,3.8,2nd quarter,11:17.0,Onyeka Okongwu,ATL,True,2-pointer,1,30-36,'TOR',trails
350,350,350,202102100DAL,26.8,5.7,1st quarter,1:34.0,Onyeka Okongwu,ATL,False,2-pointer,4,27-25,'DAL',leads
167,167,167,202102120ATL,26.5,7.4,4th quarter,3:25.0,Onyeka Okongwu,ATL,True,2-pointer,5,99-119,'SAS',trails
100,100,100,202102210ATL,46.7,3.9,1st quarter,1:19.0,Onyeka Okongwu,ATL,False,3-pointer,23,22-30,'DEN',trails
101,101,101,202102210ATL,24.2,4.2,1st quarter,0:58.0,Onyeka Okongwu,ATL,True,2-pointer,1,24-31,'DEN',trails
104,104,104,202102210ATL,23.5,6.7,2nd quarter,10:20.0,Onyeka Okongwu,ATL,True,2-pointer,3,33-33,'DEN',tied
107,107,107,202102210ATL,23.5,4.7,2nd quarter,8:31.0,Onyeka Okongwu,ATL,False,2-pointer,2,37-38,'DEN',trails
146,146,146,202102210ATL,25.8,14.8,3rd quarter,0:03.0,Onyeka Okongwu,ATL,False,2-pointer,12,93-76,'DEN',leads
149,149,149,202102210ATL,23.3,4.2,4th quarter,10:16.0,Onyeka Okongwu,ATL,True,2-pointer,1,97-78,'DEN',leads
150,150,150,202102210ATL,23.6,4.1,4th quarter,9:41.0,Onyeka Okongwu,ATL,True,2-pointer,1,99-80,'DEN',leads
235,235,235,202102230CLE,24.6,3.6,3rd quarter,5:05.0,Onyeka Okongwu,ATL,False,2-pointer,1,76-73,'CLE',leads
112,112,112,202102240ATL,23.4,3.6,1st quarter,2:48.0,Onyeka Okongwu,ATL,True,2-pointer,1,30-23,'BOS',leads
157,157,157,202102240ATL,22.1,13.1,3rd quarter,1:13.0,Onyeka Okongwu,ATL,False,2-pointer,10,94-72,'BOS',leads
179,179,179,202102240ATL,24.0,3.3,4th quarter,0:14.0,Onyeka Okongwu,ATL,True,2-pointer,0,127-110,'BOS',leads
1227,1227,1227,202102260OKC,24.4,15.1,1st quarter,0:16.0,Onyeka Okongwu,ATL,True,2-pointer,12,33-29,'OKC',leads
1231,1231,1231,202102260OKC,22.6,11.3,2nd quarter,10:01.0,Onyeka Okongwu,ATL,True,2-pointer,8,37-35,'OKC',leads
345,345,345,202103020MIA,25.8,3.6,1st quarter,1:07.0,Onyeka Okongwu,ATL,True,2-pointer,2,21-15,'MIA',leads
381,381,381,202103020MIA,24.3,6.8,3rd quarter,1:05.0,Onyeka Okongwu,ATL,True,2-pointer,4,63-63,'MIA',tied
385,385,385,202103020MIA,25.0,10.6,4th quarter,10:13.0,Onyeka Okongwu,ATL,True,2-pointer,7,68-69,'MIA',trails
906,906,906,202103030ORL,21.8,9.5,2nd quarter,11:42.0,Onyeka Okongwu,ATL,False,2-pointer,7,27-39,'ORL',trails
943,943,943,202103030ORL,22.9,4.4,3rd quarter,0:06.0,Onyeka Okongwu,ATL,False,2-pointer,2,75-90,'ORL',trails
1849,1849,1849,202103110TOR,24.0,3.3,2nd quarter,10:39.0,Onyeka Okongwu,ATL,True,2-pointer,0,42-29,'TOR',leads
117,117,117,202103130ATL,24.0,3.3,1st quarter,2:08.0,Onyeka Okongwu,ATL,True,2-pointer,0,20-28,'SAC',trails
165,165,165,202103130ATL,23.6,3.8,3rd quarter,1:10.0,Onyeka Okongwu,ATL,True,2-pointer,1,96-79,'SAC',leads
188,188,188,202103200LAL,26.6,7.4,1st quarter,0:26.0,Onyeka Okongwu,ATL,False,2-pointer,5,25-25,'LAL',tied
567,567,567,202103220LAC,24.0,3.3,1st quarter,2:37.0,Onyeka Okongwu,ATL,True,2-pointer,0,22-26,'ATL',trails
568,568,568,202103220LAC,27.1,4.9,1st quarter,2:12.0,Onyeka Okongwu,ATL,True,2-pointer,4,24-26,'ATL',trails
573,573,573,202103220LAC,28.9,21.9,1st quarter,0:01.0,Onyeka Okongwu,ATL,False,2-pointer,19,29-30,'ATL',trails
522,522,522,202103260GSW,25.9,4.9,1st quarter,0:05.0,Onyeka Okongwu,ATL,True,2-pointer,3,33-26,'GSW',leads
524,524,524,202103260GSW,25.9,10.1,2nd quarter,11:14.0,Onyeka Okongwu,ATL,False,2-pointer,7,33-28,'GSW',leads
363,363,363,202103300PHO,24.1,6.2,1st quarter,1:40.0,Onyeka Okongwu,ATL,True,2-pointer,3,24-27,'PHO',trails
1077,1077,1077,202104010SAS,24.0,3.3,1st quarter,2:55.0,Onyeka Okongwu,ATL,True,2-pointer,0,23-21,'SAS',leads
1078,1078,1078,202104010SAS,23.6,6.4,1st quarter,2:33.0,Onyeka Okongwu,ATL,True,2-pointer,3,25-21,'SAS',leads
1081,1081,1081,202104010SAS,26.3,5.4,1st quarter,0:35.0,Onyeka Okongwu,ATL,False,2-pointer,3,29-22,'SAS',leads
1119,1119,1119,202104010SAS,23.8,9.8,3rd quarter,1:30.0,Onyeka Okongwu,ATL,True,2-pointer,7,79-72,'SAS',leads
1124,1124,1124,202104010SAS,24.4,5.3,4th quarter,11:16.0,Onyeka Okongwu,ATL,True,2-pointer,2,88-82,'SAS',leads
1126,1126,1126,202104010SAS,21.7,10.0,4th quarter,9:39.0,Onyeka Okongwu,ATL,False,2-pointer,7,90-87,'SAS',leads
544,544,544,202104020NOP,23.6,10.3,1st quarter,3:43.0,Onyeka Okongwu,ATL,False,2-pointer,7,21-23,'NOP',trails
570,570,570,202104020NOP,24.0,3.3,2nd quarter,2:24.0,Onyeka Okongwu,ATL,True,2-pointer,0,51-50,'NOP',leads
573,573,573,202104020NOP,23.8,6.0,2nd quarter,0:42.0,Onyeka Okongwu,ATL,True,2-pointer,3,53-54,'NOP',trails
595,595,595,202104020NOP,24.3,4.4,3rd quarter,1:33.0,Onyeka Okongwu,ATL,True,2-pointer,1,90-71,'NOP',leads
598,598,598,202104020NOP,24.4,4.9,3rd quarter,0:08.0,Onyeka Okongwu,ATL,True,2-pointer,2,94-77,'NOP',leads
614,614,614,202104020NOP,19.6,10.3,4th quarter,2:14.0,Onyeka Okongwu,ATL,True,2-pointer,8,124-99,'NOP',leads
119,119,119,202104040ATL,23.9,4.7,2nd quarter,10:02.0,Onyeka Okongwu,ATL,True,2-pointer,1,30-24,'GSW',leads
157,157,157,202104040ATL,24.0,3.3,4th quarter,9:13.0,Onyeka Okongwu,ATL,False,2-pointer,0,91-91,'GSW',tied
112,112,112,202104060ATL,24.0,3.3,2nd quarter,11:30.0,Onyeka Okongwu,ATL,True,2-pointer,0,27-31,'NOP',trails
158,158,158,202104060ATL,22.6,13.4,4th quarter,10:05.0,Onyeka Okongwu,ATL,False,2-pointer,10,107-94,'NOP',leads
164,164,164,202104060ATL,23.8,6.9,4th quarter,7:47.0,Onyeka Okongwu,ATL,False,2-pointer,4,111-94,'NOP',leads
173,173,173,202104060ATL,24.5,6.9,4th quarter,3:20.0,Onyeka Okongwu,ATL,True,2-pointer,4,121-100,'NOP',leads
95,95,95,202104070ATL,25.8,5.3,1st quarter,9:22.0,Onyeka Okongwu,ATL,True,2-pointer,3,7-2,'MEM',leads
96,96,96,202104070ATL,26.3,5.2,1st quarter,8:47.0,Onyeka Okongwu,ATL,True,2-pointer,3,9-2,'MEM',leads
100,100,100,202104070ATL,24.0,3.3,1st quarter,7:31.0,Onyeka Okongwu,ATL,True,2-pointer,0,14-6,'MEM',leads
126,126,126,202104070ATL,24.3,4.1,2nd quarter,5:51.0,Onyeka Okongwu,ATL,True,2-pointer,1,52-50,'MEM',leads
136,136,136,202104070ATL,24.5,4.3,2nd quarter,1:12.0,Onyeka Okongwu,ATL,True,2-pointer,1,61-63,'MEM',trails
