Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1250,1250,1250,201211050SAS,12.1,7.0,4th quarter,1:40.0,Orlando Johnson,IND,False,2-pointer,12,75-98,'SAS',trails
71,71,71,201301040BOS,16.1,8.9,4th quarter,9:43.0,Orlando Johnson,IND,True,2-pointer,9,55-73,'IND',trails
75,75,75,201301040BOS,22.7,6.4,4th quarter,8:12.0,Orlando Johnson,IND,False,2-pointer,2,57-78,'IND',trails
79,79,79,201301040BOS,43.5,21.4,4th quarter,4:57.0,Orlando Johnson,IND,True,3-pointer,25,68-86,'IND',trails
920,920,920,201301050IND,47.1,6.7,1st quarter,2:52.0,Orlando Johnson,IND,False,3-pointer,23,18-16,'IND',leads
921,921,921,201301050IND,40.3,8.6,1st quarter,2:34.0,Orlando Johnson,IND,False,2-pointer,17,18-16,'IND',leads
923,923,923,201301050IND,0.1,6.4,1st quarter,1:16.0,Orlando Johnson,IND,False,3-pointer,24,19-17,'IND',leads
927,927,927,201301050IND,36.9,27.5,1st quarter,0:23.9,Orlando Johnson,IND,False,3-pointer,26,21-19,'IND',leads
933,933,933,201301050IND,22.4,6.4,2nd quarter,9:21.0,Orlando Johnson,IND,True,2-pointer,2,27-27,'IND',tied
935,935,935,201301050IND,22.4,5.0,2nd quarter,8:47.0,Orlando Johnson,IND,True,2-pointer,2,29-27,'IND',leads
993,993,993,201301050IND,41.3,11.6,4th quarter,1:27.0,Orlando Johnson,IND,True,2-pointer,19,95-75,'IND',leads
994,994,994,201301050IND,27.6,9.2,4th quarter,1:00.0,Orlando Johnson,IND,False,2-pointer,6,95-78,'IND',leads
572,572,572,201301120IND,47.0,5.7,2nd quarter,9:27.0,Orlando Johnson,IND,True,3-pointer,23,32-27,'IND',leads
576,576,576,201301120IND,48.1,5.0,2nd quarter,7:23.0,Orlando Johnson,IND,False,3-pointer,24,35-29,'IND',leads
577,577,577,201301120IND,25.3,7.3,2nd quarter,6:36.0,Orlando Johnson,IND,False,2-pointer,3,35-29,'IND',leads
36,36,36,201301130BRK,-0.5,5.0,2nd quarter,2:11.0,Orlando Johnson,IND,False,3-pointer,25,45-42,'IND',leads
54,54,54,201301130BRK,8.3,27.0,3rd quarter,3:11.0,Orlando Johnson,IND,False,3-pointer,27,71-63,'IND',leads
57,57,57,201301130BRK,37.3,8.7,3rd quarter,1:14.0,Orlando Johnson,IND,False,2-pointer,14,73-67,'IND',leads
66,66,66,201301130BRK,42.1,21.2,4th quarter,8:10.0,Orlando Johnson,IND,False,3-pointer,24,77-81,'IND',trails
229,229,229,201301150CHA,40.6,8.7,4th quarter,10:57.0,Orlando Johnson,IND,False,2-pointer,17,83-61,'IND',leads
235,235,235,201301150CHA,22.9,5.7,4th quarter,8:21.0,Orlando Johnson,IND,True,2-pointer,1,88-63,'IND',leads
244,244,244,201301150CHA,34.5,19.5,4th quarter,2:55.0,Orlando Johnson,IND,False,2-pointer,18,100-72,'IND',leads
249,249,249,201301150CHA,25.0,14.3,4th quarter,0:08.9,Orlando Johnson,IND,False,2-pointer,9,103-76,'IND',leads
832,832,832,201301160ORL,46.8,7.0,2nd quarter,7:24.0,Orlando Johnson,IND,False,3-pointer,23,23-32,'IND',trails
836,836,836,201301160ORL,25.5,6.9,2nd quarter,3:59.0,Orlando Johnson,IND,False,2-pointer,2,25-40,'IND',trails
878,878,878,201301160ORL,34.5,21.7,4th quarter,4:57.0,Orlando Johnson,IND,False,2-pointer,20,74-89,'IND',trails
879,879,879,201301160ORL,23.6,13.3,4th quarter,3:51.0,Orlando Johnson,IND,False,2-pointer,8,74-91,'IND',trails
776,776,776,201301180IND,25.0,8.3,2nd quarter,8:54.0,Orlando Johnson,IND,False,2-pointer,3,36-28,'HOU',leads
777,777,777,201301180IND,3.9,19.5,2nd quarter,7:44.0,Orlando Johnson,IND,True,3-pointer,25,41-30,'HOU',leads
660,660,660,201301210MEM,35.9,28.3,2nd quarter,6:16.0,Orlando Johnson,IND,True,3-pointer,26,34-33,'IND',leads
681,681,681,201301210MEM,1.4,4.5,3rd quarter,0:09.8,Orlando Johnson,IND,True,3-pointer,23,65-63,'IND',leads
1170,1170,1170,201301230POR,24.7,6.9,2nd quarter,10:57.0,Orlando Johnson,IND,False,2-pointer,2,20-22,'POR',trails
1211,1211,1211,201301230POR,0.9,5.1,3rd quarter,1:11.0,Orlando Johnson,IND,False,3-pointer,23,57-66,'POR',trails
327,327,327,201301280DEN,8.3,17.6,1st quarter,3:17.0,Orlando Johnson,IND,True,2-pointer,20,23-17,'IND',leads
329,329,329,201301280DEN,28.2,30.5,1st quarter,1:25.0,Orlando Johnson,IND,True,3-pointer,26,26-21,'IND',leads
330,330,330,201301280DEN,36.9,15.7,1st quarter,0:43.9,Orlando Johnson,IND,False,2-pointer,17,26-23,'IND',leads
331,331,331,201301280DEN,26.0,5.4,1st quarter,0:40.9,Orlando Johnson,IND,False,2-pointer,2,26-23,'IND',leads
340,340,340,201301280DEN,38.7,25.5,2nd quarter,7:56.0,Orlando Johnson,IND,True,3-pointer,25,39-31,'IND',leads
782,782,782,201301300IND,47.6,5.7,4th quarter,2:06.0,Orlando Johnson,IND,True,3-pointer,24,93-72,'IND',leads
785,785,785,201301300IND,25.3,4.7,4th quarter,0:45.6,Orlando Johnson,IND,True,2-pointer,1,97-75,'IND',leads
745,745,745,201302010IND,19.4,29.9,2nd quarter,11:17.0,Orlando Johnson,IND,True,3-pointer,25,30-23,'MIA',leads
633,633,633,201302050IND,48.5,5.7,1st quarter,2:33.0,Orlando Johnson,IND,True,3-pointer,25,18-12,'IND',leads
1519,1519,1519,201302060PHI,47.1,2.5,2nd quarter,11:01.0,Orlando Johnson,IND,False,3-pointer,23,18-17,'IND',leads
1522,1522,1522,201302060PHI,47.0,3.6,2nd quarter,9:48.0,Orlando Johnson,IND,True,3-pointer,23,24-17,'IND',leads
1558,1558,1558,201302060PHI,46.5,18.1,4th quarter,9:44.0,Orlando Johnson,IND,True,3-pointer,26,64-52,'IND',leads
947,947,947,201302080IND,23.2,5.1,2nd quarter,9:17.0,Orlando Johnson,IND,False,2-pointer,1,29-28,'IND',leads
953,953,953,201302080IND,23.2,5.6,2nd quarter,7:14.0,Orlando Johnson,IND,True,2-pointer,1,36-30,'IND',leads
982,982,982,201302080IND,42.9,25.1,4th quarter,10:47.0,Orlando Johnson,IND,False,3-pointer,28,72-66,'IND',leads
983,983,983,201302080IND,38.3,17.7,4th quarter,9:52.0,Orlando Johnson,IND,False,2-pointer,19,72-70,'IND',leads
897,897,897,201302110IND,24.0,30.4,2nd quarter,10:18.0,Orlando Johnson,IND,False,3-pointer,25,15-23,'IND',trails
903,903,903,201302110IND,36.4,27.0,2nd quarter,7:59.0,Orlando Johnson,IND,True,3-pointer,25,24-24,'IND',tied
938,938,938,201302110IND,41.7,22.8,4th quarter,8:43.0,Orlando Johnson,IND,False,3-pointer,25,58-65,'IND',trails
910,910,910,201302130IND,41.6,23.4,2nd quarter,10:17.0,Orlando Johnson,IND,False,3-pointer,25,32-29,'IND',leads
951,951,951,201302130IND,24.0,10.3,3rd quarter,2:12.0,Orlando Johnson,IND,False,2-pointer,5,63-54,'IND',leads
953,953,953,201302130IND,25.4,7.0,3rd quarter,0:54.8,Orlando Johnson,IND,True,2-pointer,2,66-58,'IND',leads
954,954,954,201302130IND,48.1,7.8,3rd quarter,0:35.8,Orlando Johnson,IND,False,3-pointer,24,66-60,'IND',leads
957,957,957,201302130IND,22.1,5.4,4th quarter,11:23.0,Orlando Johnson,IND,True,2-pointer,2,72-60,'IND',leads
1098,1098,1098,201302200IND,8.2,31.1,2nd quarter,10:36.0,Orlando Johnson,IND,True,3-pointer,31,37-21,'NYK',leads
1099,1099,1099,201302200IND,22.9,6.9,2nd quarter,9:43.0,Orlando Johnson,IND,False,2-pointer,2,38-22,'NYK',leads
1100,1100,1100,201302200IND,18.0,30.8,2nd quarter,9:22.0,Orlando Johnson,IND,True,3-pointer,26,43-23,'NYK',leads
1138,1138,1138,201302200IND,15.3,20.6,4th quarter,10:30.0,Orlando Johnson,IND,False,2-pointer,18,104-68,'NYK',leads
1140,1140,1140,201302200IND,23.0,5.6,4th quarter,8:51.0,Orlando Johnson,IND,False,2-pointer,1,106-73,'NYK',leads
1141,1141,1141,201302200IND,25.0,5.3,4th quarter,7:36.0,Orlando Johnson,IND,False,2-pointer,1,106-81,'NYK',leads
1142,1142,1142,201302200IND,24.1,3.3,4th quarter,7:32.0,Orlando Johnson,IND,False,2-pointer,2,106-81,'NYK',leads
788,788,788,201302220IND,24.0,29.9,1st quarter,3:09.0,Orlando Johnson,IND,True,3-pointer,25,29-10,'IND',leads
792,792,792,201302220IND,9.6,26.7,2nd quarter,11:05.0,Orlando Johnson,IND,True,3-pointer,26,37-19,'IND',leads
793,793,793,201302220IND,24.0,30.8,2nd quarter,9:57.0,Orlando Johnson,IND,True,3-pointer,26,42-21,'IND',leads
799,799,799,201302220IND,25.2,6.4,2nd quarter,6:06.0,Orlando Johnson,IND,True,2-pointer,2,48-23,'IND',leads
805,805,805,201302220IND,24.4,6.4,2nd quarter,1:16.0,Orlando Johnson,IND,True,2-pointer,1,60-32,'IND',leads
234,234,234,201302230DET,24.7,5.4,4th quarter,4:01.0,Orlando Johnson,IND,True,2-pointer,1,81-64,'IND',leads
268,268,268,201302280IND,24.2,5.4,2nd quarter,9:54.0,Orlando Johnson,IND,True,2-pointer,0,29-28,'IND',leads
269,269,269,201302280IND,24.4,32.2,2nd quarter,8:57.0,Orlando Johnson,IND,False,3-pointer,27,29-32,'IND',trails
1464,1464,1464,201303010TOR,24.1,5.1,2nd quarter,8:52.0,Orlando Johnson,IND,True,2-pointer,0,23-18,'IND',leads
1467,1467,1467,201303010TOR,4.1,19.0,2nd quarter,6:27.0,Orlando Johnson,IND,False,3-pointer,24,25-20,'IND',leads
1469,1469,1469,201303010TOR,39.7,26.4,2nd quarter,5:04.0,Orlando Johnson,IND,False,3-pointer,27,28-23,'IND',leads
1060,1060,1060,201303060IND,8.7,25.9,1st quarter,2:30.0,Orlando Johnson,IND,True,3-pointer,26,23-19,'IND',leads
1065,1065,1065,201303060IND,0.8,10.8,2nd quarter,11:20.0,Orlando Johnson,IND,False,3-pointer,24,27-21,'IND',leads
1070,1070,1070,201303060IND,18.1,12.2,2nd quarter,9:07.0,Orlando Johnson,IND,True,2-pointer,9,30-24,'IND',leads
1072,1072,1072,201303060IND,26.4,30.0,2nd quarter,7:54.0,Orlando Johnson,IND,False,3-pointer,25,30-24,'IND',leads
1074,1074,1074,201303060IND,26.3,4.0,2nd quarter,6:26.0,Orlando Johnson,IND,True,2-pointer,3,32-26,'IND',leads
1075,1075,1075,201303060IND,36.5,28.5,2nd quarter,6:06.0,Orlando Johnson,IND,False,3-pointer,27,32-26,'IND',leads
1076,1076,1076,201303060IND,35.6,17.7,2nd quarter,6:01.0,Orlando Johnson,IND,False,2-pointer,17,32-26,'IND',leads
1112,1112,1112,201303060IND,17.5,13.6,4th quarter,9:28.0,Orlando Johnson,IND,False,2-pointer,11,70-65,'IND',leads
1113,1113,1113,201303060IND,5.2,23.3,4th quarter,9:27.0,Orlando Johnson,IND,False,3-pointer,26,70-65,'IND',leads
1512,1512,1512,201303080ORL,37.6,26.1,1st quarter,0:38.9,Orlando Johnson,IND,False,3-pointer,25,20-15,'IND',leads
1521,1521,1521,201303080ORL,25.0,4.8,2nd quarter,8:52.0,Orlando Johnson,IND,True,2-pointer,1,30-21,'IND',leads
1561,1561,1561,201303080ORL,47.3,7.6,4th quarter,9:04.0,Orlando Johnson,IND,False,3-pointer,23,94-71,'IND',leads
1562,1562,1562,201303080ORL,32.6,11.1,4th quarter,7:48.0,Orlando Johnson,IND,False,2-pointer,11,97-73,'IND',leads
1573,1573,1573,201303080ORL,43.0,20.9,4th quarter,1:35.0,Orlando Johnson,IND,False,3-pointer,25,111-84,'IND',leads
335,335,335,201303100MIA,4.9,20.6,2nd quarter,11:12.0,Orlando Johnson,IND,True,3-pointer,25,23-32,'MIA',trails
378,378,378,201303100MIA,0.6,6.1,4th quarter,0:46.9,Orlando Johnson,IND,False,3-pointer,23,88-105,'MIA',trails
379,379,379,201303100MIA,42.0,22.9,4th quarter,0:26.6,Orlando Johnson,IND,True,3-pointer,25,91-105,'MIA',trails
910,910,910,201303130IND,23.5,4.4,2nd quarter,8:46.0,Orlando Johnson,IND,True,2-pointer,1,43-34,'IND',leads
914,914,914,201303130IND,29.4,26.1,2nd quarter,6:44.0,Orlando Johnson,IND,False,2-pointer,22,45-40,'IND',leads
950,950,950,201303130IND,42.1,25.0,3rd quarter,0:00.0,Orlando Johnson,IND,False,3-pointer,27,82-69,'IND',leads
954,954,954,201303130IND,8.5,25.8,4th quarter,9:10.0,Orlando Johnson,IND,True,3-pointer,26,87-76,'IND',leads
958,958,958,201303130IND,34.8,21.4,4th quarter,6:14.0,Orlando Johnson,IND,True,2-pointer,20,92-81,'IND',leads
959,959,959,201303130IND,16.1,28.1,4th quarter,4:55.0,Orlando Johnson,IND,False,3-pointer,24,92-83,'IND',leads
964,964,964,201303130IND,21.1,5.0,4th quarter,2:42.0,Orlando Johnson,IND,True,2-pointer,3,101-85,'IND',leads
966,966,966,201303130IND,6.6,24.2,4th quarter,1:11.0,Orlando Johnson,IND,True,3-pointer,26,106-87,'IND',leads
905,905,905,201303150IND,11.0,3.6,2nd quarter,11:38.0,Orlando Johnson,IND,False,2-pointer,13,19-16,'LAL',leads
906,906,906,201303150IND,11.5,4.5,2nd quarter,11:34.0,Orlando Johnson,IND,False,2-pointer,13,19-16,'LAL',leads
907,907,907,201303150IND,42.5,22.3,2nd quarter,10:49.0,Orlando Johnson,IND,False,3-pointer,25,19-18,'LAL',leads
182,182,182,201303160PHI,24.7,29.4,2nd quarter,10:30.0,Orlando Johnson,IND,True,3-pointer,24,31-23,'IND',leads
183,183,183,201303160PHI,25.2,20.6,2nd quarter,9:38.0,Orlando Johnson,IND,False,2-pointer,16,31-23,'IND',leads
187,187,187,201303160PHI,22.2,5.3,2nd quarter,6:20.0,Orlando Johnson,IND,False,2-pointer,2,33-32,'IND',leads
190,190,190,201303160PHI,24.4,5.0,2nd quarter,4:55.0,Orlando Johnson,IND,True,2-pointer,0,38-37,'IND',leads
694,694,694,201303180CLE,15.4,31.5,1st quarter,0:01.9,Orlando Johnson,IND,False,3-pointer,28,27-24,'IND',leads
695,695,695,201303180CLE,46.3,12.1,2nd quarter,11:23.0,Orlando Johnson,IND,True,3-pointer,23,30-26,'IND',leads
696,696,696,201303180CLE,8.5,17.3,2nd quarter,10:44.0,Orlando Johnson,IND,True,2-pointer,20,32-26,'IND',leads
699,699,699,201303180CLE,23.2,9.8,2nd quarter,9:30.0,Orlando Johnson,IND,False,2-pointer,5,36-26,'IND',leads
701,701,701,201303180CLE,23.5,4.7,2nd quarter,8:24.0,Orlando Johnson,IND,True,2-pointer,1,40-32,'IND',leads
739,739,739,201303180CLE,16.7,15.2,3rd quarter,1:49.0,Orlando Johnson,IND,False,2-pointer,13,81-62,'IND',leads
146,146,146,201303190IND,25.3,13.9,3rd quarter,2:33.0,Orlando Johnson,IND,True,2-pointer,9,67-50,'IND',leads
147,147,147,201303190IND,38.7,25.5,3rd quarter,1:40.0,Orlando Johnson,IND,False,3-pointer,25,67-52,'IND',leads
150,150,150,201303190IND,46.5,13.0,3rd quarter,0:01.9,Orlando Johnson,IND,False,3-pointer,24,67-55,'IND',leads
153,153,153,201303190IND,19.1,24.8,4th quarter,11:05.0,Orlando Johnson,IND,True,2-pointer,20,73-55,'IND',leads
160,160,160,201303190IND,36.2,26.6,4th quarter,7:45.0,Orlando Johnson,IND,False,3-pointer,25,80-59,'IND',leads
659,659,659,201303220IND,42.7,14.6,4th quarter,4:38.0,Orlando Johnson,IND,True,2-pointer,21,96-70,'IND',leads
661,661,661,201303220IND,40.0,12.8,4th quarter,3:27.0,Orlando Johnson,IND,False,2-pointer,18,96-74,'IND',leads
669,669,669,201303220IND,41.3,7.3,4th quarter,0:27.9,Orlando Johnson,IND,False,2-pointer,17,102-78,'IND',leads
211,211,211,201303230CHI,47.7,4.0,4th quarter,10:48.0,Orlando Johnson,IND,False,3-pointer,24,67-68,'IND',trails
273,273,273,201303250IND,10.2,13.8,1st quarter,2:20.0,Orlando Johnson,IND,False,2-pointer,16,19-17,'IND',leads
277,277,277,201303250IND,37.6,26.6,1st quarter,0:21.8,Orlando Johnson,IND,True,3-pointer,26,25-26,'IND',trails
285,285,285,201303250IND,25.5,5.0,2nd quarter,8:02.0,Orlando Johnson,IND,True,2-pointer,2,40-33,'IND',leads
286,286,286,201303250IND,19.1,31.8,2nd quarter,7:30.0,Orlando Johnson,IND,False,3-pointer,27,40-35,'IND',leads
291,291,291,201303250IND,25.8,4.7,2nd quarter,4:13.0,Orlando Johnson,IND,True,2-pointer,2,49-35,'IND',leads
