Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
142,142,142,200811150ATL,26.6,8.6,4th quarter,1:33.0,Othello Hunter,ATL,False,2-pointer,4,100-112,'NJN',trails
143,143,143,200811150ATL,24.0,5.0,4th quarter,1:33.0,Othello Hunter,ATL,True,2-pointer,0,102-112,'NJN',trails
222,222,222,200811220CLE,24.0,4.4,4th quarter,1:52.0,Othello Hunter,ATL,True,2-pointer,1,90-106,'CLE',trails
1095,1095,1095,200901090ORL,24.0,5.0,2nd quarter,0:01.9,Othello Hunter,ATL,False,2-pointer,0,33-71,'ORL',trails
787,787,787,200901140LAC,24.0,5.0,4th quarter,0:27.3,Othello Hunter,ATL,True,2-pointer,0,97-80,'ATL',leads
150,150,150,200901230ATL,40.3,11.1,4th quarter,3:39.0,Othello Hunter,ATL,False,2-pointer,17,112-80,'MIL',leads
104,104,104,200901250ATL,40.5,16.9,2nd quarter,0:01.9,Othello Hunter,ATL,False,2-pointer,20,57-55,'PHO',leads
108,108,108,200904140ATL,32.6,5.9,2nd quarter,5:40.0,Othello Hunter,ATL,False,2-pointer,9,27-32,'MIA',trails
112,112,112,200904140ATL,27.6,5.7,2nd quarter,2:48.0,Othello Hunter,ATL,False,2-pointer,4,32-32,'MIA',tied
113,113,113,200904140ATL,24.0,5.0,2nd quarter,2:42.0,Othello Hunter,ATL,True,2-pointer,0,34-32,'MIA',leads
138,138,138,200904140ATL,26.6,6.2,4th quarter,7:48.0,Othello Hunter,ATL,True,2-pointer,3,71-64,'MIA',leads
140,140,140,200904140ATL,24.0,6.5,4th quarter,6:27.0,Othello Hunter,ATL,True,2-pointer,2,73-68,'MIA',leads
143,143,143,200904140ATL,24.0,5.0,4th quarter,3:54.0,Othello Hunter,ATL,True,2-pointer,0,78-71,'MIA',leads
1029,1029,1029,200904150MEM,24.1,9.1,1st quarter,2:07.0,Othello Hunter,ATL,False,2-pointer,4,21-16,'MEM',leads
1039,1039,1039,200904150MEM,24.0,5.0,2nd quarter,9:39.0,Othello Hunter,ATL,True,2-pointer,0,25-26,'MEM',trails
1043,1043,1043,200904150MEM,43.3,4.8,2nd quarter,6:32.0,Othello Hunter,ATL,True,2-pointer,19,31-33,'MEM',trails
1044,1044,1044,200904150MEM,24.0,5.0,2nd quarter,6:01.0,Othello Hunter,ATL,True,2-pointer,0,33-33,'MEM',tied
1057,1057,1057,200904150MEM,24.0,5.0,3rd quarter,9:52.0,Othello Hunter,ATL,False,2-pointer,0,43-55,'MEM',trails
1073,1073,1073,200904150MEM,24.0,5.0,3rd quarter,0:08.7,Othello Hunter,ATL,True,2-pointer,0,69-72,'MEM',trails
1076,1076,1076,200904150MEM,24.0,5.0,4th quarter,10:13.0,Othello Hunter,ATL,False,2-pointer,0,73-72,'MEM',leads
217,217,217,200904250MIA,24.0,5.0,4th quarter,0:37.8,Othello Hunter,ATL,True,2-pointer,0,78-107,'MIA',trails
73,73,73,200905070CLE,24.0,4.5,4th quarter,2:37.0,Othello Hunter,ATL,True,2-pointer,1,80-95,'CLE',trails
78,78,78,200905070CLE,24.4,5.6,4th quarter,0:56.0,Othello Hunter,ATL,False,2-pointer,1,82-101,'CLE',trails
1755,1755,1755,200912110TOR,33.7,7.2,4th quarter,1:02.0,Othello Hunter,ATL,False,2-pointer,10,109-88,'TOR',leads
162,162,162,200912130ATL,11.8,11.9,4th quarter,7:09.0,Othello Hunter,ATL,False,2-pointer,14,113-92,'NJN',leads
165,165,165,200912130ATL,26.1,5.1,4th quarter,5:54.0,Othello Hunter,ATL,False,2-pointer,2,113-95,'NJN',leads
166,166,166,200912130ATL,22.7,6.4,4th quarter,5:41.0,Othello Hunter,ATL,False,2-pointer,2,113-95,'NJN',leads
172,172,172,200912130ATL,24.0,5.0,4th quarter,3:25.0,Othello Hunter,ATL,True,2-pointer,0,123-99,'NJN',leads
177,177,177,200912130ATL,20.6,5.6,4th quarter,1:16.0,Othello Hunter,ATL,False,2-pointer,3,129-104,'NJN',leads
154,154,154,200912160ATL,22.1,4.8,4th quarter,5:42.0,Othello Hunter,ATL,False,2-pointer,2,93-78,'MEM',leads
158,158,158,200912160ATL,24.0,5.0,4th quarter,4:02.0,Othello Hunter,ATL,False,2-pointer,0,97-82,'MEM',leads
160,160,160,200912160ATL,24.0,5.0,4th quarter,2:58.0,Othello Hunter,ATL,True,2-pointer,0,102-87,'MEM',leads
161,161,161,200912160ATL,24.1,10.2,4th quarter,2:37.0,Othello Hunter,ATL,True,2-pointer,5,104-89,'MEM',leads
145,145,145,200912180ATL,26.8,7.0,4th quarter,3:17.0,Othello Hunter,ATL,False,2-pointer,3,91-73,'UTA',leads
149,149,149,200912180ATL,21.9,5.0,4th quarter,1:15.0,Othello Hunter,ATL,True,2-pointer,2,94-78,'UTA',leads
