Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
235,235,235,200210290ORL,31.2,13.2,1st quarter,11:17.0,Pat Burke,ORL,False,2-pointer,11,0-2,'ORL',trails
239,239,239,200210290ORL,24.0,5.0,1st quarter,9:26.0,Pat Burke,ORL,True,2-pointer,0,6-4,'ORL',leads
268,268,268,200210290ORL,24.0,5.0,2nd quarter,5:14.0,Pat Burke,ORL,True,2-pointer,0,42-39,'ORL',leads
308,308,308,200210290ORL,24.0,5.0,4th quarter,4:59.0,Pat Burke,ORL,True,2-pointer,0,85-80,'ORL',leads
311,311,311,200210290ORL,39.9,21.6,4th quarter,2:35.0,Pat Burke,ORL,True,2-pointer,23,91-82,'ORL',leads
313,313,313,200210290ORL,24.0,5.0,4th quarter,0:46.2,Pat Burke,ORL,True,2-pointer,0,95-86,'ORL',leads
972,972,972,200210300MIA,24.0,5.0,1st quarter,10:57.0,Pat Burke,ORL,True,2-pointer,0,2-2,'MIA',tied
976,976,976,200210300MIA,23.2,24.2,1st quarter,8:08.0,Pat Burke,ORL,False,2-pointer,19,7-8,'MIA',trails
978,978,978,200210300MIA,24.1,14.1,1st quarter,6:39.0,Pat Burke,ORL,True,2-pointer,9,13-12,'MIA',leads
980,980,980,200210300MIA,33.7,21.9,1st quarter,4:56.0,Pat Burke,ORL,True,2-pointer,19,15-14,'MIA',leads
1007,1007,1007,200210300MIA,36.0,22.9,3rd quarter,9:59.0,Pat Burke,ORL,False,2-pointer,22,58-49,'MIA',leads
1009,1009,1009,200210300MIA,35.2,21.3,3rd quarter,9:02.0,Pat Burke,ORL,False,2-pointer,20,61-53,'MIA',leads
1010,1010,1010,200210300MIA,24.0,5.0,3rd quarter,8:35.0,Pat Burke,ORL,False,2-pointer,0,61-53,'MIA',leads
1037,1037,1037,200210300MIA,12.8,20.1,4th quarter,2:22.0,Pat Burke,ORL,False,2-pointer,19,96-79,'MIA',leads
1038,1038,1038,200210300MIA,24.0,5.0,4th quarter,2:17.0,Pat Burke,ORL,True,2-pointer,0,98-79,'MIA',leads
1039,1039,1039,200210300MIA,40.7,17.0,4th quarter,1:04.0,Pat Burke,ORL,False,2-pointer,21,98-83,'MIA',leads
766,766,766,200211010MIN,11.5,19.0,1st quarter,10:01.0,Pat Burke,ORL,True,2-pointer,19,7-4,'ORL',leads
769,769,769,200211010MIN,33.5,21.9,1st quarter,8:35.0,Pat Burke,ORL,False,2-pointer,19,7-12,'ORL',trails
809,809,809,200211010MIN,24.0,5.0,3rd quarter,9:15.0,Pat Burke,ORL,True,2-pointer,0,55-71,'ORL',trails
823,823,823,200211010MIN,36.8,15.4,4th quarter,9:47.0,Pat Burke,ORL,False,2-pointer,16,76-92,'ORL',trails
825,825,825,200211010MIN,5.8,6.7,4th quarter,8:56.0,Pat Burke,ORL,True,2-pointer,18,80-94,'ORL',trails
840,840,840,200211010MIN,24.0,5.0,4th quarter,0:15.5,Pat Burke,ORL,True,2-pointer,0,105-111,'ORL',trails
862,862,862,200211020MIL,24.0,5.0,2nd quarter,3:54.0,Pat Burke,ORL,True,2-pointer,0,44-36,'ORL',leads
873,873,873,200211020MIL,24.0,5.0,3rd quarter,10:39.0,Pat Burke,ORL,True,2-pointer,0,56-45,'ORL',leads
875,875,875,200211020MIL,38.9,4.5,3rd quarter,9:39.0,Pat Burke,ORL,False,2-pointer,15,56-47,'ORL',leads
880,880,880,200211020MIL,24.0,5.0,3rd quarter,7:31.0,Pat Burke,ORL,True,2-pointer,0,64-47,'ORL',leads
885,885,885,200211020MIL,39.9,14.7,3rd quarter,3:36.0,Pat Burke,ORL,False,2-pointer,19,71-49,'ORL',leads
898,898,898,200211020MIL,24.0,5.0,4th quarter,4:16.0,Pat Burke,ORL,False,2-pointer,0,93-75,'ORL',leads
903,903,903,200211020MIL,24.0,5.0,4th quarter,0:48.5,Pat Burke,ORL,False,2-pointer,0,100-87,'ORL',leads
903,903,903,200211050ORL,28.1,25.2,1st quarter,5:29.0,Pat Burke,ORL,True,2-pointer,21,18-14,'SAC',leads
904,904,904,200211050ORL,10.7,19.1,1st quarter,5:00.0,Pat Burke,ORL,False,2-pointer,19,18-16,'SAC',leads
