Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1858,1858,1858,200010310VAN,38.6,7.4,1st quarter,11:22.0,Patrick Ewing,SEA,False,2-pointer,15,0-2,'SEA',trails
1870,1870,1870,200010310VAN,29.8,6.9,1st quarter,5:55.0,Patrick Ewing,SEA,False,2-pointer,6,4-20,'SEA',trails
1874,1874,1874,200010310VAN,14.4,5.0,1st quarter,3:47.0,Patrick Ewing,SEA,True,2-pointer,10,11-24,'SEA',trails
1904,1904,1904,200010310VAN,24.7,5.0,3rd quarter,8:14.0,Patrick Ewing,SEA,False,2-pointer,1,47-60,'SEA',trails
1927,1927,1927,200010310VAN,18.6,6.5,4th quarter,5:57.0,Patrick Ewing,SEA,False,2-pointer,6,76-81,'SEA',trails
1928,1928,1928,200010310VAN,23.6,5.9,4th quarter,5:52.0,Patrick Ewing,SEA,False,2-pointer,1,76-81,'SEA',trails
1033,1033,1033,200011010SEA,33.0,7.7,1st quarter,11:36.0,Patrick Ewing,SEA,False,2-pointer,9,0-0,'SEA',tied
1040,1040,1040,200011010SEA,24.0,5.0,1st quarter,8:02.0,Patrick Ewing,SEA,True,2-pointer,0,17-7,'SEA',leads
1041,1041,1041,200011010SEA,18.6,20.8,1st quarter,7:14.0,Patrick Ewing,SEA,True,2-pointer,17,20-12,'SEA',leads
1045,1045,1045,200011010SEA,20.7,8.4,1st quarter,5:20.0,Patrick Ewing,SEA,True,2-pointer,5,27-16,'SEA',leads
1065,1065,1065,200011010SEA,37.6,4.8,2nd quarter,4:49.0,Patrick Ewing,SEA,True,2-pointer,14,61-41,'SEA',leads
1070,1070,1070,200011010SEA,22.2,11.3,2nd quarter,1:51.0,Patrick Ewing,SEA,False,2-pointer,7,65-46,'SEA',leads
1074,1074,1074,200011010SEA,22.2,5.0,3rd quarter,11:21.0,Patrick Ewing,SEA,True,2-pointer,2,70-50,'SEA',leads
1080,1080,1080,200011010SEA,23.6,16.8,3rd quarter,7:52.0,Patrick Ewing,SEA,False,2-pointer,12,78-56,'SEA',leads
1081,1081,1081,200011010SEA,33.8,9.7,3rd quarter,7:20.0,Patrick Ewing,SEA,False,2-pointer,11,78-59,'SEA',leads
1100,1100,1100,200011010SEA,30.4,7.3,4th quarter,7:03.0,Patrick Ewing,SEA,False,2-pointer,7,100-87,'SEA',leads
