Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
130,130,130,202001080ATL,5.2,20.1,2nd quarter,7:15.0,Paul Watson,ATL,False,3-pointer,25,38-59,'HOU',trails
28,28,28,202001120BRK,20.7,6.9,2nd quarter,10:01.0,Paul Watson,ATL,False,2-pointer,5,21-42,'ATL',trails
44,44,44,202001120BRK,1.2,0.2,2nd quarter,1:29.0,Paul Watson,ATL,False,3-pointer,23,44-65,'ATL',trails
47,47,47,202001120BRK,44.5,17.0,2nd quarter,0:24.0,Paul Watson,ATL,False,3-pointer,25,46-68,'ATL',trails
89,89,89,202001120BRK,31.4,22.3,4th quarter,2:12.0,Paul Watson,ATL,False,2-pointer,20,82-106,'ATL',trails
93,93,93,202001120BRK,29.1,7.5,4th quarter,1:18.0,Paul Watson,ATL,False,2-pointer,7,86-108,'ATL',trails
96,96,96,202001120BRK,23.0,12.3,4th quarter,0:00.0,Paul Watson,ATL,False,2-pointer,9,86-108,'ATL',trails
1233,1233,1233,202002230TOR,42.2,24.4,4th quarter,1:28.0,Paul Watson,TOR,False,3-pointer,28,122-76,'IND',leads
365,365,365,202008100MIL,17.9,29.8,2nd quarter,9:30.0,Paul Watson,TOR,False,3-pointer,27,41-36,'TOR',leads
405,405,405,202008100MIL,22.2,4.2,3rd quarter,1:34.0,Paul Watson,TOR,False,2-pointer,2,84-71,'TOR',leads
416,416,416,202008100MIL,35.4,27.0,4th quarter,8:22.0,Paul Watson,TOR,False,3-pointer,26,101-80,'TOR',leads
426,426,426,202008100MIL,22.2,2.6,4th quarter,3:03.0,Paul Watson,TOR,True,2-pointer,2,110-99,'TOR',leads
617,617,617,202008120PHI,23.2,5.2,4th quarter,0:49.0,Paul Watson,TOR,True,2-pointer,2,119-118,'TOR',leads
633,633,633,202008140TOR,36.7,26.2,1st quarter,2:38.0,Paul Watson,TOR,False,3-pointer,26,25-23,'TOR',leads
642,642,642,202008140TOR,24.4,4.2,2nd quarter,9:40.0,Paul Watson,TOR,True,2-pointer,1,41-28,'TOR',leads
644,644,644,202008140TOR,23.3,4.2,2nd quarter,8:16.0,Paul Watson,TOR,True,2-pointer,1,46-33,'TOR',leads
675,675,675,202008140TOR,27.1,8.3,3rd quarter,3:16.0,Paul Watson,TOR,False,2-pointer,6,76-70,'TOR',leads
676,676,676,202008140TOR,18.7,28.5,3rd quarter,2:36.0,Paul Watson,TOR,True,3-pointer,26,79-71,'TOR',leads
682,682,682,202008140TOR,7.4,21.8,3rd quarter,0:42.0,Paul Watson,TOR,True,3-pointer,25,82-74,'TOR',leads
684,684,684,202008140TOR,23.7,4.2,4th quarter,11:09.0,Paul Watson,TOR,True,2-pointer,1,87-79,'TOR',leads
685,685,685,202008140TOR,40.3,23.2,4th quarter,10:23.0,Paul Watson,TOR,False,3-pointer,26,87-79,'TOR',leads
696,696,696,202008140TOR,23.9,15.3,4th quarter,5:35.0,Paul Watson,TOR,False,2-pointer,12,103-92,'TOR',leads
697,697,697,202008140TOR,25.0,4.4,4th quarter,5:18.0,Paul Watson,TOR,True,2-pointer,2,105-94,'TOR',leads
703,703,703,202008140TOR,24.1,4.8,4th quarter,2:09.0,Paul Watson,TOR,False,2-pointer,2,109-102,'TOR',leads
704,704,704,202008140TOR,36.2,26.5,4th quarter,1:53.0,Paul Watson,TOR,True,3-pointer,26,112-102,'TOR',leads
707,707,707,202008140TOR,29.1,28.5,4th quarter,0:30.0,Paul Watson,TOR,True,3-pointer,26,117-107,'TOR',leads
88,88,88,202008210BRK,28.3,4.7,4th quarter,1:04.0,Paul Watson,TOR,False,2-pointer,4,115-88,'TOR',leads
87,87,87,202008230BRK,24.6,4.2,4th quarter,5:13.0,Paul Watson,TOR,True,2-pointer,1,135-104,'TOR',leads
875,875,875,202012310TOR,46.3,6.8,4th quarter,1:11.0,Paul Watson,TOR,False,3-pointer,23,98-78,'NYK',leads
1675,1675,1675,202101080SAC,25.5,4.3,4th quarter,1:46.0,Paul Watson,TOR,True,2-pointer,2,139-118,'TOR',leads
1552,1552,1552,202101180TOR,6.1,20.8,4th quarter,1:57.0,Paul Watson,TOR,True,3-pointer,25,114-93,'DAL',leads
1953,1953,1953,202101220TOR,42.6,23.3,4th quarter,1:27.0,Paul Watson,TOR,True,3-pointer,27,98-77,'MIA',leads
1067,1067,1067,202101250IND,3.0,19.1,2nd quarter,3:42.0,Paul Watson,TOR,True,3-pointer,26,52-56,'IND',trails
1897,1897,1897,202101270TOR,35.6,2.1,2nd quarter,9:30.0,Paul Watson,TOR,False,2-pointer,12,39-37,'TOR',leads
791,791,791,202101310TOR,45.6,16.7,2nd quarter,7:17.0,Paul Watson,TOR,True,3-pointer,25,40-27,'TOR',leads
794,794,794,202101310TOR,0.7,6.4,2nd quarter,5:11.0,Paul Watson,TOR,False,3-pointer,23,43-32,'TOR',leads
802,802,802,202101310TOR,-0.1,3.9,2nd quarter,0:24.0,Paul Watson,TOR,True,3-pointer,24,56-42,'TOR',leads
601,601,601,202102020ORL,27.3,29.8,4th quarter,0:59.0,Paul Watson,TOR,True,3-pointer,27,123-108,'TOR',leads
602,602,602,202102020ORL,4.3,18.6,4th quarter,0:26.0,Paul Watson,TOR,False,3-pointer,25,123-108,'TOR',leads
1484,1484,1484,202102100WAS,27.9,11.7,4th quarter,0:55.0,Paul Watson,TOR,False,2-pointer,9,137-113,'TOR',leads
78,78,78,202102110BOS,0.7,5.8,4th quarter,1:54.0,Paul Watson,TOR,True,3-pointer,23,98-113,'TOR',trails
81,81,81,202102110BOS,34.8,29.7,4th quarter,0:36.0,Paul Watson,TOR,True,3-pointer,29,104-120,'TOR',trails
236,236,236,202102180MIL,11.1,25.3,4th quarter,0:45.0,Paul Watson,TOR,False,3-pointer,26,107-92,'TOR',leads
1721,1721,1721,202103030TOR,3.2,17.5,2nd quarter,2:13.0,Paul Watson,TOR,False,3-pointer,25,53-65,'TOR',trails
1746,1746,1746,202103030TOR,0.7,5.4,3rd quarter,0:47.0,Paul Watson,TOR,False,3-pointer,23,75-94,'TOR',trails
1756,1756,1756,202103030TOR,0.7,10.2,4th quarter,7:03.0,Paul Watson,TOR,False,3-pointer,24,91-111,'TOR',trails
27,27,27,202103040BOS,29.4,27.3,2nd quarter,11:42.0,Paul Watson,TOR,False,3-pointer,25,34-31,'TOR',leads
31,31,31,202103040BOS,47.0,7.3,2nd quarter,8:49.0,Paul Watson,TOR,True,3-pointer,23,45-40,'TOR',leads
1933,1933,1933,202103110TOR,29.6,4.9,2nd quarter,9:23.0,Paul Watson,TOR,False,2-pointer,6,29-48,'TOR',trails
1941,1941,1941,202103110TOR,21.7,5.2,2nd quarter,5:52.0,Paul Watson,TOR,False,2-pointer,3,41-50,'TOR',trails
1967,1967,1967,202103110TOR,1.3,1.3,3rd quarter,5:09.0,Paul Watson,TOR,False,3-pointer,23,78-78,'TOR',tied
1975,1975,1975,202103110TOR,3.9,18.3,3rd quarter,1:38.0,Paul Watson,TOR,False,3-pointer,25,89-82,'TOR',leads
1977,1977,1977,202103110TOR,14.1,27.0,3rd quarter,0:06.0,Paul Watson,TOR,True,3-pointer,26,94-84,'TOR',leads
1978,1978,1978,202103110TOR,1.2,0.8,4th quarter,11:49.0,Paul Watson,TOR,False,3-pointer,23,94-84,'TOR',leads
365,365,365,202103130CHO,21.7,5.4,1st quarter,4:19.0,Paul Watson,TOR,False,2-pointer,3,12-31,'TOR',trails
370,370,370,202103130CHO,12.7,25.8,1st quarter,2:34.0,Paul Watson,TOR,True,3-pointer,25,20-34,'TOR',trails
384,384,384,202103130CHO,47.1,5.7,2nd quarter,6:42.0,Paul Watson,TOR,False,3-pointer,23,35-60,'TOR',trails
411,411,411,202103130CHO,1.2,9.8,3rd quarter,4:41.0,Paul Watson,TOR,True,3-pointer,24,65-88,'TOR',trails
422,422,422,202103130CHO,1.2,9.8,4th quarter,11:03.0,Paul Watson,TOR,False,3-pointer,24,75-98,'TOR',trails
429,429,429,202103130CHO,24.9,3.4,4th quarter,6:17.0,Paul Watson,TOR,True,2-pointer,1,84-109,'TOR',trails
430,430,430,202103130CHO,10.5,26.2,4th quarter,5:32.0,Paul Watson,TOR,False,3-pointer,27,84-111,'TOR',trails
432,432,432,202103130CHO,24.1,4.1,4th quarter,4:06.0,Paul Watson,TOR,True,2-pointer,1,91-111,'TOR',trails
