Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
124,124,124,202012230BOS,15.8,16.8,2nd quarter,8:00.0,Payton Pritchard,BOS,False,2-pointer,16,37-44,'BOS',trails
129,129,129,202012230BOS,6.7,21.3,2nd quarter,5:51.0,Payton Pritchard,BOS,True,3-pointer,25,42-48,'BOS',trails
130,130,130,202012230BOS,47.3,14.7,2nd quarter,5:25.0,Payton Pritchard,BOS,False,3-pointer,26,42-48,'BOS',trails
168,168,168,202012230BOS,30.7,21.5,4th quarter,10:31.0,Payton Pritchard,BOS,False,2-pointer,19,105-89,'BOS',leads
96,96,96,202012250BOS,47.1,16.5,1st quarter,2:37.0,Payton Pritchard,BOS,True,3-pointer,27,17-18,'BOS',trails
112,112,112,202012250BOS,23.2,15.7,2nd quarter,8:00.0,Payton Pritchard,BOS,True,2-pointer,12,37-32,'BOS',leads
117,117,117,202012250BOS,11.5,22.6,2nd quarter,5:42.0,Payton Pritchard,BOS,False,2-pointer,23,39-34,'BOS',leads
125,125,125,202012250BOS,42.8,21.5,2nd quarter,0:03.0,Payton Pritchard,BOS,False,3-pointer,26,54-51,'BOS',leads
147,147,147,202012250BOS,24.7,8.3,3rd quarter,0:43.0,Payton Pritchard,BOS,True,2-pointer,5,76-86,'BOS',trails
559,559,559,202012270IND,36.0,13.7,2nd quarter,7:37.0,Payton Pritchard,BOS,True,2-pointer,16,34-33,'IND',leads
565,565,565,202012270IND,41.8,22.6,2nd quarter,3:55.0,Payton Pritchard,BOS,True,3-pointer,26,45-42,'IND',leads
566,566,566,202012270IND,33.9,29.4,2nd quarter,3:21.0,Payton Pritchard,BOS,True,3-pointer,28,48-45,'IND',leads
586,586,586,202012270IND,40.3,22.8,3rd quarter,2:59.0,Payton Pritchard,BOS,True,3-pointer,25,73-81,'IND',trails
592,592,592,202012270IND,22.4,3.2,3rd quarter,0:02.0,Payton Pritchard,BOS,True,2-pointer,2,83-88,'IND',trails
364,364,364,202012290IND,23.8,2.2,2nd quarter,5:42.0,Payton Pritchard,BOS,True,2-pointer,1,44-42,'IND',leads
371,371,371,202012290IND,24.3,4.3,2nd quarter,2:17.0,Payton Pritchard,BOS,True,2-pointer,1,53-51,'IND',leads
392,392,392,202012290IND,20.8,4.9,3rd quarter,0:55.0,Payton Pritchard,BOS,False,2-pointer,4,78-92,'IND',trails
397,397,397,202012290IND,23.6,4.7,4th quarter,10:34.0,Payton Pritchard,BOS,True,2-pointer,1,89-94,'IND',trails
398,398,398,202012290IND,23.6,3.7,4th quarter,10:03.0,Payton Pritchard,BOS,True,2-pointer,1,91-94,'IND',trails
402,402,402,202012290IND,11.4,5.2,4th quarter,7:01.0,Payton Pritchard,BOS,False,2-pointer,13,100-98,'IND',leads
409,409,409,202012290IND,11.2,25.8,4th quarter,2:34.0,Payton Pritchard,BOS,False,3-pointer,26,109-103,'IND',leads
411,411,411,202012290IND,0.7,0.7,4th quarter,0:46.0,Payton Pritchard,BOS,False,3-pointer,23,111-109,'IND',leads
115,115,115,202012300BOS,24.4,4.2,1st quarter,0:38.0,Payton Pritchard,BOS,True,2-pointer,1,31-19,'BOS',leads
120,120,120,202012300BOS,25.9,3.3,2nd quarter,10:06.0,Payton Pritchard,BOS,True,2-pointer,2,37-23,'BOS',leads
121,121,121,202012300BOS,24.2,15.5,2nd quarter,9:42.0,Payton Pritchard,BOS,False,2-pointer,12,37-25,'BOS',leads
124,124,124,202012300BOS,28.7,15.5,2nd quarter,8:16.0,Payton Pritchard,BOS,False,2-pointer,13,40-27,'BOS',leads
164,164,164,202012300BOS,7.7,19.3,4th quarter,10:34.0,Payton Pritchard,BOS,True,2-pointer,23,100-74,'BOS',leads
165,165,165,202012300BOS,28.4,5.0,4th quarter,10:00.0,Payton Pritchard,BOS,True,2-pointer,5,102-76,'BOS',leads
692,692,692,202101010DET,47.0,4.5,2nd quarter,7:46.0,Payton Pritchard,BOS,False,3-pointer,23,21-36,'DET',trails
732,732,732,202101010DET,1.1,5.3,4th quarter,9:41.0,Payton Pritchard,BOS,False,3-pointer,23,80-79,'DET',leads
733,733,733,202101010DET,38.3,25.7,4th quarter,9:11.0,Payton Pritchard,BOS,False,3-pointer,27,80-80,'DET',tied
382,382,382,202101030DET,26.4,11.4,2nd quarter,10:58.0,Payton Pritchard,BOS,False,2-pointer,9,31-35,'DET',trails
388,388,388,202101030DET,24.0,4.2,2nd quarter,8:31.0,Payton Pritchard,BOS,True,2-pointer,1,40-39,'DET',leads
405,405,405,202101030DET,24.3,4.0,2nd quarter,0:00.0,Payton Pritchard,BOS,False,2-pointer,1,61-57,'DET',leads
432,432,432,202101030DET,43.1,20.2,4th quarter,8:13.0,Payton Pritchard,BOS,True,3-pointer,26,103-98,'DET',leads
434,434,434,202101030DET,29.4,29.0,4th quarter,6:56.0,Payton Pritchard,BOS,False,3-pointer,26,106-102,'DET',leads
435,435,435,202101030DET,7.9,25.3,4th quarter,6:17.0,Payton Pritchard,BOS,False,3-pointer,27,106-105,'DET',leads
1425,1425,1425,202101040TOR,20.0,2.8,1st quarter,3:06.0,Payton Pritchard,BOS,True,2-pointer,4,20-28,'TOR',trails
1426,1426,1426,202101040TOR,41.8,23.1,1st quarter,1:46.0,Payton Pritchard,BOS,True,3-pointer,27,23-30,'TOR',trails
1428,1428,1428,202101040TOR,44.6,18.4,2nd quarter,11:30.0,Payton Pritchard,BOS,False,3-pointer,26,23-32,'TOR',trails
1432,1432,1432,202101040TOR,29.5,5.8,2nd quarter,10:12.0,Payton Pritchard,BOS,False,2-pointer,6,26-36,'TOR',trails
1435,1435,1435,202101040TOR,20.9,3.4,2nd quarter,8:41.0,Payton Pritchard,BOS,True,2-pointer,3,34-36,'TOR',trails
1436,1436,1436,202101040TOR,23.2,14.8,2nd quarter,8:08.0,Payton Pritchard,BOS,True,2-pointer,12,36-36,'TOR',tied
1444,1444,1444,202101040TOR,5.0,13.7,2nd quarter,2:45.0,Payton Pritchard,BOS,True,2-pointer,22,52-42,'TOR',leads
1464,1464,1464,202101040TOR,23.3,28.4,3rd quarter,4:32.0,Payton Pritchard,BOS,True,3-pointer,25,85-65,'TOR',leads
1468,1468,1468,202101040TOR,22.2,4.6,3rd quarter,2:49.0,Payton Pritchard,BOS,True,2-pointer,2,93-70,'TOR',leads
1474,1474,1474,202101040TOR,27.5,5.2,4th quarter,11:42.0,Payton Pritchard,BOS,False,2-pointer,4,100-81,'TOR',leads
1491,1491,1491,202101040TOR,27.5,4.9,4th quarter,1:35.0,Payton Pritchard,BOS,False,2-pointer,4,124-114,'TOR',leads
