Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1993,1993,1993,201310300TOR,24.0,14.2,2nd quarter,5:11.0,Phil Pressey,BOS,False,2-pointer,11,31-34,'TOR',trails
1996,1996,1996,201310300TOR,3.9,17.3,2nd quarter,2:32.0,Phil Pressey,BOS,False,3-pointer,25,36-41,'TOR',trails
105,105,105,201311060BOS,34.3,17.6,2nd quarter,11:17.0,Phil Pressey,BOS,False,2-pointer,18,23-26,'UTA',trails
115,115,115,201311060BOS,41.1,22.5,2nd quarter,7:07.0,Phil Pressey,BOS,False,3-pointer,26,34-30,'UTA',leads
148,148,148,201311060BOS,26.0,3.3,3rd quarter,0:08.0,Phil Pressey,BOS,True,2-pointer,2,84-62,'UTA',leads
154,154,154,201311060BOS,1.2,13.7,4th quarter,8:27.0,Phil Pressey,BOS,False,3-pointer,25,87-72,'UTA',leads
1018,1018,1018,201311080ORL,36.9,16.1,1st quarter,1:26.0,Phil Pressey,BOS,False,2-pointer,18,14-23,'BOS',trails
1069,1069,1069,201311080ORL,8.7,26.8,3rd quarter,0:52.0,Phil Pressey,BOS,False,3-pointer,28,71-67,'BOS',leads
1072,1072,1072,201311080ORL,22.6,3.8,3rd quarter,0:00.0,Phil Pressey,BOS,False,2-pointer,2,71-68,'BOS',leads
1081,1081,1081,201311080ORL,24.0,3.9,4th quarter,7:51.0,Phil Pressey,BOS,False,2-pointer,1,75-73,'BOS',leads
880,880,880,201311090MIA,6.1,24.1,2nd quarter,5:07.0,Phil Pressey,BOS,False,3-pointer,28,46-44,'MIA',leads
882,882,882,201311090MIA,32.9,5.5,2nd quarter,3:46.0,Phil Pressey,BOS,False,2-pointer,9,48-50,'MIA',trails
885,885,885,201311090MIA,24.9,3.4,2nd quarter,1:51.0,Phil Pressey,BOS,True,2-pointer,1,53-55,'MIA',trails
887,887,887,201311090MIA,24.9,3.7,2nd quarter,0:37.0,Phil Pressey,BOS,True,2-pointer,1,57-57,'MIA',tied
915,915,915,201311090MIA,48.2,6.4,4th quarter,11:21.0,Phil Pressey,BOS,False,3-pointer,24,80-84,'MIA',trails
918,918,918,201311090MIA,22.5,13.2,4th quarter,10:10.0,Phil Pressey,BOS,False,2-pointer,10,85-89,'MIA',trails
919,919,919,201311090MIA,23.3,12.6,4th quarter,10:08.0,Phil Pressey,BOS,True,2-pointer,10,87-89,'MIA',trails
922,922,922,201311090MIA,24.7,4.1,4th quarter,8:19.0,Phil Pressey,BOS,False,2-pointer,1,89-93,'MIA',trails
923,923,923,201311090MIA,24.1,27.9,4th quarter,8:09.0,Phil Pressey,BOS,False,3-pointer,25,89-93,'MIA',trails
144,144,144,201311110BOS,9.8,6.6,3rd quarter,0:05.0,Phil Pressey,BOS,False,2-pointer,15,87-74,'ORL',leads
148,148,148,201311110BOS,8.8,19.8,4th quarter,11:10.0,Phil Pressey,BOS,False,2-pointer,23,89-74,'ORL',leads
149,149,149,201311110BOS,31.2,27.9,4th quarter,10:40.0,Phil Pressey,BOS,True,3-pointer,26,92-76,'ORL',leads
152,152,152,201311110BOS,34.5,9.3,4th quarter,8:58.0,Phil Pressey,BOS,True,2-pointer,12,96-78,'ORL',leads
154,154,154,201311110BOS,15.1,4.7,4th quarter,7:38.0,Phil Pressey,BOS,False,2-pointer,9,98-80,'ORL',leads
155,155,155,201311110BOS,35.6,18.9,4th quarter,7:10.0,Phil Pressey,BOS,True,2-pointer,20,100-82,'ORL',leads
267,267,267,201311130BOS,9.1,26.9,1st quarter,0:10.0,Phil Pressey,BOS,False,3-pointer,28,18-25,'CHA',trails
272,272,272,201311130BOS,23.8,8.2,2nd quarter,9:41.0,Phil Pressey,BOS,False,2-pointer,5,23-31,'CHA',trails
274,274,274,201311130BOS,30.7,21.9,2nd quarter,8:53.0,Phil Pressey,BOS,False,2-pointer,20,23-35,'CHA',trails
303,303,303,201311130BOS,20.6,22.5,3rd quarter,2:12.0,Phil Pressey,BOS,False,2-pointer,20,61-65,'CHA',trails
