Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
324,324,324,201612270DAL,35.9,19.9,4th quarter,7:27.0,Pierre Jackson,DAL,True,2-pointer,20,85-108,'HOU',trails
329,329,329,201612270DAL,43.2,18.6,4th quarter,4:05.0,Pierre Jackson,DAL,False,3-pointer,24,95-115,'HOU',trails
331,331,331,201612270DAL,26.0,4.1,4th quarter,2:55.0,Pierre Jackson,DAL,False,2-pointer,2,96-118,'HOU',trails
332,332,332,201612270DAL,47.0,3.7,4th quarter,2:04.0,Pierre Jackson,DAL,True,3-pointer,23,101-120,'HOU',trails
335,335,335,201612270DAL,30.1,22.8,4th quarter,0:38.0,Pierre Jackson,DAL,False,2-pointer,20,104-120,'HOU',trails
572,572,572,201612300GSW,25.4,5.6,4th quarter,10:58.0,Pierre Jackson,DAL,False,2-pointer,3,69-91,'DAL',trails
581,581,581,201612300GSW,17.5,15.0,4th quarter,7:06.0,Pierre Jackson,DAL,False,2-pointer,14,82-101,'DAL',trails
587,587,587,201612300GSW,36.8,24.4,4th quarter,5:14.0,Pierre Jackson,DAL,False,3-pointer,25,88-103,'DAL',trails
589,589,589,201612300GSW,25.5,4.3,4th quarter,4:01.0,Pierre Jackson,DAL,True,2-pointer,2,92-106,'DAL',trails
593,593,593,201612300GSW,25.2,12.5,4th quarter,2:03.0,Pierre Jackson,DAL,False,2-pointer,10,95-108,'DAL',trails
597,597,597,201612300GSW,24.1,13.1,4th quarter,0:12.0,Pierre Jackson,DAL,False,2-pointer,10,99-108,'DAL',trails
280,280,280,201701030DAL,33.7,16.6,2nd quarter,5:39.0,Pierre Jackson,DAL,False,2-pointer,16,47-41,'DAL',leads
108,108,108,201701050DAL,25.2,4.1,2nd quarter,10:20.0,Pierre Jackson,DAL,False,2-pointer,1,22-24,'DAL',trails
109,109,109,201701050DAL,26.0,9.7,2nd quarter,9:56.0,Pierre Jackson,DAL,False,2-pointer,6,22-24,'DAL',trails
97,97,97,201701220DAL,39.5,6.3,2nd quarter,11:16.0,Pierre Jackson,DAL,False,2-pointer,16,31-22,'DAL',leads
101,101,101,201701220DAL,37.5,23.8,2nd quarter,9:32.0,Pierre Jackson,DAL,False,3-pointer,25,38-22,'DAL',leads
104,104,104,201701220DAL,15.7,25.9,2nd quarter,7:19.0,Pierre Jackson,DAL,True,3-pointer,24,43-25,'DAL',leads
105,105,105,201701220DAL,37.8,15.0,2nd quarter,6:45.0,Pierre Jackson,DAL,False,2-pointer,18,43-25,'DAL',leads
139,139,139,201701220DAL,26.0,2.4,4th quarter,10:51.0,Pierre Jackson,DAL,True,2-pointer,2,95-57,'DAL',leads
143,143,143,201701220DAL,24.6,5.1,4th quarter,6:30.0,Pierre Jackson,DAL,False,2-pointer,2,104-62,'DAL',leads
150,150,150,201701220DAL,24.9,3.8,4th quarter,3:44.0,Pierre Jackson,DAL,True,2-pointer,1,117-68,'DAL',leads
152,152,152,201701220DAL,24.1,2.5,4th quarter,2:49.0,Pierre Jackson,DAL,True,2-pointer,1,122-69,'DAL',leads
154,154,154,201701220DAL,15.4,25.3,4th quarter,1:34.0,Pierre Jackson,DAL,False,3-pointer,24,122-71,'DAL',leads
967,967,967,201701250DAL,41.7,20.4,2nd quarter,11:01.0,Pierre Jackson,DAL,False,3-pointer,25,32-25,'NYK',leads
971,971,971,201701250DAL,39.0,24.8,2nd quarter,8:58.0,Pierre Jackson,DAL,False,3-pointer,26,35-32,'NYK',leads
988,988,988,201701250DAL,39.1,25.3,3rd quarter,11:11.0,Pierre Jackson,DAL,False,3-pointer,27,52-53,'NYK',trails
991,991,991,201701250DAL,8.2,21.8,3rd quarter,9:46.0,Pierre Jackson,DAL,False,3-pointer,25,54-57,'NYK',trails
1010,1010,1010,201701250DAL,12.5,17.1,4th quarter,11:19.0,Pierre Jackson,DAL,False,2-pointer,18,78-73,'NYK',leads
1013,1013,1013,201701250DAL,26.8,20.5,4th quarter,10:20.0,Pierre Jackson,DAL,False,2-pointer,18,80-76,'NYK',leads
1018,1018,1018,201701250DAL,27.3,3.0,4th quarter,8:12.0,Pierre Jackson,DAL,True,2-pointer,3,87-82,'NYK',leads
1024,1024,1024,201701250DAL,26.4,4.1,4th quarter,4:33.0,Pierre Jackson,DAL,True,2-pointer,3,95-88,'NYK',leads
336,336,336,201701260OKC,13.3,21.3,1st quarter,11:16.0,Pierre Jackson,DAL,False,2-pointer,21,1-0,'DAL',leads
340,340,340,201701260OKC,25.4,27.7,1st quarter,9:21.0,Pierre Jackson,DAL,True,3-pointer,25,4-2,'DAL',leads
341,341,341,201701260OKC,8.7,15.9,1st quarter,8:48.0,Pierre Jackson,DAL,False,2-pointer,20,4-4,'DAL',tied
342,342,342,201701260OKC,16.7,15.9,1st quarter,8:18.0,Pierre Jackson,DAL,True,2-pointer,15,6-4,'DAL',leads
357,357,357,201701260OKC,22.9,3.2,1st quarter,0:49.0,Pierre Jackson,DAL,False,2-pointer,1,22-23,'DAL',trails
363,363,363,201701260OKC,25.5,3.3,2nd quarter,9:18.0,Pierre Jackson,DAL,False,2-pointer,2,30-31,'DAL',trails
364,364,364,201701260OKC,18.0,20.4,2nd quarter,8:51.0,Pierre Jackson,DAL,True,2-pointer,18,32-31,'DAL',leads
366,366,366,201701260OKC,25.9,22.8,2nd quarter,7:50.0,Pierre Jackson,DAL,True,2-pointer,20,36-33,'DAL',leads
