Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1805,1805,1805,200010310UTA,24.0,5.0,2nd quarter,6:25.0,Quincy Lewis,UTA,False,2-pointer,0,28-29,'UTA',trails
494,494,494,200011010LAL,40.9,24.2,2nd quarter,11:37.0,Quincy Lewis,UTA,True,3-pointer,26,27-16,'LAL',leads
497,497,497,200011010LAL,46.8,3.9,2nd quarter,9:00.0,Quincy Lewis,UTA,False,3-pointer,23,29-18,'LAL',leads
501,501,501,200011010LAL,24.0,5.0,2nd quarter,4:51.0,Quincy Lewis,UTA,True,2-pointer,0,38-24,'LAL',leads
502,502,502,200011010LAL,24.0,5.0,2nd quarter,4:30.0,Quincy Lewis,UTA,True,2-pointer,0,40-24,'LAL',leads
525,525,525,200011010LAL,24.0,5.0,4th quarter,10:54.0,Quincy Lewis,UTA,True,2-pointer,0,69-58,'LAL',leads
528,528,528,200011010LAL,35.3,20.6,4th quarter,9:02.0,Quincy Lewis,UTA,False,2-pointer,19,73-62,'LAL',leads
529,529,529,200011010LAL,24.3,9.7,4th quarter,8:35.0,Quincy Lewis,UTA,False,2-pointer,5,73-65,'LAL',leads
323,323,323,200011040DAL,24.0,5.0,2nd quarter,11:27.0,Quincy Lewis,UTA,False,2-pointer,0,30-24,'DAL',leads
325,325,325,200011040DAL,38.0,21.0,2nd quarter,10:04.0,Quincy Lewis,UTA,True,2-pointer,21,32-29,'DAL',leads
333,333,333,200011040DAL,30.8,29.1,2nd quarter,3:18.0,Quincy Lewis,UTA,True,3-pointer,25,46-39,'DAL',leads
334,334,334,200011040DAL,15.4,20.0,2nd quarter,1:35.0,Quincy Lewis,UTA,False,2-pointer,17,47-44,'DAL',leads
335,335,335,200011040DAL,24.0,5.0,2nd quarter,0:35.6,Quincy Lewis,UTA,False,2-pointer,0,47-46,'DAL',leads
336,336,336,200011040DAL,39.9,8.0,2nd quarter,0:31.6,Quincy Lewis,UTA,False,2-pointer,16,47-46,'DAL',leads
364,364,364,200011040DAL,10.4,20.0,4th quarter,4:43.0,Quincy Lewis,UTA,True,2-pointer,20,92-93,'DAL',trails
366,366,366,200011040DAL,46.6,6.5,4th quarter,2:27.0,Quincy Lewis,UTA,False,3-pointer,23,99-95,'DAL',leads
612,612,612,200011060UTA,7.2,19.1,2nd quarter,6:53.0,Quincy Lewis,UTA,True,2-pointer,22,35-37,'UTA',trails
539,539,539,200011080LAC,27.9,13.0,2nd quarter,9:29.0,Quincy Lewis,UTA,True,2-pointer,9,29-23,'UTA',leads
541,541,541,200011080LAC,40.3,16.4,2nd quarter,7:40.0,Quincy Lewis,UTA,True,2-pointer,20,33-28,'UTA',leads
544,544,544,200011080LAC,27.2,12.0,2nd quarter,5:54.0,Quincy Lewis,UTA,False,2-pointer,8,33-28,'UTA',leads
549,549,549,200011080LAC,0.7,9.7,2nd quarter,0:04.9,Quincy Lewis,UTA,False,3-pointer,24,41-32,'UTA',leads
909,909,909,200011100UTA,4.5,16.4,2nd quarter,5:34.0,Quincy Lewis,UTA,False,2-pointer,23,30-35,'MIA',trails
968,968,968,200011140SAS,24.3,5.0,1st quarter,1:15.0,Quincy Lewis,UTA,True,2-pointer,0,17-21,'SAS',trails
974,974,974,200011140SAS,6.8,24.4,2nd quarter,9:50.0,Quincy Lewis,UTA,False,3-pointer,26,21-27,'SAS',trails
976,976,976,200011140SAS,39.3,6.5,2nd quarter,9:35.0,Quincy Lewis,UTA,False,2-pointer,15,21-27,'SAS',trails
767,767,767,200011160UTA,31.0,6.1,3rd quarter,4:48.0,Quincy Lewis,UTA,False,2-pointer,7,67-59,'UTA',leads
772,772,772,200011160UTA,24.0,5.0,3rd quarter,0:43.9,Quincy Lewis,UTA,False,2-pointer,0,71-65,'UTA',leads
775,775,775,200011160UTA,24.0,5.0,4th quarter,9:14.0,Quincy Lewis,UTA,True,2-pointer,0,77-70,'UTA',leads
1187,1187,1187,200011180UTA,24.0,5.0,2nd quarter,10:48.0,Quincy Lewis,UTA,True,2-pointer,0,30-21,'UTA',leads
1217,1217,1217,200011180UTA,24.0,5.0,3rd quarter,2:06.0,Quincy Lewis,UTA,True,2-pointer,0,77-48,'UTA',leads
1227,1227,1227,200011180UTA,13.7,7.8,4th quarter,7:24.0,Quincy Lewis,UTA,False,2-pointer,11,91-56,'UTA',leads
1230,1230,1230,200011180UTA,44.3,4.4,4th quarter,5:47.0,Quincy Lewis,UTA,True,2-pointer,20,97-56,'UTA',leads
1232,1232,1232,200011180UTA,9.9,24.8,4th quarter,4:31.0,Quincy Lewis,UTA,True,3-pointer,24,102-56,'UTA',leads
593,593,593,200011200UTA,30.8,7.8,2nd quarter,11:30.0,Quincy Lewis,UTA,False,2-pointer,7,22-24,'DAL',trails
597,597,597,200011200UTA,16.1,3.1,2nd quarter,9:52.0,Quincy Lewis,UTA,False,2-pointer,8,27-28,'DAL',trails
605,605,605,200011200UTA,24.1,21.3,2nd quarter,4:50.0,Quincy Lewis,UTA,True,2-pointer,16,37-43,'DAL',trails
630,630,630,200011200UTA,24.0,5.0,3rd quarter,3:06.0,Quincy Lewis,UTA,True,2-pointer,0,69-79,'DAL',trails
1669,1669,1669,200011220UTA,5.5,17.7,1st quarter,1:29.0,Quincy Lewis,UTA,False,2-pointer,22,24-22,'UTA',leads
1672,1672,1672,200011220UTA,24.0,5.0,1st quarter,0:01.9,Quincy Lewis,UTA,True,2-pointer,0,28-25,'UTA',leads
1678,1678,1678,200011220UTA,3.2,6.1,2nd quarter,8:44.0,Quincy Lewis,UTA,True,2-pointer,21,38-31,'UTA',leads
1684,1684,1684,200011220UTA,24.1,13.0,2nd quarter,5:17.0,Quincy Lewis,UTA,False,2-pointer,8,45-33,'UTA',leads
1685,1685,1685,200011220UTA,27.0,7.1,2nd quarter,5:09.0,Quincy Lewis,UTA,True,2-pointer,4,47-33,'UTA',leads
1727,1727,1727,200011220UTA,36.1,21.3,4th quarter,4:30.0,Quincy Lewis,UTA,True,2-pointer,20,108-70,'UTA',leads
1729,1729,1729,200011220UTA,24.0,5.0,4th quarter,2:56.0,Quincy Lewis,UTA,True,2-pointer,0,110-71,'UTA',leads
1730,1730,1730,200011220UTA,1.1,7.1,4th quarter,2:11.0,Quincy Lewis,UTA,False,3-pointer,23,110-73,'UTA',leads
1754,1754,1754,200011240UTA,39.9,7.8,4th quarter,10:51.0,Quincy Lewis,UTA,False,2-pointer,16,76-67,'NJN',leads
1757,1757,1757,200011240UTA,16.7,3.7,4th quarter,8:45.0,Quincy Lewis,UTA,False,2-pointer,7,78-71,'NJN',leads
1758,1758,1758,200011240UTA,10.8,25.9,4th quarter,8:02.0,Quincy Lewis,UTA,True,3-pointer,25,83-71,'NJN',leads
1760,1760,1760,200011240UTA,30.8,28.4,4th quarter,6:39.0,Quincy Lewis,UTA,False,3-pointer,24,83-77,'NJN',leads
190,190,190,200011260DET,1.5,5.0,2nd quarter,4:28.0,Quincy Lewis,UTA,True,3-pointer,23,39-34,'UTA',leads
1018,1018,1018,200011280NJN,38.4,21.0,2nd quarter,6:56.0,Quincy Lewis,UTA,False,2-pointer,22,28-32,'NJN',trails
805,805,805,200011290ORL,11.4,18.9,2nd quarter,11:18.0,Quincy Lewis,UTA,True,2-pointer,19,31-27,'UTA',leads
808,808,808,200011290ORL,12.3,20.6,2nd quarter,9:32.0,Quincy Lewis,UTA,False,2-pointer,20,31-29,'UTA',leads
809,809,809,200011290ORL,24.0,5.0,2nd quarter,9:16.0,Quincy Lewis,UTA,False,2-pointer,0,31-29,'UTA',leads
816,816,816,200011290ORL,39.0,4.2,2nd quarter,5:34.0,Quincy Lewis,UTA,False,2-pointer,15,37-35,'UTA',leads
831,831,831,200011290ORL,24.9,23.4,3rd quarter,5:27.0,Quincy Lewis,UTA,False,2-pointer,18,54-60,'UTA',trails
835,835,835,200011290ORL,24.0,5.0,3rd quarter,4:13.0,Quincy Lewis,UTA,False,2-pointer,0,57-66,'UTA',trails
836,836,836,200011290ORL,24.0,5.0,3rd quarter,3:40.0,Quincy Lewis,UTA,True,2-pointer,0,59-67,'UTA',trails
837,837,837,200011290ORL,10.2,17.7,3rd quarter,2:35.0,Quincy Lewis,UTA,False,2-pointer,19,60-69,'UTA',trails
846,846,846,200011290ORL,47.1,6.7,4th quarter,9:51.0,Quincy Lewis,UTA,False,3-pointer,23,67-73,'UTA',trails
193,193,193,200012020CHH,19.2,9.2,2nd quarter,2:18.0,Quincy Lewis,UTA,False,2-pointer,6,40-36,'CHH',leads
1341,1341,1341,200012050UTA,29.6,8.4,2nd quarter,10:00.0,Quincy Lewis,UTA,False,2-pointer,7,29-12,'TOR',leads
1349,1349,1349,200012050UTA,24.0,5.0,2nd quarter,6:02.0,Quincy Lewis,UTA,True,2-pointer,0,39-23,'TOR',leads
731,731,731,200012070UTA,20.1,8.0,2nd quarter,9:20.0,Quincy Lewis,UTA,False,2-pointer,5,20-22,'UTA',trails
732,732,732,200012070UTA,31.0,15.6,2nd quarter,8:15.0,Quincy Lewis,UTA,True,2-pointer,13,22-24,'UTA',trails
736,736,736,200012070UTA,24.0,5.0,2nd quarter,5:48.0,Quincy Lewis,UTA,True,2-pointer,0,29-29,'UTA',tied
1386,1386,1386,200012090UTA,34.0,10.1,1st quarter,0:18.9,Quincy Lewis,UTA,False,2-pointer,11,31-36,'UTA',trails
1387,1387,1387,200012090UTA,5.3,21.9,1st quarter,0:00.1,Quincy Lewis,UTA,False,3-pointer,25,31-36,'UTA',trails
1390,1390,1390,200012090UTA,21.5,29.5,2nd quarter,10:20.0,Quincy Lewis,UTA,True,3-pointer,25,34-42,'UTA',trails
1391,1391,1391,200012090UTA,30.2,22.9,2nd quarter,9:37.0,Quincy Lewis,UTA,True,2-pointer,19,36-45,'UTA',trails
1393,1393,1393,200012090UTA,46.8,5.0,2nd quarter,8:46.0,Quincy Lewis,UTA,True,3-pointer,23,39-49,'UTA',trails
1395,1395,1395,200012090UTA,40.1,3.1,2nd quarter,7:27.0,Quincy Lewis,UTA,False,2-pointer,16,43-51,'UTA',trails
1396,1396,1396,200012090UTA,16.3,16.0,2nd quarter,7:12.0,Quincy Lewis,UTA,True,2-pointer,13,45-51,'UTA',trails
1397,1397,1397,200012090UTA,47.5,5.0,2nd quarter,6:27.0,Quincy Lewis,UTA,False,3-pointer,24,45-51,'UTA',trails
1401,1401,1401,200012090UTA,8.3,18.3,2nd quarter,3:50.0,Quincy Lewis,UTA,False,2-pointer,21,54-57,'UTA',trails
1402,1402,1402,200012090UTA,24.0,5.0,2nd quarter,3:23.0,Quincy Lewis,UTA,False,2-pointer,0,54-59,'UTA',trails
1430,1430,1430,200012090UTA,20.9,17.7,4th quarter,11:05.0,Quincy Lewis,UTA,False,2-pointer,13,93-93,'UTA',tied
