Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
680,680,680,201312090SAC,47.6,5.6,4th quarter,4:49.0,Ray McCallum,SAC,False,3-pointer,24,103-82,'DAL',leads
685,685,685,201312090SAC,24.2,21.6,4th quarter,0:52.0,Ray McCallum,SAC,True,2-pointer,19,112-95,'DAL',leads
686,686,686,201312090SAC,30.2,25.2,4th quarter,0:35.0,Ray McCallum,SAC,False,2-pointer,23,112-97,'DAL',leads
687,687,687,201312090SAC,12.1,29.0,4th quarter,0:04.0,Ray McCallum,SAC,False,3-pointer,29,112-97,'DAL',leads
82,82,82,201312180ATL,15.6,18.4,4th quarter,0:10.0,Ray McCallum,SAC,False,2-pointer,18,107-124,'SAC',trails
1311,1311,1311,201312200MIA,18.4,27.7,4th quarter,3:17.0,Ray McCallum,SAC,False,3-pointer,25,98-118,'MIA',trails
1312,1312,1312,201312200MIA,28.3,7.1,4th quarter,3:12.0,Ray McCallum,SAC,False,2-pointer,6,98-118,'MIA',trails
1840,1840,1840,201401100SAC,14.0,16.4,4th quarter,0:53.0,Ray McCallum,SAC,True,2-pointer,17,101-81,'SAC',leads
321,321,321,201401120SAC,21.7,28.0,4th quarter,0:56.0,Ray McCallum,SAC,True,3-pointer,25,121-76,'SAC',leads
387,387,387,201401210NOP,23.6,4.1,4th quarter,1:27.0,Ray McCallum,SAC,False,2-pointer,1,112-94,'NOP',leads
409,409,409,201401220HOU,2.7,3.3,4th quarter,3:48.0,Ray McCallum,SAC,False,2-pointer,21,83-112,'HOU',trails
414,414,414,201401220HOU,20.5,6.3,4th quarter,1:57.0,Ray McCallum,SAC,False,2-pointer,5,91-114,'HOU',trails
416,416,416,201401220HOU,11.7,19.2,4th quarter,0:27.0,Ray McCallum,SAC,True,2-pointer,20,98-119,'HOU',trails
889,889,889,201401270UTA,36.4,17.8,4th quarter,7:12.0,Ray McCallum,SAC,True,2-pointer,19,74-92,'SAC',trails
890,890,890,201401270UTA,45.2,7.5,4th quarter,5:58.0,Ray McCallum,SAC,False,2-pointer,22,76-95,'SAC',trails
898,898,898,201401270UTA,15.1,11.5,4th quarter,1:55.0,Ray McCallum,SAC,False,2-pointer,12,92-101,'SAC',trails
904,904,904,201401270UTA,21.3,3.9,4th quarter,0:50.0,Ray McCallum,SAC,True,2-pointer,3,96-103,'SAC',trails
907,907,907,201401270UTA,45.1,14.3,4th quarter,0:14.0,Ray McCallum,SAC,False,3-pointer,24,99-106,'SAC',trails
1623,1623,1623,201402010SAS,47.1,8.5,2nd quarter,8:45.0,Ray McCallum,SAC,True,3-pointer,24,31-31,'SAS',tied
1661,1661,1661,201402010SAS,17.6,4.5,3rd quarter,0:00.0,Ray McCallum,SAC,True,2-pointer,7,78-71,'SAS',leads
1666,1666,1666,201402010SAS,16.5,7.4,4th quarter,8:40.0,Ray McCallum,SAC,False,2-pointer,9,80-75,'SAS',leads
1389,1389,1389,201402030SAC,38.0,18.3,2nd quarter,8:58.0,Ray McCallum,SAC,False,2-pointer,21,26-17,'SAC',leads
1390,1390,1390,201402030SAC,26.3,4.2,2nd quarter,8:45.0,Ray McCallum,SAC,False,2-pointer,3,26-17,'SAC',leads
85,85,85,201402070BOS,19.5,22.5,4th quarter,0:11.0,Ray McCallum,SAC,False,2-pointer,20,89-99,'SAC',trails
399,399,399,201402110CLE,23.6,3.0,4th quarter,0:00.0,Ray McCallum,SAC,True,2-pointer,0,99-109,'SAC',trails
1482,1482,1482,201402190SAC,1.2,4.7,2nd quarter,4:12.0,Ray McCallum,SAC,False,3-pointer,23,37-51,'SAC',trails
1486,1486,1486,201402190SAC,39.4,11.8,2nd quarter,2:51.0,Ray McCallum,SAC,True,2-pointer,18,43-54,'SAC',trails
1515,1515,1515,201402190SAC,19.5,7.5,4th quarter,8:00.0,Ray McCallum,SAC,False,2-pointer,6,79-84,'SAC',trails
967,967,967,201402220SAC,26.6,3.4,4th quarter,8:46.0,Ray McCallum,SAC,False,2-pointer,3,85-78,'SAC',leads
192,192,192,201402230DEN,18.6,3.0,1st quarter,0:01.0,Ray McCallum,SAC,False,2-pointer,5,26-27,'SAC',trails
234,234,234,201402230DEN,26.6,4.4,4th quarter,9:01.0,Ray McCallum,SAC,False,2-pointer,3,90-75,'SAC',leads
249,249,249,201402230DEN,9.6,16.1,4th quarter,1:07.0,Ray McCallum,SAC,False,2-pointer,19,109-92,'SAC',leads
251,251,251,201402230DEN,26.4,7.2,4th quarter,0:25.0,Ray McCallum,SAC,False,2-pointer,5,109-95,'SAC',leads
982,982,982,201402250SAC,13.2,16.4,2nd quarter,9:16.0,Ray McCallum,SAC,False,2-pointer,17,19-50,'HOU',trails
985,985,985,201402250SAC,21.4,21.9,2nd quarter,8:29.0,Ray McCallum,SAC,True,2-pointer,19,25-50,'HOU',trails
1008,1008,1008,201402250SAC,9.9,19.4,3rd quarter,7:15.0,Ray McCallum,SAC,False,2-pointer,22,58-89,'HOU',trails
1026,1026,1026,201402250SAC,30.1,6.9,4th quarter,10:10.0,Ray McCallum,SAC,False,2-pointer,7,81-104,'HOU',trails
1039,1039,1039,201402250SAC,9.4,12.6,4th quarter,3:14.0,Ray McCallum,SAC,True,2-pointer,17,103-122,'HOU',trails
1041,1041,1041,201402250SAC,30.9,20.5,4th quarter,2:12.0,Ray McCallum,SAC,False,2-pointer,19,103-125,'HOU',trails
1043,1043,1043,201402250SAC,13.4,20.8,4th quarter,1:19.0,Ray McCallum,SAC,False,2-pointer,21,103-129,'HOU',trails
1046,1046,1046,201402250SAC,9.9,16.1,4th quarter,0:21.0,Ray McCallum,SAC,False,2-pointer,19,103-129,'HOU',trails
338,338,338,201402280LAL,5.3,3.0,1st quarter,3:31.0,Ray McCallum,SAC,False,2-pointer,19,19-23,'LAL',trails
340,340,340,201402280LAL,24.7,3.6,1st quarter,2:46.0,Ray McCallum,SAC,True,2-pointer,1,23-23,'LAL',tied
345,345,345,201402280LAL,10.7,14.5,1st quarter,0:21.0,Ray McCallum,SAC,False,2-pointer,18,31-27,'LAL',leads
350,350,350,201402280LAL,14.5,3.7,2nd quarter,9:23.0,Ray McCallum,SAC,True,2-pointer,10,39-30,'LAL',leads
351,351,351,201402280LAL,4.2,17.3,2nd quarter,8:54.0,Ray McCallum,SAC,True,3-pointer,24,42-30,'LAL',leads
352,352,352,201402280LAL,21.9,3.7,2nd quarter,8:19.0,Ray McCallum,SAC,False,2-pointer,2,42-32,'LAL',leads
392,392,392,201402280LAL,24.6,19.7,3rd quarter,0:14.0,Ray McCallum,SAC,False,2-pointer,17,99-95,'LAL',leads
1423,1423,1423,201403010SAC,11.2,9.7,2nd quarter,9:38.0,Ray McCallum,SAC,False,2-pointer,14,35-34,'SAC',leads
1431,1431,1431,201403010SAC,24.7,24.7,2nd quarter,5:18.0,Ray McCallum,SAC,False,2-pointer,22,44-42,'SAC',leads
1435,1435,1435,201403010SAC,9.8,17.8,2nd quarter,2:45.0,Ray McCallum,SAC,False,2-pointer,21,46-50,'SAC',trails
1457,1457,1457,201403010SAC,9.3,14.8,3rd quarter,1:36.0,Ray McCallum,SAC,True,2-pointer,19,70-81,'SAC',trails
1459,1459,1459,201403010SAC,10.2,23.3,3rd quarter,0:37.0,Ray McCallum,SAC,False,3-pointer,25,70-82,'SAC',trails
1461,1461,1461,201403010SAC,42.7,18.7,4th quarter,11:36.0,Ray McCallum,SAC,True,3-pointer,24,74-84,'SAC',trails
1462,1462,1462,201403010SAC,22.7,3.1,4th quarter,11:12.0,Ray McCallum,SAC,False,2-pointer,1,74-84,'SAC',trails
1466,1466,1466,201403010SAC,29.0,27.2,4th quarter,8:56.0,Ray McCallum,SAC,True,3-pointer,25,79-88,'SAC',trails
1469,1469,1469,201403010SAC,26.6,21.6,4th quarter,7:42.0,Ray McCallum,SAC,False,2-pointer,19,83-90,'SAC',trails
1474,1474,1474,201403010SAC,47.1,4.7,4th quarter,3:46.0,Ray McCallum,SAC,False,3-pointer,23,87-95,'SAC',trails
1481,1481,1481,201403010SAC,25.0,20.9,4th quarter,0:19.0,Ray McCallum,SAC,False,2-pointer,18,97-108,'SAC',trails
1077,1077,1077,201403030SAC,41.1,4.5,2nd quarter,10:32.0,Ray McCallum,SAC,False,2-pointer,17,25-20,'NOP',leads
1081,1081,1081,201403030SAC,31.2,23.8,2nd quarter,8:50.0,Ray McCallum,SAC,False,2-pointer,22,26-22,'NOP',leads
1103,1103,1103,201403030SAC,22.1,6.0,3rd quarter,3:46.0,Ray McCallum,SAC,True,2-pointer,4,52-53,'NOP',trails
1112,1112,1112,201403030SAC,26.8,3.9,4th quarter,11:22.0,Ray McCallum,SAC,True,2-pointer,3,70-59,'NOP',leads
1115,1115,1115,201403030SAC,47.4,4.7,4th quarter,9:21.0,Ray McCallum,SAC,True,3-pointer,23,76-67,'NOP',leads
1119,1119,1119,201403030SAC,44.0,18.1,4th quarter,3:30.0,Ray McCallum,SAC,False,3-pointer,25,87-80,'NOP',leads
1124,1124,1124,201403030SAC,45.2,4.2,4th quarter,1:11.0,Ray McCallum,SAC,False,2-pointer,21,92-83,'NOP',leads
839,839,839,201403050MIL,43.2,1.4,1st quarter,2:00.0,Ray McCallum,SAC,True,2-pointer,19,23-20,'SAC',leads
841,841,841,201403050MIL,12.4,27.2,1st quarter,0:51.0,Ray McCallum,SAC,True,3-pointer,27,28-24,'SAC',leads
844,844,844,201403050MIL,22.9,2.8,2nd quarter,11:24.0,Ray McCallum,SAC,False,2-pointer,1,28-26,'SAC',leads
847,847,847,201403050MIL,22.5,8.2,2nd quarter,9:03.0,Ray McCallum,SAC,False,2-pointer,5,33-33,'SAC',tied
853,853,853,201403050MIL,23.2,2.7,2nd quarter,5:47.0,Ray McCallum,SAC,True,2-pointer,1,44-35,'SAC',leads
857,857,857,201403050MIL,23.0,3.6,2nd quarter,3:21.0,Ray McCallum,SAC,True,2-pointer,1,52-41,'SAC',leads
858,858,858,201403050MIL,43.3,0.8,2nd quarter,1:35.0,Ray McCallum,SAC,True,2-pointer,19,58-43,'SAC',leads
890,890,890,201403050MIL,38.7,7.1,4th quarter,6:30.0,Ray McCallum,SAC,True,2-pointer,15,106-83,'SAC',leads
897,897,897,201403050MIL,18.8,20.2,4th quarter,1:21.0,Ray McCallum,SAC,True,2-pointer,18,114-96,'SAC',leads
1670,1670,1670,201403070TOR,20.6,3.3,2nd quarter,9:56.0,Ray McCallum,SAC,False,2-pointer,3,21-32,'TOR',trails
1672,1672,1672,201403070TOR,24.2,3.1,2nd quarter,9:15.0,Ray McCallum,SAC,True,2-pointer,0,25-34,'TOR',trails
1680,1680,1680,201403070TOR,26.1,7.1,2nd quarter,4:24.0,Ray McCallum,SAC,True,2-pointer,5,37-42,'TOR',trails
1684,1684,1684,201403070TOR,38.9,23.6,2nd quarter,1:22.0,Ray McCallum,SAC,False,3-pointer,25,43-49,'TOR',trails
1703,1703,1703,201403070TOR,7.2,17.2,4th quarter,7:40.0,Ray McCallum,SAC,False,2-pointer,22,63-86,'TOR',trails
1707,1707,1707,201403070TOR,47.3,4.9,4th quarter,6:16.0,Ray McCallum,SAC,False,3-pointer,23,65-86,'TOR',trails
1718,1718,1718,201403070TOR,28.5,4.7,4th quarter,0:34.0,Ray McCallum,SAC,False,2-pointer,5,85-97,'TOR',trails
1719,1719,1719,201403070TOR,10.2,16.2,4th quarter,0:30.0,Ray McCallum,SAC,True,2-pointer,19,87-97,'TOR',trails
207,207,207,201403090BRK,29.6,21.4,2nd quarter,7:18.0,Ray McCallum,SAC,False,2-pointer,19,22-38,'SAC',trails
244,244,244,201403090BRK,1.2,8.5,4th quarter,11:11.0,Ray McCallum,SAC,True,3-pointer,23,68-81,'SAC',trails
245,245,245,201403090BRK,37.2,24.7,4th quarter,9:33.0,Ray McCallum,SAC,False,3-pointer,25,69-87,'SAC',trails
246,246,246,201403090BRK,47.0,2.8,4th quarter,8:32.0,Ray McCallum,SAC,False,3-pointer,23,70-93,'SAC',trails
258,258,258,201403090BRK,32.4,26.9,4th quarter,3:31.0,Ray McCallum,SAC,False,3-pointer,25,79-103,'SAC',trails
260,260,260,201403090BRK,26.8,3.3,4th quarter,2:49.0,Ray McCallum,SAC,True,2-pointer,3,84-103,'SAC',trails
261,261,261,201403090BRK,21.4,2.8,4th quarter,1:34.0,Ray McCallum,SAC,False,2-pointer,3,84-103,'SAC',trails
263,263,263,201403090BRK,38.1,24.9,4th quarter,0:01.0,Ray McCallum,SAC,False,3-pointer,26,89-104,'SAC',trails
177,177,177,201403110DET,24.1,3.1,1st quarter,0:37.0,Ray McCallum,SAC,True,2-pointer,0,29-26,'SAC',leads
229,229,229,201403110DET,0.1,6.1,4th quarter,4:43.0,Ray McCallum,SAC,True,3-pointer,24,77-89,'SAC',trails
233,233,233,201403110DET,39.5,3.3,4th quarter,2:43.0,Ray McCallum,SAC,False,2-pointer,16,81-93,'SAC',trails
236,236,236,201403110DET,5.3,3.9,4th quarter,0:42.0,Ray McCallum,SAC,True,2-pointer,19,87-97,'SAC',trails
237,237,237,201403110DET,39.5,11.5,4th quarter,0:14.0,Ray McCallum,SAC,True,2-pointer,18,89-99,'SAC',trails
825,825,825,201403120PHI,42.7,21.9,1st quarter,0:03.0,Ray McCallum,SAC,False,3-pointer,27,28-24,'SAC',leads
826,826,826,201403120PHI,42.7,21.9,1st quarter,0:01.0,Ray McCallum,SAC,False,3-pointer,27,28-24,'SAC',leads
833,833,833,201403120PHI,44.6,4.2,2nd quarter,5:49.0,Ray McCallum,SAC,False,2-pointer,21,40-36,'SAC',leads
836,836,836,201403120PHI,23.2,3.0,2nd quarter,4:02.0,Ray McCallum,SAC,True,2-pointer,1,43-42,'SAC',leads
861,861,861,201403120PHI,25.2,4.9,3rd quarter,0:01.0,Ray McCallum,SAC,False,2-pointer,2,90-76,'SAC',leads
867,867,867,201403120PHI,24.0,23.6,4th quarter,8:36.0,Ray McCallum,SAC,False,2-pointer,21,99-83,'SAC',leads
876,876,876,201403120PHI,38.7,23.8,4th quarter,2:31.0,Ray McCallum,SAC,False,3-pointer,25,113-91,'SAC',leads
187,187,187,201403150CHI,7.6,15.6,2nd quarter,9:51.0,Ray McCallum,SAC,False,2-pointer,21,25-24,'SAC',leads
192,192,192,201403150CHI,29.4,14.9,2nd quarter,6:45.0,Ray McCallum,SAC,False,2-pointer,13,30-32,'SAC',trails
497,497,497,201403160MIN,23.6,2.8,1st quarter,4:10.0,Ray McCallum,SAC,True,2-pointer,0,17-23,'SAC',trails
499,499,499,201403160MIN,37.5,24.1,1st quarter,3:10.0,Ray McCallum,SAC,False,3-pointer,25,19-27,'SAC',trails
506,506,506,201403160MIN,22.7,4.5,2nd quarter,9:42.0,Ray McCallum,SAC,False,2-pointer,2,29-36,'SAC',trails
