Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
910,910,910,201912300UTA,14.0,29.3,4th quarter,1:51.0,Rayjon Tucker,UTA,False,3-pointer,28,99-79,'UTA',leads
912,912,912,201912300UTA,24.9,4.9,4th quarter,0:20.0,Rayjon Tucker,UTA,True,2-pointer,2,104-81,'UTA',leads
1426,1426,1426,202001040ORL,1.2,13.2,2nd quarter,9:54.0,Rayjon Tucker,UTA,False,3-pointer,25,35-33,'UTA',leads
1491,1491,1491,202001040ORL,32.2,5.7,4th quarter,0:20.0,Rayjon Tucker,UTA,True,2-pointer,9,109-93,'UTA',leads
547,547,547,202001060NOP,24.8,3.6,2nd quarter,11:12.0,Rayjon Tucker,UTA,True,2-pointer,1,40-39,'NOP',leads
1584,1584,1584,202001080UTA,26.5,27.9,4th quarter,0:46.0,Rayjon Tucker,UTA,False,3-pointer,25,125-104,'NYK',leads
1541,1541,1541,202001100UTA,26.3,5.2,2nd quarter,7:39.0,Rayjon Tucker,UTA,True,2-pointer,3,40-24,'UTA',leads
1575,1575,1575,202001100UTA,27.8,15.8,4th quarter,9:47.0,Rayjon Tucker,UTA,False,2-pointer,13,94-65,'UTA',leads
1063,1063,1063,202001120WAS,4.0,20.3,1st quarter,1:14.0,Rayjon Tucker,UTA,False,3-pointer,26,21-28,'UTA',trails
595,595,595,202001160NOP,41.8,21.8,2nd quarter,9:24.0,Rayjon Tucker,UTA,False,3-pointer,26,32-31,'NOP',leads
2349,2349,2349,202001200UTA,27.3,4.6,4th quarter,2:45.0,Rayjon Tucker,UTA,False,2-pointer,4,109-83,'IND',leads
2354,2354,2354,202001200UTA,28.7,6.0,4th quarter,1:11.0,Rayjon Tucker,UTA,False,2-pointer,5,114-86,'IND',leads
2355,2355,2355,202001200UTA,23.4,8.8,4th quarter,0:45.0,Rayjon Tucker,UTA,False,2-pointer,6,114-88,'IND',leads
779,779,779,202001220GSW,28.4,7.3,4th quarter,3:49.0,Rayjon Tucker,UTA,True,2-pointer,6,119-87,'UTA',leads
780,780,780,202001220GSW,1.6,4.6,4th quarter,3:12.0,Rayjon Tucker,UTA,False,3-pointer,22,119-89,'UTA',leads
782,782,782,202001220GSW,24.5,14.4,4th quarter,2:17.0,Rayjon Tucker,UTA,True,2-pointer,11,124-89,'UTA',leads
786,786,786,202001220GSW,26.5,7.9,4th quarter,0:35.0,Rayjon Tucker,UTA,False,2-pointer,5,127-94,'UTA',leads
787,787,787,202001220GSW,24.5,5.0,4th quarter,0:32.0,Rayjon Tucker,UTA,True,2-pointer,2,129-94,'UTA',leads
1117,1117,1117,202002010POR,25.0,4.3,4th quarter,2:24.0,Rayjon Tucker,UTA,True,2-pointer,1,101-120,'POR',trails
604,604,604,202008010OKC,29.4,14.6,4th quarter,0:54.0,Rayjon Tucker,UTA,True,2-pointer,13,91-108,'UTA',trails
845,845,845,202008050UTA,41.8,22.6,3rd quarter,0:42.0,Rayjon Tucker,UTA,False,3-pointer,26,89-87,'UTA',leads
772,772,772,202008070SAS,32.4,28.0,3rd quarter,4:23.0,Rayjon Tucker,UTA,False,3-pointer,26,71-83,'SAS',trails
778,778,778,202008070SAS,29.9,28.2,3rd quarter,0:29.0,Rayjon Tucker,UTA,False,3-pointer,26,82-96,'SAS',trails
786,786,786,202008070SAS,34.8,26.7,4th quarter,8:17.0,Rayjon Tucker,UTA,True,3-pointer,26,93-100,'SAS',trails
809,809,809,202008100UTA,39.8,22.6,2nd quarter,8:37.0,Rayjon Tucker,UTA,False,3-pointer,25,44-39,'DAL',leads
813,813,813,202008100UTA,32.7,9.8,2nd quarter,6:17.0,Rayjon Tucker,UTA,True,2-pointer,11,49-43,'DAL',leads
833,833,833,202008100UTA,31.9,21.8,3rd quarter,8:07.0,Rayjon Tucker,UTA,True,2-pointer,20,83-64,'DAL',leads
839,839,839,202008100UTA,33.3,27.2,3rd quarter,4:01.0,Rayjon Tucker,UTA,False,3-pointer,26,88-76,'DAL',leads
841,841,841,202008100UTA,39.1,23.7,3rd quarter,2:51.0,Rayjon Tucker,UTA,True,3-pointer,25,95-78,'DAL',leads
842,842,842,202008100UTA,29.1,7.2,3rd quarter,2:25.0,Rayjon Tucker,UTA,True,2-pointer,6,97-81,'DAL',leads
860,860,860,202008100UTA,25.0,5.9,4th quarter,2:36.0,Rayjon Tucker,UTA,False,2-pointer,3,109-110,'DAL',trails
1224,1224,1224,202008130UTA,28.6,17.5,2nd quarter,3:36.0,Rayjon Tucker,UTA,False,2-pointer,15,55-43,'SAS',leads
1228,1228,1228,202008130UTA,10.6,25.7,2nd quarter,1:53.0,Rayjon Tucker,UTA,False,3-pointer,26,59-46,'SAS',leads
1229,1229,1229,202008130UTA,25.9,4.8,2nd quarter,1:30.0,Rayjon Tucker,UTA,False,2-pointer,2,59-48,'SAS',leads
1246,1246,1246,202008130UTA,24.8,4.2,3rd quarter,5:05.0,Rayjon Tucker,UTA,True,2-pointer,1,78-66,'SAS',leads
1250,1250,1250,202008130UTA,33.0,8.6,3rd quarter,3:46.0,Rayjon Tucker,UTA,False,2-pointer,10,80-67,'SAS',leads
1251,1251,1251,202008130UTA,5.4,19.1,3rd quarter,3:21.0,Rayjon Tucker,UTA,False,3-pointer,24,80-69,'SAS',leads
1252,1252,1252,202008130UTA,28.8,12.3,3rd quarter,2:53.0,Rayjon Tucker,UTA,True,2-pointer,10,82-71,'SAS',leads
1254,1254,1254,202008130UTA,14.0,26.0,3rd quarter,1:45.0,Rayjon Tucker,UTA,True,3-pointer,25,85-71,'SAS',leads
1255,1255,1255,202008130UTA,22.1,3.4,3rd quarter,1:08.0,Rayjon Tucker,UTA,True,2-pointer,2,87-74,'SAS',leads
1257,1257,1257,202008130UTA,27.1,9.3,4th quarter,11:36.0,Rayjon Tucker,UTA,True,2-pointer,7,89-77,'SAS',leads
1266,1266,1266,202008130UTA,27.3,7.7,4th quarter,6:34.0,Rayjon Tucker,UTA,True,2-pointer,5,102-93,'SAS',leads
1268,1268,1268,202008130UTA,13.4,25.5,4th quarter,5:57.0,Rayjon Tucker,UTA,False,3-pointer,25,103-97,'SAS',leads
695,695,695,202008210UTA,7.7,24.2,4th quarter,7:48.0,Rayjon Tucker,UTA,False,3-pointer,26,105-68,'UTA',leads
703,703,703,202008210UTA,40.8,24.7,4th quarter,4:03.0,Rayjon Tucker,UTA,True,3-pointer,27,115-77,'UTA',leads
706,706,706,202008210UTA,20.7,15.0,4th quarter,2:00.0,Rayjon Tucker,UTA,True,2-pointer,12,121-85,'UTA',leads
708,708,708,202008210UTA,6.7,23.6,4th quarter,1:11.0,Rayjon Tucker,UTA,False,3-pointer,27,124-87,'UTA',leads
709,709,709,202008210UTA,13.2,16.8,4th quarter,0:37.0,Rayjon Tucker,UTA,False,2-pointer,17,124-87,'UTA',leads
76,76,76,202103270LAC,25.5,29.8,4th quarter,1:43.0,Rayjon Tucker,PHI,True,3-pointer,27,109-121,'PHI',trails
1197,1197,1197,202104040PHI,34.9,27.2,4th quarter,8:54.0,Rayjon Tucker,PHI,False,3-pointer,26,76-102,'MEM',trails
1200,1200,1200,202104040PHI,23.9,4.0,4th quarter,7:16.0,Rayjon Tucker,PHI,False,2-pointer,1,80-105,'MEM',trails
1202,1202,1202,202104040PHI,24.0,3.3,4th quarter,6:50.0,Rayjon Tucker,PHI,False,2-pointer,0,80-105,'MEM',trails
610,610,610,202104100OKC,25.5,3.6,4th quarter,3:22.0,Rayjon Tucker,PHI,True,2-pointer,2,109-88,'OKC',leads
587,587,587,202104220MIL,24.5,6.2,4th quarter,1:18.0,Rayjon Tucker,PHI,False,2-pointer,3,110-123,'MIL',trails
592,592,592,202104220MIL,24.2,5.2,4th quarter,0:07.0,Rayjon Tucker,PHI,True,2-pointer,2,117-123,'MIL',trails
755,755,755,202104240MIL,40.9,24.4,4th quarter,4:11.0,Rayjon Tucker,PHI,True,3-pointer,27,80-111,'MIL',trails
1333,1333,1333,202104260PHI,24.1,6.0,4th quarter,7:13.0,Rayjon Tucker,PHI,True,2-pointer,3,107-72,'OKC',leads
1335,1335,1335,202104260PHI,0.7,8.3,4th quarter,6:13.0,Rayjon Tucker,PHI,False,3-pointer,24,109-72,'OKC',leads
1347,1347,1347,202104260PHI,0.8,10.4,4th quarter,0:55.0,Rayjon Tucker,PHI,False,3-pointer,24,119-88,'OKC',leads
711,711,711,202105080PHI,6.1,24.8,4th quarter,0:58.0,Rayjon Tucker,PHI,False,3-pointer,28,118-100,'DET',leads
712,712,712,202105080PHI,0.9,14.3,4th quarter,0:14.0,Rayjon Tucker,PHI,False,3-pointer,26,118-102,'DET',leads
1692,1692,1692,202105160PHI,24.3,3.2,2nd quarter,7:08.0,Rayjon Tucker,PHI,True,2-pointer,0,39-43,'ORL',trails
1747,1747,1747,202105160PHI,25.1,2.8,4th quarter,6:26.0,Rayjon Tucker,PHI,True,2-pointer,1,110-98,'ORL',leads
1749,1749,1749,202105160PHI,24.0,3.6,4th quarter,5:35.0,Rayjon Tucker,PHI,True,2-pointer,0,112-101,'ORL',leads
1751,1751,1751,202105160PHI,22.7,3.6,4th quarter,4:52.0,Rayjon Tucker,PHI,True,2-pointer,1,114-103,'ORL',leads
1752,1752,1752,202105160PHI,32.6,18.4,4th quarter,4:04.0,Rayjon Tucker,PHI,False,2-pointer,17,114-106,'ORL',leads
464,464,464,202201010HOU,23.7,29.0,4th quarter,4:05.0,Rayjon Tucker,DEN,True,3-pointer,26,117-89,'HOU',leads
663,663,663,202201050DEN,24.3,29.0,3rd quarter,5:12.0,Rayjon Tucker,DEN,False,3-pointer,26,65-77,'UTA',trails
