Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
190,190,190,200311010DAL,8.1,13.1,2nd quarter,8:25.0,Raül López,UTA,False,2-pointer,18,31-31,'DAL',tied
191,191,191,200311010DAL,12.7,13.1,2nd quarter,7:55.0,Raül López,UTA,False,2-pointer,14,31-33,'DAL',trails
205,205,205,200311010DAL,32.4,28.2,3rd quarter,8:30.0,Raül López,UTA,False,3-pointer,25,52-69,'DAL',trails
214,214,214,200311010DAL,10.7,9.6,3rd quarter,4:22.0,Raül López,UTA,False,2-pointer,14,65-81,'DAL',trails
1012,1012,1012,200311030UTA,24.0,5.0,1st quarter,9:14.0,Raül López,UTA,False,2-pointer,0,6-4,'UTA',leads
1022,1022,1022,200311030UTA,0.3,8.0,1st quarter,3:54.0,Raül López,UTA,False,3-pointer,24,14-12,'UTA',leads
1027,1027,1027,200311030UTA,24.1,31.0,1st quarter,2:05.0,Raül López,UTA,True,3-pointer,26,21-12,'UTA',leads
1031,1031,1031,200311030UTA,13.3,2.9,1st quarter,0:22.9,Raül López,UTA,False,2-pointer,11,23-14,'UTA',leads
1045,1045,1045,200311030UTA,44.5,7.6,2nd quarter,2:09.0,Raül López,UTA,False,2-pointer,21,39-30,'UTA',leads
1048,1048,1048,200311030UTA,24.0,5.0,2nd quarter,0:34.9,Raül López,UTA,False,2-pointer,0,41-34,'UTA',leads
1050,1050,1050,200311030UTA,24.0,9.3,3rd quarter,11:28.0,Raül López,UTA,False,2-pointer,4,44-41,'UTA',leads
1053,1053,1053,200311030UTA,24.0,5.0,3rd quarter,8:06.0,Raül López,UTA,True,2-pointer,0,48-49,'UTA',trails
1054,1054,1054,200311030UTA,19.2,10.8,3rd quarter,7:26.0,Raül López,UTA,True,2-pointer,8,50-49,'UTA',leads
1069,1069,1069,200311030UTA,5.1,2.6,4th quarter,11:12.0,Raül López,UTA,True,2-pointer,19,65-69,'UTA',trails
1070,1070,1070,200311030UTA,24.0,5.0,4th quarter,10:45.0,Raül López,UTA,True,2-pointer,0,67-69,'UTA',trails
1072,1072,1072,200311030UTA,38.1,9.8,4th quarter,7:58.0,Raül López,UTA,False,2-pointer,15,67-74,'UTA',trails
1081,1081,1081,200311030UTA,29.1,10.8,4th quarter,3:22.0,Raül López,UTA,False,2-pointer,8,84-79,'UTA',leads
1082,1082,1082,200311030UTA,11.2,26.7,4th quarter,2:03.0,Raül López,UTA,False,3-pointer,25,85-82,'UTA',leads
1430,1430,1430,200311050UTA,20.1,29.3,1st quarter,2:25.0,Raül López,UTA,False,3-pointer,25,24-19,'UTA',leads
1431,1431,1431,200311050UTA,24.0,5.0,1st quarter,1:56.0,Raül López,UTA,True,2-pointer,0,26-19,'UTA',leads
1437,1437,1437,200311050UTA,41.7,22.4,2nd quarter,10:34.0,Raül López,UTA,False,3-pointer,25,36-23,'UTA',leads
1441,1441,1441,200311050UTA,6.3,23.1,2nd quarter,8:32.0,Raül López,UTA,False,3-pointer,25,36-23,'UTA',leads
710,710,710,200311070GSW,21.7,23.6,2nd quarter,11:40.0,Raül López,UTA,True,2-pointer,19,15-34,'UTA',trails
716,716,716,200311070GSW,8.6,4.9,2nd quarter,9:45.0,Raül López,UTA,False,2-pointer,15,17-37,'UTA',trails
718,718,718,200311070GSW,23.2,21.9,2nd quarter,9:06.0,Raül López,UTA,True,2-pointer,17,19-37,'UTA',trails
725,725,725,200311070GSW,16.8,22.3,2nd quarter,5:09.0,Raül López,UTA,False,2-pointer,19,23-46,'UTA',trails
