Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
350,350,350,201003020MIA,5.5,19.3,1st quarter,1:52.0,Reggie Williams,GSW,False,2-pointer,23,25-23,'MIA',leads
353,353,353,201003020MIA,4.2,20.6,1st quarter,0:37.0,Reggie Williams,GSW,True,3-pointer,25,34-28,'MIA',leads
359,359,359,201003020MIA,24.0,5.0,2nd quarter,8:52.0,Reggie Williams,GSW,False,2-pointer,0,36-34,'MIA',leads
372,372,372,201003020MIA,32.3,13.0,2nd quarter,1:13.0,Reggie Williams,GSW,True,2-pointer,12,52-51,'MIA',leads
397,397,397,201003020MIA,24.0,5.0,4th quarter,11:26.0,Reggie Williams,GSW,False,2-pointer,0,78-86,'MIA',trails
399,399,399,201003020MIA,44.3,18.8,4th quarter,9:46.0,Reggie Williams,GSW,True,3-pointer,25,86-88,'MIA',trails
411,411,411,201003020MIA,15.3,6.5,4th quarter,2:15.0,Reggie Williams,GSW,True,2-pointer,9,104-107,'MIA',trails
1658,1658,1658,201003030ORL,32.1,9.5,1st quarter,3:18.0,Reggie Williams,GSW,True,2-pointer,9,18-19,'ORL',trails
1660,1660,1660,201003030ORL,26.6,31.9,1st quarter,2:17.0,Reggie Williams,GSW,False,3-pointer,27,18-23,'ORL',trails
1661,1661,1661,201003030ORL,24.0,5.0,1st quarter,1:54.0,Reggie Williams,GSW,True,2-pointer,0,20-25,'ORL',trails
1668,1668,1668,201003030ORL,24.0,5.0,2nd quarter,10:26.0,Reggie Williams,GSW,True,2-pointer,0,26-32,'ORL',trails
1675,1675,1675,201003030ORL,7.7,24.5,2nd quarter,7:10.0,Reggie Williams,GSW,False,3-pointer,25,36-40,'ORL',trails
1680,1680,1680,201003030ORL,32.1,20.4,2nd quarter,4:08.0,Reggie Williams,GSW,False,2-pointer,17,41-53,'ORL',trails
1684,1684,1684,201003030ORL,15.9,12.1,2nd quarter,1:21.0,Reggie Williams,GSW,False,2-pointer,11,41-59,'ORL',trails
1700,1700,1700,201003030ORL,29.3,13.5,3rd quarter,3:37.0,Reggie Williams,GSW,False,2-pointer,10,61-84,'ORL',trails
1705,1705,1705,201003030ORL,14.3,28.5,3rd quarter,1:06.0,Reggie Williams,GSW,True,3-pointer,25,69-90,'ORL',trails
