Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
581,581,581,200310300SEA,0.7,5.2,1st quarter,2:23.0,Richie Frahm,SEA,False,3-pointer,23,17-15,'SEA',leads
583,583,583,200310300SEA,24.0,5.0,1st quarter,1:20.0,Richie Frahm,SEA,False,2-pointer,0,17-15,'SEA',leads
592,592,592,200310300SEA,33.7,30.2,2nd quarter,9:18.0,Richie Frahm,SEA,False,3-pointer,27,22-22,'SEA',tied
597,597,597,200311090SEA,2.0,18.2,3rd quarter,6:49.0,Richie Frahm,SEA,False,3-pointer,26,45-66,SEA,trails
601,601,601,200311090SEA,24.0,5.0,3rd quarter,4:52.0,Richie Frahm,SEA,True,2-pointer,0,49-69,SEA,trails
607,607,607,200311090SEA,40.1,5.7,3rd quarter,1:56.0,Richie Frahm,SEA,True,2-pointer,16,55-73,SEA,trails
609,609,609,200311090SEA,48.0,9.9,3rd quarter,0:48.9,Richie Frahm,SEA,False,3-pointer,25,57-73,SEA,trails
667,667,667,200311110MIN,0.0,6.0,2nd quarter,1:38.0,Richie Frahm,SEA,True,3-pointer,24,47-43,'SEA',leads
720,720,720,200311140IND,5.3,21.9,4th quarter,8:57.0,Richie Frahm,SEA,False,3-pointer,25,60-84,'IND',trails
730,730,730,200311140IND,0.8,6.0,4th quarter,3:16.0,Richie Frahm,SEA,True,3-pointer,23,73-94,'IND',trails
734,734,734,200311140IND,26.4,6.0,4th quarter,2:05.0,Richie Frahm,SEA,True,2-pointer,3,75-94,'IND',trails
1814,1814,1814,200311280UTA,5.8,21.1,4th quarter,5:02.0,Richie Frahm,SEA,False,3-pointer,24,71-86,'SEA',trails
1466,1466,1466,200311290SEA,10.7,14.4,4th quarter,8:36.0,Richie Frahm,SEA,False,2-pointer,16,77-73,'HOU',leads
1563,1563,1563,200312050SEA,24.0,5.0,2nd quarter,10:36.0,Richie Frahm,SEA,True,2-pointer,0,28-26,'IND',leads
1618,1618,1618,200312050SEA,0.3,8.6,4th quarter,1:08.0,Richie Frahm,SEA,True,3-pointer,24,90-97,'IND',trails
1619,1619,1619,200312050SEA,42.1,21.6,4th quarter,0:44.3,Richie Frahm,SEA,True,3-pointer,25,93-99,'IND',trails
1330,1330,1330,200312090NJN,8.6,25.1,4th quarter,2:19.0,Richie Frahm,SEA,True,3-pointer,25,83-101,'NJN',trails
1332,1332,1332,200312090NJN,6.3,21.6,4th quarter,1:39.0,Richie Frahm,SEA,True,3-pointer,24,88-101,'NJN',trails
1334,1334,1334,200312090NJN,7.6,3.2,4th quarter,0:32.9,Richie Frahm,SEA,False,2-pointer,17,88-101,'NJN',trails
60,60,60,200312100BOS,46.5,5.5,3rd quarter,4:46.0,Richie Frahm,SEA,True,3-pointer,23,58-87,'SEA',trails
65,65,65,200312100BOS,-0.1,5.0,3rd quarter,2:19.0,Richie Frahm,SEA,True,3-pointer,24,63-93,'SEA',trails
66,66,66,200312100BOS,0.5,5.5,3rd quarter,1:38.0,Richie Frahm,SEA,True,3-pointer,24,66-95,'SEA',trails
72,72,72,200312100BOS,0.2,4.5,4th quarter,10:25.0,Richie Frahm,SEA,False,3-pointer,24,75-101,'SEA',trails
75,75,75,200312100BOS,38.3,24.1,4th quarter,9:35.0,Richie Frahm,SEA,True,3-pointer,24,80-103,'SEA',trails
76,76,76,200312100BOS,34.2,21.9,4th quarter,9:14.0,Richie Frahm,SEA,True,2-pointer,20,82-103,'SEA',trails
79,79,79,200312100BOS,39.9,25.7,4th quarter,7:31.0,Richie Frahm,SEA,False,3-pointer,26,88-103,'SEA',trails
570,570,570,200312140SEA,47.2,6.8,2nd quarter,10:05.0,Richie Frahm,SEA,True,3-pointer,23,31-43,'SEA',trails
574,574,574,200312140SEA,6.6,23.1,2nd quarter,6:15.0,Richie Frahm,SEA,False,3-pointer,25,38-51,'SEA',trails
576,576,576,200312140SEA,4.6,14.7,2nd quarter,5:17.0,Richie Frahm,SEA,True,2-pointer,22,43-51,'SEA',trails
580,580,580,200312140SEA,0.5,12.1,2nd quarter,3:21.0,Richie Frahm,SEA,True,3-pointer,25,48-55,'SEA',trails
592,592,592,200312140SEA,2.8,20.3,3rd quarter,7:46.0,Richie Frahm,SEA,True,3-pointer,26,66-67,'SEA',trails
594,594,594,200312140SEA,22.4,17.5,3rd quarter,6:44.0,Richie Frahm,SEA,True,2-pointer,13,71-69,'SEA',leads
598,598,598,200312140SEA,0.0,7.5,3rd quarter,4:41.0,Richie Frahm,SEA,False,3-pointer,24,75-71,'SEA',leads
602,602,602,200312140SEA,24.0,5.0,3rd quarter,3:13.0,Richie Frahm,SEA,True,2-pointer,0,77-73,'SEA',leads
605,605,605,200312140SEA,24.0,5.0,3rd quarter,1:18.0,Richie Frahm,SEA,True,2-pointer,0,81-75,'SEA',leads
607,607,607,200312140SEA,47.0,9.6,4th quarter,12:00.0,Richie Frahm,SEA,False,3-pointer,23,83-80,'SEA',leads
608,608,608,200312140SEA,2.8,17.0,4th quarter,10:58.0,Richie Frahm,SEA,False,3-pointer,24,83-80,'SEA',leads
1015,1015,1015,200312160PHO,1.3,17.0,2nd quarter,5:48.0,Richie Frahm,SEA,False,3-pointer,26,34-26,'SEA',leads
1567,1567,1567,200312170SEA,24.0,5.0,4th quarter,7:52.0,Richie Frahm,SEA,True,2-pointer,0,91-86,'SEA',leads
1517,1517,1517,200312190SEA,40.9,22.8,2nd quarter,10:40.0,Richie Frahm,SEA,True,3-pointer,25,14-26,'SAS',trails
1522,1522,1522,200312190SEA,6.9,24.4,2nd quarter,6:22.0,Richie Frahm,SEA,False,3-pointer,26,19-32,'SAS',trails
1523,1523,1523,200312190SEA,24.0,19.8,2nd quarter,5:39.0,Richie Frahm,SEA,True,2-pointer,15,21-34,'SAS',trails
1527,1527,1527,200312190SEA,21.2,9.1,2nd quarter,3:56.0,Richie Frahm,SEA,False,2-pointer,5,25-36,'SAS',trails
1562,1562,1562,200312190SEA,4.9,23.6,4th quarter,8:08.0,Richie Frahm,SEA,False,3-pointer,27,60-75,'SAS',trails
1568,1568,1568,200312190SEA,24.0,5.0,4th quarter,5:37.0,Richie Frahm,SEA,True,2-pointer,0,66-79,'SAS',trails
1569,1569,1569,200312190SEA,16.0,20.5,4th quarter,4:37.0,Richie Frahm,SEA,True,2-pointer,17,68-83,'SAS',trails
1573,1573,1573,200312190SEA,17.9,3.9,4th quarter,1:59.0,Richie Frahm,SEA,False,2-pointer,6,71-85,'SAS',trails
1574,1574,1574,200312190SEA,5.8,22.9,4th quarter,1:19.0,Richie Frahm,SEA,False,3-pointer,26,71-85,'SAS',trails
362,362,362,200312200DEN,41.1,23.4,1st quarter,1:53.0,Richie Frahm,SEA,False,3-pointer,25,19-20,'SEA',trails
363,363,363,200312200DEN,24.0,5.0,1st quarter,0:59.8,Richie Frahm,SEA,True,2-pointer,0,21-22,'SEA',trails
364,364,364,200312200DEN,46.7,4.4,1st quarter,0:43.8,Richie Frahm,SEA,True,3-pointer,23,24-22,'SEA',leads
366,366,366,200312200DEN,22.5,29.3,1st quarter,0:10.0,Richie Frahm,SEA,True,3-pointer,24,27-24,'SEA',leads
369,369,369,200312200DEN,47.2,4.4,2nd quarter,10:05.0,Richie Frahm,SEA,True,3-pointer,23,32-26,'SEA',leads
371,371,371,200312200DEN,39.8,18.3,2nd quarter,8:55.0,Richie Frahm,SEA,True,2-pointer,21,37-29,'SEA',leads
375,375,375,200312200DEN,24.0,5.0,2nd quarter,8:17.0,Richie Frahm,SEA,True,2-pointer,0,39-29,'SEA',leads
400,400,400,200312200DEN,0.8,5.7,3rd quarter,4:46.0,Richie Frahm,SEA,True,3-pointer,23,73-64,'SEA',leads
407,407,407,200312200DEN,41.2,16.2,4th quarter,11:30.0,Richie Frahm,SEA,True,2-pointer,21,88-77,'SEA',leads
